brand,keyword,count,global_count,brand_share_pct,brand_concentration,keyword_type
COLUMBIA,BETTER,102,102,13.35,1.0,브랜드 기술
COLUMBIA,MAKE,102,102,13.35,1.0,브랜드 기술
COLUMBIA,NOW,102,102,13.35,1.0,브랜드 기술
COLUMBIA,PERFECT,102,102,13.35,1.0,브랜드 기술
COLUMBIA,COLUMBIA,55,55,7.2,1.0,브랜드 기술
COLUMBIA,방수,18,18,2.36,1.0,브랜드 기술
COLUMBIA,OFZ,15,15,1.96,1.0,브랜드 기술
COLUMBIA,LIFE,14,14,1.83,1.0,브랜드 기술
COLUMBIA,TECHNOLOGY,14,14,1.83,1.0,브랜드 기술
COLUMBIA,TIME,14,14,1.83,1.0,브랜드 기술
COLUMBIA,WARRANTY,14,14,1.83,1.0,브랜드 기술
COLUMBIA,경량,14,26,1.83,0.538,트렌드 기술
COLUMBIA,TECHLITE,13,13,1.7,1.0,브랜드 기술
COLUMBIA,EVA,11,11,1.44,1.0,브랜드 기술
COLUMBIA,투습,9,9,1.18,1.0,브랜드 기술
COLUMBIA,PFG,8,8,1.05,1.0,브랜드 기술
COLUMBIA,VIETNAM,8,8,1.05,1.0,브랜드 기술
COLUMBIA,WIDE,8,8,1.05,1.0,브랜드 기술
COLUMBIA,XXL,8,8,1.05,1.0,브랜드 기술
COLUMBIA,ATR,7,7,0.92,1.0,브랜드 기술
COLUMBIA,OMNI-MAX,7,7,0.92,1.0,브랜드 기술
COLUMBIA,CHINA,6,6,0.79,1.0,브랜드 기술
COLUMBIA,ICE,6,6,0.79,1.0,브랜드 기술
COLUMBIA,OMNI-GRIP,5,5,0.65,1.0,브랜드 기술
COLUMBIA,OUTDRY,5,5,0.65,1.0,브랜드 기술
COLUMBIA,CRESTWOOD,4,4,0.52,1.0,브랜드 기술
COLUMBIA,CSC,4,4,0.52,1.0,브랜드 기술
COLUMBIA,OMNI-TECH,4,4,0.52,1.0,브랜드 기술
COLUMBIA,PEAKFREAK,4,4,0.52,1.0,브랜드 기술
COLUMBIA,RUSH,4,4,0.52,1.0,브랜드 기술
COLUMBIA,WATERPROOF,4,4,0.52,1.0,브랜드 기술
COLUMBIA,플리스,4,4,0.52,1.0,브랜드 기술
COLUMBIA,CSC1938,3,3,0.39,1.0,브랜드 기술
COLUMBIA,MAX,3,3,0.39,1.0,브랜드 기술
