date,channel,sub_channel,spend
2025-07-01,google,google pmax,0.0
2025-07-01,meta,meta,77082.87999999999
2025-07-01,naver,naver brand search,273333.3333333333
2025-07-01,naver,naver search,0.0
2025-07-02,google,google pmax,0.0
2025-07-02,meta,meta,98741.44
2025-07-02,naver,naver brand search,273333.3333333333
2025-07-02,naver,naver search,110580.0
2025-07-03,google,google pmax,0.0
2025-07-03,meta,meta,108450.71999999999
2025-07-03,naver,naver brand search,273333.3333333333
2025-07-03,naver,naver search,189350.0
2025-07-04,google,google pmax,305.76
2025-07-04,meta,meta,180173.28000000006
2025-07-04,naver,naver brand search,273333.3333333333
2025-07-04,naver,naver search,200070.0
2025-07-05,google,google pmax,2022.7200000000003
2025-07-05,meta,meta,97251.84000000001
2025-07-05,naver,naver brand search,273333.3333333333
2025-07-05,naver,naver search,209340.0
2025-07-06,google,google pmax,0.0
2025-07-06,meta,meta,262109.12000000002
2025-07-06,naver,naver brand search,273333.3333333333
2025-07-06,naver,naver search,206530.0
2025-07-07,google,google pmax,0.0
2025-07-07,meta,meta,160426.56000000003
2025-07-07,naver,naver brand search,273333.3333333333
2025-07-07,naver,naver search,321630.0
2025-07-08,google,google pmax,494467.68000000005
2025-07-08,meta,meta,164810.24
2025-07-08,naver,naver brand search,273333.3333333333
2025-07-08,naver,naver search,335990.0
2025-07-09,google,google pmax,255171.84000000003
2025-07-09,meta,meta,130891.04000000001
2025-07-09,naver,naver brand search,273333.3333333333
2025-07-09,naver,naver search,352360.0
2025-07-10,google,google pmax,255926.72
2025-07-10,meta,meta,115074.4
2025-07-10,naver,naver brand search,273333.3333333333
2025-07-10,naver,naver search,356850.0
2025-07-11,google,google pmax,244220.47999999998
2025-07-11,meta,meta,137298.56
2025-07-11,naver,naver brand search,273333.3333333333
2025-07-11,naver,naver search,343650.0
2025-07-12,google,google pmax,274824.48000000004
2025-07-12,meta,meta,151514.72000000003
2025-07-12,naver,naver brand search,273333.3333333333
2025-07-12,naver,naver search,325640.0
2025-07-13,google,google pmax,196685.44
2025-07-13,meta,meta,158281.76
2025-07-13,naver,naver brand search,273333.3333333333
2025-07-13,naver,naver search,346930.0
2025-07-14,google,google pmax,279708.80000000005
2025-07-14,meta,meta,150412.64
2025-07-14,naver,naver brand search,273333.3333333333
2025-07-14,naver,naver search,314070.0
2025-07-15,google,google pmax,222295.36
2025-07-15,meta,meta,142475.2
2025-07-15,naver,naver brand search,273333.3333333333
2025-07-15,naver,naver search,282520.0
2025-07-16,google,google pmax,265011.04
2025-07-16,meta,meta,145171.04000000004
2025-07-16,naver,naver brand search,273333.3333333333
2025-07-16,naver,naver search,289110.0
2025-07-17,google,google pmax,264544.0
2025-07-17,meta,meta,132780.48
2025-07-17,naver,naver brand search,273333.3333333333
2025-07-17,naver,naver search,303750.0
2025-07-18,google,google pmax,230504.96000000002
2025-07-18,meta,meta,143312.96000000005
2025-07-18,naver,naver brand search,273333.3333333333
2025-07-18,naver,naver search,261560.0
2025-07-19,google,google pmax,237700.96
2025-07-19,meta,meta,146036.8
2025-07-19,naver,naver brand search,273333.3333333333
2025-07-19,naver,naver search,301140.0
2025-07-20,google,google pmax,267886.0800000001
2025-07-20,meta,meta,160000.96000000002
2025-07-20,naver,naver brand search,273333.3333333333
2025-07-20,naver,naver search,311950.0
2025-07-21,google,google pmax,278006.4
2025-07-21,meta,meta,149095.52000000002
2025-07-21,naver,naver brand search,273333.3333333333
2025-07-21,naver,naver search,279890.0
2025-07-22,google,google pmax,228922.4
2025-07-22,meta,meta,148853.6
2025-07-22,naver,naver brand search,273333.3333333333
2025-07-22,naver,naver search,278070.0
2025-07-23,google,google pmax,261344.16000000003
2025-07-23,meta,meta,146330.24000000002
2025-07-23,naver,naver brand search,273333.3333333333
2025-07-23,naver,naver search,250020.0
2025-07-24,google,google pmax,212741.76
2025-07-24,meta,meta,130725.28000000004
2025-07-24,naver,naver brand search,273333.3333333333
2025-07-24,naver,naver search,243300.0
2025-07-25,google,google pmax,293250.7200000003
2025-07-25,meta,meta,137346.72000000006
2025-07-25,naver,naver brand search,273333.3333333333
2025-07-25,naver,naver search,232020.0
2025-07-26,google,google pmax,227240.16
2025-07-26,meta,meta,146203.68000000005
2025-07-26,naver,naver brand search,273333.3333333333
2025-07-26,naver,naver search,235910.0
2025-07-27,google,google pmax,234018.40000000002
2025-07-27,meta,meta,67776.8000000006
2025-07-27,naver,naver brand search,273333.3333333333
2025-07-27,naver,naver search,306780.0
2025-07-28,google,google pmax,231330.40000000002
2025-07-28,meta,meta,140088.47999999998
2025-07-28,naver,naver brand search,273333.3333333333
2025-07-28,naver,naver search,263040.0
2025-07-29,google,google pmax,175907.2
2025-07-29,meta,meta,141236.48
2025-07-29,naver,naver brand search,273333.0
2025-07-29,naver,naver search,252500.0
2025-07-30,google,google pmax,298892.16000000003
2025-07-30,meta,meta,143323.04
2025-07-30,naver,naver brand search,273333.3333333333
2025-07-30,naver,naver search,208970.0
2025-07-31,google,google pmax,208047.84000000003
