date,brand_key,brand_name,rank,title,href,href_clean,plan_start,plan_end,img_url,img_local,img_status,img_w,img_h,img_bytes,img_signature,brand_resolved_url,extract_source,confidence_score,is_fallback,is_primary_hero,landing_title,landing_subtitle,landing_summary,landing_keywords,landing_category,landing_text_status
2026-07-02,tnf,The North Face,1,클리프로우 기획전,https://www.thenorthfacekorea.co.kr/event/view/eventCategoryNF/93096,https://www.thenorthfacekorea.co.kr/event/view/eventCategoryNF/93096,2025-09-21,2028-09-20,https://image.thenorthfacekorea.co.kr/cmsstatic/17871/260600_CLYFFE_LOW_main_banner_PC.webp,tnf_1_2d435dca11.jpg,ok,1100,500,142984,62e7e32d438535b6,https://www.thenorthfacekorea.co.kr/,tnf_slick,0.96,0,1,CLYFFE LOW SNEAKERS,Youngone Outdoor Co. All Rights Reserved.,노스페이스 CLYFFE LOW SNEAKERS 기획전. 지금 노스페이스 공식몰에서 만나보세요.,"슈즈, 가방, 신발, 베스트, 패딩, 바람막이",풋웨어,ok
2026-07-02,tnf,The North Face,2,WHITE LABEL : ESSENTIAL SHORTS,https://www.thenorthfacekorea.co.kr/event/view/eventCategoryNF/93064,https://www.thenorthfacekorea.co.kr/event/view/eventCategoryNF/93064,,,https://image.thenorthfacekorea.co.kr/cmsstatic/260500_whitelabel_essential_shorts_promotion_main_banner_pc.webp,tnf_2_db1f4b9adb.jpg,ok,1100,500,164075,31b3e61264f82c1b,https://www.thenorthfacekorea.co.kr/,tnf_slick,0.96,0,0,,,,,,skipped
2026-07-02,tnf,The North Face,3,"TNF100 우승자가 선택한 VECTIV로 당신의 트레일을 시작하세요 TNF100, 트레일은 계속된다",https://www.thenorthfacekorea.co.kr/event/view/eventCategoryNF/93090,https://www.thenorthfacekorea.co.kr/event/view/eventCategoryNF/93090,,,https://image.thenorthfacekorea.co.kr/cmsstatic/17833/260600_TNF100_competition_main_banner_PC.webp,tnf_3_a324dde1cd.jpg,ok,1100,500,57729,b21f3ef7d83ad10e,https://www.thenorthfacekorea.co.kr/,tnf_slick,0.96,0,0,,,,,,skipped
2026-07-02,patagonia,Patagonia,1,main visual section,https://www.patagonia.co.kr/shop/goodsList/001005016002000,https://www.patagonia.co.kr/shop/goodsList/001005016002000,,,https://patagonia.edge.naverncp.com/banner/PAT_S26_TechTees_hero-patitucci_dan_00642_cc_.jpg,patagonia_1_da984a98b7.jpg,ok,1100,837,320139,097985884019610f,https://www.patagonia.co.kr/,patagonia_static_hero,0.94,0,1,“원단과 핏이 마음에 들어 여러 장 구매했어요. 운동할 때 시원하고 뽀송하게 유지되는게 제가 딱 원하던 티셔츠입니다”,Some stories to get you out there.,"파타고니아코리아 온라인 스토어, 환경과 사회에 대한 책임 기업",,,ok
2026-07-02,arcteryx,Arc'teryx,1,LESS IS MORE,https://arcteryx.co.kr/products/category/223,https://arcteryx.co.kr/products/category/223,,,https://public.arcteryx.co.kr/images/banner/DUwj2GqoGNS8SpLmsewb1XYS9l0NNLIfn8vd8WFR.jpg,arcteryx_1_21e16736ec.jpg,ok,1100,803,76895,47a365180b8037ad,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,아크테릭스코리아 : New Arrivals,전체보기,아크테릭스코리아 New Arrivals,,,ok
2026-07-02,arcteryx,Arc'teryx,2,SHIRTS & TOPS,https://arcteryx.co.kr/products/category/59,https://arcteryx.co.kr/products/category/59,,,https://public.arcteryx.co.kr/images/banner/Selqn1FpQL61boH2KeQ03Im5gQq7WhLK8RTNxU1e.jpg,arcteryx_4_62061d69d2.jpg,ok,1100,803,220036,f8c0e50f0316cdfb,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,arcteryx,Arc'teryx,3,S26 New line up,https://arcteryx.co.kr/products/category/386,https://arcteryx.co.kr/products/category/386,,,https://public.arcteryx.co.kr/images/banner/gIv3v9N1Qi0Kv76QDlN8TndYOiN44r4NoKRjeOth.jpg,arcteryx_5_5c8a438e18.jpg,ok,800,800,47465,48e3560ebfa48093,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,1,TIMELESS TRAIL COLLECTION,https://salomon.co.kr/collections/26ss-trail-running-apperal,https://salomon.co.kr/collections/26ss-trail-running-apperal,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_22_02_1_180x.jpg?v=1782702953,salomon_1_d39607dd46.jpg,ok,180,70,5009,190c614637e93983,https://salomon.co.kr/,hero_slider_container,0.88,0,1,26SS Trail Running 살로몬 공식 온라인스토어 – Salomon Korea,시인성과 통기성이 뛰어난 Vmax 소재 적용 Sensi-Fit 디자인과 무시접 봉제 기법으로 안정적인 착용감 하이드레이션 착용 고려한 리플렉티브 로고 포인트,26SS Trail Running 살로몬 공식 온라인스토어,신발,하이킹,ok
2026-07-02,salomon,Salomon,2,Short Sleeve,https://salomon.co.kr/,https://salomon.co.kr/,,,https://salomon.co.kr/cdn/shop/files/38_927ab3da-2954-4533-b01d-27ec277ae913.jpg?v=1780363198,salomon_1_de04825202.jpg,ok,647,350,44301,9e003d458759bc6d,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,3,XT-ICONS,https://salomon.co.kr/collections/26fw_ftw_xticons,https://salomon.co.kr/collections/26fw_ftw_xticons,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_2_180x.jpg?v=1782871103,salomon_2_5623824871.jpg,ok,180,70,3764,3b3f5b03a256a40c,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,salomon,Salomon,4,HIKING SHORT SLEEVE,https://salomon.co.kr/collections/sal_activities_hiking_app_short-sleeve,https://salomon.co.kr/collections/sal_activities_hiking_app_short-sleeve,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_2bcd619d-08f1-4c03-addf-1c94b7bbdd7e_180x.jpg?v=1782178319,salomon_3_b1a3eeaf32.jpg,ok,180,70,4333,54dc1664d4c9286e,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,salomon,Salomon,5,BRING ON ADVENTURE,https://salomon.co.kr/pages/26ss-ftw-summer-shoes,https://salomon.co.kr/pages/26ss-ftw-summer-shoes,,,https://salomon.co.kr/cdn/shop/files/pc_main_e4325905-a490-43aa-bff5-d3c6d6674117_180x.jpg?v=1780621937,salomon_4_cc1d1eb3c9.jpg,ok,180,84,5871,0f65ef3c36f07f02,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,salomon,Salomon,6,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_22_02_1_2450x.jpg?v=1782702953,salomon_3_7ae279d898.jpg,cached,1100,427,144786,b7c1de0c40fdc28e,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,7,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_2_1512x.jpg?v=1782871103,salomon_5_3ede833d29.jpg,cached,1100,427,64870,8ba3d381974bfae4,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,8,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_2bcd619d-08f1-4c03-addf-1c94b7bbdd7e_1512x.jpg?v=1782178319,salomon_7_bb1635f29f.jpg,cached,1100,427,113568,dfc1517776f946a3,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
