date,channel,spend,platform_revenue,report_ga_revenue
2025-07-01,Criteo,210683.73,1538200.0,381920.0
2025-07-01,Google Ads,0.0,0.0,0.0
2025-07-01,Kakao Moment,0.0,0.0,297360.0
2025-07-01,Meta,1137072.68,1906930.0,81580.0
2025-07-01,Naver Brand Search,273333.33,3836220.0,3183030.0
2025-07-01,Naver Search & Shopping,0.0,0.0,111650.0
2025-07-02,Criteo,1350588.82,1369520.0,984310.0
2025-07-02,Google Ads,0.0,0.0,0.0
2025-07-02,Kakao Moment,0.0,0.0,255520.0
2025-07-02,Meta,2257506.32,1778970.0,87750.0
2025-07-02,Naver Brand Search,273333.33,2298140.0,1815990.0
2025-07-02,Naver Search & Shopping,129798.0,188800.0,0.0
2025-07-03,Criteo,65634.2,1287780.0,291530.0
2025-07-03,Google Ads,0.0,0.0,94840.0
2025-07-03,Kakao Moment,0.0,0.0,403220.0
2025-07-03,Meta,108450.72,2817140.0,0.0
2025-07-03,Naver Brand Search,273333.33,2413550.0,2373070.0
2025-07-03,Naver Search & Shopping,189350.0,425180.0,185500.0
2025-07-04,Criteo,1714682.89,2037090.0,577880.0
2025-07-04,Google Ads,305.76,0.0,165800.0
2025-07-04,Kakao Moment,1577445.0,2568550.0,4072940.0
2025-07-04,Meta,180173.28,3414180.0,92830.0
2025-07-04,Naver Brand Search,273333.33,1678100.0,1173760.0
2025-07-04,Naver Search & Shopping,210679.0,544680.0,142560.0
2025-07-05,Criteo,74934.0,1012510.0,508510.0
2025-07-05,Google Ads,2022.72,0.0,0.0
2025-07-05,Kakao Moment,0.0,282390.0,2867040.0
2025-07-05,Meta,1655887.8,3024990.0,0.0
2025-07-05,Naver Brand Search,273333.33,3561770.0,2401760.0
2025-07-05,Naver Search & Shopping,299366.0,588240.0,318700.0
2025-07-06,Criteo,99253.27,1099870.0,783710.0
2025-07-06,Google Ads,0.0,0.0,131810.0
2025-07-06,Kakao Moment,0.0,1894420.0,811280.0
2025-07-06,Meta,700805.84,4904810.0,471490.0
2025-07-06,Naver Brand Search,273333.33,4358750.0,4037130.0
2025-07-06,Naver Search & Shopping,206530.0,109930.0,37100.0
2025-07-07,Criteo,1370269.32,2222280.0,368580.0
2025-07-07,Google Ads,0.0,0.0,113390.0
2025-07-07,Kakao Moment,0.0,1036480.0,1792320.0
2025-07-07,Meta,637500.48,4764540.0,314090.0
2025-07-07,Naver Brand Search,273333.33,3871915.0,2090780.0
2025-07-07,Naver Search & Shopping,279509.0,207470.0,0.0
2025-07-08,Criteo,1519999.0,2369540.0,631400.0
2025-07-08,Google Ads,494467.68,1484110.0,342270.0
2025-07-08,Kakao Moment,0.0,832180.0,1024685.0
2025-07-08,Meta,769952.16,4214195.0,387365.0
2025-07-08,Naver Brand Search,273333.33,3361770.0,1400760.0
2025-07-08,Naver Search & Shopping,276937.0,548530.0,0.0
2025-07-09,Criteo,104174.9,3339570.0,582800.0
2025-07-09,Google Ads,255171.84,1110347.61,640410.0
2025-07-09,Kakao Moment,0.0,1050770.0,674150.0
2025-07-09,Meta,146688.24,10582875.0,910330.0
2025-07-09,Naver Brand Search,273333.33,7358695.0,6832215.0
2025-07-09,Naver Search & Shopping,396071.0,729370.0,481160.0
2025-07-10,Criteo,389574.68,1413390.0,453780.0
2025-07-10,Google Ads,255926.72,1644587.11,520780.0
2025-07-10,Kakao Moment,0.0,579610.0,434830.0
2025-07-10,Meta,2957887.12,4801985.0,144180.0
2025-07-10,Naver Brand Search,273333.33,3770555.0,1061395.0
2025-07-10,Naver Search & Shopping,320673.0,531600.0,317540.0
2025-07-11,Criteo,678616.91,2617225.0,762380.0
2025-07-11,Google Ads,244220.48,1697214.13,307300.0
2025-07-11,Kakao Moment,0.0,431600.0,494240.0
2025-07-11,Meta,137298.56,4778025.0,413900.0
2025-07-11,Naver Brand Search,273333.33,2543665.0,2205760.0
2025-07-11,Naver Search & Shopping,395573.0,367050.0,364100.0
2025-07-12,Criteo,976872.99,1623915.0,629385.0
2025-07-12,Google Ads,274824.48,1543133.98,571730.0
2025-07-12,Kakao Moment,0.0,482500.0,1361985.0
2025-07-12,Meta,151514.72,5905460.0,514225.0
2025-07-12,Naver Brand Search,273333.33,2804550.0,2066150.0
2025-07-12,Naver Search & Shopping,356372.0,194110.0,178050.0
2025-07-13,Criteo,748389.36,1112900.0,273860.0
2025-07-13,Google Ads,2031214.2,945509.24,835420.0
2025-07-13,Kakao Moment,0.0,281650.0,976130.0
2025-07-13,Meta,265867.96,4737652.0,495430.0
2025-07-13,Naver Brand Search,273333.33,3594695.0,3274955.0
2025-07-13,Naver Search & Shopping,442780.0,504160.0,253670.0
2025-07-14,Criteo,95636.86,1479195.0,188170.0
2025-07-14,Google Ads,279708.8,895551.05,432690.0
2025-07-14,Kakao Moment,0.0,166700.0,328510.0
2025-07-14,Meta,239279.4,7931905.0,331970.0
2025-07-14,Naver Brand Search,273333.33,3906170.0,2282040.0
2025-07-14,Naver Search & Shopping,385845.0,383290.0,160450.0
2025-07-15,Criteo,233970.59,1913635.0,290660.0
2025-07-15,Google Ads,222295.36,850630.0,489270.0
2025-07-15,Kakao Moment,0.0,114930.0,264365.0
2025-07-15,Meta,142475.2,6861940.0,295650.0
2025-07-15,Naver Brand Search,273333.33,3676435.0,1760055.0
2025-07-15,Naver Search & Shopping,257630.0,413180.0,95670.0
2025-07-16,Criteo,151328.36,1855260.0,1154370.0
2025-07-16,Google Ads,265011.04,1021338.57,297550.0
2025-07-16,Kakao Moment,0.0,161000.0,160280.0
2025-07-16,Meta,186223.92,7660200.0,56320.0
2025-07-16,Naver Brand Search,273333.33,3486270.0,2525030.0
2025-07-16,Naver Search & Shopping,238724.0,950220.0,546080.0
2025-07-17,Criteo,175117.17,2943935.0,599500.0
2025-07-17,Google Ads,264544.0,1370099.76,488500.0
2025-07-17,Kakao Moment,1575165.0,5080880.0,5943335.0
2025-07-17,Meta,132780.48,5050295.0,351500.0
2025-07-17,Naver Brand Search,273333.33,4772010.0,2128945.0
2025-07-17,Naver Search & Shopping,351356.0,383610.0,0.0
2025-07-18,Criteo,170959.07,2515750.0,1176830.0
2025-07-18,Google Ads,230504.96,1492885.28,455870.0
2025-07-18,Kakao Moment,0.0,1209660.0,1541480.0
2025-07-18,Meta,143312.96,3313610.0,537625.0
2025-07-18,Naver Brand Search,273333.33,2767405.0,2547850.0
2025-07-18,Naver Search & Shopping,284587.0,878470.0,248760.0
2025-07-19,Criteo,2947731.46,2317395.0,1004980.0
2025-07-19,Google Ads,237700.96,1775132.77,773670.0
2025-07-19,Kakao Moment,0.0,854370.0,878150.0
2025-07-19,Meta,2162025.64,4575155.0,777910.0
2025-07-19,Naver Brand Search,273333.33,2674420.0,2424305.0
2025-07-19,Naver Search & Shopping,245516.0,829210.0,111470.0
2025-07-20,Criteo,180006.5,3302140.0,2293660.0
2025-07-20,Google Ads,267886.08,1495782.58,352780.0
2025-07-20,Kakao Moment,0.0,304935.0,821020.0
2025-07-20,Meta,160000.96,4783615.0,122210.0
2025-07-20,Naver Brand Search,273333.33,3086745.0,1790795.0
2025-07-20,Naver Search & Shopping,369283.0,910420.0,639260.0
2025-07-21,Criteo,167060.0,2321105.0,688675.0
2025-07-21,Google Ads,278006.4,1605299.44,316430.0
2025-07-21,Kakao Moment,0.0,521810.0,894165.0
2025-07-21,Meta,1012166.84,5830540.0,448360.0
2025-07-21,Naver Brand Search,273333.33,2791825.0,1615170.0
2025-07-21,Naver Search & Shopping,339780.0,1014120.0,172670.0
2025-07-22,Criteo,163329.0,1299515.0,603365.0
2025-07-22,Google Ads,228922.4,794245.04,671190.0
2025-07-22,Kakao Moment,0.0,370850.0,1143550.0
2025-07-22,Meta,148853.6,6161440.0,214090.0
2025-07-22,Naver Brand Search,273333.33,3377820.0,1293510.0
2025-07-22,Naver Search & Shopping,308079.0,1587210.0,278370.0
2025-07-23,Criteo,184639.69,2130145.0,650345.0
2025-07-23,Google Ads,261344.16,5928533.6,221600.0
2025-07-23,Kakao Moment,0.0,646060.0,1034645.0
2025-07-23,Meta,146330.24,4310620.0,437050.0
2025-07-23,Naver Brand Search,273333.33,3019905.0,1970790.0
2025-07-23,Naver Search & Shopping,283158.0,671430.0,155950.0
2025-07-24,Criteo,2846939.99,2336320.0,912950.0
2025-07-24,Google Ads,212741.76,1241484.7,821925.0
2025-07-24,Kakao Moment,0.0,304940.0,150520.0
2025-07-24,Meta,154979.2,4058455.0,202200.0
2025-07-24,Naver Brand Search,273333.33,3417060.0,2667065.0
2025-07-24,Naver Search & Shopping,299238.0,832060.0,272640.0
2025-07-25,Criteo,1940961.63,1768905.0,668630.0
2025-07-25,Google Ads,175070.56,367077.96,492680.0
2025-07-25,Kakao Moment,0.0,81370.0,180030.0
2025-07-25,Meta,137346.72,4151970.0,397680.0
2025-07-25,Naver Brand Search,273333.33,2049095.0,2057625.0
2025-07-25,Naver Search & Shopping,377550.0,817955.0,402505.0
2025-07-26,Criteo,151396.21,1592825.0,157550.0
2025-07-26,Google Ads,227240.16,999559.85,563800.0
2025-07-26,Kakao Moment,0.0,353600.0,608770.0
2025-07-26,Meta,192346.08,4639875.0,901935.0
2025-07-26,Naver Brand Search,273333.33,2892375.0,2240705.0
2025-07-26,Naver Search & Shopping,235910.0,439190.0,224830.0
2025-07-27,Criteo,183386.69,2239445.0,756450.0
2025-07-27,Google Ads,2732713.0,1169504.32,402580.0
2025-07-27,Kakao Moment,0.0,37200.0,184585.0
2025-07-27,Meta,67776.8,3428040.0,350400.0
2025-07-27,Naver Brand Search,273333.33,2100265.0,992685.0
2025-07-27,Naver Search & Shopping,335519.0,971030.0,0.0
2025-07-28,Criteo,194286.39,2158820.0,723930.0
2025-07-28,Google Ads,231330.4,1152093.76,279720.0
2025-07-28,Kakao Moment,0.0,108975.0,558275.0
2025-07-28,Meta,130774.4,3040830.0,355750.0
2025-07-28,Naver Brand Search,273333.33,2803410.0,1304015.0
2025-07-28,Naver Search & Shopping,351452.0,545140.0,239450.0
2025-07-29,Criteo,149336.37,2599925.0,1098365.0
2025-07-29,Google Ads,2097454.4,470002.98,7000.0
2025-07-29,Kakao Moment,0.0,147490.0,562270.0
2025-07-29,Meta,141236.48,3639250.0,265880.0
2025-07-29,Naver Brand Search,273333.0,2902320.0,1852300.0
2025-07-29,Naver Search & Shopping,322044.0,634130.0,228700.0
2025-07-30,Criteo,1872854.01,1998760.0,484745.0
2025-07-30,Google Ads,298892.16,2429699.64,1454030.0
2025-07-30,Kakao Moment,0.0,0.0,214350.0
2025-07-30,Meta,719400.36,6035305.0,138590.0
2025-07-30,Naver Brand Search,273333.33,3941010.0,1817150.0
2025-07-30,Naver Search & Shopping,235435.0,752910.0,0.0
2025-07-31,Criteo,165517.55,2137750.0,542175.0
2025-07-31,Google Ads,208047.84,863645.81,857435.0
2025-07-31,Kakao Moment,0.0,0.0,25730.0
2025-07-31,Meta,179637.28,6723605.0,307600.0
