event_date,source,medium,sessions,users,page_views,purchases,revenue
2025-03-15,(not set),(not set),1769,1673,5138,15,1510460.0
2025-03-15,183.97.56.145,referral,2,1,14,0,0.0
2025-03-15,DM,email,1,1,18,0,0.0
2025-03-15,EDM,EDM,1,1,1,0,0.0
2025-03-15,Facebook,banner,22,21,40,0,0.0
2025-03-15,IGShopping,Social,229,221,432,0,0.0
2025-03-15,KAKAO_CH,KAKAO_CH,247,220,2056,7,711150.0
2025-03-15,KAKAO_alimtalk,(none),2,2,25,0,0.0
2025-03-15,KAKAO_alimtalk,KAKAO_alimtalk,56,50,768,5,299920.0
2025-03-15,KAKAO_alimtalk,Social,1,1,1,0,0.0
2025-03-15,KAKAO_chatbot,KAKAO_chatbot,3,1,19,0,0.0
2025-03-15,LMS_ECOM,(none),8,3,124,1,150600.0
2025-03-15,LMS_ECOM,LMS_ECOM,45,40,110,0,0.0
2025-03-15,abcmart.5166.info,referral,2,2,6,0,0.0
2025-03-15,app.tandem.net,referral,1,1,1,0,0.0
2025-03-15,bing,organic,18,16,166,0,0.0
2025-03-15,bujalab.com,referral,1,1,1,0,0.0
2025-03-15,columbia.com,referral,9,7,25,0,0.0
2025-03-15,columbiamall.co.kr,referral,2,2,21,0,0.0
2025-03-15,columbiasportswear.ca,referral,1,1,3,0,0.0
2025-03-15,columbiasportswear.de,referral,1,1,1,0,0.0
2025-03-15,cr.shopping.naver.com,referral,5,4,45,0,0.0
2025-03-15,cr2.shopping.naver.com,referral,1,1,3,0,0.0
2025-03-15,criteo,banner,672,560,3391,14,1132110.0
2025-03-15,criteo,display,98,95,612,2,133070.0
2025-03-15,dailytodaily.com,referral,1,1,5,0,0.0
2025-03-15,daum,organic,91,82,934,1,85300.0
2025-03-15,era-prod.hiforce.net,referral,24,12,45,0,0.0
2025-03-15,google,cpc,927,852,2917,4,370240.0
2025-03-15,google,organic,197,164,933,3,316390.0
2025-03-15,instagram.com,referral,1,1,1,0,0.0
2025-03-15,kakao_coupon,kakao_coupon_welcom,5,2,71,1,95000.0
2025-03-15,l.facebook.com,referral,4,4,53,0,0.0
2025-03-15,l.instagram.com,referral,26,26,94,0,0.0
2025-03-15,link.naver.com,referral,3,3,6,0,0.0
2025-03-15,lm.facebook.com,referral,1,1,6,0,0.0
2025-03-15,localhost:8080,referral,1,1,2,0,0.0
2025-03-15,m.blog.naver.com,referral,3,3,4,0,0.0
2025-03-15,m.danawa.com,referral,1,1,3,0,0.0
2025-03-15,m.facebook.com,referral,6,6,9,0,0.0
2025-03-15,m.naver.com,referral,1,1,10,1,99500.0
2025-03-15,m.place.naver.com,referral,1,1,3,0,0.0
2025-03-15,m.search.daum.net,referral,27,22,211,0,0.0
2025-03-15,m.search.naver.com,referral,111,93,582,1,93010.0
2025-03-15,meta,banner,2305,2149,6178,8,514150.0
2025-03-15,meta,referral,1,1,1,0,0.0
2025-03-15,msearch.shopping.naver.com,referral,15,14,49,0,0.0
2025-03-15,naver,cpc,7,4,59,0,0.0
2025-03-15,naver,organic,466,390,3377,6,470350.0
2025-03-15,naver.com,referral,74,69,454,3,349600.0
2025-03-15,naverbs,(none),3,1,6,0,0.0
2025-03-15,naverbs,LMS_ECOM,2,1,4,0,0.0
2025-03-15,naverbs,cpc,797,680,7008,15,1903760.0
2025-03-15,ntp.msn.com,referral,3,2,25,0,0.0
2025-03-15,prod.danawa.com,referral,1,1,10,0,0.0
2025-03-15,quickgoldsilver.heystay100.com,referral,1,1,11,0,0.0
2025-03-15,review8.cre.ma,referral,6,5,90,0,0.0
2025-03-15,search.zum.com,referral,1,1,2,0,0.0
2025-03-15,shopma.net,referral,1,1,1,0,0.0
2025-03-15,yandex.com.tr,referral,1,1,11,0,0.0
2025-03-15,youtube.com,referral,80,78,348,2,338910.0
2025-03-16,(not set),(not set),1235,1140,4847,7,1042150.0
2025-03-16,DM,email,3,2,13,0,0.0
2025-03-16,Facebook,banner,22,19,66,0,0.0
2025-03-16,IGShopping,Social,336,324,754,0,0.0
2025-03-16,KAKAOMOMENT_mkt,BAHAMA_1,1,1,1,0,0.0
2025-03-16,KAKAO_CH,KAKAO_CH,188,167,1580,6,657070.0
2025-03-16,KAKAO_CH,KAKAO_alimtalk,1,1,8,0,0.0
2025-03-16,KAKAO_CH,kakao_coupon_welcom,1,1,4,0,0.0
2025-03-16,KAKAO_alimtalk,(none),4,4,43,0,0.0
2025-03-16,KAKAO_alimtalk,KAKAO_CH,1,1,12,0,0.0
2025-03-16,KAKAO_alimtalk,KAKAO_alimtalk,86,75,598,7,558640.0
2025-03-16,KAKAO_chatbot,KAKAO_chatbot,1,1,3,0,0.0
2025-03-16,LMS_ECOM,(none),5,3,48,0,0.0
2025-03-16,LMS_ECOM,LMS_ECOM,49,38,149,0,0.0
2025-03-16,LMS_ECOM,cpc,1,1,1,0,0.0
2025-03-16,bing,organic,19,16,108,0,0.0
2025-03-16,bit.ly,referral,1,1,17,0,0.0
2025-03-16,bujalab.com,referral,3,2,15,0,0.0
2025-03-16,chatgpt.com,(none),3,2,9,0,0.0
2025-03-16,chatgpt.com,referral,1,1,2,0,0.0
2025-03-16,cn.bing.com,referral,1,1,7,0,0.0
2025-03-16,columbia.com,referral,6,6,27,0,0.0
2025-03-16,columbiamall.co.kr,referral,2,2,12,0,0.0
2025-03-16,columbiamall.net,referral,1,1,1,0,0.0
2025-03-16,columbiasportswear.co.uk,referral,1,1,1,0,0.0
2025-03-16,cr.shopping.naver.com,referral,7,7,44,1,79000.0
2025-03-16,criteo,banner,632,539,2720,5,291910.0
2025-03-16,criteo,display,92,89,458,1,54000.0
2025-03-16,daum,organic,87,75,773,0,0.0
2025-03-16,facebook.com,referral,3,3,3,0,0.0
2025-03-16,fmkorea.com,referral,1,1,2,0,0.0
2025-03-16,google,cpc,1144,1029,3663,9,1329560.0
2025-03-16,google,organic,193,161,1297,1,42180.0
2025-03-16,kakao_coupon,kakao_coupon_welcom,2,2,8,0,0.0
2025-03-16,l.facebook.com,referral,5,4,42,0,0.0
2025-03-16,l.instagram.com,referral,31,29,128,0,0.0
2025-03-16,link.naver.com,referral,2,2,2,0,0.0
2025-03-16,m.blog.naver.com,referral,6,5,14,0,0.0
2025-03-16,m.facebook.com,referral,10,9,40,0,0.0
2025-03-16,m.keep.naver.com,referral,2,2,27,0,0.0
2025-03-16,m.place.naver.com,referral,2,2,5,0,0.0
2025-03-16,m.search.daum.net,referral,32,29,233,0,0.0
2025-03-16,m.search.naver.com,referral,187,162,1266,4,288340.0
2025-03-16,meta,banner,2459,2248,6828,10,1055680.0
