sku_bucket,qty_bucket,orders,buyers,quantity,revenue,aov
01_1_sku,01_1_qty,51437,33955,51437,4558490910,88622.79895794856
01_1_sku,02_2_qty,870,805,1740,100604264,115637.08505747127
01_1_sku,03_3_qty,148,138,444,16697965,112824.08783783784
01_1_sku,04_4_plus_qty,186,155,1553,115722876,622166.0
02_2_skus,02_2_qty,9079,7132,18158,1163143260,128113.58739949334
02_2_skus,03_3_qty,337,315,1011,45288303,134386.65578635014
02_2_skus,04_4_plus_qty,203,182,2190,114309340,563100.197044335
03_3_skus,03_3_qty,2444,2073,7332,442109059,180895.68698854337
03_3_skus,04_4_plus_qty,206,199,1400,68250130,331311.31067961163
04_4_plus_skus,04_4_plus_qty,1496,1129,8313,496526021,331902.42045454547
