product_code,product_name_kor,product_name,product_style,sex_label,product_year,product_season,source_image_url,orders,buyers,quantity,revenue,unit_revenue,revenue_per_order,image_url,image_source
C75YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,C75YU0369,UNISEX,,,,168,166,413,21911990,53055.665859564164,130428.51190476191,assets/product_images/C75YU0369010.jpg,excel_map+downloaded
C75BI8634083,남성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,C75BI8634,MALE,,,,78,78,80,14149700,176871.25,181406.41025641025,assets/product_images/C75BI8634083.jpg,excel_map+downloaded
C75YU0366010,공용 레드우드 30L 뉴 플러스 백팩,REDWOOD™30 N.PLUS BACKPACK,C75YU0366,UNISEX,,,,108,108,108,13101150,121306.94444444444,121306.94444444444,assets/product_images/C75YU0366010.jpg,excel_map+downloaded
C75BI8634010,[추영우 착용] 남성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,C75BI8634,MALE,,,,72,69,72,12404360,172282.77777777778,172282.77777777778,assets/product_images/C75BI8634010.jpg,excel_map+downloaded
C75BM1935010,남성 PFG 프로 스포츠 레인 부츠,PFG PRO SPORT BOOT,C75BM1935,MALE,,,,63,62,63,8776910,139316.03174603175,139316.03174603175,assets/product_images/C75BM1935010.jpg,excel_map+downloaded
C75BI0652089,남성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD MID WATERPROOF WIDE,C75BI0652,MALE,,,,78,78,78,8578830,109985.0,109985.0,assets/product_images/C75BI0652089.jpg,excel_map+downloaded
C75BK8634083,여성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,C75BK8634,FEMALE,,,,31,31,35,6309690,180276.85714285713,203538.38709677418,assets/product_images/C75BK8634083.jpg,excel_map+downloaded
C72AE5094214,공용 애커 록 컨버터블 팬츠,Acker Rock Convertible Pant,C72AE5094,UNISEX,,,,53,53,53,5787590,109199.81132075471,109199.81132075471,assets/product_images/C72AE5094214.jpg,excel_map+downloaded
C75YE6448010,남성 트랜스 트레일 워터프루프,TRANS TRAIL WATERPROOF,C75YE6448,MALE,,,,44,44,45,5530520,122900.44444444444,125693.63636363637,assets/product_images/C75YE6448010.jpg,excel_map+downloaded
C72AE5094011,공용 애커 록 컨버터블 팬츠,Acker Rock Convertible Pant,C72AE5094,UNISEX,,,,45,44,48,5489400,114362.5,121986.66666666667,assets/product_images/C72AE5094011.jpg,excel_map+downloaded
C75BK0998097,여성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD MID WATERPROOF WIDE,C75BK0998,FEMALE,,,,49,49,49,5260410,107355.30612244898,107355.30612244898,assets/product_images/C75BK0998097.jpg,excel_map+downloaded
C75BM7473010,[추영우 착용] 남성 코노스 트릴리움 ATR 트레일 러닝화,KONOS TRILLIUM ATR,C75BM7473,MALE,,,,37,37,37,5118982,138350.86486486485,138350.86486486485,assets/product_images/C75BM7473010.jpg,excel_map+downloaded
C71AR5760127,[공식몰 단독] 여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Cropped Half Snap,C71AR5760,FEMALE,,,,69,68,69,5006130,72552.60869565218,72552.60869565218,assets/product_images/C71AR5760127.jpg,excel_map+downloaded
C75BK0998096,여성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD™ MID WATERPROOF WIDE,C75BK0998,FEMALE,,,,45,45,45,4896100,108802.22222222222,108802.22222222222,assets/product_images/C75BK0998096.jpg,excel_map+downloaded
C75BI1209053,남성 크레스트우드 로우 워터프루프 와이드핏,CRESTWOOD WATERPROOF WIDE,C75BI1209,MALE,,,,47,47,47,4796410,102051.27659574468,102051.27659574468,assets/product_images/C75BI1209053.jpg,excel_map+downloaded
C75BI9168096,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,C75BI9168,MALE,,,,33,31,34,4763460,140101.76470588235,144347.27272727274,assets/product_images/C75BI9168096.jpg,excel_map+downloaded
C75BI8634845,[추영우 착용] 남성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,C75BI8634,MALE,,,,27,27,27,4747230,175823.33333333334,175823.33333333334,assets/product_images/C75BI8634845.jpg,excel_map+downloaded
C75YM5970010,남성 쓰라이브 리바이브 맥스 브리즈 메쉬 샌들,THRIVE REVIVE MX BREEZE,C75YM5970,MALE,,,,36,34,37,4577060,123704.32432432432,127140.55555555556,assets/product_images/C75YM5970010.jpg,excel_map+downloaded
C71XE9920464,공용 센트릴리엄 II 3 레이어 방수 자켓,Centrillium II Jacket,C71XE9920,UNISEX,,,,21,21,21,4491550,213883.33333333334,213883.33333333334,assets/product_images/C71XE9920464.jpg,excel_map+downloaded
C75YU0369060,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,C75YU0369,UNISEX,,,,83,79,89,4471220,50238.426966292136,53870.12048192771,assets/product_images/C75YU0369060.jpg,excel_map+downloaded
C71AE4498227,[공식몰 단독] 공용 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Half Snap Fleece,C71AE4498,UNISEX,,,,62,61,62,4407970,71096.29032258065,71096.29032258065,assets/product_images/C71AE4498227.jpg,excel_map+downloaded
C75BI0652231,남성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD MID WATERPROOF WIDE,C75BI0652,MALE,,,,40,40,40,4389400,109735.0,109735.0,assets/product_images/C75BI0652231.jpg,excel_map+downloaded
C71XE9920010,[추영우 착용] 공용 센트릴리엄 II 3 레이어 방수 자켓,Centrillium II Jacket,C71XE9920,UNISEX,,,,21,21,21,4382660,208698.09523809524,208698.09523809524,assets/product_images/C71XE9920010.jpg,excel_map+downloaded
C71AE8980010,남성 실버 릿지 엘리트 컨버터블 팬츠,Silver Ridge Elite Convertible Pant,C71AE8980,MALE,,,,39,38,40,4286420,107160.5,109908.20512820513,assets/product_images/C71AE8980010.jpg,excel_map+downloaded
C75YU0367010,공용 레드우드 35L 백팩,REDWOOD™35 BACKPACK,C75YU0367,UNISEX,,,,34,33,34,4271870,125643.23529411765,125643.23529411765,assets/product_images/C75YU0367010.jpg,excel_map+downloaded
C75YM5970395,남성 쓰라이브 리바이브 맥스 브리즈 메쉬 샌들,THRIVE REVIVE MX BREEZE,C75YM5970,MALE,,,,31,31,31,3884650,125311.29032258065,125311.29032258065,assets/product_images/C75YM5970395.jpg,excel_map+downloaded
C75BM0303338,[추영우 착용] 남성 코노스 스피드 트레일 ATR,KONOS SPEED TRAIL ATR,C75BM0303,MALE,,,,24,23,25,3657940,146317.6,152414.16666666666,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM0303338.jpg,styleship_cdn_pattern
C75BI9168010,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,C75BI9168,MALE,,,,24,23,24,3631610,151317.08333333334,151317.08333333334,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BI9168010.jpg,styleship_cdn_pattern
C72FM8467019,[공식몰 단독] 남성 PFG 쉐도우캐스터 OFZ 바라클라바 후디 티셔츠,Shadowcaster Zero Hoodie,C72FM8467,MALE,,,,27,26,33,3589560,108774.54545454546,132946.66666666666,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM8467019.jpg,styleship_cdn_pattern
C75BM7473803,남성 코노스 트릴리움 ATR 트레일 러닝화,KONOS TRILLIUM ATR,C75BM7473,MALE,,,,25,25,25,3551730,142069.2,142069.2,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM7473803.jpg,styleship_cdn_pattern
C71AE8947010,남성 ROC 테크 카고 팬츠,ROC Tech Cargo Pant,C71AE8947,MALE,,,,36,36,38,3498460,92064.73684210527,97179.44444444444,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AE8947010.jpg,styleship_cdn_pattern
C75YU0372010,공용 본레 포레스트 패커블 드로우 경량 백팩,Bonre Forest Packable Draw Backpack,C75YU0372,UNISEX,,,,50,50,50,3494160,69883.2,69883.2,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YU0372010.jpg,styleship_cdn_pattern
C75BM0303010,남성 코노스 스피드 트레일 ATR,KONOS SPEED TRAIL ATR,C75BM0303,MALE,,,,25,23,27,3455800,127992.5925925926,138232.0,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM0303010.jpg,styleship_cdn_pattern
C72XE9956010,[공식몰 단독] 공용 선라이즈 스트레이트 OFZ 그래픽 반팔 티셔츠,Sunrise Strait OFZ Graphic Tee,C72XE9956,UNISEX,,,,59,58,63,3402030,54000.47619047619,57661.52542372881,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72XE9956010.jpg,styleship_cdn_pattern
C71AE8980397,남성 실버 릿지 엘리트 컨버터블 팬츠,Silver Ridge Elite Convertible Pant,C71AE8980,MALE,,,,30,30,30,3364300,112143.33333333333,112143.33333333333,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AE8980397.jpg,styleship_cdn_pattern
C75YE4769271,남성 트랜스트레커 아웃드라이 와이드,TRANS TREKKER™ OUTDRY™ WIDE,C75YE4769,MALE,,,,29,29,29,3357700,115782.75862068965,115782.75862068965,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YE4769271.jpg,styleship_cdn_pattern
C71YM3502494,남성 카우 마운틴 2L 방수 자켓,M's Cow Mountain 2L Jacket,C71YM3502,MALE,,,,14,14,14,3356010,239715.0,239715.0,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71YM3502494.jpg,styleship_cdn_pattern
