member_grade_label,first_category,recommended_category,transition_buyers,revenue,transition_rate,avg_days_to_second,median_days_to_second,suggested_send_day,recommendation_score,action_copy,rank_in_first_category
FAMILY,남성,남성,5328,405421308,0.707100199071002,132.46471471471472,74,67,74672.10753673063,FAMILY · 남성 구매자에게 구매 후 67일차 남성 추천,1
FAMILY,여성,남성,586,39539753,0.4928511354079058,130.45392491467578,64,57,5052.113910397745,FAMILY · 여성 구매자에게 구매 후 57일차 남성 추천,1
SILVER,남성,남성,339,55743740,0.6494252873563219,80.54867256637168,31,24,3926.7483503999374,SILVER · 남성 구매자에게 구매 후 24일차 남성 추천,1
FAMILY,라운드티,남성,454,31879158,0.47639034627492133,184.39647577092512,133,126,3736.790734703408,FAMILY · 라운드티 구매자에게 구매 후 126일차 남성 추천,1
FAMILY,긴바지,남성,307,26317306,0.5159663865546219,187.08469055374593,133,126,2706.409510427637,FAMILY · 긴바지 구매자에게 구매 후 126일차 남성 추천,1
FAMILY,셋업,남성,231,18473291,0.5121951219512195,145.64069264069263,89,82,1979.6619318835699,FAMILY · 셋업 구매자에게 구매 후 82일차 남성 추천,1
FAMILY,UNKNOWN,남성,143,11013830,0.6271929824561403,147.0909090909091,79,72,1454.2703136458024,FAMILY · UNKNOWN 구매자에게 구매 후 72일차 남성 추천,1
FAMILY,등산화,남성,125,8455180,0.5952380952380952,128.136,62,55,1186.7775258583997,FAMILY · 등산화 구매자에게 구매 후 55일차 남성 추천,1
FAMILY,자켓/ 베스트,남성,128,9259415,0.5541125541125541,152.6875,77,70,1137.7412415295728,FAMILY · 자켓/ 베스트 구매자에게 구매 후 70일차 남성 추천,1
FAMILY,하이킹,남성,127,10343505,0.5474137931034483,153.20472440944883,93,86,1122.903026793704,FAMILY · 하이킹 구매자에게 구매 후 86일차 남성 추천,1
FAMILY,가방,남성,94,15036313,0.6351351351351351,177.86170212765956,128,121,986.6455971771854,FAMILY · 가방 구매자에게 구매 후 121일차 남성 추천,1
FAMILY,반바지,남성,117,7609109,0.5109170305676856,182.25641025641025,134,127,947.1626390685117,FAMILY · 반바지 구매자에게 구매 후 127일차 남성 추천,1
FAMILY,바람막이,남성,93,7170365,0.5602409638554217,141.55913978494624,102,95,822.4608813757308,FAMILY · 바람막이 구매자에게 구매 후 95일차 남성 추천,1
FAMILY,액세서리,남성,65,3506283,0.5963302752293578,139.15384615384616,77,70,584.1379314987877,FAMILY · 액세서리 구매자에게 구매 후 70일차 남성 추천,1
FAMILY,미드/롱다운,남성,52,4427580,0.5842696629213483,176.86538461538458,106,99,464.94714721874436,FAMILY · 미드/롱다운 구매자에게 구매 후 99일차 남성 추천,1
FAMILY,상의,남성,58,3730390,0.4793388429752066,160.22413793103448,121,114,420.6952680190792,FAMILY · 상의 구매자에게 구매 후 114일차 남성 추천,1
FAMILY,볼캡,남성,42,3455833,0.6086956521739131,135.0,58,51,384.8990318566482,FAMILY · 볼캡 구매자에게 구매 후 51일차 남성 추천,1
FAMILY,맨투맨/후드티,남성,44,3236840,0.5569620253164557,110.38636363636364,73,66,367.3525302014718,FAMILY · 맨투맨/후드티 구매자에게 구매 후 66일차 남성 추천,1
GOLD,남성,남성,25,7448510,0.7142857142857143,66.4,17,10,282.56294115371617,GOLD · 남성 구매자에게 구매 후 10일차 남성 추천,1
FAMILY,패딩/슬림다운,남성,24,2505550,0.75,126.375,51,44,265.2123461110789,FAMILY · 패딩/슬림다운 구매자에게 구매 후 44일차 남성 추천,1
FAMILY,부츠,남성,27,1781820,0.6428571428571429,122.85185185185186,52,45,249.82389880194344,FAMILY · 부츠 구매자에게 구매 후 45일차 남성 추천,1
FAMILY,폴로티/집업,남성,26,1963370,0.5652173913043478,191.80769230769232,122,115,212.94254898783683,FAMILY · 폴로티/집업 구매자에게 구매 후 115일차 남성 추천,1
FAMILY,자켓/베스트,남성,30,1871100,0.46153846153846156,120.06666666666666,49,42,199.96667426252992,FAMILY · 자켓/베스트 구매자에게 구매 후 42일차 남성 추천,1
SILVER,여성,여성,33,5685405,0.375,97.03030303030303,45,38,192.47348709546964,SILVER · 여성 구매자에게 구매 후 38일차 여성 추천,1
FAMILY,방수자켓,남성,21,1728450,0.6,142.71428571428572,129,122,180.97047598975558,FAMILY · 방수자켓 구매자에게 구매 후 122일차 남성 추천,1
FAMILY,스니커즈,남성,21,1613540,0.5121951219512195,163.85714285714286,167,160,153.74703146415806,FAMILY · 스니커즈 구매자에게 구매 후 160일차 남성 추천,1
FAMILY,트레일러닝,남성,20,1390060,0.5263157894736842,210.90000000000003,136,129,148.89324409511627,FAMILY · 트레일러닝 구매자에게 구매 후 129일차 남성 추천,1
SILVER,라운드티,남성,24,3726950,0.4067796610169492,111.125,89,82,147.72057955757947,SILVER · 라운드티 구매자에게 구매 후 82일차 남성 추천,1
TITANIUM,남성,남성,12,8171030,0.7058823529411765,60.66666666666667,7,3,134.81877728977346,TITANIUM · 남성 구매자에게 구매 후 3일차 남성 추천,1
SILVER,긴바지,남성,21,3441796,0.4117647058823529,149.66666666666666,72,65,130.1512428630187,SILVER · 긴바지 구매자에게 구매 후 65일차 남성 추천,1
FAMILY,셔츠,남성,15,956690,0.625,221.0,162,155,129.10533500891518,FAMILY · 셔츠 구매자에게 구매 후 155일차 남성 추천,1
SILVER,UNKNOWN,남성,12,2476850,0.7058823529411765,103.08333333333333,4,3,124.70822303930109,SILVER · UNKNOWN 구매자에게 구매 후 3일차 남성 추천,1
FAMILY,다운/ 패딩,남성,10,829003,0.8333333333333334,20.3,6,3,113.56650215996885,FAMILY · 다운/ 패딩 구매자에게 구매 후 3일차 남성 추천,1
FAMILY,장갑,남성,15,707720,0.5172413793103449,67.13333333333333,26,19,104.50710952148893,FAMILY · 장갑 구매자에게 구매 후 19일차 남성 추천,1
SILVER,셋업,남성,17,2509065,0.38636363636363635,112.05882352941177,43,36,96.78492515131161,SILVER · 셋업 구매자에게 구매 후 36일차 남성 추천,1
FAMILY,햇,남성,14,731890,0.4666666666666667,138.57142857142858,99,92,88.22212758171214,FAMILY · 햇 구매자에게 구매 후 92일차 남성 추천,1
FAMILY,캡,남성,11,535360,0.5789473684210527,133.0,58,51,84.00390970138841,FAMILY · 캡 구매자에게 구매 후 51일차 남성 추천,1
SILVER,자켓/ 베스트,남성,13,2670570,0.38235294117647056,28.307692307692307,22,15,73.5537848299152,SILVER · 자켓/ 베스트 구매자에게 구매 후 15일차 남성 추천,1
SILVER,맨투맨/후드티,남성,7,1908690,0.7,157.00000000000003,183,176,70.86344830130268,SILVER · 맨투맨/후드티 구매자에게 구매 후 176일차 남성 추천,1
SILVER,등산화,남성,9,1565220,0.5294117647058824,102.44444444444444,50,43,67.96156143938674,SILVER · 등산화 구매자에게 구매 후 43일차 남성 추천,1
SILVER,미드/롱다운,남성,8,2595470,0.5,144.25,31,24,59.07711424401057,SILVER · 미드/롱다운 구매자에게 구매 후 24일차 남성 추천,1
FAMILY,폴로/집업티,남성,4,217690,1.0,173.0,96,89,49.163327620290815,FAMILY · 폴로/집업티 구매자에게 구매 후 89일차 남성 추천,1
GOLD,라운드티,남성,6,926260,0.5454545454545454,47.66666666666667,3,3,44.96370981174121,GOLD · 라운드티 구매자에게 구매 후 3일차 남성 추천,1
FAMILY,인터체인지 (3 in 1),남성,7,883360,0.4666666666666667,145.2857142857143,39,32,44.72553148322452,FAMILY · 인터체인지 (3 in 1) 구매자에게 구매 후 32일차 남성 추천,1
SILVER,하이킹,남성,8,832060,0.36363636363636365,102.12499999999999,53,46,39.655741191050055,SILVER · 하이킹 구매자에게 구매 후 46일차 남성 추천,1
SILVER,볼캡,남성,3,139800,1.0,78.33333333333334,41,34,35.543925785496256,SILVER · 볼캡 구매자에게 구매 후 34일차 남성 추천,1
GOLD,긴바지,남성,4,552950,0.6666666666666666,50.5,3,3,35.26139911728973,GOLD · 긴바지 구매자에게 구매 후 3일차 남성 추천,1
GOLD,여성,남성,5,418910,0.5,71.19999999999999,22,15,32.36353441460194,GOLD · 여성 구매자에게 구매 후 15일차 남성 추천,1
SILVER,셔츠,남성,4,264350,0.5714285714285714,44.0,12,5,28.537218387474443,SILVER · 셔츠 구매자에게 구매 후 5일차 남성 추천,1
SILVER,바람막이,남성,5,462670,0.4166666666666667,24.4,24,17,27.17660728610657,SILVER · 바람막이 구매자에게 구매 후 17일차 남성 추천,1
FAMILY,카고/조거,남성,5,339020,0.4166666666666667,196.6,101,94,26.52878610697211,FAMILY · 카고/조거 구매자에게 구매 후 94일차 남성 추천,1
SILVER,반바지,남성,5,783900,0.38461538461538464,109.80000000000001,90,83,26.100073107401766,SILVER · 반바지 구매자에게 구매 후 83일차 남성 추천,1
SILVER,가방,남성,4,1070320,0.4444444444444444,207.5,157,150,24.681722953683707,SILVER · 가방 구매자에게 구매 후 150일차 남성 추천,1
SILVER,상의,남성,4,467400,0.4444444444444444,99.0,54,47,23.20878727214166,SILVER · 상의 구매자에게 구매 후 47일차 남성 추천,1
SILVER,폴로티/집업,남성,3,785460,0.5,79.0,7,3,20.361039128311045,SILVER · 폴로티/집업 구매자에게 구매 후 3일차 남성 추천,1
SILVER,액세서리,여성,2,1201380,0.6666666666666666,166.5,92,85,18.665309715187338,SILVER · 액세서리 구매자에게 구매 후 85일차 여성 추천,1
SILVER,장갑,여성,2,375270,0.6666666666666666,5.0,4,3,17.11387161416186,SILVER · 장갑 구매자에게 구매 후 3일차 여성 추천,1
FAMILY,버킷/부니,남성,2,151040,0.6666666666666666,33.5,18,11,15.900408802826828,FAMILY · 버킷/부니 구매자에게 구매 후 11일차 남성 추천,1
TITANIUM,셋업,남성,3,1042600,0.375,178.33333333333334,8,3,15.58938274926333,TITANIUM · 셋업 구매자에게 구매 후 3일차 남성 추천,1
FAMILY,크로스/토트백,남성,2,105640,0.6666666666666666,96.5,65,58,15.423735776636782,FAMILY · 크로스/토트백 구매자에게 구매 후 58일차 남성 추천,1
SILVER,자켓/베스트,남성,3,762650,0.375,17.0,17,10,15.237625275725271,SILVER · 자켓/베스트 구매자에게 구매 후 10일차 남성 추천,1
GOLD,바람막이,남성,2,54980,0.6666666666666666,146.0,22,15,14.552990599981316,GOLD · 바람막이 구매자에게 구매 후 15일차 남성 추천,1
GOLD,UNKNOWN,남성,1,1560100,1.0,371.0,371,364,14.260261120719688,GOLD · UNKNOWN 구매자에게 구매 후 364일차 남성 추천,1
GOLD,부츠,남성,1,1560100,1.0,371.0,371,364,14.260261120719688,GOLD · 부츠 구매자에게 구매 후 364일차 남성 추천,1
TITANIUM,카고/조거,남성,1,695000,1.0,523.0,523,516,13.451668563394815,TITANIUM · 카고/조거 구매자에게 구매 후 516일차 남성 추천,1
SILVER,부츠,여성,2,462880,0.5,289.5,217,210,13.045225280594769,SILVER · 부츠 구매자에게 구매 후 210일차 여성 추천,1
GOLD,볼캡,남성,1,302400,1.0,0.0,0,3,12.619509230160354,GOLD · 볼캡 구매자에게 구매 후 3일차 남성 추천,1
GOLD,셔츠,남성,1,225510,1.0,138.0,138,131,12.326124217222945,GOLD · 셔츠 구매자에게 구매 후 131일차 남성 추천,1
GOLD,반바지,남성,1,225510,1.0,138.0,138,131,12.326124217222945,GOLD · 반바지 구매자에게 구매 후 131일차 남성 추천,1
SILVER,인터체인지 (3 in 1),남성,1,215700,1.0,0.0,0,3,12.281648468435115,SILVER · 인터체인지 (3 in 1) 구매자에게 구매 후 3일차 남성 추천,1
TITANIUM,긴바지,남성,1,138000,1.0,78.0,78,71,11.835016210489899,TITANIUM · 긴바지 구매자에게 구매 후 71일차 남성 추천,1
GOLD,등산화,여성,1,95500,1.0,24.0,24,17,11.466891997618188,GOLD · 등산화 구매자에게 구매 후 17일차 여성 추천,1
GOLD,셋업,긴바지,1,62300,1.0,64.0,64,57,11.03973275601109,GOLD · 셋업 구매자에게 구매 후 57일차 긴바지 추천,1
SILVER,트레일러닝,남성,1,37000,1.0,33.0,33,26,10.518700218288165,SILVER · 트레일러닝 구매자에게 구매 후 26일차 남성 추천,1
TITANIUM,바람막이,남성,1,27200,1.0,7.0,7,3,10.211009016314167,TITANIUM · 바람막이 구매자에게 구매 후 3일차 남성 추천,1
SILVER,햇,자켓/ 베스트,2,252280,0.4,34.0,21,14,9.95063905969554,SILVER · 햇 구매자에게 구매 후 14일차 자켓/ 베스트 추천,1
TITANIUM,UNKNOWN,남성,1,19600,1.0,11.0,11,4,9.883335864325275,TITANIUM · UNKNOWN 구매자에게 구매 후 4일차 남성 추천,1
GOLD,자켓/ 베스트,남성,1,248920,0.5,3.0,3,3,6.212445428015029,GOLD · 자켓/ 베스트 구매자에게 구매 후 3일차 남성 추천,1
SILVER,스니커즈,남성,1,209270,0.5,265.0,265,258,6.125692670869546,SILVER · 스니커즈 구매자에게 구매 후 258일차 남성 추천,1
GOLD,상의,셋업,1,137820,0.5,25.0,25,18,5.916855510362914,GOLD · 상의 구매자에게 구매 후 18일차 셋업 추천,1
TITANIUM,하이킹,셋업,1,132300,0.5,8.0,8,3,5.896417454326734,TITANIUM · 하이킹 구매자에게 구매 후 3일차 셋업 추천,1
SILVER,크로스/토트백,UNKNOWN,1,101410,0.5,102.0,102,95,5.76346842275894,SILVER · 크로스/토트백 구매자에게 구매 후 95일차 UNKNOWN 추천,1
SILVER,캐주얼,남성,1,269100,0.3333333333333333,2.0,2,3,4.167614017599588,SILVER · 캐주얼 구매자에게 구매 후 3일차 남성 추천,1
GOLD,장갑,남성,1,90660,0.3333333333333333,80.0,80,73,3.8049608515522726,GOLD · 장갑 구매자에게 구매 후 73일차 남성 추천,1
FAMILY,캐주얼,여성,1,46300,0.3333333333333333,76.0,76,69,3.5809729460377415,FAMILY · 캐주얼 구매자에게 구매 후 69일차 여성 추천,1
TITANIUM,반바지,셋업,1,397200,0.2,4.0,4,3,2.57843954575467,TITANIUM · 반바지 구매자에게 구매 후 3일차 셋업 추천,1
