member_grade_label,first_order_price_band,second_category,transition_buyers,second_orders,revenue,transition_rate,rank_in_band,quantity
FAMILY,12~20만원,라운드티,89,89,5636980,0.039732142857142855,3,0
FAMILY,12~20만원,셋업,66,66,7054140,0.029464285714285714,4,0
FAMILY,12~20만원,긴바지,64,64,6516870,0.02857142857142857,5,0
FAMILY,20만원 이상,라운드티,64,64,7724260,0.04904214559386973,3,0
FAMILY,20만원 이상,긴바지,44,44,6018470,0.03371647509578544,4,0
FAMILY,20만원 이상,셋업,43,43,9274560,0.03295019157088123,5,0
FAMILY,3~7만원,라운드티,211,211,8872150,0.06178623718887262,3,0
FAMILY,3~7만원,긴바지,136,136,8876770,0.03982430453879941,4,0
FAMILY,3~7만원,셋업,88,88,6076510,0.02576866764275256,5,0
FAMILY,3만원 미만,라운드티,56,56,1792460,0.044585987261146494,3,0
FAMILY,3만원 미만,긴바지,29,29,1445840,0.02308917197452229,4,0
FAMILY,3만원 미만,자켓/ 베스트,24,24,826411,0.01910828025477707,5,0
FAMILY,7~12만원,라운드티,134,134,7224350,0.04384816753926701,3,0
FAMILY,7~12만원,긴바지,104,104,8777230,0.034031413612565446,4,0
FAMILY,7~12만원,셋업,92,92,7340430,0.030104712041884817,5,0
GOLD,12~20만원,긴바지,2,2,178590,0.18181818181818182,2,0
GOLD,12~20만원,라운드티,1,1,138000,0.09090909090909091,3,0
GOLD,12~20만원,상의,1,1,57730,0.09090909090909091,4,0
GOLD,12~20만원,셋업,1,1,51860,0.09090909090909091,5,0
GOLD,20만원 이상,맨투맨/후드티,2,2,158460,0.06451612903225806,3,0
GOLD,20만원 이상,셋업,1,1,396900,0.03225806451612903,4,0
GOLD,20만원 이상,긴바지,1,1,278400,0.03225806451612903,5,0
GOLD,3~7만원,긴바지,2,2,146700,0.14285714285714285,2,0
GOLD,3~7만원,UNKNOWN,1,1,124200,0.07142857142857142,3,0
GOLD,7~12만원,라운드티,1,1,88780,0.09090909090909091,3,0
GOLD,7~12만원,셋업,1,1,44500,0.09090909090909091,4,0
SILVER,12~20만원,긴바지,6,6,663670,0.036585365853658534,3,0
SILVER,12~20만원,셋업,5,5,785690,0.03048780487804878,4,0
SILVER,12~20만원,UNKNOWN,4,4,701090,0.024390243902439025,5,0
SILVER,20만원 이상,라운드티,13,13,1109260,0.036931818181818184,3,0
SILVER,20만원 이상,긴바지,11,11,3713190,0.03125,4,0
SILVER,20만원 이상,셋업,8,8,1530830,0.022727272727272728,5,0
SILVER,3~7만원,라운드티,8,8,453640,0.07017543859649122,3,0
SILVER,3~7만원,셋업,5,5,530630,0.043859649122807015,4,0
SILVER,3~7만원,긴바지,5,5,502700,0.043859649122807015,5,0
SILVER,7~12만원,셋업,6,6,482400,0.045112781954887216,3,0
SILVER,7~12만원,긴바지,5,5,472090,0.03759398496240601,4,0
SILVER,7~12만원,라운드티,5,5,418120,0.03759398496240601,5,0
TITANIUM,20만원 이상,셋업,2,2,1467240,0.1111111111111111,2,0
TITANIUM,20만원 이상,인터체인지 (3 in 1),1,1,1185000,0.05555555555555555,4,0
TITANIUM,20만원 이상,긴바지,1,1,159000,0.05555555555555555,5,0
TITANIUM,3~7만원,카고/조거,1,1,85020,0.5,1,0
TITANIUM,3~7만원,라운드티,1,1,59000,0.5,2,0
TITANIUM,7~12만원,셋업,1,1,167020,0.3333333333333333,2,0
TITANIUM,7~12만원,라운드티,1,1,65700,0.3333333333333333,3,0
