member_grade_label,first_category,first_buyers,second_buyers,second_purchase_rate,avg_days_to_second,median_days_to_second,suggested_send_day,second_order_revenue,revenue,transition_buyers,second_orders,quantity,transition_rate
FAMILY,라운드티,1822,808,0.4434687156970362,153.4455445544555,101,94,66222305,66222305,0,0,0,0
FAMILY,긴바지,1133,527,0.4651368049426302,147.39848197343454,81,74,48950633,48950633,0,0,0,0
FAMILY,셋업,944,385,0.4078389830508475,135.25714285714287,72,65,36164781,36164781,0,0,0,0
FAMILY,하이킹,852,215,0.25234741784037557,136.54883720930232,70,63,20165880,20165880,0,0,0,0
FAMILY,가방,502,142,0.28286852589641437,178.2112676056338,128,121,19824702,19824702,0,0,0,0
FAMILY,자켓/ 베스트,599,205,0.34223706176961605,125.0682926829268,63,56,18731965,18731965,0,0,0,0
FAMILY,UNKNOWN,670,205,0.30597014925373134,143.53658536585365,78,71,17950806,17950806,0,0,0,0
FAMILY,등산화,977,193,0.19754350051177072,130.55440414507768,65,58,16617850,16617850,0,0,0,0
FAMILY,반바지,471,201,0.4267515923566879,143.84079601990047,96,89,14868038,14868038,0,0,0,0
FAMILY,바람막이,404,145,0.3589108910891089,129.79310344827587,92,85,13330685,13330685,0,0,0,0
FAMILY,미드/롱다운,379,82,0.21635883905013192,146.84146341463415,65,58,9469985,9469985,0,0,0,0
FAMILY,상의,296,112,0.3783783783783784,134.84821428571428,67,60,8094668,8094668,0,0,0,0
SILVER,라운드티,39,37,0.9487179487179487,117.99999999999999,63,56,6674315,6674315,0,0,0,0
FAMILY,자켓/베스트,169,60,0.35502958579881655,120.7166666666667,50,43,5747630,5747630,0,0,0,0
SILVER,셋업,36,33,0.9166666666666666,120.63636363636364,43,36,5383995,5383995,0,0,0,0
SILVER,긴바지,33,31,0.9393939393939394,164.35483870967744,107,100,5299030,5299030,0,0,0,0
FAMILY,맨투맨/후드티,203,69,0.3399014778325123,105.8695652173913,67,60,5262310,5262310,0,0,0,0
FAMILY,볼캡,256,61,0.23828125,120.70491803278688,59,52,5076372,5076372,0,0,0,0
FAMILY,액세서리,246,88,0.35772357723577236,131.87499999999997,73,66,4773842,4773842,0,0,0,0
SILVER,미드/롱다운,15,12,0.8,146.83333333333334,84,77,4236080,4236080,0,0,0,0
FAMILY,스니커즈,117,39,0.3333333333333333,131.1025641025641,103,96,3061500,3061500,0,0,0,0
FAMILY,패딩/슬림다운,109,30,0.27522935779816515,103.13333333333334,50,43,3015694,3015694,0,0,0,0
FAMILY,폴로티/집업,128,39,0.3046875,164.6923076923077,67,60,2805000,2805000,0,0,0,0
SILVER,UNKNOWN,14,14,1.0,74.28571428571429,32,25,2759230,2759230,0,0,0,0
FAMILY,방수자켓,55,31,0.5636363636363636,126.58064516129032,81,74,2630180,2630180,0,0,0,0
FAMILY,부츠,184,34,0.18478260869565216,133.79411764705884,52,45,2563500,2563500,0,0,0,0
SILVER,자켓/ 베스트,21,17,0.8095238095238095,64.05882352941177,29,22,2420880,2420880,0,0,0,0
FAMILY,트레일러닝,71,33,0.4647887323943662,158.84848484848484,107,100,2305910,2305910,0,0,0,0
SILVER,등산화,15,12,0.8,36.166666666666664,18,11,2126840,2126840,0,0,0,0
SILVER,액세서리,8,5,0.625,76.4,29,22,2005770,2005770,0,0,0,0
FAMILY,장갑,82,24,0.2926829268292683,88.66666666666666,26,19,1970800,1970800,0,0,0,0
TITANIUM,셋업,3,3,1.0,179.33333333333334,11,4,1892700,1892700,0,0,0,0
SILVER,맨투맨/후드티,7,7,1.0,126.28571428571428,83,76,1811520,1811520,0,0,0,0
SILVER,하이킹,8,8,1.0,190.5,92,85,1743150,1743150,0,0,0,0
SILVER,반바지,10,10,1.0,166.1,89,82,1718565,1718565,0,0,0,0
FAMILY,햇,72,26,0.3611111111111111,130.23076923076923,47,40,1585600,1585600,0,0,0,0
SILVER,가방,5,5,1.0,162.6,23,16,1510420,1510420,0,0,0,0
FAMILY,셔츠,47,22,0.46808510638297873,159.18181818181816,85,78,1497900,1497900,0,0,0,0
SILVER,폴로티/집업,7,7,1.0,103.57142857142858,12,5,1434409,1434409,0,0,0,0
GOLD,라운드티,7,7,1.0,77.42857142857144,40,33,1181260,1181260,0,0,0,0
FAMILY,인터체인지 (3 in 1),39,13,0.3333333333333333,115.61538461538461,33,26,1165270,1165270,0,0,0,0
SILVER,바람막이,12,11,0.9166666666666666,54.18181818181818,22,15,960790,960790,0,0,0,0
FAMILY,캡,28,15,0.5357142857142857,102.4,46,39,925830,925830,0,0,0,0
GOLD,긴바지,6,6,1.0,164.16666666666669,78,71,856760,856760,0,0,0,0
FAMILY,다운/ 패딩,47,9,0.19148936170212766,18.88888888888889,6,3,825503,825503,0,0,0,0
FAMILY,카고/조거,20,11,0.55,131.54545454545456,49,42,809620,809620,0,0,0,0
SILVER,상의,5,4,0.8,99.0,54,47,732230,732230,0,0,0,0
SILVER,부츠,3,2,0.6666666666666666,187.0,12,5,604500,604500,0,0,0,0
SILVER,셔츠,5,5,1.0,62.8,60,53,593860,593860,0,0,0,0
SILVER,장갑,5,3,0.6,74.0,42,35,455380,455380,0,0,0,0
FAMILY,크로스/토트백,24,4,0.16666666666666666,153.75,102,95,394780,394780,0,0,0,0
FAMILY,폴로/집업티,8,4,0.5,173.0,96,89,217690,217690,0,0,0,0
SILVER,자켓/베스트,4,2,0.5,57.5,6,3,213840,213840,0,0,0,0
FAMILY,버킷/부니,8,2,0.25,50.5,49,42,162730,162730,0,0,0,0
SILVER,볼캡,3,2,0.6666666666666666,109.0,41,34,118200,118200,0,0,0,0
FAMILY,캐주얼,7,2,0.2857142857142857,54.0,32,25,79300,79300,0,0,0,0
