member_grade_label,category,orders,buyers,products,quantity,revenue,rank_in_grade
FAMILY,남성,42832,29301,1893,55700,3945347173,1
FAMILY,여성,7118,5828,507,7981,815284643,2
FAMILY,미드/롱다운,474,454,8,486,154815798,3
FAMILY,등산화,1354,1250,67,1402,154579495,4
FAMILY,긴바지,1904,1682,61,2023,137839740,5
FAMILY,셋업,1635,1466,85,1870,137137030,6
FAMILY,라운드티,2951,2510,91,3563,136138600,7
FAMILY,하이킹,1048,1003,18,1093,99646550,8
FAMILY,자켓/ 베스트,993,934,51,1084,88818965,9
FAMILY,UNKNOWN,933,906,36,1012,79523800,10
GOLD,남성,635,58,609,1231,110669964,1
GOLD,여성,81,26,79,112,15091290,2
GOLD,셋업,33,21,28,68,5717480,3
GOLD,바람막이,12,9,8,43,3654794,4
GOLD,긴바지,29,17,22,38,2627050,5
GOLD,UNKNOWN,10,9,8,26,2279735,6
GOLD,라운드티,28,16,29,42,1714020,7
GOLD,패딩/슬림다운,10,7,5,12,1352400,8
GOLD,부츠,10,6,6,12,1251650,9
GOLD,미드/롱다운,4,4,2,4,972635,10
SILVER,남성,3060,760,1364,4993,486966482,1
SILVER,여성,526,269,293,675,83418778,2
SILVER,셋업,148,112,55,168,15183146,3
SILVER,미드/롱다운,38,35,7,40,10774711,4
SILVER,긴바지,141,106,39,157,10555390,5
SILVER,라운드티,157,101,60,201,8419110,6
SILVER,바람막이,59,54,17,86,8068689,7
SILVER,등산화,61,51,31,65,7635540,8
SILVER,UNKNOWN,42,36,23,46,4512230,9
SILVER,자켓/ 베스트,49,47,25,54,4369156,10
TITANIUM,남성,257,19,369,1065,83306715,1
TITANIUM,여성,50,10,52,68,8420770,2
TITANIUM,셋업,16,9,18,23,2087590,3
TITANIUM,미드/롱다운,6,2,3,6,1641045,4
TITANIUM,긴바지,14,6,16,18,1180600,5
TITANIUM,라운드티,22,7,21,30,1144770,6
TITANIUM,인터체인지 (3 in 1),2,2,2,2,921890,7
TITANIUM,자켓/ 베스트,5,4,4,6,827300,8
TITANIUM,바람막이,7,4,6,8,661004,9
TITANIUM,자켓/베스트,4,3,5,6,460860,10
