member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,0,포인트 사용,일반 상품,24923,21636,30632,2612272392,104813.72194358625
FAMILY,쿠폰 사용,0,포인트 미사용,일반 상품,12173,9625,18820,1640461339,134762.28858950135
FAMILY,쿠폰 미사용,0,포인트 사용,일반 상품,18013,11973,23349,1148098676,63737.227335813026
FAMILY,쿠폰 미사용,0,포인트 미사용,일반 상품,6724,5522,8875,685703464,101978.50446162999
FAMILY,쿠폰 사용,0,포인트 미사용,프로모션 상품,71,70,155,10041410,141428.30985915492
FAMILY,쿠폰 미사용,0,포인트 미사용,프로모션 상품,6,6,7,425000,70833.33333333333
GOLD,쿠폰 미사용,0,포인트 사용,일반 상품,292,42,518,40792470,139700.2397260274
GOLD,쿠폰 사용,0,포인트 사용,일반 상품,140,37,321,27589604,197068.6
GOLD,쿠폰 사용,0,포인트 미사용,일반 상품,81,33,255,27423595,338562.9012345679
GOLD,쿠폰 미사용,0,포인트 미사용,일반 상품,164,37,278,25909889,157987.1280487805
GOLD,쿠폰 사용,0,포인트 미사용,프로모션 상품,1,1,3,118150,118150.0
SILVER,쿠폰 사용,0,포인트 사용,일반 상품,1272,520,2025,221031499,173766.90172955976
SILVER,쿠폰 미사용,0,포인트 사용,일반 상품,1843,528,2769,211696364,114865.09169831796
SILVER,쿠폰 사용,0,포인트 미사용,일반 상품,512,326,1138,119626359,233645.232421875
SILVER,쿠폰 미사용,0,포인트 미사용,일반 상품,740,341,1204,105968570,143200.77027027027
SILVER,쿠폰 사용,0,포인트 미사용,프로모션 상품,6,6,14,825750,137625.0
TITANIUM,쿠폰 사용,0,포인트 미사용,일반 상품,36,14,320,28873795,802049.8611111111
TITANIUM,쿠폰 미사용,0,포인트 사용,일반 상품,118,10,220,19352560,164004.74576271186
TITANIUM,쿠폰 사용,0,포인트 사용,일반 상품,49,11,277,14730210,300616.5306122449
TITANIUM,쿠폰 미사용,0,포인트 미사용,일반 상품,70,10,137,14410090,205858.42857142858
TITANIUM,쿠폰 사용,0,포인트 미사용,프로모션 상품,1,1,2,142200,142200.0
