member_grade_label,month,orders,buyers,quantity,revenue,aov
FAMILY,2024-04,941,850,1314,99253530,105476.65249734325
FAMILY,2024-05,1877,1686,2733,194452990,103597.75705913691
FAMILY,2024-06,1971,1762,2930,188771650,95774.55606291223
FAMILY,2024-07,2056,1832,2797,176738730,85962.4173151751
FAMILY,2024-08,1476,1372,2266,140569830,95237.01219512195
FAMILY,2024-09,2502,2342,3431,186042434,74357.48760991207
FAMILY,2024-10,1857,1676,2576,231650684,124744.57942918687
FAMILY,2024-11,3675,3336,4750,494759195,134628.3523809524
FAMILY,2024-12,3847,3476,5115,525580521,136620.87886664935
FAMILY,2025-01,4476,4125,5518,357566379,79885.25
FAMILY,2025-02,1766,1634,2202,200745240,113672.27633069083
FAMILY,2025-03,1632,1501,2314,168830319,103449.95036764706
FAMILY,2025-04,1904,1692,2859,169838715,89201.00577731093
FAMILY,2025-05,2105,1920,2747,153097780,72730.53681710214
FAMILY,2025-06,2132,1955,2955,175796290,82456.04596622889
FAMILY,2025-07,2374,2114,3438,212670505,89583.1950294861
FAMILY,2025-08,1518,1393,2221,129357210,85215.55335968379
FAMILY,2025-09,2194,2031,3046,196016886,89342.2452142206
FAMILY,2025-10,3317,3114,4358,257344577,77583.53240880313
FAMILY,2025-11,2958,2700,3877,371015750,125427.90736984448
FAMILY,2025-12,3444,3164,4682,461708170,134061.6056910569
FAMILY,2026-01,2572,2328,3407,332462976,129262.43234836703
FAMILY,2026-02,3525,3307,4784,275037439,78024.80539007092
FAMILY,2026-03,1518,1361,2075,177176016,116716.74308300395
FAMILY,2026-04,1933,1726,3058,228619420,118271.81583031557
FAMILY,2026-05,1736,1670,2332,127990248,73727.10138248847
GOLD,2024-04,6,5,8,783510,130585.0
GOLD,2024-05,10,5,13,1196760,119676.0
GOLD,2024-06,17,9,30,1895520,111501.17647058824
GOLD,2024-07,10,5,12,871940,87194.0
GOLD,2024-08,12,6,24,1252180,104348.33333333333
GOLD,2024-09,13,8,18,1097480,84421.53846153847
GOLD,2024-10,18,10,26,1987400,110411.11111111111
GOLD,2024-11,23,13,42,4940690,214812.60869565216
GOLD,2024-12,32,15,45,4343910,135747.1875
GOLD,2025-01,28,16,36,4578830,163529.64285714287
GOLD,2025-02,27,15,41,3023830,111993.70370370371
GOLD,2025-03,23,12,42,3723478,161890.34782608695
GOLD,2025-04,24,13,45,3654370,152265.41666666666
GOLD,2025-05,30,23,96,8075940,269198.0
GOLD,2025-06,42,23,85,8130540,193584.2857142857
GOLD,2025-07,36,17,72,5036890,139913.61111111112
GOLD,2025-08,29,16,82,5836680,201264.8275862069
GOLD,2025-09,34,22,198,9255840,272230.5882352941
GOLD,2025-10,65,28,132,15599019,239984.9076923077
GOLD,2025-11,44,22,114,13616525,309466.4772727273
GOLD,2025-12,63,27,128,17443060,276873.9682539682
GOLD,2026-01,22,12,42,4393470,199703.18181818182
GOLD,2026-02,22,15,36,3152030,143274.0909090909
GOLD,2026-03,13,6,38,2546890,195914.61538461538
GOLD,2026-04,18,11,26,1975980,109776.66666666667
GOLD,2026-05,4,4,5,244390,61097.5
SILVER,2024-04,31,24,45,4027500,129919.35483870968
SILVER,2024-05,64,47,127,9031070,141110.46875
SILVER,2024-06,83,62,152,10416260,125497.10843373495
SILVER,2024-07,80,60,145,7925790,99072.375
SILVER,2024-08,67,51,138,7675750,114563.4328358209
SILVER,2024-09,83,68,143,9769280,117702.1686746988
SILVER,2024-10,81,56,134,13251569,163599.61728395062
SILVER,2024-11,159,111,254,28370320,178429.6855345912
SILVER,2024-12,172,123,253,26538040,154290.93023255814
SILVER,2025-01,298,191,483,48797990,163751.64429530202
SILVER,2025-02,218,161,430,41711539,191337.33486238532
SILVER,2025-03,163,124,281,23958670,146985.70552147238
SILVER,2025-04,223,145,379,27745185,124417.86995515694
SILVER,2025-05,224,163,348,26107550,116551.5625
SILVER,2025-06,170,131,348,23915650,140680.29411764705
SILVER,2025-07,270,184,566,39142315,144971.53703703705
SILVER,2025-08,140,101,251,16339040,116707.42857142857
SILVER,2025-09,170,118,324,23705910,139446.5294117647
SILVER,2025-10,240,177,388,38151670,158965.29166666666
SILVER,2025-11,381,274,637,97179665,255064.7375328084
SILVER,2025-12,343,259,723,93778430,273406.50145772594
SILVER,2026-01,96,76,153,13145470,136931.97916666666
SILVER,2026-02,148,127,208,13952325,94272.46621621621
SILVER,2026-03,68,54,104,10383830,152703.38235294117
SILVER,2026-04,103,80,197,14316220,138992.427184466
SILVER,2026-05,107,95,169,9985769,93324.94392523365
TITANIUM,2024-05,3,1,11,854400,284800.0
TITANIUM,2024-07,4,3,17,1098410,274602.5
TITANIUM,2024-08,2,2,10,405400,202700.0
TITANIUM,2024-09,4,3,5,442720,110680.0
TITANIUM,2024-10,7,3,10,1533110,219015.7142857143
TITANIUM,2024-11,22,5,29,3227680,146712.72727272726
TITANIUM,2024-12,34,4,47,5441370,160040.29411764705
TITANIUM,2025-01,27,6,52,5015890,185773.7037037037
TITANIUM,2025-02,17,5,40,3921910,230700.58823529413
TITANIUM,2025-03,7,3,14,1488900,212700.0
TITANIUM,2025-04,2,2,10,787080,393540.0
TITANIUM,2025-05,6,5,17,1091780,181963.33333333334
TITANIUM,2025-06,7,3,21,2031500,290214.28571428574
TITANIUM,2025-07,12,5,42,3278225,273185.4166666667
TITANIUM,2025-08,5,4,169,6196560,1239312.0
TITANIUM,2025-09,8,4,45,4067200,508400.0
TITANIUM,2025-10,9,6,153,7400260,822251.1111111111
TITANIUM,2025-11,26,9,131,15306060,588694.6153846154
TITANIUM,2025-12,15,10,87,9502770,633518.0
TITANIUM,2026-01,12,7,22,2099100,174925.0
TITANIUM,2026-02,9,5,13,1792710,199190.0
TITANIUM,2026-03,8,3,20,1915720,239465.0
TITANIUM,2026-04,5,3,7,869320,173864.0
TITANIUM,2026-05,2,2,5,300610,150305.0
