member_grade_label,category,repeat_orders,repeat_buyers,quantity,revenue,rank_in_grade,repeat_rate
FAMILY,남성,16051,8413,22453,1273288127,1,0.524141798018815
FAMILY,여성,2486,1610,2905,240484678,2,0.6476267095736122
FAMILY,셋업,691,598,796,52220530,3,0.8654124457308249
FAMILY,긴바지,771,668,814,49440980,4,0.8664072632944229
FAMILY,라운드티,1129,908,1334,45774090,5,0.804251550044287
FAMILY,등산화,377,305,397,42028010,6,0.8090185676392573
FAMILY,미드/롱다운,95,80,99,27984325,7,0.8421052631578947
FAMILY,바람막이,293,268,323,27384490,8,0.9146757679180887
GOLD,남성,590,52,1018,92552604,1,0.08813559322033898
GOLD,여성,79,25,104,13657290,2,0.31645569620253167
GOLD,셋업,32,21,64,5299000,3,0.65625
GOLD,긴바지,23,14,28,1818320,4,0.6086956521739131
GOLD,패딩/슬림다운,10,7,12,1352400,5,0.7
GOLD,라운드티,21,12,29,1201810,6,0.5714285714285714
GOLD,바람막이,10,8,13,1125044,7,0.8
GOLD,미드/롱다운,4,4,4,972635,8,1.0
SILVER,남성,2434,596,3753,302020189,1,0.2448644207066557
SILVER,여성,408,202,515,54057738,2,0.4950980392156863
SILVER,셋업,112,82,124,10591440,3,0.7321428571428571
SILVER,긴바지,108,83,120,7714420,4,0.7685185185185185
SILVER,미드/롱다운,23,22,23,6140218,5,0.9565217391304348
SILVER,라운드티,118,82,144,5602620,6,0.6949152542372882
SILVER,등산화,46,38,47,5336900,7,0.8260869565217391
SILVER,바람막이,47,46,50,4299509,8,0.9787234042553191
TITANIUM,남성,241,17,820,60407995,1,0.07053941908713693
TITANIUM,여성,49,10,67,8357030,2,0.20408163265306123
TITANIUM,셋업,13,7,20,1919160,3,0.5384615384615384
TITANIUM,미드/롱다운,6,2,6,1641045,4,0.3333333333333333
TITANIUM,라운드티,20,7,28,1054310,5,0.35
TITANIUM,긴바지,13,6,16,993350,6,0.46153846153846156
TITANIUM,인터체인지 (3 in 1),2,2,2,921890,7,1.0
TITANIUM,자켓/ 베스트,5,4,6,827300,8,0.8
