member_grade_label,product_code,product_name_kor,product_name,source_image_url,repeat_orders,repeat_buyers,quantity,revenue,rank_in_grade,image_url,image_source,repeat_rate
FAMILY,C75YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,53,51,298,15864670,1,assets/product_images/C75YU0369010.jpg,excel_map+downloaded,0.9622641509433962
FAMILY,C64YM3583010,공용 롤링 콘 롱 다운 자켓,M's Rolling Cone Long Down Jacket,,10,10,33,12234770,2,assets/product_images/C64YM3583010.jpg,excel_map+downloaded,1.0
FAMILY,C65YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,41,40,251,11076880,3,assets/product_images/C65YU0369010.jpg,excel_map+downloaded,0.975609756097561
FAMILY,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,83,79,85,10549625,4,assets/product_images/C56YU8517010.jpg,excel_map+downloaded,0.9518072289156626
FAMILY,C64YM3571439,남성 아보카 트레일 경량 다운 자켓,M's Avoca Trail Down Jacket,,8,7,48,10257640,5,assets/product_images/C64YM3571439.jpg,excel_map+downloaded,0.875
FAMILY,C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,34,30,34,10159300,6,assets/product_images/C54YM3479010.jpg,excel_map+downloaded,0.8823529411764706
FAMILY,C54WE4714010,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,,69,68,70,9979616,7,assets/product_images/C54WE4714010.jpg,styleship_cdn_pattern+downloaded,0.9855072463768116
FAMILY,C64YM3571010,남성 아보카 트레일 경량 다운 자켓,M's Avoca Trail Down Jacket,,9,9,40,8521940,8,assets/product_images/C64YM3571010.jpg,excel_map+downloaded,1.0
GOLD,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,14,3,28,3245035,1,assets/product_images/C56YU8517010.jpg,excel_map+downloaded,0.21428571428571427
GOLD,C64XM9802225,[스타워즈] 남성 제네럴 한 솔로 트렌치 인터체인지 코트,General Han Solo Trench,,3,3,3,2630820,2,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64XM9802225.jpg,styleship_cdn_pattern,1.0
GOLD,C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,5,4,5,2264010,3,assets/product_images/C64YM3572010.jpg,excel_map+downloaded,0.8
GOLD,C64YL3574027,여성 마운틴 후드 다운 자켓,W's MT.Hood Down Jacket,,3,3,4,2099090,4,assets/product_images/C64YL3574027.jpg,excel_map+downloaded,1.0
GOLD,C66YU4749010,공용 헨리포크 부츠 OT OHI,HENRYFORK BOOT OT OHI,,7,3,15,1596720,5,assets/product_images/C66YU4749010.jpg,excel_map+downloaded,0.42857142857142855
GOLD,C66BI9168091,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,,2,1,16,1592000,6,assets/product_images/C66BI9168091.jpg,excel_map+downloaded,0.5
GOLD,C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,11,3,12,1563320,7,assets/product_images/C56YU8549010.jpg,excel_map+downloaded,0.2727272727272727
GOLD,C54YM3476319,남성 샷오버 힐™ 경량 패딩 자켓,Ms Shotover Hill™ Insulation Jacket,,6,2,10,1496500,8,assets/product_images/C54YM3476319.jpg,excel_map+downloaded,0.3333333333333333
SILVER,C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,8,8,8,4415470,1,assets/product_images/C64YM3572010.jpg,excel_map+downloaded,1.0
SILVER,C64YM3579010,공용 컬럼비아 락 롱 다운 자켓,M's Columbia Rock Long Down Jacket,,6,6,6,3756440,2,assets/product_images/C64YM3579010.jpg,excel_map+downloaded,1.0
SILVER,C64YM8587439,남성 다트 포레스트 코듀로이 팬츠,M's Dart Forest Corduroy Pants,,28,27,28,3221525,3,assets/product_images/C64YM8587439.jpg,excel_map+downloaded,0.9642857142857143
SILVER,C64YM3572287,[추영우 착용] 남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,6,5,6,3092905,4,assets/product_images/C64YM3572287.jpg,excel_map+downloaded,0.8333333333333334
SILVER,C64YL3574010,여성 마운틴 후드 다운 자켓,W's MT.Hood Down Jacket,,5,5,5,2738410,5,assets/product_images/C64YL3574010.jpg,excel_map+downloaded,1.0
SILVER,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,14,10,21,2567585,6,assets/product_images/C56YU8517010.jpg,excel_map+downloaded,0.7142857142857143
SILVER,C64YM3572027,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,5,5,5,2483125,7,assets/product_images/C64YM3572027.jpg,excel_map+downloaded,1.0
SILVER,C64YM3583010,공용 롤링 콘 롱 다운 자켓,M's Rolling Cone Long Down Jacket,,6,6,6,2253820,8,assets/product_images/C64YM3583010.jpg,excel_map+downloaded,1.0
TITANIUM,C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,11,2,94,8436850,1,assets/product_images/C56YU8549010.jpg,excel_map+downloaded,0.18181818181818182
TITANIUM,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,16,2,44,4246195,2,assets/product_images/C56YU8517010.jpg,excel_map+downloaded,0.125
TITANIUM,C66YM0659010,공용 트레일 투 브러쉬 부니,Trail to Brush Booney,,3,2,90,3425830,3,assets/product_images/C66YM0659010.jpg,excel_map+downloaded,0.6666666666666666
TITANIUM,C66UU4597010,공용 트리플 캐니언 24L 백팩,Triple Canyon 24L Backpack,,2,2,20,2447200,4,assets/product_images/C66UU4597010.jpg,excel_map+downloaded,1.0
TITANIUM,C66PU8700010,공용 스트림 사코슈 백,Price Stream Sacoche,,1,1,75,2340000,5,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C66PU8700010.jpg,styleship_cdn_pattern,1.0
TITANIUM,C66YU0367010,공용 레드우드 35L 백팩,REDWOOD35 BACKPACK,,3,1,8,1202000,6,assets/product_images/C66YU0367010.jpg,excel_map+downloaded,0.3333333333333333
TITANIUM,C54WE4714010,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,,1,1,7,836500,7,assets/product_images/C54WE4714010.jpg,styleship_cdn_pattern+downloaded,1.0
TITANIUM,C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,3,1,3,782325,8,assets/product_images/C54YM3479010.jpg,excel_map+downloaded,0.3333333333333333
