member_grade_label,product_code,product_name_kor,product_name,source_image_url,orders,buyers,quantity,revenue,rank_in_grade,image_url,image_source
FAMILY,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,512,499,530,70602805,1,assets/product_images/C56YU8517010.jpg,excel_map+downloaded
FAMILY,C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,216,211,218,70431385,2,assets/product_images/C54YM3479010.jpg,excel_map+downloaded
FAMILY,C54YM3472010,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,,159,158,160,54637960,3,assets/product_images/C54YM3472010.jpg,excel_map+downloaded
FAMILY,C64YM3583010,공용 롤링 콘 롱 다운 자켓,M's Rolling Cone Long Down Jacket,,101,101,124,46342940,4,assets/product_images/C64YM3583010.jpg,excel_map+downloaded
FAMILY,C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,98,98,98,44398715,5,assets/product_images/C64YM3572010.jpg,excel_map+downloaded
FAMILY,C54WE4714010,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,,246,244,271,38604484,6,assets/product_images/C54WE4714010.jpg,styleship_cdn_pattern+downloaded
FAMILY,C46YU0204010,[공식몰 단독] 공용 코브 투 뷰트™ 30L 백팩 + 파우치,Cove to Butte ™ 30 BACKPACK,,472,462,495,36185255,7,assets/product_images/C46YU0204010.jpg,styleship_cdn_pattern+downloaded
FAMILY,C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,289,282,298,36165215,8,assets/product_images/C56YU8549010.jpg,excel_map+downloaded
FAMILY,C54YM3473010,남성 클라이브 레이크 Ⅱ 다운 자켓,Ms Clive Lake™ Ⅱ Down Jacket,,88,87,92,33355775,9,assets/product_images/C54YM3473010.jpg,excel_map+downloaded
FAMILY,C66YU9626010,공용 샙랜드4 워터프루프 옴니히트,SAPLAND IV WP OMNI-HEAT INFINITY,,197,195,204,32376540,10,assets/product_images/C66YU9626010.jpg,styleship_cdn_pattern+downloaded
GOLD,C64XM9802225,[스타워즈] 남성 제네럴 한 솔로 트렌치 인터체인지 코트,General Han Solo Trench,,4,4,4,3528980,1,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64XM9802225.jpg,styleship_cdn_pattern
GOLD,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,14,3,28,3245035,2,assets/product_images/C56YU8517010.jpg,excel_map+downloaded
GOLD,C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,6,4,6,2888610,3,assets/product_images/C64YM3572010.jpg,excel_map+downloaded
GOLD,C54YM3476319,남성 샷오버 힐™ 경량 패딩 자켓,Ms Shotover Hill™ Insulation Jacket,,7,2,17,2506300,4,assets/product_images/C54YM3476319.jpg,excel_map+downloaded
GOLD,C62XE2326270,남성 클레어몬트II 경량 바람막이 자켓,Clearmont II Jacket,,1,1,29,2352330,5,assets/product_images/C62XE2326270.jpg,excel_map+downloaded
GOLD,C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,13,5,18,2233390,6,assets/product_images/C56YU8549010.jpg,excel_map+downloaded
GOLD,C64YL3574027,여성 마운틴 후드 다운 자켓,W's MT.Hood Down Jacket,,3,3,4,2099090,7,assets/product_images/C64YL3574027.jpg,excel_map+downloaded
GOLD,C66YU4749010,공용 헨리포크 부츠 OT OHI,HENRYFORK BOOT OT OHI,,7,3,15,1596720,8,assets/product_images/C66YU4749010.jpg,excel_map+downloaded
GOLD,C66BI9168091,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,,2,1,16,1592000,9,assets/product_images/C66BI9168091.jpg,excel_map+downloaded
GOLD,C64YM3584395,남성 블루 에비뉴 다운 자켓,M's Blue Avenue Down Jacket,,1,1,4,1575900,10,assets/product_images/C64YM3584395.jpg,excel_map+downloaded
SILVER,C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,61,59,63,32147970,1,assets/product_images/C64YM3572010.jpg,excel_map+downloaded
SILVER,C64YM3579010,공용 컬럼비아 락 롱 다운 자켓,M's Columbia Rock Long Down Jacket,,35,35,35,21343570,2,assets/product_images/C64YM3579010.jpg,excel_map+downloaded
