frequency_segment,recency_segment,buyers,orders,revenue,revenue_per_buyer,orders_per_buyer
구매 1회,180일 초과,22571,22571,2489538494,110298.103495636,1.0
반복 2~3회,180일 초과,5228,11687,1153971679,220729.08932670238,2.235462892119357
VIP 7회 이상,최근 90일,353,4357,537871523,1523715.3626062323,12.342776203966006
구매 1회,최근 180일,3823,3823,464976541,121626.0897201151,1.0
로열 4~6회,180일 초과,838,3828,396086366,472656.76133651554,4.5680190930787585
반복 2~3회,최근 180일,1674,3837,369023883,220444.37455197133,2.292114695340502
반복 2~3회,최근 90일,1139,2692,261815792,229864.61106233537,2.363476733977173
로열 4~6회,최근 90일,556,2626,239400897,430577.15287769784,4.723021582733813
VIP 7회 이상,최근 180일,188,2025,224292669,1193046.1117021276,10.77127659574468
VIP 7회 이상,최근 30일,91,1632,203966476,2241389.846153846,17.934065934065934
로열 4~6회,최근 180일,491,2284,200757888,408875.5356415479,4.65173116089613
VIP 7회 이상,180일 초과,179,1814,200562370,1120460.1675977653,10.134078212290502
구매 1회,최근 90일,1715,1715,181409350,105778.04664723032,1.0
반복 2~3회,최근 30일,217,521,59000545,271891.91244239634,2.4009216589861753
구매 1회,최근 30일,422,422,46030130,109076.13744075829,1.0
로열 4~6회,최근 30일,91,430,45747233,502716.8461538461,4.725274725274725
