month,orders,buyers,products,quantity,revenue,aov,qty_per_order,coupon_orders,coupon_order_rate
2024-04,978,879,454,1367,104064540,106405.46012269938,1.3977505112474438,693,0.7085889570552147
2024-05,1954,1739,570,2884,205535220,105186.90890481064,1.4759467758444218,1262,0.6458546571136131
2024-06,2071,1833,547,3112,201083430,97094.84789956543,1.502655721873491,1266,0.6112988894253983
2024-07,2150,1900,525,2971,186634870,86806.91627906977,1.3818604651162791,1382,0.6427906976744187
2024-08,1557,1431,560,2438,149903160,96276.91714836223,1.5658317276814386,1010,0.6486833654463712
2024-09,2602,2421,633,3597,197351914,75846.23904688701,1.3823981552651807,1177,0.4523443504996157
2024-10,1963,1745,534,2746,248422763,126552.60468670403,1.3988792664289353,1312,0.6683647478349465
2024-11,3879,3465,608,5075,531297885,136967.74555297758,1.3083268883732921,2279,0.5875225573601444
2024-12,4085,3618,575,5460,561903841,137552.95985312117,1.3365973072215422,2601,0.6367197062423501
2025-01,4829,4338,672,6089,415959089,86137.72810105611,1.2609235866639055,2960,0.6129633464485401
2025-02,2028,1815,632,2713,249402519,122979.54585798817,1.3377712031558184,1477,0.7283037475345168
2025-03,1825,1640,643,2651,198001367,108493.89972602739,1.4526027397260275,1213,0.6646575342465754
2025-04,2153,1852,650,3293,202025350,93834.34742220158,1.529493729679517,1244,0.5777984208081747
2025-05,2365,2111,647,3208,188373050,79650.33826638477,1.3564482029598308,1056,0.44651162790697674
2025-06,2351,2112,584,3409,209873980,89270.08932369205,1.4500212675457251,1464,0.6227137388345385
2025-07,2692,2320,652,4118,260127935,96629.99071322437,1.5297176820208023,1764,0.6552748885586924
2025-08,1692,1514,611,2723,157729490,93220.73877068558,1.6093380614657211,1051,0.6211583924349882
2025-09,2406,2175,733,3613,233045836,96860.28096425603,1.50166251039069,1367,0.5681629260182877
2025-10,3631,3325,823,5031,318495526,87715.65023409529,1.3855687138529331,1651,0.45469567612228035
2025-11,3409,3005,650,4759,497118000,145825.16867116457,1.3960105602816075,2299,0.6743913171017893
2025-12,3865,3460,688,5620,582432430,150694.03104786546,1.4540750323415266,2459,0.636222509702458
2026-01,2702,2423,634,3624,352101016,130311.25684678016,1.3412287194670613,1850,0.6846780162842339
2026-02,3704,3454,734,5041,293934504,79355.96760259179,1.3609611231101513,1666,0.4497840172786177
2026-03,1607,1424,628,2237,192022456,119491.2607342875,1.3920348475420037,1154,0.7181082762912259
2026-04,2059,1820,610,3288,245780940,119369.08207867897,1.5968916949975716,1514,0.7353084021369597
2026-05,1849,1771,561,2511,138521017,74916.72093023256,1.3580313683071932,909,0.4916170903190914
