category,repeat_orders,repeat_buyers,quantity,revenue,repeat_rate
남성,19392,9099,28225,1736992014,0.4692141089108911
여성,3100,1887,3722,328683780,0.6087096774193549
셋업,883,731,1051,74183200,0.8278595696489242
긴바지,932,782,996,61505820,0.8390557939914163
라운드티,1333,1035,1593,55910180,0.7764441110277569
등산화,434,352,455,48669990,0.8110599078341014
미드/롱다운,135,114,139,38456158,0.8444444444444444
바람막이,362,330,400,34045817,0.9116022099447514
자켓/ 베스트,444,403,500,30567632,0.9076576576576577
UNKNOWN,304,277,354,21520075,0.9111842105263158
하이킹,223,199,240,20380470,0.8923766816143498
맨투맨/후드티,319,290,331,15276410,0.9090909090909091
패딩/슬림다운,134,123,140,13415775,0.917910447761194
반바지,342,304,382,13289710,0.8888888888888888
상의,253,237,264,13016680,0.9367588932806324
자켓/베스트,169,153,184,12930650,0.9053254437869822
가방,132,127,144,9890925,0.9621212121212122
부츠,80,72,84,8610205,0.9
다운/ 패딩,63,63,63,8007970,1.0
폴로티/집업,117,111,126,7396160,0.9487179487179487
볼캡,191,179,202,6426410,0.93717277486911
스니커즈,119,104,125,6324290,0.8739495798319328
인터체인지 (3 in 1),18,18,18,5907490,1.0
셔츠,77,71,82,5457670,0.922077922077922
장갑,105,104,108,3249410,0.9904761904761905
액세서리,285,258,461,3115250,0.9052631578947369
트레일러닝,31,26,31,3044490,0.8387096774193549
방수자켓,22,21,23,1735220,0.9545454545454546
카고/조거,23,22,26,1663450,0.9565217391304348
크로스/토트백,37,37,37,1171510,1.0
폴로/집업티,18,18,18,836030,1.0
햇,16,15,16,500500,0.9375
캐주얼,10,10,10,497900,1.0
버킷/부니,19,19,20,494850,1.0
캡,3,3,4,79710,1.0
