product_code,product_name_kor,product_name,source_image_url,second_orders,second_buyers,quantity,revenue,second_purchase_rate,image_url,image_source
C54WE4714010,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,,45,45,46,6576043,0.001147871336377318,assets/product_images/C54WE4714010.jpg,styleship_cdn_pattern+downloaded
C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,47,47,47,6164010,0.00119888784021631,assets/product_images/C56YU8517010.jpg,excel_map+downloaded
C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,42,42,43,5244135,0.0010713465806188303,assets/product_images/C56YU8549010.jpg,excel_map+downloaded
C65YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,17,17,91,4915180,0.0004336402826314313,assets/product_images/C65YU0369010.jpg,excel_map+downloaded
C54YM3472010,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,,14,14,14,4754830,0.0003571155268729434,assets/product_images/C54YM3472010.jpg,excel_map+downloaded
C46YU0204010,[공식몰 단독] 공용 코브 투 뷰트™ 30L 백팩 + 파우치,Cove to Butte ™ 30 BACKPACK,,64,64,69,4674635,0.0016325281228477412,assets/product_images/C46YU0204010.jpg,styleship_cdn_pattern+downloaded
C65YU0369060,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,6,6,80,4425560,0.00015304951151697574,assets/product_images/C65YU0369060.jpg,styleship_cdn_pattern+downloaded
C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,7,7,7,3941940,0.0001785577634364717,assets/product_images/C64YM3572010.jpg,excel_map+downloaded
C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,11,11,11,3669120,0.00028059077111445554,assets/product_images/C54YM3479010.jpg,excel_map+downloaded
C66YU9626010,공용 샙랜드4 워터프루프 옴니히트,SAPLAND IV WP OMNI-HEAT INFINITY,,16,16,18,3199700,0.0004081320307119353,assets/product_images/C66YU9626010.jpg,styleship_cdn_pattern+downloaded
C66YM0659010,공용 트레일 투 브러쉬 부니,Trail to Brush Booney,,2,2,80,3160500,5.101650383899191e-05,assets/product_images/C66YM0659010.jpg,excel_map+downloaded
C54WR9293010,여성 롱혼 릿지 리버서블 셔켓,Longhorn Ridge™ Reversible Shirt Jacket,,40,40,40,3023406,0.0010203300767798382,assets/product_images/C54WR9293010.jpg,styleship_cdn_pattern+downloaded
C51AE5878010,남성 와우노가 라이프 웨이트 팬츠,Wanoga™ Lightweight Pant,,47,47,48,2991040,0.00119888784021631,assets/product_images/C51AE5878010.jpg,styleship_cdn_pattern+downloaded
C66YU9682010,공용 샙랜드4 처카 워터프루프 옴니히트,SAPLAND IV CHUKKA WP OH INFINITY,,19,19,19,2949260,0.00048465678647042316,assets/product_images/C66YU9682010.jpg,styleship_cdn_pattern+downloaded
C54AE3788010,남성 마블 캐니언™ 오버레이 후디 티셔츠,Marble Canyon™ Overlay Hoodie,,62,62,62,2915460,0.0015815116190087493,assets/product_images/C54AE3788010.jpg,styleship_cdn_pattern+downloaded
C54WE4714257,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,,21,21,21,2910153,0.0005356732903094151,assets/product_images/C54WE4714257.jpg,styleship_cdn_pattern+downloaded
C65BM7763278,남성 몬트레일 트리니티 AG 2,MONTRAIL TRINITY AG II,,23,23,23,2788235,0.000586689794148407,assets/product_images/C65BM7763278.jpg,styleship_cdn_pattern+downloaded
C66YU9626286,공용 샙랜드4 워터프루프 옴니히트,SAPLAND IV WP OMNI-HEAT INFINITY,,15,15,15,2647620,0.00038262377879243935,assets/product_images/C66YU9626286.jpg,styleship_cdn_pattern+downloaded
C66PU8700010,공용 스트림 사코슈 백,Price Stream Sacoche,,12,12,86,2606260,0.0003060990230339515,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C66PU8700010.jpg,styleship_cdn_pattern
C65BM6243278,남성 몬트레일 트리니티 MX,MONTRAIL TRINITY MX,,19,19,19,2494970,0.00048465678647042316,assets/product_images/C65BM6243278.jpg,styleship_cdn_pattern+downloaded
C52WE9484010,[공식몰 단독]남성 루프 트레일 바람막이 방풍 자켓,Loop Trail™ II Windbreaker,,25,25,25,2447805,0.0006377062979873989,assets/product_images/C52WE9484010.jpg,styleship_cdn_pattern+downloaded
C54YM3473010,남성 클라이브 레이크 Ⅱ 다운 자켓,Ms Clive Lake™ Ⅱ Down Jacket,,7,7,7,2399490,0.0001785577634364717,assets/product_images/C54YM3473010.jpg,excel_map+downloaded
C54YM8478011,남성 마운틴 후드™ 인슐레이션 스트레이트 팬츠,M's MT.Hood™ Insulation Straight Pants,,18,18,18,2262630,0.0004591485345509272,assets/product_images/C54YM8478011.jpg,excel_map+downloaded
C66YM0696010,공용 다운 투 다크 트래퍼,Dawn-to-DarkⅡ TRAPPER,,36,36,39,2256465,0.0009182970691018544,assets/product_images/C66YM0696010.jpg,excel_map+downloaded
C64YM3584010,남성 블루 에비뉴 다운 자켓,M's Blue Avenue Down Jacket,,8,8,8,2240470,0.00020406601535596764,assets/product_images/C64YM3584010.jpg,excel_map+downloaded
C65BM1935010,남성 PFG 프로 스포츠 부츠,PFG PRO SPORT BOOT,,18,18,18,2227960,0.0004591485345509272,assets/product_images/C65BM1935010.jpg,excel_map+downloaded
C54WR3825278,여성 드랍 릿지 II 인터체인지 자켓,Drop Ridge™ II Interchange Jacket,,11,11,11,2217030,0.00028059077111445554,assets/product_images/C54WR3825278.jpg,excel_map+downloaded
C64YM7587439,남성 다트 포레스트 코듀로이 셔츠,M's Dart Forest Corduroy Shirts,,17,17,17,2193230,0.0004336402826314313,assets/product_images/C64YM7587439.jpg,excel_map+downloaded
C54YM3474425,남성 마운틴 후드™ 다운 파카,Ms MT.Hood™ Down Parka,,5,5,5,2180970,0.00012754125959747977,assets/product_images/C54YM3474425.jpg,excel_map+downloaded
C54AE3788075,남성 마블 캐니언™ 오버레이 후디 티셔츠,Marble Canyon™ Overlay Hoodie,,46,46,46,2135220,0.001173379588296814,assets/product_images/C54AE3788075.jpg,styleship_cdn_pattern+downloaded
C54YM3476319,남성 샷오버 힐™ 경량 패딩 자켓,Ms Shotover Hill™ Insulation Jacket,,11,11,15,2125953,0.00028059077111445554,assets/product_images/C54YM3476319.jpg,excel_map+downloaded
C54WE7451010,남성 실버 리프II 스트레치 인슐레이션 자켓,Silver Leaf™ Stretch Insulated II Jacket,,14,14,14,2121660,0.0003571155268729434,assets/product_images/C54WE7451010.jpg,styleship_cdn_pattern+downloaded
C54YM3473278,남성 클라이브 레이크 Ⅱ 다운 자켓,Ms Clive Lake™ Ⅱ Down Jacket,,6,6,6,2116350,0.00015304951151697574,assets/product_images/C54YM3473278.jpg,excel_map+downloaded
C65YM8908010,남성 이스케이프 쓰라이브 샌들,THRIVE REVIVE SHANDAL,,17,17,17,2101610,0.0004336402826314313,assets/product_images/C65YM8908010.jpg,excel_map+downloaded
C75BI8634010,[추영우 착용] 남성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,,12,12,12,2080870,0.0003060990230339515,assets/product_images/C75BI8634010.jpg,excel_map+downloaded
C64AE4498461,[추영우 착용] 공용 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Half Snap Fleece,,29,29,29,1999850,0.0007397393056653828,assets/product_images/C64AE4498461.jpg,excel_map+downloaded
C62XE8841012,[추영우 착용] 공용 콜드 베이 대쉬 그래픽 반팔 티셔츠,Cold Bay Dash Short Sleeve Tee,,56,56,57,1999710,0.0014284621074917736,assets/product_images/C62XE8841012.jpg,excel_map+downloaded
C56YU4749010,공용 헨리포크 부츠 OT OHI,HENRYFORK BOOT OT OHI,,10,10,14,1987950,0.00025508251919495955,assets/product_images/C56YU4749010.jpg,excel_map+downloaded
C66YU2743010,공용 옐로우테일 쇼티 워터프루프 옴니히트,YELLOWTAIL SHORTY WP OH,,17,17,17,1972560,0.0004336402826314313,assets/product_images/C66YU2743010.jpg,styleship_cdn_pattern+downloaded
C54YM3471010,남성 스노우 타워 레이크™ 다운 자켓,Ms Snow Tower Lake™ Down Jacket,,11,11,11,1949772,0.00028059077111445554,assets/product_images/C54YM3471010.jpg,excel_map+downloaded
C53AP3450010,여성 시커™ 레전드 2.0 티셔츠,Seeker™ Legend 2.0 LS Tee,,73,73,74,1933610,0.0018621023901232048,assets/product_images/C53AP3450010.jpg,excel_map+downloaded
C64YM3579010,공용 컬럼비아 락 롱 다운 자켓,M's Columbia Rock Long Down Jacket,,3,3,3,1925360,7.652475575848787e-05,assets/product_images/C64YM3579010.jpg,excel_map+downloaded
C61XE5850010,공용 센트릴리엄 2.5 레이어 방수 자켓,Centrillium 2.5L Jacket,,12,12,12,1899100,0.0003060990230339515,assets/product_images/C61XE5850010.jpg,excel_map+downloaded
