product_code,product_name_kor,product_size,product_color,orders,buyers,quantity,revenue
C46YU0204010,[공식몰 단독] 공용 코브 투 뷰트™ 30L 백팩 + 파우치,30L,010,486,476,509,37169765
C64YM3572010,남성 컬럼비아 락 다운 자켓,100,010,63,61,66,30966995
C64YM3572010,남성 컬럼비아 락 다운 자켓,105,010,52,52,54,25384855
C75YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,20L,010,151,149,396,21016820
C54YM3472010,남성 마운틴 후드™ 다운 자켓,100,010,59,59,59,20192140
C66YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,20L,010,369,367,369,19466840
C54YM3479010,공용 마운틴 후드 롱 다운 자켓,100,010,59,57,59,18982750
C65YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,20L,010,175,174,387,18328440
C54WE4714010,공용 하이크바운드 인터체인지 자켓,L,010,113,113,127,17897110
C54YM3479010,공용 마운틴 후드 롱 다운 자켓,95,010,52,51,52,16909730
C54YM3479010,공용 마운틴 후드 롱 다운 자켓,90,010,51,51,51,16286918
C55PU8665010,[공식몰 단독]공용 패나시아 25L 백팩,OS,010,62,62,281,16254490
C65YU0366010,공용 레드우드 30L 뉴 플러스 백팩,30L,010,127,125,130,16049680
C54YM3472010,남성 마운틴 후드™ 다운 자켓,105,010,47,47,47,15863640
C64YM3572287,[추영우 착용] 남성 컬럼비아 락 다운 자켓,100,287,33,33,33,15631280
C64YM3583010,공용 롤링 콘 롱 다운 자켓,105,010,38,38,41,15362430
C54YM3479010,공용 마운틴 후드 롱 다운 자켓,105,010,47,47,47,15154670
C64YM3572010,남성 컬럼비아 락 다운 자켓,95,010,29,29,29,13931310
C64YM3572010,남성 컬럼비아 락 다운 자켓,110,010,27,27,28,13464965
C66YU0366010,공용 레드우드 30L 뉴 플러스 백팩,30L,010,101,101,106,13137180
C54YM3472010,남성 마운틴 후드™ 다운 자켓,110,010,37,37,37,12826210
C54YM3473010,남성 클라이브 레이크 Ⅱ 다운 자켓,100,010,36,36,36,12511515
C64YL3583010,여성 패스 대쉬 포레스트Ⅲ 다운 자켓,100,010,30,30,30,12480050
C64YM3583010,공용 롤링 콘 롱 다운 자켓,100,010,32,32,32,12274280
C75YU0366010,공용 레드우드 30L 뉴 플러스 백팩,30L,010,101,101,101,12228030
C64YL3583010,여성 패스 대쉬 포레스트Ⅲ 다운 자켓,95,010,28,28,28,11691370
C64YM3583010,공용 롤링 콘 롱 다운 자켓,95,010,19,19,30,11679370
C66YU0368010,공용 더글라스 패스 30L 백팩,30L,010,120,117,120,11477295
C64YM3572027,남성 컬럼비아 락 다운 자켓,100,027,22,22,23,11177000
C54YM3473010,남성 클라이브 레이크 Ⅱ 다운 자켓,105,010,25,25,27,10650845
C56YU8517010,공용 샙랜드3 WP OHI,245,010,76,76,77,9965605
C56YU8517010,공용 샙랜드3 WP OHI,265,010,67,67,81,9962395
C54WE4714010,공용 하이크바운드 인터체인지 자켓,XL,010,64,63,68,9571813
C64YM3572287,[추영우 착용] 남성 컬럼비아 락 다운 자켓,105,287,20,20,20,9356420
C64YM3584010,남성 블루 에비뉴 다운 자켓,100,010,32,32,33,9114460
C56YU8517010,공용 샙랜드3 WP OHI,240,010,67,67,68,8998000
C65YU0366346,공용 레드우드 30L 뉴 플러스 백팩,30L,346,71,71,71,8825240
C54WR3825278,여성 드랍 릿지 II 인터체인지 자켓,M,278,45,45,45,8817980
C54YM3472010,남성 마운틴 후드™ 다운 자켓,95,010,25,25,25,8651870
C55PU8665221,[공식몰 단독]공용 패나시아 25L 백팩,OS,221,65,64,154,8583720
C66YU0369397,본레 포레스트 20L 패커블 경량 백팩,20L,397,82,80,154,8439550
C64YM3579010,공용 컬럼비아 락 롱 다운 자켓,100,010,14,14,14,8212710
C54WE4714010,공용 하이크바운드 인터체인지 자켓,M,010,54,54,59,8187522
C54YL3482010,여성 클라우드 비치 롱 다운 자켓,95,010,27,27,27,8152920
C56YU0369010,공용 본레 포레스트™ 20L 패커블 백팩,20L,010,114,113,147,8028450
C65YU0371010,[공식몰 단독] 공용 애슐리 코브 30L 백팩 + 파우치,30L,010,86,85,86,8002370
