order_date,sku_bucket,orders,buyers,quantity,revenue,aov
2024-04-16,1 SKU,63,61,64,5126840,81378.41269841269
2024-04-16,2 SKU,10,10,20,1625910,162591.0
2024-04-16,3 SKU,4,3,12,514300,128575.0
2024-04-16,4 SKU 이상,3,3,14,961840,320613.3333333333
2024-04-17,1 SKU,50,50,50,3717800,74356.0
2024-04-17,2 SKU,4,4,8,575260,143815.0
2024-04-17,3 SKU,5,5,15,938310,187662.0
2024-04-17,4 SKU 이상,2,2,9,528000,264000.0
2024-04-18,1 SKU,32,32,32,2566200,80193.75
2024-04-18,2 SKU,17,17,47,3084290,181428.82352941178
2024-04-18,3 SKU,1,1,3,213280,213280.0
2024-04-18,4 SKU 이상,1,1,4,280400,280400.0
2024-04-19,1 SKU,41,40,41,3559810,86824.63414634146
2024-04-19,2 SKU,11,10,22,1192380,108398.18181818182
2024-04-19,3 SKU,3,3,9,593390,197796.66666666666
2024-04-19,4 SKU 이상,1,1,28,4702000,4702000.0
2024-04-20,1 SKU,53,53,53,3792670,71559.81132075471
2024-04-20,2 SKU,4,4,14,1290860,322715.0
2024-04-20,3 SKU,2,2,6,227160,113580.0
2024-04-20,4 SKU 이상,2,2,10,912510,456255.0
2024-04-21,1 SKU,37,37,37,2602790,70345.67567567568
2024-04-21,2 SKU,10,10,23,977080,97708.0
2024-04-21,3 SKU,3,3,9,243190,81063.33333333333
2024-04-21,4 SKU 이상,2,2,8,432000,216000.0
2024-04-22,1 SKU,61,59,61,5221350,85595.90163934426
2024-04-22,2 SKU,14,14,29,2101990,150142.14285714287
2024-04-22,3 SKU,4,4,12,1128590,282147.5
2024-04-22,4 SKU 이상,1,1,5,543150,543150.0
2024-04-23,1 SKU,48,47,48,4054500,84468.75
2024-04-23,2 SKU,7,7,18,648600,92657.14285714286
2024-04-23,3 SKU,1,1,3,160730,160730.0
2024-04-23,4 SKU 이상,1,1,4,188000,188000.0
2024-04-24,1 SKU,47,44,47,4019040,85511.48936170213
2024-04-24,2 SKU,7,7,15,967040,138148.57142857142
2024-04-24,3 SKU,3,3,9,627340,209113.33333333334
2024-04-24,4 SKU 이상,1,1,5,187500,187500.0
2024-04-25,1 SKU,50,50,51,4421940,88438.8
2024-04-25,2 SKU,5,5,10,473360,94672.0
2024-04-25,3 SKU,2,2,6,345320,172660.0
2024-04-26,1 SKU,67,66,67,6169650,92084.32835820895
2024-04-26,2 SKU,11,11,23,1554110,141282.72727272726
2024-04-26,3 SKU,4,4,12,559350,139837.5
2024-04-26,4 SKU 이상,2,2,11,704160,352080.0
2024-04-27,1 SKU,54,52,55,4464190,82670.18518518518
2024-04-27,2 SKU,6,6,12,769830,128305.0
2024-04-27,3 SKU,3,3,9,881310,293770.0
2024-04-27,4 SKU 이상,2,2,12,1049360,524680.0
2024-04-28,1 SKU,63,63,64,5391050,85572.22222222222
2024-04-28,2 SKU,18,18,36,2422400,134577.77777777778
2024-04-28,3 SKU,5,5,15,1124400,224880.0
2024-04-29,1 SKU,38,38,39,2842270,74796.57894736843
2024-04-29,2 SKU,10,10,20,1574430,157443.0
2024-04-29,3 SKU,3,3,9,364500,121500.0
2024-04-29,4 SKU 이상,4,4,16,617000,154250.0
2024-04-30,1 SKU,58,57,58,4629000,79810.3448275862
2024-04-30,2 SKU,10,10,20,1478470,147847.0
2024-04-30,3 SKU,3,3,9,599720,199906.66666666666
2024-04-30,4 SKU 이상,4,3,19,1122620,280655.0
2024-05-01,1 SKU,61,61,63,4220760,69192.7868852459
2024-05-01,2 SKU,10,10,20,1507600,150760.0
2024-05-01,3 SKU,2,2,6,425300,212650.0
2024-05-01,4 SKU 이상,4,4,19,1331250,332812.5
2024-05-02,1 SKU,69,67,69,5087110,73726.23188405797
2024-05-02,2 SKU,12,12,24,1738120,144843.33333333334
2024-05-02,3 SKU,7,7,22,1851960,264565.71428571426
2024-05-02,4 SKU 이상,3,3,17,956180,318726.6666666667
2024-05-03,1 SKU,54,54,57,4439320,82209.62962962964
2024-05-03,2 SKU,12,12,24,1298040,108170.0
2024-05-03,4 SKU 이상,4,4,24,1508350,377087.5
2024-05-04,1 SKU,53,53,53,4045250,76325.47169811321
2024-05-04,2 SKU,3,3,6,361300,120433.33333333333
2024-05-04,3 SKU,3,3,9,520660,173553.33333333334
2024-05-04,4 SKU 이상,1,1,4,128570,128570.0
2024-05-05,1 SKU,54,53,55,5022310,93005.74074074074
2024-05-05,2 SKU,12,12,24,1757060,146421.66666666666
2024-05-05,3 SKU,1,1,3,273870,273870.0
2024-05-05,4 SKU 이상,3,3,14,932880,310960.0
2024-05-06,1 SKU,51,50,51,4747380,93085.88235294117
2024-05-06,2 SKU,9,9,18,1550860,172317.77777777778
2024-05-06,3 SKU,4,4,12,438180,109545.0
2024-05-06,4 SKU 이상,1,1,4,188000,188000.0
2024-05-07,1 SKU,54,54,54,4420520,81861.48148148147
2024-05-07,2 SKU,14,14,30,1800530,128609.28571428571
2024-05-07,3 SKU,5,5,15,880070,176014.0
2024-05-07,4 SKU 이상,2,2,9,409500,204750.0
2024-05-08,1 SKU,53,53,53,4803590,90633.77358490566
2024-05-08,2 SKU,15,15,30,2282690,152179.33333333334
2024-05-08,3 SKU,3,3,10,961800,320600.0
2024-05-08,4 SKU 이상,3,3,15,608500,202833.33333333334
2024-05-09,1 SKU,37,37,37,2945730,79614.32432432432
2024-05-09,2 SKU,15,15,30,2152750,143516.66666666666
2024-05-09,3 SKU,3,3,9,559570,186523.33333333334
2024-05-09,4 SKU 이상,1,1,4,396200,396200.0
2024-05-10,1 SKU,57,56,60,4020950,70542.98245614035
2024-05-10,2 SKU,7,7,15,1142420,163202.85714285713
2024-05-10,3 SKU,3,3,9,642660,214220.0
2024-05-10,4 SKU 이상,4,4,34,1153500,288375.0
2024-05-11,1 SKU,50,48,51,4256290,85125.8
2024-05-11,2 SKU,8,8,16,931370,116421.25
2024-05-11,3 SKU,3,3,9,749060,249686.66666666666
2024-05-11,4 SKU 이상,2,2,10,498260,249130.0
2024-05-12,1 SKU,51,51,51,3674140,72041.96078431372
2024-05-12,2 SKU,16,16,32,2113330,132083.125
2024-05-12,3 SKU,3,3,9,683070,227690.0
2024-05-12,4 SKU 이상,2,2,8,685960,342980.0
2024-05-13,1 SKU,48,48,48,4157440,86613.33333333333
2024-05-13,2 SKU,11,11,24,1443240,131203.63636363635
2024-05-13,3 SKU,2,2,6,282380,141190.0
2024-05-13,4 SKU 이상,2,2,8,432400,216200.0
2024-05-14,1 SKU,45,45,45,3521820,78262.66666666667
2024-05-14,2 SKU,8,8,16,1239040,154880.0
2024-05-14,3 SKU,1,1,3,219870,219870.0
2024-05-14,4 SKU 이상,1,1,5,187500,187500.0
2024-05-15,1 SKU,67,66,68,6183530,92291.49253731343
2024-05-15,2 SKU,15,15,32,2682040,178802.66666666666
2024-05-15,3 SKU,6,6,21,1171540,195256.66666666666
2024-05-15,4 SKU 이상,2,2,10,440400,220200.0
2024-05-16,1 SKU,51,50,53,4090900,80213.72549019608
2024-05-16,2 SKU,6,6,12,731500,121916.66666666667
2024-05-16,3 SKU,3,3,11,755120,251706.66666666666
2024-05-16,4 SKU 이상,1,1,8,436000,436000.0
2024-05-17,1 SKU,31,31,31,2234400,72077.41935483871
2024-05-17,2 SKU,4,4,8,379310,94827.5
2024-05-17,3 SKU,3,3,9,608260,202753.33333333334
2024-05-17,4 SKU 이상,2,2,9,566760,283380.0
2024-05-18,1 SKU,41,41,41,3092650,75430.48780487805
2024-05-18,2 SKU,15,15,30,1973030,131535.33333333334
2024-05-19,1 SKU,50,50,51,4207030,84140.6
2024-05-19,2 SKU,17,17,35,2364550,139091.17647058822
2024-05-19,4 SKU 이상,1,1,4,198000,198000.0
2024-05-20,1 SKU,49,49,50,3658430,74661.83673469388
2024-05-20,2 SKU,10,10,25,1223640,122364.0
2024-05-20,3 SKU,4,4,28,2618030,654507.5
2024-05-20,4 SKU 이상,1,1,7,61000,61000.0
2024-05-21,1 SKU,46,45,46,4015930,87302.82608695653
2024-05-21,2 SKU,10,10,20,1220570,122057.0
2024-05-21,3 SKU,2,2,6,365480,182740.0
2024-05-21,4 SKU 이상,2,2,13,498600,249300.0
2024-05-22,1 SKU,41,41,41,3451870,84191.9512195122
2024-05-22,2 SKU,12,12,24,1399690,116640.83333333333
2024-05-22,3 SKU,3,3,9,359600,119866.66666666667
2024-05-22,4 SKU 이상,1,1,5,222220,222220.0
2024-05-23,1 SKU,42,42,43,3346040,79667.61904761905
2024-05-23,2 SKU,7,7,14,1140600,162942.85714285713
2024-05-23,3 SKU,5,5,15,748580,149716.0
2024-05-23,4 SKU 이상,1,1,4,173000,173000.0
2024-05-24,1 SKU,36,33,38,2573950,71498.61111111111
2024-05-24,2 SKU,13,13,28,1528480,117575.38461538461
2024-05-24,3 SKU,3,3,9,551240,183746.66666666666
2024-05-24,4 SKU 이상,2,2,10,435560,217780.0
2024-05-25,1 SKU,30,30,31,2584060,86135.33333333333
2024-05-25,2 SKU,7,6,14,779100,111300.0
2024-05-25,3 SKU,2,2,6,439390,219695.0
2024-05-26,1 SKU,53,52,54,4483860,84601.1320754717
2024-05-26,2 SKU,11,11,22,1472990,133908.18181818182
2024-05-26,3 SKU,1,1,3,98500,98500.0
2024-05-26,4 SKU 이상,4,4,19,857550,214387.5
2024-05-27,1 SKU,50,49,51,3955170,79103.4
2024-05-27,2 SKU,13,13,26,1996120,153547.6923076923
2024-05-27,3 SKU,10,10,30,2212600,221260.0
2024-05-27,4 SKU 이상,7,7,35,1373740,196248.57142857142
2024-05-28,1 SKU,32,32,35,3101180,96911.875
2024-05-28,2 SKU,16,15,37,2727830,170489.375
2024-05-28,3 SKU,5,5,33,1540370,308074.0
2024-05-28,4 SKU 이상,2,2,13,458000,229000.0
2024-05-29,1 SKU,38,38,42,3346860,88075.26315789473
2024-05-29,2 SKU,9,9,19,948920,105435.55555555556
2024-05-29,3 SKU,3,3,9,627560,209186.66666666666
2024-05-29,4 SKU 이상,5,5,22,1281500,256300.0
2024-05-30,1 SKU,35,35,44,3612970,103227.71428571429
2024-05-30,2 SKU,17,14,35,2129400,125258.82352941176
2024-05-30,3 SKU,2,2,6,296740,148370.0
2024-05-30,4 SKU 이상,2,2,9,533060,266530.0
2024-05-31,1 SKU,20,19,21,1629510,81475.5
2024-05-31,2 SKU,5,5,10,598030,119606.0
2024-05-31,3 SKU,3,3,9,817520,272506.6666666667
2024-05-31,4 SKU 이상,5,5,28,1338700,267740.0
2024-06-01,1 SKU,23,23,24,1928540,83849.56521739131
2024-06-01,2 SKU,12,12,26,1729350,144112.5
2024-06-01,3 SKU,2,2,6,336270,168135.0
2024-06-01,4 SKU 이상,2,2,8,598480,299240.0
2024-06-02,1 SKU,40,40,40,2685870,67146.75
2024-06-02,2 SKU,7,7,14,959440,137062.85714285713
2024-06-02,3 SKU,4,4,12,325300,81325.0
2024-06-03,1 SKU,39,39,39,3273170,83927.43589743589
2024-06-03,2 SKU,11,11,22,1598630,145330.0
2024-06-03,3 SKU,5,5,15,1075360,215072.0
2024-06-04,1 SKU,41,41,41,2745920,66973.65853658537
2024-06-04,2 SKU,18,18,40,2743130,152396.11111111112
2024-06-04,3 SKU,2,2,6,105290,52645.0
2024-06-04,4 SKU 이상,3,3,14,930650,310216.6666666667
2024-06-05,1 SKU,30,30,30,2256870,75229.0
2024-06-05,2 SKU,6,6,12,640860,106810.0
2024-06-05,3 SKU,1,1,3,257200,257200.0
2024-06-06,1 SKU,43,43,43,3100330,72100.69767441861
2024-06-06,2 SKU,13,13,27,1704920,131147.6923076923
2024-06-07,1 SKU,51,51,51,4057290,79554.70588235294
2024-06-07,2 SKU,5,5,10,655770,131154.0
2024-06-07,3 SKU,2,2,6,504730,252365.0
2024-06-07,4 SKU 이상,1,1,5,218300,218300.0
2024-06-08,1 SKU,38,37,38,3012700,79281.57894736843
2024-06-08,2 SKU,8,8,16,1548640,193580.0
2024-06-08,3 SKU,3,3,9,868880,289626.6666666667
2024-06-08,4 SKU 이상,1,1,9,521200,521200.0
2024-06-09,1 SKU,44,43,46,3036820,69018.63636363637
2024-06-09,2 SKU,10,10,20,1182160,118216.0
2024-06-09,3 SKU,5,5,15,1754860,350972.0
2024-06-10,1 SKU,54,54,57,4283200,79318.51851851853
2024-06-10,2 SKU,8,8,16,713840,89230.0
2024-06-10,3 SKU,3,3,12,644850,214950.0
2024-06-10,4 SKU 이상,2,2,8,424750,212375.0
2024-06-11,1 SKU,31,30,31,1848180,59618.709677419356
2024-06-11,2 SKU,14,14,28,1497990,106999.28571428571
2024-06-11,3 SKU,4,4,14,516120,129030.0
2024-06-11,4 SKU 이상,2,2,16,457300,228650.0
2024-06-12,1 SKU,44,44,49,3365360,76485.45454545454
2024-06-12,2 SKU,4,4,8,469460,117365.0
2024-06-12,3 SKU,5,5,15,714240,142848.0
2024-06-12,4 SKU 이상,3,3,14,726090,242030.0
2024-06-13,1 SKU,47,47,50,3614510,76904.46808510639
2024-06-13,2 SKU,10,10,21,1586110,158611.0
2024-06-13,3 SKU,5,5,16,977080,195416.0
2024-06-13,4 SKU 이상,3,3,18,709910,236636.66666666666
2024-06-14,1 SKU,87,87,87,5480440,62993.5632183908
2024-06-14,2 SKU,34,34,69,4274860,125731.17647058824
2024-06-14,3 SKU,14,13,46,2913830,208130.7142857143
2024-06-14,4 SKU 이상,9,9,44,2806130,311792.22222222225
2024-06-15,1 SKU,37,36,38,2385660,64477.2972972973
2024-06-15,2 SKU,8,8,16,1102180,137772.5
2024-06-15,3 SKU,6,6,18,857480,142913.33333333334
2024-06-15,4 SKU 이상,3,3,16,549990,183330.0
2024-06-16,1 SKU,66,62,66,4399600,66660.60606060606
2024-06-16,2 SKU,14,14,28,1907890,136277.85714285713
2024-06-16,3 SKU,8,8,26,1335530,166941.25
2024-06-16,4 SKU 이상,7,7,32,1628850,232692.85714285713
2024-06-17,1 SKU,65,64,67,4931800,75873.84615384616
2024-06-17,2 SKU,17,17,34,1928200,113423.5294117647
2024-06-17,3 SKU,4,4,12,531470,132867.5
2024-06-17,4 SKU 이상,3,3,20,977950,325983.3333333333
2024-06-18,1 SKU,75,73,77,5467250,72896.66666666667
2024-06-18,2 SKU,12,12,24,1388610,115717.5
2024-06-18,3 SKU,8,8,24,1471700,183962.5
2024-06-18,4 SKU 이상,6,6,29,1343420,223903.33333333334
2024-06-19,1 SKU,65,65,66,3977380,61190.46153846154
2024-06-19,2 SKU,13,13,26,1253280,96406.15384615384
2024-06-19,3 SKU,9,9,27,1725380,191708.88888888888
2024-06-19,4 SKU 이상,10,10,43,2297300,229730.0
2024-06-20,1 SKU,74,74,74,4959310,67017.7027027027
2024-06-20,2 SKU,15,15,30,1629330,108622.0
2024-06-20,3 SKU,4,4,12,569060,142265.0
2024-06-20,4 SKU 이상,3,3,12,630280,210093.33333333334
2024-06-21,1 SKU,51,50,51,3401320,66692.54901960785
2024-06-21,2 SKU,14,14,29,1826580,130470.0
2024-06-21,3 SKU,4,4,13,751760,187940.0
2024-06-21,4 SKU 이상,3,3,17,1083950,361316.6666666667
2024-06-22,1 SKU,44,43,45,3577540,81307.72727272728
2024-06-22,2 SKU,9,9,18,1170990,130110.0
2024-06-22,3 SKU,4,4,12,765030,191257.5
2024-06-22,4 SKU 이상,1,1,6,217890,217890.0
2024-06-23,1 SKU,53,53,54,3616250,68231.1320754717
2024-06-23,2 SKU,13,13,26,1149760,88443.07692307692
2024-06-23,3 SKU,6,6,18,932680,155446.66666666666
2024-06-23,4 SKU 이상,8,8,34,2345770,293221.25
2024-06-24,1 SKU,72,71,75,5195550,72160.41666666667
2024-06-24,2 SKU,11,11,22,1581680,143789.0909090909
2024-06-24,3 SKU,4,4,12,788750,197187.5
2024-06-24,4 SKU 이상,3,3,15,717620,239206.66666666666
2024-06-25,1 SKU,50,50,51,4010690,80213.8
2024-06-25,2 SKU,6,6,12,698420,116403.33333333333
2024-06-25,3 SKU,5,5,15,1093790,218758.0
2024-06-25,4 SKU 이상,3,2,17,685000,228333.33333333334
2024-06-26,1 SKU,62,62,64,4079400,65796.7741935484
2024-06-26,2 SKU,12,12,26,1664250,138687.5
2024-06-26,3 SKU,3,3,9,431080,143693.33333333334
2024-06-26,4 SKU 이상,4,4,18,780770,195192.5
2024-06-27,1 SKU,36,36,62,4106930,114081.38888888889
2024-06-27,2 SKU,5,5,13,506900,101380.0
2024-06-27,3 SKU,6,6,18,1022780,170463.33333333334
2024-06-28,1 SKU,43,42,44,3129930,72789.06976744186
2024-06-28,2 SKU,7,7,14,644210,92030.0
2024-06-28,3 SKU,3,3,10,423730,141243.33333333334
2024-06-28,4 SKU 이상,2,2,9,342290,171145.0
2024-06-29,1 SKU,37,37,37,2564980,69323.78378378379
2024-06-29,2 SKU,9,9,18,1460530,162281.11111111112
2024-06-29,3 SKU,1,1,3,172700,172700.0
2024-06-29,4 SKU 이상,2,2,9,441100,220550.0
2024-06-30,1 SKU,69,69,69,6216360,90092.17391304347
2024-06-30,2 SKU,12,12,25,1828340,152361.66666666666
2024-06-30,3 SKU,6,6,21,826440,137740.0
2024-06-30,4 SKU 이상,3,3,18,1199610,399870.0
2024-07-01,1 SKU,47,46,47,3471500,73861.70212765958
2024-07-01,2 SKU,22,22,44,2682140,121915.45454545454
2024-07-01,3 SKU,2,2,6,335780,167890.0
2024-07-01,4 SKU 이상,1,1,4,124370,124370.0
2024-07-02,1 SKU,45,45,45,3682640,81836.44444444444
2024-07-02,2 SKU,15,15,60,2787880,185858.66666666666
2024-07-02,3 SKU,2,2,6,504210,252105.0
2024-07-02,4 SKU 이상,4,4,19,876640,219160.0
2024-07-03,1 SKU,58,49,59,4313490,74370.5172413793
2024-07-03,2 SKU,12,12,24,1463650,121970.83333333333
2024-07-03,3 SKU,5,5,15,768190,153638.0
2024-07-04,1 SKU,41,41,41,2767280,67494.63414634146
2024-07-04,2 SKU,12,12,24,1469450,122454.16666666667
2024-07-04,4 SKU 이상,3,3,19,1102160,367386.6666666667
2024-07-05,1 SKU,45,41,45,3503110,77846.88888888889
2024-07-05,2 SKU,10,10,20,1491660,149166.0
2024-07-05,3 SKU,2,2,6,455700,227850.0
2024-07-05,4 SKU 이상,5,5,21,1013410,202682.0
2024-07-06,1 SKU,41,41,47,3010770,73433.41463414633
2024-07-06,2 SKU,7,7,14,681130,97304.28571428571
2024-07-06,3 SKU,2,2,6,468620,234310.0
2024-07-06,4 SKU 이상,2,2,11,405420,202710.0
2024-07-07,1 SKU,34,34,35,2475300,72802.94117647059
2024-07-07,2 SKU,2,2,4,233780,116890.0
2024-07-07,3 SKU,3,3,9,512520,170840.0
2024-07-07,4 SKU 이상,2,2,11,471380,235690.0
2024-07-08,1 SKU,62,61,63,4305420,69442.25806451614
2024-07-08,2 SKU,11,11,23,1154340,104940.0
2024-07-08,3 SKU,4,4,12,695890,173972.5
2024-07-08,4 SKU 이상,2,2,12,499700,249850.0
2024-07-09,1 SKU,51,46,52,3771310,73947.25490196078
2024-07-09,2 SKU,10,10,21,1342440,134244.0
2024-07-09,3 SKU,1,1,3,41500,41500.0
2024-07-09,4 SKU 이상,1,1,5,345800,345800.0
2024-07-10,1 SKU,60,59,62,3924180,65403.0
2024-07-10,2 SKU,11,11,24,1054140,95830.90909090909
2024-07-10,3 SKU,4,4,12,549430,137357.5
2024-07-10,4 SKU 이상,2,2,11,472670,236335.0
2024-07-11,1 SKU,52,52,52,3216290,61851.730769230766
2024-07-11,2 SKU,4,4,9,483430,120857.5
2024-07-11,3 SKU,4,4,12,846590,211647.5
2024-07-11,4 SKU 이상,3,3,13,567400,189133.33333333334
2024-07-12,1 SKU,42,42,45,3264520,77726.66666666667
2024-07-12,2 SKU,13,13,29,1561590,120122.30769230769
2024-07-12,4 SKU 이상,1,1,4,232600,232600.0
2024-07-13,1 SKU,36,36,36,2341930,65053.61111111111
2024-07-13,2 SKU,7,7,14,786950,112421.42857142857
2024-07-13,3 SKU,1,1,3,153500,153500.0
2024-07-13,4 SKU 이상,2,2,8,494600,247300.0
2024-07-14,1 SKU,78,76,79,4764010,61077.05128205128
2024-07-14,2 SKU,8,8,18,685540,85692.5
2024-07-14,3 SKU,3,3,9,495170,165056.66666666666
2024-07-14,4 SKU 이상,1,1,5,249470,249470.0
2024-07-15,1 SKU,67,67,69,4896120,73076.41791044777
2024-07-15,2 SKU,8,8,16,955850,119481.25
2024-07-15,3 SKU,1,1,3,209610,209610.0
2024-07-15,4 SKU 이상,3,3,12,605550,201850.0
2024-07-16,1 SKU,50,48,59,3224090,64481.8
2024-07-16,2 SKU,12,12,24,1139010,94917.5
2024-07-16,3 SKU,3,3,9,428200,142733.33333333334
2024-07-16,4 SKU 이상,1,1,4,375200,375200.0
2024-07-17,1 SKU,49,48,49,3656150,74615.30612244898
2024-07-17,2 SKU,8,8,17,1009710,126213.75
2024-07-17,3 SKU,3,3,9,405020,135006.66666666666
2024-07-17,4 SKU 이상,2,2,10,272900,136450.0
2024-07-18,1 SKU,98,98,99,6694290,68309.08163265306
2024-07-18,2 SKU,21,21,42,2659260,126631.42857142857
2024-07-18,3 SKU,9,9,28,1584750,176083.33333333334
2024-07-18,4 SKU 이상,2,2,8,474390,237195.0
2024-07-19,1 SKU,66,66,77,4925650,74631.06060606061
2024-07-19,2 SKU,13,13,27,1548870,119143.84615384616
2024-07-19,3 SKU,1,1,3,259110,259110.0
2024-07-19,4 SKU 이상,1,1,4,287670,287670.0
2024-07-20,1 SKU,59,59,60,3884400,65837.28813559322
2024-07-20,2 SKU,14,14,28,1727430,123387.85714285714
2024-07-20,3 SKU,1,1,3,135070,135070.0
2024-07-20,4 SKU 이상,1,1,4,193650,193650.0
2024-07-21,1 SKU,83,83,85,5878380,70823.85542168675
2024-07-21,2 SKU,15,15,31,1695000,113000.0
2024-07-21,3 SKU,7,7,21,1450770,207252.85714285713
2024-07-21,4 SKU 이상,1,1,4,222750,222750.0
2024-07-22,1 SKU,60,59,65,4918750,81979.16666666667
2024-07-22,2 SKU,11,11,22,1332860,121169.09090909091
2024-07-22,3 SKU,1,1,3,202900,202900.0
2024-07-22,4 SKU 이상,2,2,9,504230,252115.0
2024-07-23,1 SKU,53,53,54,3524820,66506.03773584905
2024-07-23,2 SKU,6,6,12,846440,141073.33333333334
2024-07-23,3 SKU,5,5,16,804940,160988.0
2024-07-23,4 SKU 이상,1,1,4,290420,290420.0
2024-07-24,1 SKU,64,64,65,4810650,75166.40625
2024-07-24,2 SKU,8,8,16,1198180,149772.5
2024-07-24,3 SKU,4,4,12,571760,142940.0
2024-07-24,4 SKU 이상,1,1,5,300330,300330.0
2024-07-25,1 SKU,66,66,66,4771200,72290.90909090909
2024-07-25,2 SKU,19,19,40,2035390,107125.78947368421
2024-07-25,3 SKU,2,2,6,243820,121910.0
2024-07-25,4 SKU 이상,1,1,4,204530,204530.0
2024-07-26,1 SKU,47,47,47,3178820,67634.46808510639
2024-07-26,2 SKU,12,12,28,1158020,96501.66666666667
2024-07-26,3 SKU,5,5,15,739410,147882.0
2024-07-26,4 SKU 이상,3,3,16,774620,258206.66666666666
2024-07-27,1 SKU,36,36,37,2651200,73644.44444444444
2024-07-27,2 SKU,4,4,8,440540,110135.0
2024-07-27,3 SKU,2,2,6,275600,137800.0
2024-07-27,4 SKU 이상,1,1,4,317810,317810.0
2024-07-28,1 SKU,51,50,52,3638610,71345.29411764706
2024-07-28,2 SKU,5,5,10,445150,89030.0
2024-07-28,3 SKU,2,2,6,276720,138360.0
2024-07-28,4 SKU 이상,2,2,11,919560,459780.0
2024-07-29,1 SKU,54,54,54,3582040,66334.07407407407
2024-07-29,2 SKU,5,5,12,329180,65836.0
2024-07-29,3 SKU,3,3,11,544490,181496.66666666666
2024-07-29,4 SKU 이상,1,1,4,204800,204800.0
2024-07-30,1 SKU,51,50,51,3427000,67196.07843137255
2024-07-30,2 SKU,11,11,22,1476820,134256.36363636365
2024-07-30,3 SKU,1,1,3,117970,117970.0
2024-07-30,4 SKU 이상,1,1,16,452000,452000.0
2024-07-31,1 SKU,40,39,45,2944030,73600.75
2024-07-31,2 SKU,9,9,18,1242330,138036.66666666666
2024-07-31,3 SKU,1,1,3,200770,200770.0
2024-07-31,4 SKU 이상,2,2,10,564720,282360.0
2024-08-01,1 SKU,48,48,48,3254940,67811.25
2024-08-01,2 SKU,11,11,22,1190990,108271.81818181818
2024-08-01,4 SKU 이상,2,2,9,569210,284605.0
2024-08-02,1 SKU,43,43,45,2429190,56492.79069767442
2024-08-02,2 SKU,10,10,20,1383870,138387.0
2024-08-02,3 SKU,4,4,13,655940,163985.0
2024-08-02,4 SKU 이상,1,1,4,239200,239200.0
2024-08-03,1 SKU,37,37,37,2581340,69765.94594594595
2024-08-03,2 SKU,7,7,14,728180,104025.71428571429
