order_date,product_code,product_name_kor,product_name,source_image_url,orders,buyers,quantity,revenue,image_url,image_source
2025-12-23,C71AR7330715,[공식몰 단독] 여성 헬베시아 II 크롭 하프스냅 플리스 풀오버,Helvetia II Cropped Half Snap Fleece,,2,2,2,106700,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR7330715.jpg,styleship_cdn_pattern
2025-12-24,C71AR7330715,[공식몰 단독] 여성 헬베시아 II 크롭 하프스냅 플리스 풀오버,Helvetia II Cropped Half Snap Fleece,,3,3,3,215440,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR7330715.jpg,styleship_cdn_pattern
2025-12-24,C71AR5760127,[공식몰 단독] 여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Cropped Half Snap,,2,2,2,127250,assets/product_images/C71AR5760127.jpg,excel_map+downloaded
2025-12-24,C71AE4498462,[공식몰 단독] 공용 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Half Snap Fleece,,1,1,1,80100,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AE4498462.jpg,styleship_cdn_pattern
2025-12-25,C71AR7330715,[공식몰 단독] 여성 헬베시아 II 크롭 하프스냅 플리스 풀오버,Helvetia II Cropped Half Snap Fleece,,1,1,1,51900,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR7330715.jpg,styleship_cdn_pattern
2025-12-26,C71AR5760127,[공식몰 단독] 여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Cropped Half Snap,,3,3,3,226800,assets/product_images/C71AR5760127.jpg,excel_map+downloaded
2025-12-26,C71AR5760610,[공식몰 단독] 여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Cropped Half Snap,,1,1,1,88190,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR5760610.jpg,styleship_cdn_pattern
2025-12-26,C71AE4498462,[공식몰 단독] 공용 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Half Snap Fleece,,1,1,1,86440,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AE4498462.jpg,styleship_cdn_pattern
2025-12-26,C71AR7330715,[공식몰 단독] 여성 헬베시아 II 크롭 하프스냅 플리스 풀오버,Helvetia II Cropped Half Snap Fleece,,1,1,1,55600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR7330715.jpg,styleship_cdn_pattern
2025-12-27,C71AR5760610,[공식몰 단독] 여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Cropped Half Snap,,1,1,1,71600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR5760610.jpg,styleship_cdn_pattern
2025-12-27,C71AR5760126,[공식몰 단독] 여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Cropped Half Snap,,1,1,1,68600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR5760126.jpg,styleship_cdn_pattern
2025-12-27,C71AR7330715,[공식몰 단독] 여성 헬베시아 II 크롭 하프스냅 플리스 풀오버,Helvetia II Cropped Half Snap Fleece,,1,1,1,66600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AR7330715.jpg,styleship_cdn_pattern
2025-12-28,C71AR5760127,[공식몰 단독] 여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Cropped Half Snap,,2,2,2,119100,assets/product_images/C71AR5760127.jpg,excel_map+downloaded
2025-12-29,C71AR5760127,[공식몰 단독] 여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Cropped Half Snap,,6,6,6,482200,assets/product_images/C71AR5760127.jpg,excel_map+downloaded
2025-12-29,C71AE4498227,[공식몰 단독] 공용 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Half Snap Fleece,,2,2,2,129640,assets/product_images/C71AE4498227.jpg,excel_map+downloaded
