order_date,coupon_flag,coupon_name,orders,buyers,quantity,revenue,coupon_amount,aov
2024-04-16,쿠폰 사용,쿠폰명 미확인,60,58,81,5833730,1564090,97228.83333333333
2024-04-16,쿠폰 미사용,쿠폰 미사용,17,16,21,1658420,0,97554.11764705883
2024-04-17,쿠폰 사용,쿠폰명 미확인,44,43,61,4460910,880990,101384.31818181818
2024-04-17,쿠폰 미사용,쿠폰 미사용,16,16,18,1056220,0,66013.75
2024-04-18,쿠폰 사용,쿠폰명 미확인,37,37,68,4605040,895960,124460.54054054055
2024-04-18,쿠폰 미사용,쿠폰 미사용,15,15,18,1539130,0,102608.66666666667
2024-04-19,쿠폰 미사용,쿠폰 미사용,23,21,53,6611990,0,287477.82608695654
2024-04-19,쿠폰 사용,쿠폰명 미확인,32,31,44,3221510,578090,100672.1875
2024-04-20,쿠폰 사용,쿠폰명 미확인,45,45,61,4419360,800630,98208.0
2024-04-20,쿠폰 미사용,쿠폰 미사용,16,16,22,1803840,0,112740.0
2024-04-21,쿠폰 사용,쿠폰명 미확인,35,35,52,2699030,502090,77115.14285714286
2024-04-21,쿠폰 미사용,쿠폰 미사용,15,15,20,1279830,0,85322.0
2024-04-22,쿠폰 사용,쿠폰명 미확인,51,49,63,5012310,1315890,98280.58823529411
2024-04-22,쿠폰 미사용,쿠폰 미사용,27,25,39,3619280,0,134047.40740740742
2024-04-23,쿠폰 사용,쿠폰명 미확인,38,37,51,3272730,1016710,86124.47368421052
2024-04-23,쿠폰 미사용,쿠폰 미사용,18,17,21,1710120,0,95006.66666666667
2024-04-24,쿠폰 사용,쿠폰명 미확인,40,38,54,3979550,1086410,99488.75
2024-04-24,쿠폰 미사용,쿠폰 미사용,20,18,22,1821370,0,91068.5
2024-04-25,쿠폰 사용,쿠폰명 미확인,45,45,51,3908100,873320,86846.66666666667
2024-04-25,쿠폰 미사용,쿠폰 미사용,8,8,10,908330,0,113541.25
2024-04-26,쿠폰 사용,쿠폰명 미확인,52,52,66,5283380,933930,101603.46153846153
2024-04-26,쿠폰 미사용,쿠폰 미사용,33,33,46,3592590,0,108866.36363636363
2024-04-27,쿠폰 사용,쿠폰명 미확인,45,44,56,4339450,686740,96432.22222222222
2024-04-27,쿠폰 미사용,쿠폰 미사용,19,18,28,2427220,0,127748.42105263157
2024-04-28,쿠폰 사용,쿠폰명 미확인,64,64,81,6665210,1018110,104143.90625
2024-04-28,쿠폰 미사용,쿠폰 미사용,21,21,28,1941290,0,92442.38095238095
2024-04-29,쿠폰 사용,쿠폰명 미확인,39,39,62,3795810,1167430,97328.46153846153
2024-04-29,쿠폰 미사용,쿠폰 미사용,15,15,20,1368530,0,91235.33333333333
2024-04-30,쿠폰 사용,쿠폰명 미확인,50,47,77,5535620,1422150,110712.4
2024-04-30,쿠폰 미사용,쿠폰 미사용,25,24,28,2230820,0,89232.8
2024-05-01,쿠폰 사용,쿠폰명 미확인,54,54,73,4956440,1229170,91785.92592592593
2024-05-01,쿠폰 미사용,쿠폰 미사용,22,22,32,2370470,0,107748.63636363637
2024-05-02,쿠폰 사용,쿠폰명 미확인,50,50,78,5264990,1511200,105299.8
2024-05-02,쿠폰 미사용,쿠폰 미사용,41,39,52,4140690,0,100992.43902439025
2024-05-03,쿠폰 사용,쿠폰명 미확인,46,46,61,4442620,930280,96578.69565217392
2024-05-03,쿠폰 미사용,쿠폰 미사용,24,24,41,2615720,0,108988.33333333333
2024-05-04,쿠폰 사용,쿠폰명 미확인,39,39,45,3348610,648160,85861.79487179487
2024-05-04,쿠폰 미사용,쿠폰 미사용,21,21,26,1695690,0,80747.14285714286
2024-05-05,쿠폰 사용,쿠폰명 미확인,51,51,68,5754810,1029020,112839.41176470589
2024-05-05,쿠폰 미사용,쿠폰 미사용,21,20,28,2231310,0,106252.85714285714
2024-05-06,쿠폰 사용,쿠폰명 미확인,44,44,53,4624770,843670,105108.40909090909
2024-05-06,쿠폰 미사용,쿠폰 미사용,20,20,28,2111650,0,105582.5
2024-05-07,쿠폰 사용,쿠폰명 미확인,43,42,62,4247580,1130100,98780.93023255814
2024-05-07,쿠폰 미사용,쿠폰 미사용,33,33,45,3090240,0,93643.63636363637
2024-05-08,쿠폰 사용,쿠폰명 미확인,47,46,77,5750290,1869930,122346.59574468085
2024-05-08,쿠폰 미사용,쿠폰 미사용,26,26,30,2861850,0,110071.15384615384
2024-05-09,쿠폰 사용,쿠폰명 미확인,35,35,48,3842290,597770,109779.71428571429
2024-05-09,쿠폰 미사용,쿠폰 미사용,22,22,31,2172960,0,98770.90909090909
2024-05-10,쿠폰 사용,쿠폰명 미확인,38,38,76,4363910,1515380,114839.73684210527
2024-05-10,쿠폰 미사용,쿠폰 미사용,31,30,40,2412840,0,77833.54838709677
2024-05-11,쿠폰 사용,쿠폰명 미확인,41,39,56,4139730,1064700,100969.0243902439
2024-05-11,쿠폰 미사용,쿠폰 미사용,23,21,30,2295250,0,99793.47826086957
2024-05-12,쿠폰 사용,쿠폰명 미확인,47,46,68,4780600,1254970,101714.89361702128
2024-05-12,쿠폰 미사용,쿠폰 미사용,24,24,30,2259970,0,94165.41666666667
2024-05-13,쿠폰 사용,쿠폰명 미확인,45,45,63,4474520,961460,99433.77777777778
2024-05-13,쿠폰 미사용,쿠폰 미사용,19,19,23,1840940,0,96891.57894736843
2024-05-14,쿠폰 사용,쿠폰명 미확인,36,36,47,3451160,723720,95865.55555555556
2024-05-14,쿠폰 미사용,쿠폰 미사용,20,20,22,1717070,0,85853.5
2024-05-15,쿠폰 사용,쿠폰명 미확인,55,55,82,6511030,1192010,118382.36363636363
2024-05-15,쿠폰 미사용,쿠폰 미사용,37,36,47,3774590,0,102015.94594594595
2024-05-16,쿠폰 사용,쿠폰명 미확인,36,36,51,3472140,1140350,96448.33333333333
2024-05-16,쿠폰 미사용,쿠폰 미사용,27,27,33,2541380,0,94125.18518518518
2024-05-17,쿠폰 사용,쿠폰명 미확인,26,26,34,2532350,479300,97398.07692307692
