order_date,member_grade_label,coupon_flag,coupon_name,coupon_name_source,orders,buyers,quantity,revenue,coupon_amount,aov
2024-04-16,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,59,57,80,5739230,1469590,97275.08474576271
2024-04-16,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,16,15,20,1578540,0,98658.75
2024-04-16,GOLD,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,94500,94500,94500.0
2024-04-16,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,79880,0,79880.0
2024-04-17,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,43,42,60,4365710,857190,101528.13953488372
2024-04-17,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,14,14,16,938890,0,67063.57142857143
2024-04-17,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,2,2,2,117330,0,58665.0
2024-04-17,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,95200,23800,95200.0
2024-04-18,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,36,36,67,4495120,883430,124864.44444444444
2024-04-18,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,15,15,18,1539130,0,102608.66666666667
2024-04-18,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,109920,12530,109920.0
2024-04-19,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,20,18,49,6249000,0,312450.0
2024-04-19,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,31,30,43,3142010,498590,101355.16129032258
2024-04-19,GOLD,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,2,54990,0,54990.0
2024-04-19,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,2,2,2,308000,0,154000.0
2024-04-19,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,79500,79500,79500.0
2024-04-20,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,45,45,61,4419360,800630,98208.0
2024-04-20,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,15,15,21,1684840,0,112322.66666666667
2024-04-20,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,119000,0,119000.0
2024-04-21,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,35,35,52,2699030,502090,77115.14285714286
2024-04-21,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,15,15,20,1279830,0,85322.0
2024-04-22,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,49,47,61,4875460,1266390,99499.1836734694
2024-04-22,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,26,24,37,3511860,0,135071.53846153847
2024-04-22,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,2,107420,0,107420.0
2024-04-22,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,97350,10000,97350.0
2024-04-22,TITANIUM,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,39500,39500,39500.0
2024-04-23,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,36,35,47,2963000,988590,82305.55555555556
2024-04-23,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,15,14,18,1387280,0,92485.33333333333
2024-04-23,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,3,3,3,322840,0,107613.33333333333
2024-04-23,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,2,2,4,309730,28120,154865.0
2024-04-24,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,39,37,53,3921420,1076410,100549.23076923077
2024-04-24,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,17,16,19,1517470,0,89262.94117647059
2024-04-24,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,3,2,3,303900,0,101300.0
2024-04-24,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,58130,10000,58130.0
2024-04-25,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,43,43,48,3782450,794420,87963.95348837209
2024-04-25,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,7,7,9,789330,0,112761.42857142857
2024-04-25,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,2,2,3,125650,78900,62825.0
2024-04-25,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,119000,0,119000.0
2024-04-26,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,52,52,66,5283380,933930,101603.46153846153
2024-04-26,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,30,30,38,3029170,0,100972.33333333333
2024-04-26,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,2,2,7,515220,0,257610.0
2024-04-26,TITANIUM,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,48200,0,48200.0
2024-04-27,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,42,42,53,4164370,650720,99151.66666666667
2024-04-27,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,18,17,27,2372020,0,131778.88888888888
2024-04-27,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,3,2,3,175080,36020,58360.0
2024-04-27,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,55200,0,55200.0
2024-04-28,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,63,63,80,6612110,1012210,104954.12698412698
2024-04-28,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,20,20,27,1854680,0,92734.0
2024-04-28,GOLD,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,53100,5900,53100.0
2024-04-28,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,86610,0,86610.0
2024-04-29,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,36,36,59,3592250,1099130,99784.72222222222
2024-04-29,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,14,14,19,1277910,0,91279.28571428571
2024-04-29,GOLD,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,44500,26700,44500.0
2024-04-29,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,90620,0,90620.0
2024-04-29,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,74040,19800,74040.0
2024-04-29,TITANIUM,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,85020,21800,85020.0
2024-04-30,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,47,44,72,5189830,1211950,110421.91489361702
2024-04-30,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,24,23,27,2100790,0,87532.91666666667
2024-04-30,GOLD,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,3,168500,126700,168500.0
2024-04-30,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,2,2,2,177290,83500,88645.0
2024-04-30,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,130030,0,130030.0
2024-05-01,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,54,54,73,4956440,1229170,91785.92592592593
2024-05-01,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,21,21,31,2230920,0,106234.28571428571
2024-05-01,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,1,139550,0,139550.0
2024-05-02,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,49,49,71,5013490,1259700,102316.12244897959
2024-05-02,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,37,37,46,3634590,0,98232.16216216216
2024-05-02,GOLD,쿠폰 사용,쿠폰명 미확인,coupon_type_title+order_coupon_name+order_product_coupon_name+coupon_name,1,1,7,251500,251500,251500.0
