order_date,member_grade_label,category,repeat_orders,repeat_buyers,quantity,revenue,repeat_rate
2024-04-16,FAMILY,셋업,1,1,1,169000,1.0
2024-04-16,FAMILY,긴바지,1,1,1,119000,1.0
2024-04-16,FAMILY,여성,1,1,1,104500,1.0
2024-04-16,FAMILY,바람막이,1,1,1,84500,1.0
2024-04-16,FAMILY,남성,2,1,3,59000,0.5
2024-04-17,FAMILY,남성,2,2,4,104500,1.0
2024-04-18,FAMILY,라운드티,1,1,1,60000,1.0
2024-04-19,FAMILY,남성,2,2,2,205000,1.0
2024-04-19,FAMILY,반바지,2,2,3,119060,1.0
2024-04-19,FAMILY,라운드티,2,2,3,107140,1.0
2024-04-20,FAMILY,셋업,1,1,1,99000,1.0
2024-04-20,FAMILY,남성,2,2,3,87680,1.0
2024-04-20,FAMILY,햇,1,1,1,37680,1.0
2024-04-21,FAMILY,등산화,1,1,1,219000,1.0
2024-04-21,FAMILY,남성,1,1,2,163000,1.0
2024-04-21,FAMILY,자켓/ 베스트,1,1,1,114500,1.0
2024-04-21,FAMILY,반바지,1,1,1,79000,1.0
2024-04-22,FAMILY,남성,5,5,7,435000,1.0
2024-04-22,FAMILY,자켓/ 베스트,2,1,3,383500,0.5
2024-04-22,FAMILY,바람막이,2,2,2,176500,1.0
2024-04-22,FAMILY,라운드티,2,2,2,118000,1.0
2024-04-22,FAMILY,등산화,1,1,1,84500,1.0
2024-04-22,FAMILY,UNKNOWN,1,1,1,34500,1.0
2024-04-23,FAMILY,남성,4,4,9,250000,1.0
2024-04-23,FAMILY,여성,1,1,1,54500,1.0
2024-04-23,SILVER,긴바지,1,1,1,119000,1.0
2024-04-24,FAMILY,남성,4,4,4,348240,1.0
2024-04-24,FAMILY,라운드티,3,3,5,208100,1.0
2024-04-24,FAMILY,긴바지,2,2,2,101770,1.0
2024-04-24,FAMILY,등산화,1,1,1,79500,1.0
2024-04-24,FAMILY,반바지,1,1,1,39500,1.0
2024-04-24,SILVER,트레일러닝,2,1,2,216030,0.5
2024-04-25,FAMILY,남성,3,3,4,223000,1.0
2024-04-25,FAMILY,긴바지,1,1,1,119000,1.0
2024-04-25,FAMILY,스니커즈,1,1,1,95300,1.0
2024-04-25,FAMILY,등산화,1,1,1,79500,1.0
2024-04-25,SILVER,긴바지,1,1,1,119000,1.0
2024-04-26,FAMILY,남성,3,3,3,213380,1.0
2024-04-26,FAMILY,등산화,1,1,1,171510,1.0
2024-04-26,FAMILY,바람막이,1,1,1,122380,1.0
2024-04-26,FAMILY,셋업,1,1,1,69500,1.0
2024-04-27,FAMILY,남성,3,3,7,604280,1.0
2024-04-27,FAMILY,긴바지,1,1,1,136440,1.0
2024-04-27,FAMILY,셋업,1,1,1,71200,1.0
2024-04-27,SILVER,라운드티,1,1,1,55200,1.0
2024-04-27,SILVER,남성,1,1,1,39200,1.0
2024-04-28,FAMILY,남성,5,5,6,274000,1.0
2024-04-28,FAMILY,UNKNOWN,2,2,2,149550,1.0
2024-04-28,FAMILY,라운드티,1,1,1,69000,1.0
2024-04-28,SILVER,라운드티,1,1,1,86610,1.0
2024-04-29,FAMILY,남성,3,3,4,274120,1.0
2024-04-29,FAMILY,하이킹,1,1,1,69500,1.0
2024-04-29,FAMILY,등산화,1,1,1,64500,1.0
2024-04-29,FAMILY,라운드티,1,1,2,59000,1.0
2024-04-29,FAMILY,UNKNOWN,1,1,1,34500,1.0
2024-04-29,FAMILY,반바지,1,1,1,24500,1.0
2024-04-29,GOLD,셋업,1,1,1,44500,1.0
2024-04-29,TITANIUM,카고/조거,1,1,1,85020,1.0
2024-04-30,FAMILY,남성,6,6,6,378990,1.0
2024-04-30,FAMILY,여성,3,1,3,163500,0.3333333333333333
2024-04-30,FAMILY,긴바지,2,2,2,147700,1.0
2024-04-30,FAMILY,바람막이,2,1,2,99000,0.5
2024-04-30,FAMILY,반바지,2,1,2,79000,0.5
2024-04-30,FAMILY,UNKNOWN,1,1,1,34500,1.0
2024-04-30,FAMILY,라운드티,1,1,1,34500,1.0
2024-04-30,SILVER,자켓/ 베스트,1,1,1,109500,1.0
2024-05-01,FAMILY,남성,2,2,2,88020,1.0
2024-05-01,FAMILY,여성,1,1,1,79000,1.0
2024-05-01,FAMILY,라운드티,1,1,1,53400,1.0
2024-05-01,FAMILY,UNKNOWN,1,1,1,49890,1.0
2024-05-01,SILVER,여성,1,1,1,139550,1.0
2024-05-02,FAMILY,남성,2,2,6,334000,1.0
2024-05-02,FAMILY,라운드티,5,5,5,222320,1.0
2024-05-02,FAMILY,UNKNOWN,1,1,2,179000,1.0
2024-05-02,FAMILY,하이킹,1,1,2,139000,1.0
2024-05-02,FAMILY,긴바지,2,2,2,123700,1.0
2024-05-02,FAMILY,셔츠,1,1,1,44500,1.0
2024-05-02,FAMILY,반바지,1,1,1,22900,1.0
2024-05-02,GOLD,남성,1,1,5,182500,1.0
2024-05-02,GOLD,라운드티,1,1,2,69000,1.0
2024-05-02,SILVER,남성,2,1,2,168000,0.5
2024-05-02,SILVER,여성,1,1,1,79000,1.0
2024-05-03,FAMILY,긴바지,2,2,4,378900,1.0
2024-05-03,FAMILY,남성,5,5,6,353380,1.0
2024-05-03,FAMILY,라운드티,2,2,6,309500,1.0
2024-05-03,FAMILY,자켓/ 베스트,1,1,1,144680,1.0
2024-05-03,FAMILY,하이킹,1,1,1,94500,1.0
2024-05-03,FAMILY,가방,1,1,1,74500,1.0
2024-05-03,FAMILY,반바지,1,1,2,70000,1.0
2024-05-03,FAMILY,UNKNOWN,1,1,1,69000,1.0
2024-05-03,TITANIUM,라운드티,1,1,2,59000,1.0
2024-05-04,FAMILY,남성,6,6,7,289100,1.0
2024-05-04,FAMILY,긴바지,1,1,1,109460,1.0
2024-05-05,FAMILY,남성,2,2,2,204420,1.0
2024-05-05,FAMILY,라운드티,3,3,3,173540,1.0
2024-05-05,FAMILY,바람막이,1,1,1,124330,1.0
2024-05-05,FAMILY,트레일러닝,1,1,1,109000,1.0
2024-05-05,FAMILY,긴바지,1,1,1,76170,1.0
2024-05-06,FAMILY,남성,3,3,3,295780,1.0
2024-05-06,FAMILY,긴바지,1,1,1,72050,1.0
2024-05-06,FAMILY,상의,1,1,1,65250,1.0
2024-05-06,FAMILY,UNKNOWN,1,1,1,62100,1.0
2024-05-06,GOLD,남성,1,1,1,94500,1.0
2024-05-06,SILVER,남성,1,1,2,160200,1.0
2024-05-07,FAMILY,남성,13,13,18,720130,1.0
2024-05-07,FAMILY,자켓/ 베스트,3,3,3,346490,1.0
2024-05-07,FAMILY,긴바지,2,2,2,187700,1.0
2024-05-07,FAMILY,등산화,1,1,1,172320,1.0
2024-05-07,FAMILY,라운드티,2,2,2,113590,1.0
2024-05-07,FAMILY,상의,1,1,1,76630,1.0
2024-05-07,FAMILY,가방,1,1,1,74500,1.0
2024-05-08,FAMILY,남성,8,7,11,674120,0.875
2024-05-08,FAMILY,여성,2,2,2,263700,1.0
2024-05-08,FAMILY,바람막이,1,1,3,238500,1.0
2024-05-08,FAMILY,라운드티,2,2,6,177000,1.0
2024-05-08,FAMILY,트레일러닝,1,1,1,109000,1.0
2024-05-08,FAMILY,셋업,2,2,2,94000,1.0
2024-05-08,FAMILY,하이킹,1,1,1,83000,1.0
2024-05-08,FAMILY,긴바지,1,1,1,59500,1.0
2024-05-08,FAMILY,셔츠,1,1,1,44500,1.0
2024-05-08,FAMILY,반바지,1,1,1,24500,1.0
2024-05-08,SILVER,남성,1,1,1,69500,1.0
2024-05-08,SILVER,여성,1,1,1,59500,1.0
2024-05-09,FAMILY,남성,4,4,5,362870,1.0
2024-05-09,FAMILY,UNKNOWN,2,2,2,139390,1.0
2024-05-09,FAMILY,셋업,1,1,2,110400,1.0
2024-05-09,FAMILY,가방,1,1,1,65120,1.0
2024-05-09,GOLD,UNKNOWN,1,1,2,124200,1.0
2024-05-09,SILVER,UNKNOWN,1,1,1,42030,1.0
2024-05-10,FAMILY,남성,4,3,8,288150,0.75
2024-05-10,FAMILY,긴바지,3,3,3,259670,1.0
2024-05-10,FAMILY,라운드티,2,2,2,85120,1.0
2024-05-10,FAMILY,반바지,1,1,1,61800,1.0
2024-05-10,FAMILY,상의,1,1,1,49500,1.0
2024-05-10,FAMILY,햇,1,1,1,25920,1.0
2024-05-10,SILVER,긴바지,1,1,1,63570,1.0
2024-05-11,FAMILY,남성,8,8,11,513450,1.0
2024-05-11,FAMILY,여성,1,1,1,149000,1.0
2024-05-11,FAMILY,트레일러닝,1,1,1,109000,1.0
2024-05-11,FAMILY,반바지,2,2,2,91860,1.0
2024-05-11,FAMILY,자켓/ 베스트,1,1,1,89500,1.0
2024-05-11,FAMILY,바람막이,1,1,1,79500,1.0
2024-05-11,FAMILY,라운드티,1,1,2,59000,1.0
2024-05-11,SILVER,셋업,1,1,1,85350,1.0
2024-05-12,FAMILY,남성,7,7,8,498780,1.0
2024-05-12,FAMILY,자켓/ 베스트,3,3,3,479940,1.0
2024-05-12,FAMILY,셋업,2,2,2,154000,1.0
2024-05-12,FAMILY,등산화,1,1,1,84500,1.0
2024-05-12,FAMILY,긴바지,1,1,1,59500,1.0
2024-05-12,FAMILY,햇,1,1,1,42110,1.0
2024-05-13,FAMILY,남성,2,2,4,149700,1.0
2024-05-13,FAMILY,여성,1,1,1,74500,1.0
2024-05-13,FAMILY,상의,1,1,1,61440,1.0
2024-05-13,FAMILY,셋업,1,1,1,39500,1.0
2024-05-14,FAMILY,남성,2,2,2,155500,1.0
2024-05-14,FAMILY,셋업,1,1,1,71200,1.0
2024-05-14,FAMILY,긴바지,1,1,1,71200,1.0
2024-05-14,FAMILY,스니커즈,1,1,1,68710,1.0
2024-05-14,FAMILY,여성,1,1,1,58350,1.0
2024-05-14,FAMILY,UNKNOWN,1,1,1,34500,1.0
2024-05-14,FAMILY,라운드티,1,1,1,24500,1.0
2024-05-14,GOLD,긴바지,1,1,1,59500,1.0
2024-05-14,SILVER,남성,2,2,3,213000,1.0
2024-05-14,SILVER,바람막이,1,1,1,49500,1.0
2024-05-14,SILVER,반바지,1,1,1,39500,1.0
2024-05-14,SILVER,UNKNOWN,1,1,1,34500,1.0
2024-05-15,FAMILY,남성,5,5,5,326100,1.0
2024-05-15,FAMILY,라운드티,3,3,4,152500,1.0
2024-05-15,FAMILY,긴바지,2,2,2,114000,1.0
2024-05-15,FAMILY,바람막이,1,1,1,49500,1.0
2024-05-15,FAMILY,반바지,1,1,1,39500,1.0
2024-05-15,FAMILY,UNKNOWN,1,1,1,24500,1.0
2024-05-15,GOLD,남성,1,1,1,27200,1.0
2024-05-16,FAMILY,남성,5,5,9,580990,1.0
2024-05-16,FAMILY,라운드티,3,3,4,138000,1.0
2024-05-16,FAMILY,반바지,2,2,3,118500,1.0
2024-05-16,FAMILY,바람막이,1,1,1,79500,1.0
2024-05-16,FAMILY,긴바지,1,1,1,59500,1.0
2024-05-17,FAMILY,남성,4,4,6,187330,1.0
2024-05-17,FAMILY,라운드티,1,1,1,87540,1.0
2024-05-17,FAMILY,UNKNOWN,1,1,1,69000,1.0
2024-05-17,SILVER,남성,2,2,2,126000,1.0
2024-05-18,FAMILY,남성,5,5,7,327630,1.0
2024-05-18,FAMILY,긴바지,1,1,1,60860,1.0
2024-05-18,FAMILY,UNKNOWN,1,1,1,34500,1.0
2024-05-19,FAMILY,긴바지,3,3,4,372200,1.0
2024-05-19,FAMILY,남성,3,3,4,274780,1.0
2024-05-19,FAMILY,UNKNOWN,1,1,1,175590,1.0
2024-05-19,FAMILY,셋업,1,1,1,143200,1.0
2024-05-19,FAMILY,라운드티,2,2,2,117690,1.0
2024-05-19,FAMILY,반바지,2,2,2,88500,1.0
2024-05-19,FAMILY,셔츠,1,1,1,44500,1.0
2024-05-19,SILVER,남성,1,1,1,185820,1.0
2024-05-19,SILVER,햇,1,1,1,40570,1.0
2024-05-19,TITANIUM,남성,1,1,3,39500,1.0
2024-05-20,FAMILY,남성,5,5,12,416370,1.0
2024-05-20,FAMILY,바람막이,1,1,1,149350,1.0
2024-05-20,FAMILY,긴바지,1,1,1,111200,1.0
2024-05-20,FAMILY,햇,1,1,1,19500,1.0
2024-05-20,SILVER,상의,1,1,1,71630,1.0
2024-05-20,SILVER,남성,1,1,1,47460,1.0
2024-05-21,FAMILY,남성,5,5,15,629360,1.0
2024-05-21,FAMILY,트레일러닝,1,1,1,104100,1.0
2024-05-21,FAMILY,라운드티,2,2,2,98500,1.0
2024-05-21,SILVER,긴바지,1,1,1,87200,1.0
2024-05-21,SILVER,남성,1,1,1,39000,1.0
2024-05-22,FAMILY,남성,6,6,6,300700,1.0
2024-05-22,FAMILY,긴바지,2,2,2,153860,1.0
2024-05-22,FAMILY,UNKNOWN,1,1,1,54080,1.0
2024-05-22,FAMILY,반바지,1,1,1,39500,1.0
2024-05-23,FAMILY,남성,9,9,13,641320,1.0
2024-05-23,FAMILY,긴바지,3,3,4,254700,1.0
2024-05-23,FAMILY,라운드티,3,3,3,108500,1.0
2024-05-23,FAMILY,여성,2,2,2,74000,1.0
2024-05-23,FAMILY,셋업,1,1,1,69500,1.0
2024-05-23,FAMILY,장갑,1,1,1,24450,1.0
2024-05-23,SILVER,남성,1,1,1,46320,1.0
2024-05-24,FAMILY,남성,9,7,16,611690,0.7777777777777778
2024-05-24,FAMILY,라운드티,5,5,8,344540,1.0
2024-05-24,FAMILY,하이킹,1,1,1,130300,1.0
2024-05-24,FAMILY,가방,1,1,1,114540,1.0
2024-05-24,FAMILY,긴바지,2,2,2,110840,1.0
2024-05-24,FAMILY,상의,1,1,1,90860,1.0
2024-05-24,FAMILY,바람막이,1,1,1,69500,1.0
2024-05-24,FAMILY,반바지,1,1,1,39500,1.0
2024-05-25,FAMILY,남성,5,5,7,566860,1.0
2024-05-25,FAMILY,라운드티,2,2,3,128000,1.0
2024-05-25,FAMILY,상의,1,1,1,76840,1.0
2024-05-25,FAMILY,UNKNOWN,1,1,1,59650,1.0
2024-05-25,SILVER,스니커즈,1,1,1,133880,1.0
2024-05-26,FAMILY,남성,5,5,8,347080,1.0
2024-05-26,FAMILY,여성,1,1,2,149000,1.0
2024-05-26,FAMILY,라운드티,3,3,3,144580,1.0
2024-05-26,FAMILY,긴바지,1,1,1,110280,1.0
2024-05-26,FAMILY,가방,1,1,1,62300,1.0
2024-05-26,FAMILY,상의,1,1,1,61340,1.0
2024-05-26,FAMILY,바람막이,1,1,1,49500,1.0
2024-05-26,FAMILY,반바지,1,1,1,39500,1.0
2024-05-26,FAMILY,액세서리,1,1,2,7500,1.0
2024-05-26,SILVER,UNKNOWN,1,1,1,62950,1.0
2024-05-27,FAMILY,남성,9,8,13,639950,0.8888888888888888
2024-05-27,FAMILY,라운드티,4,4,6,249180,1.0
2024-05-27,FAMILY,여성,2,2,2,176500,1.0
2024-05-27,FAMILY,긴바지,1,1,1,76760,1.0
2024-05-27,FAMILY,반바지,1,1,1,39500,1.0
2024-05-27,GOLD,남성,1,1,3,209100,1.0
2024-05-27,GOLD,라운드티,1,1,2,138000,1.0
2024-05-27,GOLD,폴로티/집업,1,1,1,71100,1.0
2024-05-27,GOLD,반바지,1,1,1,49000,1.0
2024-05-27,TITANIUM,셋업,1,1,1,137820,1.0
2024-05-27,TITANIUM,남성,1,1,1,103730,1.0
2024-05-27,TITANIUM,바람막이,1,1,1,95210,1.0
2024-05-28,FAMILY,남성,6,4,34,1556270,0.6666666666666666
2024-05-28,FAMILY,폴로티/집업,2,1,8,316000,0.5
2024-05-28,FAMILY,자켓/ 베스트,2,2,2,313980,1.0
2024-05-28,FAMILY,라운드티,4,4,5,290310,1.0
2024-05-28,FAMILY,긴바지,2,2,3,148500,1.0
2024-05-28,FAMILY,하이킹,1,1,2,139000,1.0
2024-05-28,FAMILY,UNKNOWN,2,2,2,127070,1.0
2024-05-28,FAMILY,등산화,1,1,1,79500,1.0
2024-05-28,FAMILY,여성,1,1,1,74500,1.0
2024-05-28,SILVER,긴바지,1,1,3,466770,1.0
2024-05-28,SILVER,자켓/ 베스트,1,1,1,123380,1.0
2024-05-28,SILVER,셋업,1,1,1,70190,1.0
2024-05-28,SILVER,남성,1,1,1,9430,1.0
2024-05-29,FAMILY,남성,8,8,11,516360,1.0
2024-05-29,FAMILY,라운드티,3,3,4,157260,1.0
2024-05-29,FAMILY,긴바지,2,2,2,131940,1.0
2024-05-29,FAMILY,바람막이,1,1,1,110270,1.0
2024-05-29,FAMILY,셋업,1,1,1,69500,1.0
2024-05-29,FAMILY,캡,1,1,1,17700,1.0
2024-05-29,SILVER,반바지,1,1,1,17500,1.0
2024-05-30,FAMILY,남성,9,7,9,526060,0.7777777777777778
2024-05-30,FAMILY,UNKNOWN,2,2,3,256030,1.0
2024-05-30,FAMILY,라운드티,4,3,6,212520,0.75
2024-05-30,FAMILY,바람막이,1,1,1,150650,1.0
2024-05-30,FAMILY,긴바지,2,2,2,135530,1.0
2024-05-30,FAMILY,등산화,1,1,1,103200,1.0
2024-05-30,FAMILY,맨투맨/후드티,1,1,2,89000,1.0
2024-05-30,FAMILY,여성,1,1,1,74500,1.0
2024-05-30,FAMILY,셋업,1,1,1,74500,1.0
2024-05-30,FAMILY,상의,1,1,1,61140,1.0
2024-05-30,SILVER,남성,1,1,1,74840,1.0
2024-05-30,SILVER,라운드티,1,1,1,74830,1.0
2024-05-30,SILVER,긴바지,1,1,1,59870,1.0
2024-05-30,SILVER,액세서리,1,1,2,12620,1.0
2024-05-31,FAMILY,남성,5,5,5,241850,1.0
2024-05-31,FAMILY,라운드티,2,2,3,80960,1.0
2024-05-31,SILVER,남성,1,1,1,189000,1.0
2024-06-01,FAMILY,남성,4,4,6,563090,1.0
2024-06-01,FAMILY,긴바지,2,2,4,252160,1.0
2024-06-01,FAMILY,햇,1,1,1,36650,1.0
2024-06-02,FAMILY,남성,8,7,13,559750,0.875
2024-06-02,FAMILY,라운드티,4,4,4,208350,1.0
2024-06-02,FAMILY,셔츠,1,1,1,87540,1.0
2024-06-02,FAMILY,UNKNOWN,1,1,1,83720,1.0
2024-06-03,FAMILY,남성,4,4,7,545560,1.0
2024-06-03,FAMILY,라운드티,2,2,3,185200,1.0
2024-06-03,FAMILY,바람막이,1,1,1,159000,1.0
2024-06-03,FAMILY,하이킹,1,1,1,153340,1.0
2024-06-03,FAMILY,반바지,1,1,1,39200,1.0
2024-06-03,GOLD,남성,1,1,1,94500,1.0
2024-06-03,TITANIUM,남성,1,1,1,130240,1.0
2024-06-04,FAMILY,남성,8,8,13,383700,1.0
2024-06-04,FAMILY,UNKNOWN,1,1,1,72700,1.0
2024-06-04,FAMILY,라운드티,1,1,1,65540,1.0
2024-06-05,FAMILY,긴바지,3,3,3,257630,1.0
2024-06-05,FAMILY,남성,4,4,5,218790,1.0
2024-06-05,FAMILY,여성,2,2,2,216730,1.0
2024-06-05,FAMILY,맨투맨/후드티,1,1,1,89000,1.0
2024-06-05,FAMILY,라운드티,2,2,2,87680,1.0
2024-06-05,FAMILY,반바지,1,1,1,49000,1.0
2024-06-06,FAMILY,남성,4,4,4,181930,1.0
2024-06-06,FAMILY,여성,2,2,2,164360,1.0
2024-06-06,FAMILY,UNKNOWN,1,1,1,89500,1.0
2024-06-06,FAMILY,바람막이,1,1,1,65840,1.0
2024-06-06,FAMILY,라운드티,1,1,1,56670,1.0
2024-06-06,FAMILY,햇,1,1,1,19500,1.0
2024-06-06,TITANIUM,남성,2,2,2,117500,1.0
2024-06-07,FAMILY,라운드티,6,6,7,247150,1.0
2024-06-07,FAMILY,카고/조거,1,1,1,99240,1.0
2024-06-07,FAMILY,긴바지,1,1,1,79200,1.0
2024-06-07,FAMILY,상의,1,1,1,75820,1.0
2024-06-07,FAMILY,남성,1,1,1,19500,1.0
2024-06-07,SILVER,남성,1,1,2,195570,1.0
2024-06-07,SILVER,폴로티/집업,1,1,1,65810,1.0
2024-06-07,SILVER,자켓/ 베스트,1,1,1,51320,1.0
2024-06-07,TITANIUM,UNKNOWN,1,1,1,35000,1.0
2024-06-08,FAMILY,남성,6,6,9,375750,1.0
2024-06-08,FAMILY,라운드티,2,2,4,241740,1.0
2024-06-08,FAMILY,긴바지,2,2,2,206160,1.0
2024-06-08,FAMILY,셋업,1,1,1,110350,1.0
2024-06-08,FAMILY,자켓/ 베스트,1,1,1,89500,1.0
2024-06-08,GOLD,긴바지,1,1,1,87200,1.0
2024-06-08,SILVER,남성,2,2,2,156970,1.0
2024-06-08,SILVER,방수자켓,1,1,1,129000,1.0
2024-06-08,SILVER,긴바지,1,1,1,119000,1.0
2024-06-08,SILVER,등산화,1,1,1,107970,1.0
2024-06-08,SILVER,UNKNOWN,1,1,1,57790,1.0
2024-06-09,FAMILY,셋업,2,2,2,312860,1.0
2024-06-09,FAMILY,긴바지,3,3,3,304870,1.0
2024-06-09,FAMILY,남성,4,4,5,220840,1.0
2024-06-09,FAMILY,자켓/ 베스트,1,1,1,137060,1.0
2024-06-09,FAMILY,반바지,3,3,4,127500,1.0
2024-06-09,FAMILY,라운드티,2,2,2,99880,1.0
2024-06-09,FAMILY,햇,1,1,1,22750,1.0
2024-06-09,SILVER,라운드티,2,1,2,115690,0.5
2024-06-09,TITANIUM,라운드티,1,1,2,59000,1.0
2024-06-10,FAMILY,남성,8,8,10,419150,1.0
2024-06-10,FAMILY,긴바지,2,2,2,236850,1.0
2024-06-10,FAMILY,바람막이,1,1,1,148530,1.0
2024-06-10,FAMILY,셋업,1,1,1,58710,1.0
2024-06-10,FAMILY,라운드티,1,1,1,57000,1.0
2024-06-10,FAMILY,맨투맨/후드티,1,1,1,54700,1.0
2024-06-10,FAMILY,여성,1,1,1,34500,1.0
2024-06-10,SILVER,남성,1,1,3,83660,1.0
2024-06-10,SILVER,반바지,1,1,1,75090,1.0
2024-06-10,SILVER,스니커즈,1,1,1,73670,1.0
2024-06-11,FAMILY,라운드티,6,6,10,358800,1.0
2024-06-11,FAMILY,남성,5,5,6,221750,1.0
2024-06-11,FAMILY,폴로티/집업,2,2,2,114730,1.0
2024-06-11,FAMILY,긴바지,1,1,1,113330,1.0
2024-06-11,FAMILY,반바지,2,2,2,86160,1.0
2024-06-11,FAMILY,바람막이,1,1,1,84500,1.0
2024-06-11,FAMILY,가방,1,1,1,60300,1.0
2024-06-11,FAMILY,셋업,1,1,1,39500,1.0
2024-06-12,FAMILY,남성,7,7,11,517310,1.0
2024-06-12,FAMILY,라운드티,5,5,6,289130,1.0
2024-06-12,FAMILY,긴바지,1,1,1,76850,1.0
2024-06-12,FAMILY,상의,1,1,1,69650,1.0
2024-06-12,FAMILY,크로스/토트백,1,1,1,22250,1.0
2024-06-12,GOLD,긴바지,1,1,1,84450,1.0
2024-06-13,FAMILY,남성,7,7,14,650750,1.0
2024-06-13,FAMILY,라운드티,5,5,6,229400,1.0
2024-06-13,FAMILY,자켓/ 베스트,1,1,1,131460,1.0
2024-06-13,FAMILY,긴바지,1,1,1,79200,1.0
2024-06-13,FAMILY,UNKNOWN,1,1,2,69000,1.0
2024-06-13,FAMILY,햇,1,1,1,42010,1.0
2024-06-13,FAMILY,여성,1,1,1,34500,1.0
2024-06-13,FAMILY,캡,1,1,1,19210,1.0
2024-06-13,SILVER,남성,1,1,1,78900,1.0
2024-06-13,SILVER,UNKNOWN,1,1,1,69000,1.0
2024-06-13,TITANIUM,라운드티,1,1,1,63570,1.0
2024-06-13,TITANIUM,남성,1,1,1,50670,1.0
2024-06-14,FAMILY,남성,12,11,19,1090320,0.9166666666666666
2024-06-14,FAMILY,셋업,4,4,6,409580,1.0
2024-06-14,FAMILY,라운드티,5,5,9,336180,1.0
2024-06-14,FAMILY,긴바지,5,5,5,317710,1.0
2024-06-14,FAMILY,UNKNOWN,2,2,2,178700,1.0
2024-06-14,FAMILY,자켓/ 베스트,1,1,1,109500,1.0
2024-06-14,FAMILY,등산화,1,1,1,79500,1.0
2024-06-14,FAMILY,반바지,2,2,2,70000,1.0
2024-06-14,FAMILY,상의,1,1,1,69300,1.0
2024-06-14,FAMILY,카고/조거,1,1,1,64500,1.0
2024-06-14,FAMILY,폴로티/집업,1,1,1,53200,1.0
2024-06-14,SILVER,바람막이,1,1,1,159000,1.0
2024-06-14,SILVER,여성,1,1,1,149000,1.0
2024-06-14,SILVER,라운드티,3,3,3,109970,1.0
2024-06-14,TITANIUM,남성,2,1,3,176500,0.5
2024-06-14,TITANIUM,라운드티,1,1,1,41300,1.0
2024-06-15,FAMILY,남성,3,3,8,343440,1.0
2024-06-15,FAMILY,라운드티,4,4,7,302570,1.0
2024-06-15,FAMILY,하이킹,1,1,1,160300,1.0
2024-06-15,FAMILY,긴바지,2,2,2,92520,1.0
2024-06-15,FAMILY,여성,1,1,1,40120,1.0
2024-06-15,SILVER,라운드티,1,1,2,106980,1.0
