dow_num,weekday,order_hour,orders,buyers,quantity,revenue,aov
1,일,0,233,229,300,25095681,107706.78540772533
1,일,1,157,157,228,18117279,115396.68152866242
1,일,2,80,78,112,7673190,95914.875
1,일,3,53,53,68,5663370,106856.03773584905
1,일,4,31,30,38,3648680,117699.35483870968
1,일,5,54,53,66,4797655,88845.46296296296
1,일,6,66,66,87,6373262,96564.57575757576
1,일,7,147,144,204,15898233,108151.24489795919
1,일,8,226,224,310,22292864,98640.99115044248
1,일,9,1027,978,1355,63757166,62080.97955209348
1,일,10,874,840,1163,66092902,75621.16933638444
1,일,11,720,700,957,57923685,80449.5625
1,일,12,560,551,716,48505256,86616.52857142857
1,일,13,556,546,765,51130350,91961.06115107914
1,일,14,588,578,777,60808537,103415.87925170068
1,일,15,760,741,1071,73261121,96396.21184210526
1,일,16,825,813,1087,69635163,84406.25818181818
1,일,17,784,771,1021,75296216,96041.09183673469
1,일,18,768,762,1005,77233064,100563.88541666667
1,일,19,793,772,1039,78889810,99482.73644388399
1,일,20,865,840,1190,90829916,105005.68323699421
1,일,21,954,916,1262,91729075,96152.07023060796
1,일,22,911,881,1245,92118698,101118.21953896817
1,일,23,857,817,1209,86076808,100439.68261376896
2,월,0,281,279,382,29288573,104229.7971530249
2,월,1,139,138,178,13221347,95117.60431654676
2,월,2,89,88,118,9128900,102571.91011235955
2,월,3,46,45,61,4231180,91982.17391304347
2,월,4,43,43,52,4234186,98469.44186046511
2,월,5,56,56,67,5986622,106903.96428571429
2,월,6,89,89,137,11256435,126476.79775280898
2,월,7,177,174,239,18777322,106086.56497175142
2,월,8,306,296,414,30448432,99504.67973856209
2,월,9,436,421,655,46545659,106756.0986238532
2,월,10,545,520,768,62065988,113882.54678899083
2,월,11,661,635,979,74460187,112647.78668683812
2,월,12,569,554,806,61045892,107286.2776801406
2,월,13,607,589,854,69214141,114026.59143327842
2,월,14,524,509,767,61894181,118118.66603053435
2,월,15,530,520,721,52828023,99675.51509433963
2,월,16,522,513,781,55931685,107148.82183908045
2,월,17,474,456,750,55824873,117773.99367088608
2,월,18,416,407,554,44880686,107886.26442307692
2,월,19,415,409,577,48082302,115860.9686746988
2,월,20,501,493,652,57155527,114082.88822355289
2,월,21,560,541,751,57982922,103540.93214285714
2,월,22,512,500,698,59377618,115971.91015625
2,월,23,482,472,631,53717496,111447.08713692946
3,화,0,259,259,349,26885210,103803.89961389962
3,화,1,122,116,161,12126660,99398.85245901639
3,화,2,66,65,91,7079260,107261.51515151515
3,화,3,29,29,43,3755563,129502.1724137931
3,화,4,36,36,46,2943570,81765.83333333333
3,화,5,61,61,92,7568930,124080.81967213115
3,화,6,95,94,137,9983860,105093.26315789473
3,화,7,188,185,265,23589940,125478.40425531915
3,화,8,310,306,419,34324660,110724.70967741935
3,화,9,517,499,737,54125999,104692.45454545454
3,화,10,558,530,764,59080484,105879.00358422939
3,화,11,474,461,680,58082955,122537.87974683545
3,화,12,437,420,634,52062780,119136.79633867276
3,화,13,480,461,915,68307441,142307.16875
3,화,14,454,429,731,52598639,115856.03303964758
3,화,15,636,613,987,71918092,113078.7610062893
3,화,16,611,585,900,60107810,98376.12111292963
3,화,17,524,514,870,58075405,110830.92557251909
3,화,18,468,452,608,46450806,99253.85897435897
3,화,19,485,478,616,50479964,104082.4
3,화,20,491,471,664,50961442,103791.12423625255
3,화,21,518,511,692,54352430,104927.47104247104
3,화,22,576,563,770,59520450,103334.11458333333
3,화,23,487,475,679,53708644,110284.68993839835
4,수,0,248,246,349,26828431,108179.15725806452
4,수,1,128,126,185,14254049,111359.7578125
4,수,2,77,76,97,7012780,91075.06493506493
4,수,3,34,33,47,3592040,105648.23529411765
4,수,4,45,45,55,4464220,99204.88888888889
4,수,5,63,62,88,6107465,96943.88888888889
4,수,6,125,123,155,12686962,101495.696
4,수,7,209,205,281,22155592,106007.61722488038
4,수,8,316,312,435,31262501,98931.96518987342
4,수,9,501,488,737,52232275,104256.0379241517
4,수,10,556,540,972,65940408,118597.85611510792
4,수,11,555,532,808,59494442,107197.19279279279
4,수,12,518,508,726,63749110,123067.77992277993
4,수,13,494,482,750,61946286,125397.34008097165
4,수,14,527,518,869,66813977,126781.74003795066
4,수,15,584,570,836,59797056,102392.21917808219
4,수,16,514,500,656,52522188,102183.24513618677
4,수,17,458,439,709,62254341,135926.50873362445
4,수,18,418,414,584,42189683,100932.25598086124
4,수,19,398,383,580,48704774,122373.8040201005
4,수,20,453,448,604,49291448,108811.14348785872
4,수,21,583,568,796,61741442,105902.98799313893
4,수,22,557,540,812,68436127,122865.57809694794
4,수,23,428,408,643,45268896,105768.44859813084
5,목,0,249,247,395,31316752,125770.08835341365
5,목,1,107,107,153,10575810,98839.34579439252
5,목,2,79,79,123,9067913,114783.70886075949
5,목,3,46,46,61,3891670,84601.52173913043
5,목,4,47,47,67,5359240,114026.3829787234
5,목,5,53,53,71,4990803,94166.09433962264
5,목,6,93,93,113,8817760,94814.62365591398
5,목,7,150,149,186,13689779,91265.19333333333
5,목,8,296,291,382,30755768,103904.62162162163
5,목,9,534,520,872,59023263,110530.45505617978
5,목,10,543,525,779,57774750,106399.17127071823
5,목,11,681,648,945,72272949,106127.67841409691
5,목,12,693,673,970,77082730,111230.49062049061
5,목,13,635,609,1216,87581729,137923.98267716536
5,목,14,575,555,797,63946424,111211.17217391304
5,목,15,535,522,713,56298038,105229.97757009346
5,목,16,530,522,805,70181502,132417.9283018868
5,목,17,492,479,674,54472892,110717.26016260163
5,목,18,457,447,646,50181887,109807.19256017506
5,목,19,458,447,610,50878922,111089.34934497817
5,목,20,490,474,662,55940256,114163.78775510204
5,목,21,533,526,747,61130781,114691.89681050657
5,목,22,556,543,770,61320090,110287.93165467626
5,목,23,465,458,677,46756222,100551.01505376345
6,금,0,264,258,375,29372208,111258.36363636363
6,금,1,136,129,184,14545419,106951.61029411765
6,금,2,82,80,122,9919039,120963.89024390244
6,금,3,52,50,60,5759709,110763.63461538461
6,금,4,46,46,64,4565170,99242.82608695653
6,금,5,74,74,98,8210649,110954.71621621621
6,금,6,113,111,156,11382246,100727.8407079646
6,금,7,175,166,275,19636469,112208.39428571428
6,금,8,292,287,380,37957190,129990.37671232877
6,금,9,678,660,887,58761930,86669.51327433628
6,금,10,814,775,1167,102319212,125699.27764127764
6,금,11,748,719,1204,88673078,118546.89572192513
6,금,12,660,644,840,64853677,98263.14696969697
