date,brand_key,brand_name,rank,title,href,href_clean,plan_start,plan_end,img_url,img_local,img_status,img_w,img_h,img_bytes,brand_resolved_url
2026-03-05,tnf,The North Face,1,박보검 몬테라 자켓 기획전,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92981,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92981,2025-09-21,2028-09-20,https://image.thenorthfacekorea.co.kr/cmsstatic/260200_박보검_몬테라자켓_기획전-main_banner_PC.webp,tnf_1_234f0912b5.jpg,ok,1100,500,94902,https://www.thenorthfacekorea.co.kr/
2026-03-05,tnf,The North Face,2,RED BOX COLLECTION 현대적인 실루엣의 재해석,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92989,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92989,,,https://image.thenorthfacekorea.co.kr/cmsstatic/260200_레드박스기획전_main_banner_PC.webp,tnf_2_8337cc5de7.jpg,ok,1100,500,48102,https://www.thenorthfacekorea.co.kr/
2026-03-05,tnf,The North Face,3,TNF100 일반접수,https://www.thenorthfacekorea.co.kr/tnf100,https://www.thenorthfacekorea.co.kr/tnf100,,,https://image.thenorthfacekorea.co.kr/cmsstatic/17607/2026TNF100_Mainslide_mc-1.jpg,tnf_3_8df714d0f2.jpg,ok,750,1143,236875,https://www.thenorthfacekorea.co.kr/
2026-03-05,patagonia,Patagonia,1,main visual section,https://www.patagonia.co.kr/shop/goodsList/001005001000000,https://www.patagonia.co.kr/shop/goodsList/001005001000000,,,https://patagonia.edge.naverncp.com/banner/kerley_layla_00447_cc_WEB-1200x628.jpg,patagonia_1_6c34d03fcb.jpg,ok,1100,575,125874,https://www.patagonia.co.kr/
2026-03-05,arcteryx,Arc'teryx,1,NEW SPRING ARRIVALS,https://arcteryx.co.kr/products/category/223,https://arcteryx.co.kr/products/category/223,,,https://public.arcteryx.co.kr/images/banner/VJVLba2x81jUuJ2q1u5yzi1UDYMk0Qqyj2HG7Mho.jpg,arcteryx_1_a82a7dd297.jpg,ok,1100,618,108590,https://arcteryx.co.kr/
2026-03-05,salomon,Salomon,1,LIGHT SIGNAL MODYSSEY AERO,https://salomon.co.kr/collections/26ss_app_modyssey-aero,https://salomon.co.kr/collections/26ss_app_modyssey-aero,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_2_02_180x.jpg?v=1772590343,salomon_1_892d5d0e48.jpg,ok,180,70,2545,https://salomon.co.kr/
2026-03-05,salomon,Salomon,2,FOR OFF TRACK MIND GRAVEL RUNNING,https://salomon.co.kr/collections/26ss_ftw_gravel-running,https://salomon.co.kr/collections/26ss_ftw_gravel-running,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_02_768a94d7-473a-4261-a7dc-a6cb7659bb39_180x.jpg?v=1772590662,salomon_2_5004ee0d61.jpg,ok,180,70,3867,https://salomon.co.kr/
2026-03-05,salomon,Salomon,3,TIMELESS TRAIL COLLECTION,https://salomon.co.kr/collections/26ss_app_trail-running,https://salomon.co.kr/collections/26ss_app_trail-running,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_1_02_180x.jpg?v=1770946914,salomon_3_2fea57ca23.jpg,ok,180,70,5277,https://salomon.co.kr/
2026-03-05,snowpeak,Snow Peak,1,"자연을 입고 일상을 걷다 26 SS, The Peak Moment",http://snowpeakstore.co.kr/goods/event_sale.php?sno=564,http://snowpeakstore.co.kr/goods/event_sale.php?sno=564,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260303_14s/img/banner/85461e167656fd8bed5544ee6246bd1b_57287.jpg,snowpeak_1_2ce5e3ad51.jpg,ok,1100,575,74617,https://www.snowpeakstore.co.kr/
2026-03-05,snowpeak,Snow Peak,2,2만원 즉시 할인 루트 바람막이 컬렉션,http://snowpeakstore.co.kr/goods/event_sale.php?sno=562,http://snowpeakstore.co.kr/goods/event_sale.php?sno=562,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260303_14s/img/banner/41f30d4c1cee2fc2525b8fbf67e2520a_99441.jpg,snowpeak_2_29d4123059.jpg,ok,1100,575,62831,https://www.snowpeakstore.co.kr/
2026-03-05,snowpeak,Snow Peak,3,"광활한 자연 속, 움직임의 기준 Move With Nature",http://snowpeakstore.co.kr/goods/event_sale.php?sno=570,http://snowpeakstore.co.kr/goods/event_sale.php?sno=570,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260303_14s/img/banner/085c593f6ba05a5c759f300572bec054_49259.jpg,snowpeak_3_9dd89afd11.jpg,ok,1100,575,42500,https://www.snowpeakstore.co.kr/
2026-03-05,blackyak,Black Yak,1,SPRING & SUMMER SALE 이월 오픈,https://www.byn.kr/_exh/?no=2065&utm_source=BY_pc&utm_medium=pc_by_main_banner_0211,https://www.byn.kr/_exh/?no=2065,,,https://cdn.byn.kr/real/_data/banner/aca8d01a73b3bb22f3529d0b920cd52b.jpg,blackyak_1_fd0f0030aa.jpg,ok,1100,538,164368,https://www.byn.kr/blackyak
2026-03-05,blackyak,Black Yak,2,메인 배너,https://www.byn.kr/story/blackyak/?gb=detail&no=2077,https://www.byn.kr/story/blackyak/?gb=detail&no=2077,,,https://cdn.byn.kr/real/_data/banner/b94b3b652df897c21a89998a39da8810.jpg,blackyak_2_f8176bb6f4.jpg,ok,1100,538,43066,https://www.byn.kr/blackyak
2026-03-05,blackyak,Black Yak,3,메인 배너,https://www.byn.kr/_exh/?no=2050&utm_source=BY_pc&utm_medium=pc_by_main_banner_0223,https://www.byn.kr/_exh/?no=2050,,,https://cdn.byn.kr/real/_data/banner/47e59923051e46ada19a140c560b0710.jpg,blackyak_3_010097f654.jpg,ok,1100,538,160858,https://www.byn.kr/blackyak
2026-03-05,natgeo,National Geographic,1,"지구, 경이로운 행성",https://www.natgeokorea.com/,https://www.natgeokorea.com/,,,https://www.natgeokorea.com/lib/thumb/phpThumb.php?src=%2Fuploads%2F01_81.jpg&w=1200&sia=DISNEY_PLUS&q=75&hash=de0ccb4260fdc3fc26c4547f00d31212,natgeo_1_e0a73f60e3.jpg,ok,1100,618,90858,https://www.natgeokorea.com/
2026-03-05,natgeo,National Geographic,2,"지구, 경이로운 행성",https://natgeokorea.com/program.php?p=176,https://natgeokorea.com/program.php?p=176,,,https://www.natgeokorea.com/assets/img/ar-left.png,natgeo_3_d895b5fda6.jpg,ok,20,36,293,https://www.natgeokorea.com/
