date,brand_key,brand_name,rank,title,href,href_clean,plan_start,plan_end,img_url,img_local,img_status,img_w,img_h,img_bytes,img_signature,brand_resolved_url,extract_source,confidence_score,is_fallback,is_primary_hero,landing_title,landing_subtitle,landing_summary,landing_keywords,landing_category,landing_text_status
2026-05-22,patagonia,Patagonia,1,main visual section,https://www.patagonia.co.kr/shop/goodsList/001005016001000,https://www.patagonia.co.kr/shop/goodsList/001005016001000,,,https://patagonia.edge.naverncp.com/banner/patitucci_dan_00692_BP_mainbanner.jpg,patagonia_1_1507b3d480.jpg,ok,1100,422,95772,3b946943666a7a6f,https://www.patagonia.co.kr/,patagonia_static_hero,0.94,0,1,"시간이 지나도 바래지 않는 자외선 차단 기능, 마침내 그 해답을 찾았습니다.",Some stories to get you out there.,"파타고니아코리아 온라인 스토어, 환경과 사회에 대한 책임 기업",,,ok
2026-05-22,arcteryx,Arc'teryx,1,FRESH OFF THE LINE,https://arcteryx.co.kr/products/category/79,https://arcteryx.co.kr/products/category/79,,,https://public.arcteryx.co.kr/images/banner/9iID7FFtcyeAmVJtnCns1sL7jiqLlFr6KnY9JqFs.jpg,arcteryx_1_bd4d03c83f.jpg,ok,1100,803,86296,b8bac974766ac1e8,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,아크테릭스코리아 : 클라임,클라임,아크테릭스코리아 클라임,,,ok
2026-05-22,arcteryx,Arc'teryx,2,Shirts & Tops,https://arcteryx.co.kr/products/category/59,https://arcteryx.co.kr/products/category/59,,,https://public.arcteryx.co.kr/images/banner/Z1GpEGk7V3JhjTM2ekydJhURR8Sak8YH0GgFDvJR.jpg,arcteryx_4_389916abce.jpg,ok,1100,803,300326,130c8c233af4a113,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,arcteryx,Arc'teryx,3,Windshell Jacket,https://arcteryx.co.kr/products/category/145,https://arcteryx.co.kr/products/category/145,,,https://public.arcteryx.co.kr/images/banner/ag8rsjpOLtRCi1Z5PCD8x8Yqeegkbkj4LBgRNOvi.jpg,arcteryx_5_154153d415.jpg,ok,1080,1080,147177,f31348b8667a191a,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,salomon,Salomon,1,GEAR UP FOR JEJU OREUM TRAIL RUN,https://salomon.co.kr/pages/26ss_jeju_oreum_collection,https://salomon.co.kr/pages/26ss_jeju_oreum_collection,,,https://salomon.co.kr/cdn/shop/files/PC_2880x1120_10_180x.jpg?v=1778734188,salomon_1_551076e9d5.jpg,ok,180,70,5765,d4004cd3cdfced56,https://salomon.co.kr/,hero_slider_container,0.88,0,1,GEAR UP FOR JEJU OREUM TRAIL RUN,트레일 의류,GEAR UP FORJEJU OREUM TRAIL RUN 화산 지형이 만들어낸 제주 오름 트레일 런 10K ㅣ 오름의 리듬을 가볍게 경험하며 30K ㅣ 숲과 능선을 깊이 탐험할 수 있도록 더 보러가기 더 보러가기,신발,하이킹,ok
2026-05-22,salomon,Salomon,2,Short Sleeve,https://salomon.co.kr/,https://salomon.co.kr/,,,https://salomon.co.kr/cdn/shop/files/10_eeffd54c-59a5-4e33-a7dd-f107cfe890a1.jpg?v=1779263199,salomon_1_62573a00c2.jpg,ok,647,350,57996,e9ee8e631510055a,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,salomon,Salomon,3,FOR OFF TRACK MINDS GRVL CONCEPT,https://salomon.co.kr/collections/26ss_ftw_grvl_concept,https://salomon.co.kr/collections/26ss_ftw_grvl_concept,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_3_180x.jpg?v=1778721780,salomon_2_c9122cb68c.jpg,ok,180,70,3169,ca84cf82391dd8b5,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-05-22,salomon,Salomon,4,"RUN DRY, RUN COOL GRAVEL RUNNING APPAREL",https://salomon.co.kr/pages/gravel-running-apparel,https://salomon.co.kr/pages/gravel-running-apparel,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_10_02_180x.jpg?v=1779073195,salomon_3_adccbd57df.jpg,ok,180,70,2187,ed34397ab92d473b,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-05-22,salomon,Salomon,5,RUNNING HYDRATION VESTS,https://salomon.co.kr/collections/sal_running_acc_hydration,https://salomon.co.kr/collections/sal_running_acc_hydration,,,https://salomon.co.kr/cdn/shop/files/pc_c487d905-a7fa-44fb-becb-6059e37d4c70_180x.jpg?v=1778638027,salomon_4_79911598fd.jpg,ok,180,70,3878,950e9975ecd7335a,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-05-22,salomon,Salomon,6,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_2880x1120_10_2450x.jpg?v=1778734188,salomon_3_8ec177aaee.jpg,cached,1100,427,130582,29644148dca88863,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,salomon,Salomon,7,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_3_1512x.jpg?v=1778721780,salomon_5_88127a564e.jpg,cached,1100,427,55045,a1dd6b123bbe9831,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,salomon,Salomon,8,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_10_02_1512x.jpg?v=1779073195,salomon_7_725f12c88c.jpg,cached,1100,427,35739,f98a983d55417706,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,salomon,Salomon,9,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/pc_c487d905-a7fa-44fb-becb-6059e37d4c70_1512x.jpg?v=1778638027,salomon_9_7ae59d491b.jpg,cached,1100,427,81449,7f92756029788c56,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,salomon,Salomon,10,러닝,https://salomon.co.kr/collections/gnb-running,https://salomon.co.kr/collections/gnb-running,,,https://salomon.co.kr/cdn/shop/files/PC_1_460x.png?v=1770795947,salomon_11_d41f9dc1a5.jpg,ok,460,672,52753,22d15b87f8be0709,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,salomon,Salomon,11,image,https://salomon.co.kr/collections/26ss_app_short-sleeves,https://salomon.co.kr/collections/26ss_app_short-sleeves,,,https://salomon.co.kr/cdn/shop/files/HALF_MO.jpg?v=1779074077,salomon_12_62f003067d.jpg,ok,750,1000,152245,516af85fa1fb371d,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,salomon,Salomon,12,image,https://salomon.co.kr/collections/26ss_app_modyssey-aero,https://salomon.co.kr/collections/26ss_app_modyssey-aero,,,https://salomon.co.kr/cdn/shop/files/DDD.jpg?v=1778142625,salomon_13_7ec9178cec.jpg,ok,750,1000,286784,9249619bf2f8ecab,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,snowpeak,Snow Peak,1,편안함과 스타일 사이 가볍게 즐기는 여름 쇼츠,http://snowpeakstore.co.kr/goods/event_sale.php?sno=607,http://snowpeakstore.co.kr/goods/event_sale.php?sno=607,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260521/img/banner/7805f7ab5f0a20b2c27868d825ee0c46_60805.jpg,snowpeak_1_1c7a253d1c.jpg,ok,1100,575,20407,1c15c369a61ebc1e,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,1,스노우피크 어패럴 * Snow Peak,,헤리티지 프리미엄 아웃도어 & 라이프스타일 웨어 스노우피크 어패럴 공식 온라인몰,"바람막이, 티셔츠, 백팩, 슈즈",라이프스타일,ok
2026-05-22,snowpeak,Snow Peak,2,띠배너 오늘 하루 보이지 닫기,https://snowpeakstore.co.kr/goods/event_sale.php?sno=600,https://snowpeakstore.co.kr/goods/event_sale.php?sno=600,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260521/img/new/top_close.png,snowpeak_1_f135fcf24a.jpg,ok,16,16,395,253f8c21eb617b39,https://www.snowpeakstore.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,snowpeak,Snow Peak,3,"한 장으로 충분한 이 계절 여름의 시작, 반팔 티셔츠",http://snowpeakstore.co.kr/goods/event_sale.php?sno=610,http://snowpeakstore.co.kr/goods/event_sale.php?sno=610,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260521/img/banner/3d8cca2b94517a1453e2c503d626b230_93316.jpg,snowpeak_2_8fb3c7d71f.jpg,ok,1100,575,137099,4fb31e2a877afcbe,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-05-22,snowpeak,Snow Peak,4,메인 배너,http://snowpeakstore.co.kr/goods/event_sale.php?sno=596,http://snowpeakstore.co.kr/goods/event_sale.php?sno=596,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260521/img/banner/1d3ac4614c16c3ae613568291d965f49_37531.jpg,snowpeak_3_3e3aef66fb.jpg,ok,1100,575,207893,186961f2451221b9,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-05-22,snowpeak,Snow Peak,5,자연에서 찾은 매력 Move In Style,http://snowpeakstore.co.kr/goods/event_sale.php?sno=603,http://snowpeakstore.co.kr/goods/event_sale.php?sno=603,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260521/img/banner/97f14b4227f764d16456e76b5a58c71f_32620.jpg,snowpeak_4_2eed82aa8d.jpg,ok,1100,575,132922,e357bf55c2c60854,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-05-22,snowpeak,Snow Peak,6,아이들을 위한 액티브 썸머 웨어 Play into Summer,https://www.snowpeakstore.co.kr/goods/event_sale.php?sno=612,https://www.snowpeakstore.co.kr/goods/event_sale.php?sno=612,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260521/img/banner/f60cc1699fbbe4ad05627625aa21c5b8_24335.jpg,snowpeak_5_4f0fabba24.jpg,ok,1100,575,40814,6eaae9a1df8bf244,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-05-22,snowpeak,Snow Peak,7,마음도 혜택도 풍성해지는 기프트 Thanks For You,http://snowpeakstore.co.kr/goods/event_sale.php?sno=600,http://snowpeakstore.co.kr/goods/event_sale.php?sno=600,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260521/img/banner/033c07eb6d092a5d7050ac5c1ec446db_82114.jpg,snowpeak_6_099b664279.jpg,ok,1100,575,33930,175151e46248a611,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-05-22,snowpeak,Snow Peak,8,소로나 크레용 반팔 티셔츠 Off White,https://www.snowpeakstore.co.kr/goods/goods_view.php?goodsNo=1000010933&mtn=72%5E%7C%5E%E2%AD%90%EF%B8%8F%5B%EB%A9%94%EC%9D%B8%ED%8E%98%EC%9D%B4%EC%A7%80+%EC%83%81%EB%8B%A8%5D+BEST+ITEM%5E%7C%5En,https://www.snowpeakstore.co.kr/goods/goods_view.php?goodsNo=1000010933&mtn=72%5E%7C%5E%E2%AD%90%EF%B8%8F%5B%EB%A9%94%EC%9D%B8%ED%8E%98%EC%9D%B4%EC%A7%80+%EC%83%81%EB%8B%A8%5D+BEST+ITEM%5E%7C%5En,,,https://godomall.speedycdn.net/8bed9a8aac3fd3e40e7d00120cb75013/goods/1000010933/image/main/1000010933_main_031.jpg,snowpeak_8_9ebf4116fb.jpg,ok,1000,1000,64947,ba4e4b307ce4de36,https://www.snowpeakstore.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-05-22,blackyak,Black Yak,1,"SEASON ORDER FW 겨울 다운 점퍼 구매 시 10,000P",https://www.byn.kr/_exh/?no=2148&utm_source=BY_pc&utm_medium=pc_by_banner_fw,https://www.byn.kr/_exh/?no=2148,,,https://cdn.byn.kr/real/_data/banner/212dfbdd16414a044c1e3cee0372e8c9.jpg,blackyak_1_4a9248e5ed.jpg,ok,1100,538,9015,a0aee01d78cbefc4,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,1,원활한 이벤트참여 진행을 위해로그인 하시겠습니까?,,BYN 블랙야크 공식몰입니다.,신발,풋웨어,ok
2026-05-22,blackyak,Black Yak,2,메인 배너,https://www.byn.kr/story/blackyak/?gb=detail&no=2133,https://www.byn.kr/story/blackyak/?gb=detail&no=2133,,,https://cdn.byn.kr/real/_data/banner/ffab5f0b8538bec726fe065a6ded90b1.jpg,blackyak_2_a416460277.jpg,ok,1100,538,111206,a7d22b9136806100,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
2026-05-22,blackyak,Black Yak,3,AERO FRESH 우리는 조금 더 쾌적한 여름을 생각합니다.,https://www.byn.kr/_exh/?no=2135&utm_source=BY_pc&utm_medium=pc_by_banner_aerofresh,https://www.byn.kr/_exh/?no=2135,,,https://cdn.byn.kr/real/_data/banner/1e6fb09c68c3fc14fa27b30c5797178f.jpg,blackyak_3_3cde63785c.jpg,ok,1100,538,122635,00b515f5bc4f88bb,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
2026-05-22,blackyak,Black Yak,4,메인 배너,https://www.byn.kr/_exh/?no=2151&utm_source=BY_pc&utm_medium=pc_by_banner_og,https://www.byn.kr/_exh/?no=2151,,,https://cdn.byn.kr/real/_data/banner/63eb467c17a41555971176c1b3114de6.jpg,blackyak_4_42d042f560.jpg,ok,1100,538,96841,7b2cd96877821a62,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
2026-05-22,blackyak,Black Yak,5,SPECIAL MAY 연휴 프로모션 코드 혜택,https://www.byn.kr/_exh/?no=2137&utm_source=BY_pc&utm_medium=pc_by_banner_sp_may,https://www.byn.kr/_exh/?no=2137,,,https://cdn.byn.kr/real/_data/banner/4bd29101cfd348bc4f872e57b8bdeb00.jpg,blackyak_5_db46eab444.jpg,ok,1100,538,21470,58b631288cc4de1b,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
2026-05-22,blackyak,Black Yak,6,BLACKYAK X ICARUS [블랙야크 x 타투이스트 욱상] 이카루스 컬렉션,https://www.byn.kr/_exh/?no=2144&utm_source=BY_pc&utm_medium=pc_by_banner_icarus,https://www.byn.kr/_exh/?no=2144,,,https://cdn.byn.kr/real/_data/banner/fda632c7eaaf57dc65eb611fd04d3a2d.jpg,blackyak_6_e56117adbc.jpg,ok,1100,538,138717,52c28f5729f52446,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
2026-05-22,blackyak,Black Yak,7,DOUBLE UP! 할인에 할인을 더하다,https://www.byn.kr/_exh/?no=2150&utm_source=BY_pc&utm_medium=pc_by_banner_1+1,https://www.byn.kr/_exh/?no=2150,,,https://cdn.byn.kr/real/_data/banner/3c81661271a045e230b596925214fd27.jpg,blackyak_7_c350f57c13.jpg,ok,1100,538,171688,2fed1f1fdf12e792,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
2026-05-22,blackyak,Black Yak,8,CHALLENGE & GROWTH CLIMBING : 정교한 움직임과 완벽한 퍼포먼스를 위해,https://www.byn.kr/_exh/?no=2142&utm_source=BY_pc&utm_medium=pc_by_banner_bcc,https://www.byn.kr/_exh/?no=2142,,,https://cdn.byn.kr/real/_data/banner/d1477ad85a9baa4a685a854b11199194.jpg,blackyak_8_59ef7758fc.jpg,ok,1100,538,138476,bab7f052cbdb6566,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
2026-05-22,blackyak,Black Yak,9,TRAIL X 모든 활동을 위한 하이킹화,https://www.byn.kr/_exh/?no=2103&utm_source=BY_pc&utm_medium=pc_by_main_banner_기능,https://www.byn.kr/_exh/?no=2103,,,https://cdn.byn.kr/real/_data/banner/f56132ea672f2359e5caf915b7fc9c87.jpg,blackyak_9_49101d64e3.jpg,ok,1100,538,35329,408e05292bb32711,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
2026-05-22,blackyak,Black Yak,10,JOIN THE MAY JOURNEY 5월 가정의 달 혜택,https://www.byn.kr/_exh/?no=2128,https://www.byn.kr/_exh/?no=2128,,,https://cdn.byn.kr/real/_data/banner/8c4d736d11698acf28bc35329d0370f8.jpg,blackyak_10_80606da2cc.jpg,ok,1100,538,131406,b78b8e830cd9606a,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
