scope,scope_label,metric,metric_label,direction,current,previous,delta,delta_rate,score,sessions,prev_sessions,revenue,prev_revenue,channel_group,media_family,source,medium,campaign
channel,2. Paid Ad,avg_signup_user_pv,Avg Signup User PV,DOWN,19.4,30.5,-11.100000000000001,-36.39344262295082,13.526229508196723,3018.0,3059.0,1695090.0,3169550.0,2. Paid Ad,-,-,-,-
channel,6. etc,avg_signup_user_pv,Avg Signup User PV,UP,28.8,19.8,9.0,45.45454545454546,12.030303030303031,2065.0,2060.0,664640.0,2088260.0,6. etc,-,-,-,-
media,6. etc / Other,avg_signup_user_pv,Avg Signup User PV,UP,28.8,20.5,8.3,40.48780487804879,10.99918699186992,2054.0,2047.0,664640.0,2088260.0,6. etc,Other,-,-,-
campaign,6. etc / Other / (not set) / (not set) / (not set),revenue,Revenue,DOWN,163480.0,1938060.0,-1774580.0,-91.56476063692558,10.931056063692559,801.0,815.0,163480.0,1938060.0,6. etc,Other,(not set),(not set),(not set)
source_medium,6. etc / Other / (not set) / (not set),revenue,Revenue,DOWN,163480.0,1938060.0,-1774580.0,-91.56476063692558,10.931056063692559,801.0,815.0,163480.0,1938060.0,6. etc,Other,(not set),(not set),-
media,2. Paid Ad / Naver,avg_signup_user_pv,Avg Signup User PV,DOWN,19.2,27.7,-8.5,-30.68592057761733,10.545728038507821,906.0,807.0,1456550.0,2394580.0,2. Paid Ad,Naver,-,-,-
campaign,2. Paid Ad / Naver / naverbs / cpc / naver_brandsearch_mobile,avg_signup_user_pv,Avg Signup User PV,DOWN,19.2,27.5,-8.3,-30.181818181818187,10.312121212121212,476.0,525.0,924890.0,1352790.0,2. Paid Ad,Naver,naverbs,cpc,naver_brandsearch_mobile
source_medium,2. Paid Ad / Naver / naverbs / cpc,avg_signup_user_pv,Avg Signup User PV,DOWN,19.2,27.4,-8.2,-29.92700729927007,10.195133819951337,749.0,674.0,1175980.0,2154230.0,2. Paid Ad,Naver,naverbs,cpc,-
channel,6. etc,revenue,Revenue,DOWN,664640.0,2088260.0,-1423620.0,-68.17254556424966,8.240874556424966,2065.0,2060.0,664640.0,2088260.0,6. etc,-,-,-,-
media,6. etc / Other,revenue,Revenue,DOWN,664640.0,2088260.0,-1423620.0,-68.17254556424966,8.240874556424966,2054.0,2047.0,664640.0,2088260.0,6. etc,Other,-,-,-
source_medium,2. Paid Ad / Naver / naverbs / cpc,aov_per_buyer,AOV / Buyer,DOWN,90460.0,134639.0,-44179.0,-32.81292938895862,6.605428625930575,749.0,674.0,1175980.0,2154230.0,2. Paid Ad,Naver,naverbs,cpc,-
media,2. Paid Ad / Naver,aov_per_buyer,AOV / Buyer,DOWN,91034.0,133032.0,-41998.0,-31.569847856154908,6.30445652374366,906.0,807.0,1456550.0,2394580.0,2. Paid Ad,Naver,-,-,-
channel,2. Paid Ad,revenue,Revenue,DOWN,1695090.0,3169550.0,-1474460.0,-46.51953747377387,6.126413747377388,3018.0,3059.0,1695090.0,3169550.0,2. Paid Ad,-,-,-,-
campaign,2. Paid Ad / Naver / naverbs / cpc / naver_brandsearch_mobile,aov_per_buyer,AOV / Buyer,DOWN,84081.0,122981.0,-38900.0,-31.63090233450696,5.998726822300464,476.0,525.0,924890.0,1352790.0,2. Paid Ad,Naver,naverbs,cpc,naver_brandsearch_mobile
source_medium,2. Paid Ad / Meta / meta / banner,users,Users,DOWN,750.0,1052.0,-302.0,-28.707224334600756,3.8773891001267424,815.0,1130.0,141260.0,379240.0,2. Paid Ad,Meta,meta,banner,-
source_medium,2. Paid Ad / Meta / meta / banner,sessions,Sessions,DOWN,815.0,1130.0,-315.0,-27.876106194690266,3.837610619469027,815.0,1130.0,141260.0,379240.0,2. Paid Ad,Meta,meta,banner,-
media,2. Paid Ad / Meta,sessions,Sessions,DOWN,832.0,1149.0,-317.0,-27.589208006962572,3.8155874673629238,832.0,1149.0,141260.0,379240.0,2. Paid Ad,Meta,-,-,-
media,2. Paid Ad / Meta,users,Users,DOWN,766.0,1066.0,-300.0,-28.14258911819888,3.814258911819888,832.0,1149.0,141260.0,379240.0,2. Paid Ad,Meta,-,-,-
channel,2. Paid Ad,aov_per_buyer,AOV / Buyer,DOWN,89215.0,113198.0,-23983.0,-21.186770084277107,3.810751338951807,3018.0,3059.0,1695090.0,3169550.0,2. Paid Ad,-,-,-,-
channel,2. Paid Ad,purchase,Purchase,DOWN,19.0,31.0,-12.0,-38.70967741935484,3.7806451612903222,3018.0,3059.0,1695090.0,3169550.0,2. Paid Ad,-,-,-,-
source_medium,2. Paid Ad / Naver / naverbs / cpc,signup_cvr,Signup CVR,DOWN,1.2,2.2,-1.0000000000000002,-45.45454545454546,3.3333333333333344,749.0,674.0,1175980.0,2154230.0,2. Paid Ad,Naver,naverbs,cpc,-
media,2. Paid Ad / Naver,signup_cvr,Signup CVR,DOWN,1.0,2.0,-1.0,-50.0,3.3333333333333335,906.0,807.0,1456550.0,2394580.0,2. Paid Ad,Naver,-,-,-
media,2. Paid Ad / Naver,pv_per_user,PV / User,DOWN,8.1,9.9,-1.8000000000000007,-18.181818181818187,3.012121212121213,906.0,807.0,1456550.0,2394580.0,2. Paid Ad,Naver,-,-,-
source_medium,2. Paid Ad / Naver / naverbs / cpc,pv_per_user,PV / User,DOWN,8.9,10.5,-1.5999999999999996,-15.238095238095239,2.6158730158730155,749.0,674.0,1175980.0,2154230.0,2. Paid Ad,Naver,naverbs,cpc,-
channel,3. Organic Traffic,buy_cvr,Buy CVR,UP,0.9,0.2,0.7,350.0,2.3333333333333335,547.0,506.0,564850.0,109980.0,3. Organic Traffic,-,-,-,-
source_medium,2. Paid Ad / Naver / naverbs / cpc,buy_cvr,Buy CVR,DOWN,1.7,2.4,-0.7,-29.166666666666664,2.3333333333333335,749.0,674.0,1175980.0,2154230.0,2. Paid Ad,Naver,naverbs,cpc,-
campaign,6. etc / Other / adwords / ppc / pmax,buy_cvr,Buy CVR,UP,0.7,0.1,0.6,599.9999999999999,2.0,860.0,877.0,501160.0,109200.0,6. etc,Other,adwords,ppc,pmax
media,2. Paid Ad / Naver,buy_cvr,Buy CVR,DOWN,1.8,2.2,-0.40000000000000013,-18.181818181818187,1.333333333333334,906.0,807.0,1456550.0,2394580.0,2. Paid Ad,Naver,-,-,-
channel,2. Paid Ad,signup_cvr,Signup CVR,DOWN,0.5,0.8,-0.30000000000000004,-37.5,1.0000000000000002,3018.0,3059.0,1695090.0,3169550.0,2. Paid Ad,-,-,-,-
channel,2. Paid Ad,buy_cvr,Buy CVR,DOWN,0.6,0.9,-0.30000000000000004,-33.333333333333336,1.0000000000000002,3018.0,3059.0,1695090.0,3169550.0,2. Paid Ad,-,-,-,-
source_medium,2. Paid Ad / Meta / meta / banner,buy_cvr,Buy CVR,DOWN,0.1,0.4,-0.30000000000000004,-75.0,1.0000000000000002,815.0,1130.0,141260.0,379240.0,2. Paid Ad,Meta,meta,banner,-
media,2. Paid Ad / Meta,buy_cvr,Buy CVR,DOWN,0.1,0.4,-0.30000000000000004,-75.0,1.0000000000000002,832.0,1149.0,141260.0,379240.0,2. Paid Ad,Meta,-,-,-
media,2. Paid Ad / Criteo,buy_cvr,Buy CVR,DOWN,0.2,0.5,-0.3,-60.0,1.0,1245.0,1069.0,97280.0,395730.0,2. Paid Ad,Criteo,-,-,-
source_medium,2. Paid Ad / Criteo / criteo / display,buy_cvr,Buy CVR,DOWN,0.2,0.5,-0.3,-60.0,1.0,992.0,835.0,97280.0,318160.0,2. Paid Ad,Criteo,criteo,display,-
campaign,2. Paid Ad / Meta / meta / banner / [PF]A+SC_상시(논타겟),buy_cvr,Buy CVR,DOWN,0.0,0.3,-0.3,-100.0,1.0,215.0,311.0,0.0,37410.0,2. Paid Ad,Meta,meta,banner,[PF]A+SC_상시(논타겟)
source_medium,6. etc / Other / adwords / ppc,buy_cvr,Buy CVR,UP,0.5,0.2,0.3,150.0,1.0,1252.0,1231.0,501160.0,150200.0,6. etc,Other,adwords,ppc,-
campaign,2. Paid Ad / Criteo / criteo / display / 방문_하이브리드 오디언스,buy_cvr,Buy CVR,DOWN,0.2,0.5,-0.3,-60.0,1.0,992.0,835.0,97280.0,318160.0,2. Paid Ad,Criteo,criteo,display,방문_하이브리드 오디언스
