event_dt,channel_group,media_family,source,medium,campaign,content,term,sessions,users,signups,signup_cvr,avg_signup_user_pv,signup_to_buyers,buyers,buy_cvr,purchase_events,purchase,revenue,aov_per_buyer,pv_per_user
2026-08-04,2. Paid Ad,Criteo,criteo,display,방문_하이브리드 오디언스,(not set),(not set),840,731,3,0.4,10.7,3,8,1.0,8,8,660220.0,82528.0,3.7
2026-08-04,2. Paid Ad,Criteo,criteo,banner,da,(not set),(not set),313,280,0,0.0,,0,1,0.3,1,1,41180.0,41180.0,4.3
2026-08-04,2. Paid Ad,Google,google,cpc,sa,(not set),콜롬비아,7,2,0,0.0,,0,0,0.0,0,0,0.0,,20.5
2026-08-04,2. Paid Ad,Google,google,cpc,sa,(not set),콜럼비아,6,3,0,0.0,,0,0,0.0,0,0,0.0,,17.0
2026-08-04,2. Paid Ad,Google,google,cpc,[PF_Pmax] 컬럼비아 상시,(not set),(not set),3,3,0,0.0,,0,0,0.0,0,0,0.0,,22.3
2026-08-04,2. Paid Ad,Google,google,cpc,sa,(not set),컬럼비아스포츠웨어코리아,3,1,0,0.0,,0,0,0.0,0,0,0.0,,211.0
2026-08-04,2. Paid Ad,Google,google,cpc,sa,(not set),컬럼비아,3,2,0,0.0,,0,0,0.0,0,0,0.0,,4.5
2026-08-04,2. Paid Ad,Google,google,cpc,pmax,(not set),(not set),2,1,0,0.0,,0,0,0.0,0,0,0.0,,28.0
2026-08-04,2. Paid Ad,Google,google,cpc,sa,(not set),컬럼비아등산화,1,1,0,0.0,,0,0,0.0,0,0,0.0,,5.0
2026-08-04,2. Paid Ad,Kakao,place.map.kakao.com,referral,(referral),(not set),(not set),1,1,0,0.0,,0,0,0.0,0,0,0.0,,1.0
2026-08-04,2. Paid Ad,Meta,meta,banner,[PF]트래픽_서포터즈_관심사,260421_meta_트래픽_n_pf_서포터즈,120253066739710427,681,673,0,0.0,,0,0,0.0,0,0,0.0,,1.1
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_상시(2565MF,비구매자30일)",260730_meta_전환_n_pf_클리어런스_이미지_1,120250335385590427,246,228,2,0.8,26.0,2,3,1.2,3,3,185080.0,61693.0,3.4
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_신상품 카탈로그(1865,관심사)",26년 신상품,120245390860620427,105,100,1,1.0,12.0,1,2,1.9,2,2,110280.0,55140.0,4.0
2026-08-04,2. Paid Ad,Meta,meta,banner,[PF]A+SC_상시(논타겟),260528_meta_A+SC_n_pf_NEWARRIVAL_모델_제품_이미지_2,120253025709500427,101,97,0,0.0,,0,0,0.0,0,0,0.0,,2.3
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_신상품 카탈로그(1865,관심사) - 사본",26년 여름 시즌오프,120250521501990427,76,66,1,1.3,44.0,0,1,1.3,1,1,117200.0,117200.0,3.9
2026-08-04,2. Paid Ad,Meta,meta,banner,[PF]A+SC_상시(논타겟),260803_meta_A+SC_n_pf_클리어런스_이미지_2,120253025709500427,74,71,1,1.4,14.0,0,0,0.0,0,0,0.0,,3.9
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_썸머클리어런스 카탈로그(1865,관심사)",26년 썸머 클리어런스,120253257395820427,74,73,1,1.4,28.0,1,2,2.7,2,2,69710.0,34855.0,3.5
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_시즌오프 카탈로그(1865,관심사)",26년 여름 시즌오프,120250521501990427,40,37,0,0.0,,0,1,2.5,1,1,111200.0,111200.0,2.8
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_상시(2565MF,비구매자30일)",260803_meta_전환_n_pf_클리어런스_이미지_2,120250335385590427,38,34,0,0.0,,0,0,0.0,0,0,0.0,,2.9
2026-08-04,2. Paid Ad,Meta,meta,banner,[PF]A SC_상시(논타겟),260803_meta_A SC_n_pf_클리어런스_이미지_2,120253025709500427,37,23,0,0.0,,0,0,0.0,0,0,0.0,,6.0
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_상시(2565MF,비구매자30일)",260528_meta_전환_n_pf_NEWARRIVAL_모델_제품_이미지_2,120250335385590427,27,25,0,0.0,,0,0,0.0,0,0,0.0,,3.8
2026-08-04,2. Paid Ad,Meta,meta,banner,[PF]A+SC_상시(논타겟),260803_meta_A+SC_n_pf_클리어런스_이미지_1,120253025709500427,25,24,0,0.0,,0,0,0.0,0,0,0.0,,2.0
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_시즌오프 카탈로그(1865,관심사)",26년 여름 시즌오프_Group_1,120250521501990427,24,24,0,0.0,,0,0,0.0,0,0,0.0,,2.3
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_상시(2565MF,비구매자30일)",260721_meta_전환_n_pf_자외선차단_이미지_2,120250335385590427,19,11,0,0.0,,0,0,0.0,0,0,0.0,,4.5
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_상시(2565MF,비구매자30일)",260702_meta_전환_n_pf_시즌오프2차_이미지_3,120250335385590427,17,16,0,0.0,,0,0,0.0,0,0,0.0,,2.7
2026-08-04,2. Paid Ad,Meta,meta,banner,{{adset.name}},{{ad.name}},(not set),13,13,0,0.0,,0,0,0.0,0,0,0.0,,1.2
2026-08-04,2. Paid Ad,Meta,meta,banner,[PF]A SC_상시(논타겟),260803_meta_A SC_n_pf_클리어런스_이미지_1,120253025709500427,9,9,0,0.0,,0,0,0.0,0,0,0.0,,5.1
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_상시(2565MF,비구매자30일)",260702_meta_전환_n_pf_시즌오프2차_이미지_1,120250335385590427,8,8,0,0.0,,0,0,0.0,0,0,0.0,,1.8
2026-08-04,2. Paid Ad,Meta,meta,banner,"[PF]전환_시즌오프 카탈로그(1865,관심사)",26년 여름 시즌오프,(not set),8,8,0,0.0,,0,0,0.0,0,0,0.0,,3.1
