product_code,product_name_kor,product_name,product_style,sex_label,product_year,product_season,source_image_url,orders,buyers,quantity,revenue,unit_revenue,revenue_per_order,image_url,image_source
C75YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,C75YU0369,UNISEX,,,,163,161,408,21650370,53064.632352941175,132824.35582822087,assets/product_images/C75YU0369010.jpg,excel_map+downloaded
C75BI8634083,남성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,C75BI8634,MALE,,,,76,76,78,13778570,176648.33333333334,181296.97368421053,assets/product_images/C75BI8634083.jpg,excel_map+downloaded
C75YU0366010,공용 레드우드 30L 뉴 플러스 백팩,REDWOOD™30 N.PLUS BACKPACK,C75YU0366,UNISEX,,,,106,106,106,12843950,121169.3396226415,121169.3396226415,assets/product_images/C75YU0366010.jpg,excel_map+downloaded
C75BI8634010,[추영우 착용] 남성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,C75BI8634,MALE,,,,71,68,71,12205360,171906.47887323942,171906.47887323942,assets/product_images/C75BI8634010.jpg,excel_map+downloaded
C75BI0652089,남성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD MID WATERPROOF WIDE,C75BI0652,MALE,,,,78,78,78,8578830,109985.0,109985.0,assets/product_images/C75BI0652089.jpg,excel_map+downloaded
C75BM1935010,남성 PFG 프로 스포츠 레인 부츠,PFG PRO SPORT BOOT,C75BM1935,MALE,,,,57,56,57,7891580,138448.77192982455,138448.77192982455,assets/product_images/C75BM1935010.jpg,excel_map+downloaded
C75BK8634083,여성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,C75BK8634,FEMALE,,,,29,29,33,5929990,179696.66666666666,204482.41379310345,assets/product_images/C75BK8634083.jpg,excel_map+downloaded
C72AE5094214,공용 애커 록 컨버터블 팬츠,Acker Rock Convertible Pant,C72AE5094,UNISEX,,,,51,51,51,5548390,108791.96078431372,108791.96078431372,assets/product_images/C72AE5094214.jpg,excel_map+downloaded
C75YE6448010,남성 트랜스 트레일 워터프루프,TRANS TRAIL WATERPROOF,C75YE6448,MALE,,,,44,44,45,5530520,122900.44444444444,125693.63636363637,assets/product_images/C75YE6448010.jpg,excel_map+downloaded
C72AE5094011,공용 애커 록 컨버터블 팬츠,Acker Rock Convertible Pant,C72AE5094,UNISEX,,,,41,40,44,5004660,113742.27272727272,122064.87804878049,assets/product_images/C72AE5094011.jpg,excel_map+downloaded
C75BK0998097,여성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD MID WATERPROOF WIDE,C75BK0998,FEMALE,,,,46,46,46,4932470,107227.60869565218,107227.60869565218,assets/product_images/C75BK0998097.jpg,excel_map+downloaded
C71AR5760127,[공식몰 단독] 여성 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Cropped Half Snap,C71AR5760,FEMALE,,,,68,67,68,4919130,72340.14705882352,72340.14705882352,assets/product_images/C71AR5760127.jpg,excel_map+downloaded
C75BK0998096,여성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD™ MID WATERPROOF WIDE,C75BK0998,FEMALE,,,,45,45,45,4896100,108802.22222222222,108802.22222222222,assets/product_images/C75BK0998096.jpg,excel_map+downloaded
C75BM7473010,[추영우 착용] 남성 코노스 트릴리움 ATR 트레일 러닝화,KONOS TRILLIUM ATR,C75BM7473,MALE,,,,34,34,34,4786172,140769.76470588235,140769.76470588235,assets/product_images/C75BM7473010.jpg,excel_map+downloaded
C75BI1209053,남성 크레스트우드 로우 워터프루프 와이드핏,CRESTWOOD WATERPROOF WIDE,C75BI1209,MALE,,,,46,46,46,4693630,102035.43478260869,102035.43478260869,assets/product_images/C75BI1209053.jpg,excel_map+downloaded
C75BI8634845,[추영우 착용] 남성 텔루릭스 타이타늄 아웃드라이 와이드,TELLURIX TITANIUM OUTDRY WIDE,C75BI8634,MALE,,,,26,26,26,4550130,175005.0,175005.0,assets/product_images/C75BI8634845.jpg,excel_map+downloaded
C71XE9920464,공용 센트릴리엄 II 3 레이어 방수 자켓,Centrillium II Jacket,C71XE9920,UNISEX,,,,21,21,21,4459620,212362.85714285713,212362.85714285713,assets/product_images/C71XE9920464.jpg,excel_map+downloaded
C71AE4498227,[공식몰 단독] 공용 헬베시아 II 프린티드 하프스냅 플리스 풀오버,Helvetia II Printed Half Snap Fleece,C71AE4498,UNISEX,,,,62,61,62,4407970,71096.29032258065,71096.29032258065,assets/product_images/C71AE4498227.jpg,excel_map+downloaded
C75YU0369060,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,C75YU0369,UNISEX,,,,81,77,87,4360520,50120.91954022989,53833.58024691358,assets/product_images/C75YU0369060.jpg,excel_map+downloaded
C75BI9168096,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,C75BI9168,MALE,,,,30,28,31,4320700,139377.4193548387,144023.33333333334,assets/product_images/C75BI9168096.jpg,excel_map+downloaded
C75BI0652231,남성 크레스트우드 미드 워터프루프 와이드핏,CRESTWOOD MID WATERPROOF WIDE,C75BI0652,MALE,,,,39,39,39,4281420,109780.0,109780.0,assets/product_images/C75BI0652231.jpg,excel_map+downloaded
C75YU0367010,공용 레드우드 35L 백팩,REDWOOD™35 BACKPACK,C75YU0367,UNISEX,,,,34,33,34,4271870,125643.23529411765,125643.23529411765,assets/product_images/C75YU0367010.jpg,excel_map+downloaded
C71XE9920010,[추영우 착용] 공용 센트릴리엄 II 3 레이어 방수 자켓,Centrillium II Jacket,C71XE9920,UNISEX,,,,20,20,20,4175800,208790.0,208790.0,assets/product_images/C71XE9920010.jpg,excel_map+downloaded
C75YM5970010,남성 쓰라이브 리바이브 맥스 브리즈 메쉬 샌들,THRIVE REVIVE MX BREEZE,C75YM5970,MALE,,,,33,32,34,4162670,122431.4705882353,126141.51515151515,assets/product_images/C75YM5970010.jpg,excel_map+downloaded
C71AE8980010,남성 실버 릿지 엘리트 컨버터블 팬츠,Silver Ridge Elite Convertible Pant,C71AE8980,MALE,,,,37,36,38,4066440,107011.57894736843,109903.78378378379,assets/product_images/C71AE8980010.jpg,excel_map+downloaded
C75BM7473803,남성 코노스 트릴리움 ATR 트레일 러닝화,KONOS TRILLIUM ATR,C75BM7473,MALE,,,,25,25,25,3551730,142069.2,142069.2,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM7473803.jpg,styleship_cdn_pattern
C75BI9168010,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,C75BI9168,MALE,,,,23,22,23,3500500,152195.65217391305,152195.65217391305,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BI9168010.jpg,styleship_cdn_pattern
C71AE8947010,남성 ROC 테크 카고 팬츠,ROC Tech Cargo Pant,C71AE8947,MALE,,,,36,36,38,3498460,92064.73684210527,97179.44444444444,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71AE8947010.jpg,styleship_cdn_pattern
C72FM8467019,[공식몰 단독] 남성 PFG 쉐도우캐스터 OFZ 바라클라바 후디 티셔츠,Shadowcaster Zero Hoodie,C72FM8467,MALE,,,,26,25,32,3491040,109095.0,134270.76923076922,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM8467019.jpg,styleship_cdn_pattern
C75BM0303010,남성 코노스 스피드 트레일 ATR,KONOS SPEED TRAIL ATR,C75BM0303,MALE,,,,25,23,27,3455800,127992.5925925926,138232.0,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM0303010.jpg,styleship_cdn_pattern
C71YM3502494,남성 카우 마운틴 2L 방수 자켓,M's Cow Mountain 2L Jacket,C71YM3502,MALE,,,,14,14,14,3356010,239715.0,239715.0,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71YM3502494.jpg,styleship_cdn_pattern
C75BM0303338,[추영우 착용] 남성 코노스 스피드 트레일 ATR,KONOS SPEED TRAIL ATR,C75BM0303,MALE,,,,22,21,23,3327300,144665.21739130435,151240.9090909091,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BM0303338.jpg,styleship_cdn_pattern
C75YM5970395,남성 쓰라이브 리바이브 맥스 브리즈 메쉬 샌들,THRIVE REVIVE MX BREEZE,C75YM5970,MALE,,,,26,26,26,3227410,124131.15384615384,124131.15384615384,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75YM5970395.jpg,styleship_cdn_pattern
