member_grade_label,first_order_price_band,second_category,transition_buyers,second_orders,revenue,transition_rate,rank_in_band,quantity
FAMILY,12~20만원,라운드티,89,89,5719720,0.03952042628774423,3,0
FAMILY,12~20만원,긴바지,63,63,6512450,0.02797513321492007,4,0
FAMILY,12~20만원,셋업,62,62,6630700,0.027531083481349913,5,0
FAMILY,20만원 이상,라운드티,63,63,7791410,0.04656319290465632,3,0
FAMILY,20만원 이상,긴바지,46,46,5975180,0.03399852180339985,4,0
FAMILY,20만원 이상,셋업,38,38,8614340,0.028085735402808575,5,0
FAMILY,3~7만원,라운드티,210,210,8718790,0.061637804520105664,3,0
FAMILY,3~7만원,긴바지,135,135,8817410,0.03962430290578221,4,0
FAMILY,3~7만원,셋업,89,89,5998500,0.026122688582330494,5,0
FAMILY,3만원 미만,라운드티,56,56,1792460,0.044657097288676235,3,0
FAMILY,3만원 미만,긴바지,29,29,1445840,0.023125996810207338,4,0
FAMILY,3만원 미만,자켓/ 베스트,24,24,826411,0.019138755980861243,5,0
FAMILY,7~12만원,라운드티,134,134,6999480,0.04363399544122436,3,0
FAMILY,7~12만원,긴바지,104,104,8755340,0.03386519049169651,4,0
FAMILY,7~12만원,셋업,95,95,7368780,0.030934549006838164,5,0
GOLD,12~20만원,긴바지,1,1,62300,0.2,2,0
GOLD,20만원 이상,등산화,1,1,442720,0.04,3,0
GOLD,20만원 이상,셋업,1,1,275640,0.04,4,0
GOLD,20만원 이상,미드/롱다운,1,1,265525,0.04,5,0
GOLD,3~7만원,카고/조거,1,1,85020,0.1,2,0
GOLD,3~7만원,라운드티,1,1,47430,0.1,3,0
GOLD,7~12만원,셋업,2,2,252370,0.14285714285714285,2,0
GOLD,7~12만원,라운드티,2,2,154480,0.14285714285714285,4,0
GOLD,7~12만원,폴로티/집업,1,1,89960,0.07142857142857142,5,0
SILVER,12~20만원,셋업,10,10,1260990,0.06289308176100629,3,0
SILVER,12~20만원,긴바지,8,8,784380,0.050314465408805034,4,0
SILVER,12~20만원,자켓/ 베스트,5,5,722780,0.031446540880503145,5,0
SILVER,20만원 이상,라운드티,15,15,1204710,0.04807692307692308,3,0
SILVER,20만원 이상,셋업,13,13,2191050,0.041666666666666664,4,0
SILVER,20만원 이상,긴바지,9,9,4004000,0.028846153846153848,5,0
SILVER,3~7만원,라운드티,9,9,618570,0.0703125,3,0
SILVER,3~7만원,긴바지,8,8,708760,0.0625,4,0
SILVER,3~7만원,셋업,4,4,608640,0.03125,5,0
SILVER,3만원 미만,UNKNOWN,1,1,101410,0.09090909090909091,3,0
SILVER,7~12만원,맨투맨/후드티,6,6,372470,0.05128205128205128,3,0
SILVER,7~12만원,라운드티,5,5,642990,0.042735042735042736,4,0
SILVER,7~12만원,긴바지,5,5,493980,0.042735042735042736,5,0
TITANIUM,20만원 이상,셋업,2,2,1588500,0.125,2,0
TITANIUM,20만원 이상,인터체인지 (3 in 1),1,1,1185000,0.0625,3,0
TITANIUM,20만원 이상,긴바지,1,1,159000,0.0625,5,0
