member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue,transition_rate,avg_days_to_second,median_days_to_second,suggested_send_day,recommendation_score,rank_in_grade
FAMILY,라운드티,라운드티,171,171,204,8076730,0.1794333683105981,80.73099415204679,34,27,487.9993906356344,16
GOLD,셋업,긴바지,1,1,1,62300,1.0,64.0,64,57,11.03973275601109,13
GOLD,상의,셋업,1,1,1,137820,0.5,25.0,25,18,5.916855510362914,15
GOLD,자켓/ 베스트,등산화,1,1,1,110680,0.5,3.0,3,3,5.807203734458032,16
GOLD,라운드티,라운드티,2,2,3,136210,0.18181818181818182,82.5,40,33,4.298894702916114,18
GOLD,장갑,셋업,1,1,1,83510,0.3333333333333333,80.0,80,73,3.777577879563133,20
SILVER,긴바지,긴바지,14,14,18,1548820,0.27450980392156865,53.92857142857143,18,11,54.77625279690545,13
SILVER,반바지,긴바지,5,5,6,413090,0.38461538461538464,79.6,49,42,24.86812151279837,20
TITANIUM,셋업,셋업,2,2,4,529500,0.25,6.0,4,3,6.5898451662979705,7
TITANIUM,하이킹,셋업,1,1,1,132300,0.5,8.0,8,3,5.896417454326734,8
TITANIUM,반바지,셋업,1,1,3,397200,0.2,4.0,4,3,2.57843954575467,11
TITANIUM,반바지,인터체인지 (3 in 1),1,1,1,395000,0.2,4.0,4,3,2.577328715105125,12
TITANIUM,반바지,긴바지,1,1,1,53000,0.2,4.0,4,3,2.175613212056158,15
TITANIUM,셋업,인터체인지 (3 in 1),1,1,1,395000,0.125,4.0,4,3,1.610830446940703,16
TITANIUM,셋업,긴바지,1,1,1,53000,0.125,4.0,4,3,1.3597582575350988,18
