member_grade_label,first_category,first_buyers,second_buyers,not_yet_second_buyers,second_purchase_rate,second_purchase_gap_rate,edm_opportunity_score,avg_days_to_second,median_days_to_second,transition_buyers,second_orders,quantity,revenue,transition_rate
FAMILY,라운드티,1819,805,1014,0.44255085211654754,0.5574491478834525,1014.0,154.99006211180122,103,0,0,0,0,0
FAMILY,등산화,976,190,786,0.19467213114754098,0.805327868852459,786.0,127.8736842105263,61,0,0,0,0,0
FAMILY,하이킹,843,207,636,0.24555160142348753,0.7544483985765125,636.0,142.6183574879227,73,0,0,0,0,0
FAMILY,긴바지,1125,520,605,0.4622222222222222,0.5377777777777778,605.0,152.0653846153846,86,0,0,0,0,0
FAMILY,셋업,945,386,559,0.4084656084656085,0.5915343915343916,559.0,136.9145077720207,71,0,0,0,0,0
FAMILY,UNKNOWN,669,204,465,0.30493273542600896,0.695067264573991,465.0,142.6764705882353,78,0,0,0,0,0
FAMILY,자켓/ 베스트,595,201,394,0.3378151260504202,0.6621848739495798,394.0,130.34328358208955,64,0,0,0,0,0
FAMILY,가방,501,141,360,0.281437125748503,0.718562874251497,360.0,178.8581560283688,128,0,0,0,0,0
FAMILY,미드/롱다운,375,81,294,0.216,0.784,294.0,149.30864197530863,74,0,0,0,0,0
FAMILY,반바지,470,200,270,0.425531914893617,0.574468085106383,270.0,147.44000000000003,100,0,0,0,0,0
FAMILY,바람막이,402,144,258,0.3582089552238806,0.6417910447761195,258.00000000000006,129.38888888888889,89,0,0,0,0,0
FAMILY,볼캡,255,60,195,0.23529411764705882,0.7647058823529411,195.0,122.43333333333332,59,0,0,0,0,0
FAMILY,상의,295,111,184,0.376271186440678,0.623728813559322,183.99999999999997,135.91891891891893,67,0,0,0,0,0
FAMILY,액세서리,251,91,160,0.36254980079681276,0.6374501992031872,160.0,127.89010989010988,71,0,0,0,0,0
FAMILY,부츠,185,35,150,0.1891891891891892,0.8108108108108107,150.0,130.31428571428572,52,0,0,0,0,0
FAMILY,맨투맨/후드티,204,71,133,0.3480392156862745,0.6519607843137255,133.0,103.15492957746477,68,0,0,0,0,0
FAMILY,자켓/베스트,168,58,110,0.34523809523809523,0.6547619047619048,110.0,124.10344827586208,60,0,0,0,0,0
FAMILY,폴로티/집업,131,42,89,0.32061068702290074,0.6793893129770993,89.0,164.26190476190476,67,0,0,0,0,0
FAMILY,패딩/슬림다운,110,31,79,0.2818181818181818,0.7181818181818183,79.00000000000001,109.58064516129032,51,0,0,0,0,0
FAMILY,스니커즈,116,38,78,0.3275862068965517,0.6724137931034483,78.0,127.10526315789474,96,0,0,0,0,0
FAMILY,장갑,83,25,58,0.30120481927710846,0.6987951807228916,58.0,93.6,31,0,0,0,0,0
FAMILY,햇,71,25,46,0.352112676056338,0.647887323943662,46.0,133.56,83,0,0,0,0,0
FAMILY,다운/ 패딩,49,10,39,0.20408163265306123,0.7959183673469388,39.0,20.3,6,0,0,0,0,0
FAMILY,트레일러닝,72,34,38,0.4722222222222222,0.5277777777777778,38.0,167.8235294117647,107,0,0,0,0,0
FAMILY,셔츠,47,22,25,0.46808510638297873,0.5319148936170213,25.0,155.40909090909088,30,0,0,0,0,0
FAMILY,인터체인지 (3 in 1),38,13,25,0.34210526315789475,0.6578947368421053,25.0,143.84615384615384,39,0,0,0,0,0
FAMILY,방수자켓,55,31,24,0.5636363636363636,0.4363636363636364,24.000000000000004,126.58064516129033,81,0,0,0,0,0
FAMILY,크로스/토트백,23,3,20,0.13043478260869565,0.8695652173913043,20.0,171.0,128,0,0,0,0,0
FAMILY,캡,28,15,13,0.5357142857142857,0.4642857142857143,13.0,102.4,46,0,0,0,0,0
FAMILY,카고/조거,21,12,9,0.5714285714285714,0.4285714285714286,9.0,121.0,30,0,0,0,0,0
FAMILY,버킷/부니,9,3,6,0.3333333333333333,0.6666666666666667,6.000000000000001,39.666666666666664,49,0,0,0,0,0
SILVER,미드/롱다운,19,13,6,0.6842105263157895,0.3157894736842105,6.0,131.46153846153845,75,0,0,0,0,0
FAMILY,캐주얼,7,2,5,0.2857142857142857,0.7142857142857143,5.0,54.0,32,0,0,0,0,0
SILVER,자켓/ 베스트,25,21,4,0.84,0.16000000000000003,4.000000000000001,25.095238095238095,17,0,0,0,0,0
FAMILY,폴로/집업티,8,4,4,0.5,0.5,4.0,173.0,96,0,0,0,0,0
SILVER,셋업,35,32,3,0.9142857142857143,0.08571428571428574,3.000000000000001,98.53125,37,0,0,0,0,0
SILVER,긴바지,43,40,3,0.9302325581395349,0.06976744186046513,3.0000000000000004,110.75,37,0,0,0,0,0
SILVER,바람막이,13,11,2,0.8461538461538461,0.15384615384615385,2.0,69.27272727272728,42,0,0,0,0,0
SILVER,장갑,4,2,2,0.5,0.5,2.0,5.0,4,0,0,0,0,0
SILVER,인터체인지 (3 in 1),3,1,2,0.3333333333333333,0.6666666666666667,2.0,0.0,0,0,0,0,0,0
SILVER,라운드티,43,41,2,0.9534883720930233,0.046511627906976716,1.9999999999999987,92.73170731707319,60,0,0,0,0,0
SILVER,하이킹,18,17,1,0.9444444444444444,0.05555555555555558,1.0000000000000004,92.76470588235294,53,0,0,0,0,0
SILVER,맨투맨/후드티,8,7,1,0.875,0.125,1.0,157.00000000000003,183,0,0,0,0,0
SILVER,볼캡,4,3,1,0.75,0.25,1.0,78.33333333333334,41,0,0,0,0,0
SILVER,액세서리,4,3,1,0.75,0.25,1.0,116.66666666666667,92,0,0,0,0,0
SILVER,부츠,3,2,1,0.6666666666666666,0.33333333333333337,1.0,289.5,217,0,0,0,0,0
SILVER,등산화,15,14,1,0.9333333333333333,0.06666666666666665,0.9999999999999998,93.64285714285715,50,0,0,0,0,0
SILVER,상의,6,5,1,0.8333333333333334,0.16666666666666663,0.9999999999999998,82.4,54,0,0,0,0,0
SILVER,자켓/베스트,5,4,1,0.8,0.19999999999999996,0.9999999999999998,40.0,17,0,0,0,0,0
SILVER,UNKNOWN,16,16,0,1.0,0.0,0.0,84.9375,23,0,0,0,0,0
SILVER,반바지,10,10,0,1.0,0.0,0.0,94.7,60,0,0,0,0,0
GOLD,라운드티,8,8,0,1.0,0.0,0.0,41.125,3,0,0,0,0,0
SILVER,가방,6,6,0,1.0,0.0,0.0,150.0,47,0,0,0,0,0
SILVER,셔츠,5,5,0,1.0,0.0,0.0,52.2,60,0,0,0,0,0
SILVER,폴로티/집업,4,4,0,1.0,0.0,0.0,62.25,7,0,0,0,0,0
GOLD,긴바지,4,4,0,1.0,0.0,0.0,50.50000000000001,3,0,0,0,0,0
SILVER,햇,3,3,0,1.0,0.0,0.0,24.333333333333332,21,0,0,0,0,0
TITANIUM,셋업,3,3,0,1.0,0.0,0.0,178.33333333333334,8,0,0,0,0,0
