member_grade_label,category,orders,buyers,products,quantity,revenue,rank_in_grade
FAMILY,남성,42132,28852,1889,54931,3927554507,1
FAMILY,여성,7024,5774,505,7879,811373215,2
FAMILY,미드/롱다운,463,441,8,474,150233003,3
FAMILY,등산화,1313,1216,67,1353,149277000,4
FAMILY,셋업,1600,1443,84,1828,134703466,5
FAMILY,라운드티,2907,2476,91,3505,134060150,6
FAMILY,긴바지,1848,1653,61,1959,133593590,7
FAMILY,하이킹,1023,986,18,1063,96586820,8
FAMILY,자켓/ 베스트,980,924,49,1070,86841305,9
FAMILY,UNKNOWN,911,888,35,981,77944135,10
GOLD,남성,482,51,527,970,83357724,1
GOLD,여성,83,26,85,116,14054680,2
GOLD,셋업,28,18,21,48,4443380,3
GOLD,바람막이,10,8,7,47,4230344,4
GOLD,긴바지,26,15,17,31,2075550,5
GOLD,라운드티,32,17,30,46,1845280,6
GOLD,등산화,12,10,7,13,1496680,7
GOLD,인터체인지 (3 in 1),3,3,3,3,1411890,8
GOLD,자켓/베스트,10,5,6,16,1056760,9
GOLD,패딩/슬림다운,9,6,5,10,971430,10
SILVER,남성,2972,689,1322,4869,450191168,1
SILVER,여성,518,252,280,675,81503726,2
SILVER,셋업,180,136,66,214,17743670,3
SILVER,미드/롱다운,55,50,8,58,16788916,4
SILVER,긴바지,189,123,43,215,14762210,5
SILVER,라운드티,198,125,61,259,10558830,6
SILVER,등산화,68,55,33,78,8896595,7
SILVER,바람막이,63,55,18,87,8380462,8
SILVER,UNKNOWN,64,54,22,91,7531150,9
SILVER,자켓/ 베스트,63,58,28,68,6119185,10
TITANIUM,남성,223,14,274,823,64752145,1
TITANIUM,여성,23,7,27,31,3758390,2
TITANIUM,셋업,20,8,22,35,3001650,3
TITANIUM,긴바지,7,5,12,13,987420,4
TITANIUM,패딩/슬림다운,4,3,3,5,679210,5
TITANIUM,바람막이,5,2,2,5,577060,6
TITANIUM,자켓/ 베스트,3,2,3,4,563290,7
TITANIUM,인터체인지 (3 in 1),1,1,1,1,395000,8
TITANIUM,미드/롱다운,1,1,1,1,327670,9
TITANIUM,라운드티,5,3,7,7,318060,10
