member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,쿠폰명 미확인,포인트 사용,일반 상품,18826,16719,23065,1873586040,99521.19621799639
FAMILY,쿠폰 사용,쿠폰명 미확인,포인트 미사용,일반 상품,9582,7143,15201,1243283123,129751.94353997077
FAMILY,쿠폰 미사용,쿠폰 미사용,포인트 사용,일반 상품,17105,11516,22204,1118469502,65388.453785442856
FAMILY,쿠폰 미사용,쿠폰 미사용,포인트 미사용,일반 상품,6600,5413,8710,679065415,102888.69924242425
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 12월 신규회원 5000원 할인,포인트 사용,일반 상품,451,451,540,77908180,172745.41019955653
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,373,373,468,63069250,169086.46112600536
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,572,572,797,53036806,92721.68881118881
FAMILY,쿠폰 사용,2025년 12월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,344,344,411,52025510,151236.9476744186
FAMILY,쿠폰 사용,2026년 1월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,296,296,354,43966100,148534.12162162163
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 12월 신규회원 5000원 할인,포인트 미사용,일반 상품,209,209,236,37927740,181472.44019138755
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,322,322,427,31769768,98663.87577639752
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 미사용,일반 상품,171,171,201,31275450,182897.36842105264
FAMILY,쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 사용,일반 상품,228,228,285,27147480,119067.8947368421
FAMILY,쿠폰 사용,2025년 12월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,137,137,172,24347150,177716.42335766423
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 2월 신규회원 5000원 할인,포인트 사용,일반 상품,160,160,197,23843705,149023.15625
FAMILY,쿠폰 사용,등급할인10%,포인트 사용,일반 상품,400,400,400,23069680,57674.2
FAMILY,쿠폰 사용,2026년 2월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,169,169,206,21503280,127238.34319526626
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,173,173,209,21410510,123760.17341040462
FAMILY,쿠폰 사용,★ 단체 구매 10% 할인,포인트 미사용,일반 상품,3,2,100,21013650,7004550.0
FAMILY,쿠폰 사용,26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,99,93,169,20592190,208001.91919191918
FAMILY,쿠폰 사용,2026년 1월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,107,107,131,19076310,178283.2710280374
FAMILY,쿠폰 사용,★ 단체 구매 20% 할인,포인트 미사용,일반 상품,2,1,344,18988800,9494400.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 5월 신규회원 5000원 할인,포인트 사용,일반 상품,135,135,197,17404890,128925.11111111111
