member_grade_label,month,orders,buyers,quantity,revenue,aov
FAMILY,2024-04,919,836,1274,96222960,104703.98258977149
FAMILY,2024-05,1841,1660,2680,191157700,103833.62303096143
FAMILY,2024-06,1924,1727,2835,183485300,95366.58004158005
FAMILY,2024-07,2015,1799,2730,173302060,86005.98511166254
FAMILY,2024-08,1454,1354,2236,138878510,95514.79367262723
FAMILY,2024-09,2471,2318,3383,182764126,73963.62849048967
FAMILY,2024-10,1818,1652,2509,225969684,124295.75577557756
FAMILY,2024-11,3604,3292,4632,482957345,134005.92258601554
FAMILY,2024-12,3770,3420,4991,514350311,136432.44323607426
FAMILY,2025-01,4432,4091,5452,352534019,79542.8743231047
FAMILY,2025-02,1735,1608,2162,197243140,113684.80691642652
FAMILY,2025-03,1601,1476,2260,165752109,103530.3616489694
FAMILY,2025-04,1863,1662,2804,166347245,89289.98658078368
FAMILY,2025-05,2069,1893,2693,150638790,72807.53504108265
FAMILY,2025-06,2089,1918,2846,168884750,80844.78219243657
FAMILY,2025-07,2322,2076,3343,206691455,89014.40783807063
FAMILY,2025-08,1492,1372,2187,127477330,85440.56970509383
FAMILY,2025-09,2167,2012,2976,191614876,88424.03137978773
FAMILY,2025-10,3271,3080,4269,251906068,77011.94374808927
FAMILY,2025-11,2911,2665,3801,365330530,125500.01030573685
FAMILY,2025-12,3349,3095,4520,451142820,134709.71036130187
FAMILY,2026-01,2516,2286,3317,324723456,129063.37678855326
FAMILY,2026-02,3479,3267,4704,269621369,77499.67490658235
FAMILY,2026-03,1473,1333,1986,170870780,116001.88730482009
FAMILY,2026-04,1868,1680,2938,220460540,118019.56102783726
FAMILY,2026-05,2646,2449,3603,221245758,83615.1768707483
FAMILY,2026-06,135,133,203,15501020,114822.37037037036
GOLD,2024-04,5,4,5,419260,83852.0
GOLD,2024-05,10,5,13,1196760,119676.0
GOLD,2024-06,15,8,25,1461740,97449.33333333333
GOLD,2024-07,10,5,12,871940,87194.0
GOLD,2024-08,11,5,22,1102580,100234.54545454546
GOLD,2024-09,13,8,18,1097480,84421.53846153847
GOLD,2024-10,18,10,26,1987400,110411.11111111111
GOLD,2024-11,22,12,39,4636350,210743.18181818182
GOLD,2024-12,31,15,44,4280710,138087.4193548387
GOLD,2025-01,28,16,36,4578830,163529.64285714287
GOLD,2025-02,26,14,40,3013030,115885.76923076923
GOLD,2025-03,22,11,41,3652654,166029.72727272726
GOLD,2025-04,23,13,44,3515370,152842.1739130435
GOLD,2025-05,30,23,96,8075940,269198.0
GOLD,2025-06,39,22,82,7835470,200909.4871794872
GOLD,2025-07,32,17,67,4638150,144942.1875
GOLD,2025-08,29,16,82,5836680,201264.8275862069
GOLD,2025-09,33,22,197,9224990,279545.1515151515
GOLD,2025-10,62,27,119,13168979,212402.88709677418
GOLD,2025-11,43,21,109,12792255,297494.3023255814
GOLD,2025-12,58,27,114,16332580,281596.2068965517
GOLD,2026-01,20,11,39,4195270,209763.5
GOLD,2026-02,22,15,36,3152030,143274.0909090909
GOLD,2026-03,13,6,38,2546890,195914.61538461538
GOLD,2026-04,18,11,26,1975980,109776.66666666667
GOLD,2026-05,21,14,33,2138100,101814.28571428571
SILVER,2024-04,30,23,43,3958500,131950.0
SILVER,2024-05,63,47,125,8972070,142413.80952380953
SILVER,2024-06,81,62,150,10346580,127735.55555555556
SILVER,2024-07,76,57,140,7679810,101050.13157894737
SILVER,2024-08,66,51,137,7651250,115928.0303030303
SILVER,2024-09,82,67,137,9358610,114129.39024390244
SILVER,2024-10,80,56,131,12938259,161728.2375
SILVER,2024-11,156,111,247,27789880,178140.2564102564
SILVER,2024-12,169,121,245,25843860,152922.24852071007
SILVER,2025-01,290,187,470,46624350,160773.62068965516
SILVER,2025-02,217,161,427,41248459,190085.06451612903
SILVER,2025-03,160,123,275,23631700,147698.125
SILVER,2025-04,220,144,373,27381805,124462.75
SILVER,2025-05,218,159,339,25321760,116154.8623853211
SILVER,2025-06,166,129,336,23204680,139787.22891566265
SILVER,2025-07,260,179,542,37687700,144952.6923076923
SILVER,2025-08,135,99,241,15454410,114477.11111111111
SILVER,2025-09,164,117,306,22913150,139714.32926829267
SILVER,2025-10,228,171,358,34708900,152232.01754385966
SILVER,2025-11,371,270,616,93952795,253242.03504043128
SILVER,2025-12,333,254,694,91573660,274995.975975976
SILVER,2026-01,95,75,152,13039810,137261.15789473685
SILVER,2026-02,146,126,204,13646325,93467.97945205479
SILVER,2026-03,67,53,102,10181560,151963.58208955225
SILVER,2026-04,100,79,191,14052890,140528.9
SILVER,2026-05,151,123,265,16216329,107392.90728476821
SILVER,2026-06,3,3,5,324770,108256.66666666667
TITANIUM,2024-05,3,1,11,854400,284800.0
TITANIUM,2024-07,4,3,17,1098410,274602.5
TITANIUM,2024-08,2,2,10,405400,202700.0
TITANIUM,2024-09,4,3,5,442720,110680.0
TITANIUM,2024-10,7,3,10,1533110,219015.7142857143
TITANIUM,2024-11,22,5,29,3227680,146712.72727272726
TITANIUM,2024-12,33,4,44,5200770,157599.0909090909
TITANIUM,2025-01,26,6,51,4909600,188830.76923076922
TITANIUM,2025-02,17,5,40,3921910,230700.58823529413
TITANIUM,2025-03,7,3,14,1488900,212700.0
TITANIUM,2025-04,2,2,10,787080,393540.0
TITANIUM,2025-05,6,5,17,1091780,181963.33333333334
TITANIUM,2025-06,6,3,13,834830,139138.33333333334
TITANIUM,2025-07,12,5,42,3278225,273185.4166666667
TITANIUM,2025-08,5,4,169,6196560,1239312.0
TITANIUM,2025-09,8,4,45,4067200,508400.0
TITANIUM,2025-10,9,6,153,7400260,822251.1111111111
TITANIUM,2025-11,26,9,131,15306060,588694.6153846154
TITANIUM,2025-12,14,10,82,8909370,636383.5714285715
TITANIUM,2026-01,12,7,22,2099100,174925.0
TITANIUM,2026-02,9,5,13,1792710,199190.0
TITANIUM,2026-03,7,3,16,1492850,213264.2857142857
TITANIUM,2026-04,5,3,7,869320,173864.0
TITANIUM,2026-05,3,3,13,738250,246083.33333333334
