member_grade_label,category,repeat_orders,repeat_buyers,quantity,revenue,rank_in_grade,repeat_rate
FAMILY,남성,16174,8467,22869,1310871645,1,0.5234944973414122
FAMILY,여성,2498,1618,2924,245049203,2,0.6477181745396317
FAMILY,셋업,659,572,758,49712220,3,0.8679817905918058
FAMILY,긴바지,737,652,776,46783760,4,0.8846675712347354
FAMILY,라운드티,1104,889,1294,44141770,5,0.8052536231884058
FAMILY,등산화,368,299,380,40276235,6,0.8125
FAMILY,바람막이,295,270,329,27672841,7,0.9152542372881356
FAMILY,미드/롱다운,88,70,92,25330060,8,0.7954545454545454
GOLD,남성,461,44,766,63026254,1,0.09544468546637744
GOLD,여성,78,25,102,11956540,2,0.32051282051282054
GOLD,셋업,27,17,47,4304380,3,0.6296296296296297
GOLD,긴바지,23,14,27,1707540,4,0.6086956521739131
GOLD,인터체인지 (3 in 1),3,3,3,1411890,5,1.0
GOLD,라운드티,24,14,34,1402170,6,0.5833333333333334
GOLD,등산화,11,9,12,1364140,7,0.8181818181818182
GOLD,자켓/베스트,10,5,16,1056760,8,0.5
SILVER,남성,2470,554,3764,304809891,1,0.2242914979757085
SILVER,여성,423,197,534,55792603,2,0.4657210401891253
SILVER,셋업,145,112,170,13559290,3,0.7724137931034483
SILVER,긴바지,149,101,166,10863550,4,0.6778523489932886
SILVER,미드/롱다운,36,34,36,10225893,5,0.9444444444444444
SILVER,라운드티,155,103,200,7770830,6,0.6645161290322581
SILVER,등산화,54,45,62,6804865,7,0.8333333333333334
SILVER,바람막이,50,47,52,4559952,8,0.94
TITANIUM,남성,211,13,645,49561125,1,0.061611374407582936
TITANIUM,여성,23,7,31,3758390,2,0.30434782608695654
TITANIUM,셋업,17,7,29,2454240,3,0.4117647058823529
TITANIUM,패딩/슬림다운,4,3,5,679210,4,0.75
TITANIUM,긴바지,6,4,9,612220,5,0.6666666666666666
TITANIUM,자켓/ 베스트,3,2,4,563290,6,0.6666666666666666
TITANIUM,바람막이,4,2,4,399640,7,0.5
TITANIUM,인터체인지 (3 in 1),1,1,1,395000,8,1.0
