frequency_segment,recency_segment,buyers,orders,revenue,revenue_per_buyer,orders_per_buyer
구매 1회,180일 초과,22744,22744,2510376194,110375.31630320085,1.0
반복 2~3회,180일 초과,5293,11833,1173226624,221656.26752314376,2.235594180993765
VIP 7회 이상,최근 90일,365,4615,565509583,1549341.3232876712,12.643835616438356
구매 1회,최근 180일,3733,3733,452746371,121282.17814090544,1.0
로열 4~6회,180일 초과,851,3887,400872646,471060.6886016451,4.5675675675675675
반복 2~3회,최근 180일,1629,3742,355392830,218166.2553713935,2.2971147943523635
반복 2~3회,최근 90일,1164,2756,270372395,232278.68986254296,2.3676975945017182
로열 4~6회,최근 90일,571,2695,246546545,431780.28896672506,4.719789842381786
VIP 7회 이상,최근 180일,187,2018,223794701,1196763.1069518717,10.79144385026738
VIP 7회 이상,180일 초과,183,1850,205029758,1120381.1912568307,10.109289617486338
로열 4~6회,최근 180일,484,2255,199136098,411438.2190082645,4.659090909090909
구매 1회,최근 90일,1697,1697,179466970,105755.43311726577,1.0
VIP 7회 이상,최근 30일,76,1345,172358996,2267881.5263157897,17.69736842105263
반복 2~3회,최근 30일,172,406,44820050,260581.68604651163,2.36046511627907
구매 1회,최근 30일,357,357,39364980,110266.05042016807,1.0
로열 4~6회,최근 30일,70,331,35437095,506244.21428571426,4.728571428571429
