year,month,orders,buyers,products,quantity,revenue,aov,qty_per_order,coupon_orders,coupon_order_rate
2024,2024-04,954,863,445,1322,100600720,105451.48846960168,1.3857442348008386,677,0.709643605870021
2024,2024-05,1917,1713,564,2829,202180930,105467.3604590506,1.4757433489827856,1235,0.6442357850808555
2024,2024-06,2020,1797,543,3010,195293620,96680.0099009901,1.49009900990099,1237,0.6123762376237624
2024,2024-07,2105,1864,523,2899,182952220,86913.16864608075,1.3771971496437054,1349,0.640855106888361
2024,2024-08,1533,1412,558,2405,148037740,96567.3450750163,1.568819308545336,992,0.6470971950424005
2024,2024-09,2570,2396,630,3543,193662936,75355.22801556421,1.3785992217898833,1154,0.4490272373540856
2024,2024-10,1923,1721,531,2676,242428453,126067.83827353094,1.391575663026521,1283,0.6671866874674987
2024,2024-11,3804,3420,604,4947,518611255,136333.13748685594,1.3004731861198737,2230,0.5862250262881178
2024,2024-12,4003,3560,568,5324,549675651,137315.92580564576,1.3300024981264051,2541,0.6347739195603298
2025,2025-01,4776,4300,671,6009,408646799,85562.56260469012,1.2581658291457287,2931,0.6136934673366834
2025,2025-02,1995,1788,626,2669,245426539,123020.82155388471,1.337844611528822,1456,0.7298245614035088
2025,2025-03,1790,1613,637,2590,194525363,108673.38715083798,1.446927374301676,1193,0.6664804469273743
2025,2025-04,2108,1821,648,3231,198031500,93942.83681214422,1.5327324478178368,1217,0.5773244781783681
2025,2025-05,2323,2080,641,3145,185128270,79693.61601377529,1.353852776582006,1033,0.44468359879466207
2025,2025-06,2300,2072,579,3277,200759730,87286.83913043479,1.424782608695652,1442,0.6269565217391304
2025,2025-07,2626,2277,646,3994,252295530,96075.98248286368,1.520944402132521,1721,0.6553693830921554
2025,2025-08,1661,1491,607,2679,154964980,93296.19506321492,1.612883804936785,1033,0.6219145093317279
2025,2025-09,2372,2155,722,3524,227820216,96045.62225969647,1.4856661045531196,1351,0.5695615514333895
2025,2025-10,3570,3284,816,4899,307184207,86045.99635854342,1.3722689075630252,1615,0.4523809523809524
2025,2025-11,3351,2965,646,4657,487381640,145443.6407042674,1.3897344076395106,2262,0.675022381378693
2025,2025-12,3754,3386,678,5410,567958430,151294.20085242408,1.441129461907299,2397,0.6385189131592968
2026,2026-01,2643,2379,629,3530,344057636,130176.93378736284,1.3356034808929247,1809,0.684449489216799
2026,2026-02,3656,3413,731,4957,288212434,78832.72264770241,1.3558533916849016,1636,0.4474835886214442
2026,2026-03,1560,1395,613,2142,185092080,118648.76923076923,1.373076923076923,1117,0.716025641025641
2026,2026-04,1991,1773,598,3162,237358730,119215.83626318433,1.5881466599698644,1457,0.7317930688096433
2026,2026-05,2821,2589,623,3914,240338437,85196.18468628146,1.3874512584190004,1647,0.5838355193193903
2026,2026-06,138,136,143,208,15825790,114679.63768115942,1.5072463768115942,113,0.8188405797101449
