product_code,product_name_kor,product_name,source_image_url,repeat_orders,repeat_buyers,avg_days_since_prev_order,quantity,revenue,image_url,image_source,repeat_rate
C64YM3583010,공용 롤링 콘 롱 다운 자켓,M's Rolling Cone Long Down Jacket,,5,5,5.0,28,10516810,assets/product_images/C64YM3583010.jpg,excel_map+downloaded,1.0
C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,51,28,1.5396825396825395,94,10099080,assets/product_images/C56YU8517010.jpg,excel_map+downloaded,0.5490196078431373
C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,40,23,2.0238095238095237,71,7423395,assets/product_images/C56YU8549010.jpg,excel_map+downloaded,0.575
C64YM3571010,남성 아보카 트레일 경량 다운 자켓,M's Avoca Trail Down Jacket,,3,3,4.4,34,7230490,assets/product_images/C64YM3571010.jpg,excel_map+downloaded,1.0
C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,16,13,2.0624999999999996,16,4570425,assets/product_images/C54YM3479010.jpg,excel_map+downloaded,0.8125
C54YL3483010,여성 패스 대쉬 포레스트 다운 자켓,Ws Path Dash Forest™Ⅲ Down Jacket,,13,10,2.153846153846154,13,3885050,assets/product_images/C54YL3483010.jpg,excel_map+downloaded,0.7692307692307693
C65YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,8,8,4.375,84,3392920,assets/product_images/C65YU0369010.jpg,excel_map+downloaded,1.0
C56YU4749010,공용 헨리포크 부츠 OT OHI,HENRYFORK BOOT OT OHI,,19,9,2.8636363636363638,23,3329460,assets/product_images/C56YU4749010.jpg,excel_map+downloaded,0.47368421052631576
C66YM0659010,공용 트레일 투 브러쉬 부니,Trail to Brush Booney,,3,3,1.75,81,3209500,assets/product_images/C66YM0659010.jpg,excel_map+downloaded,1.0
C54YM3472010,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,,9,9,3.111111111111111,9,3134290,assets/product_images/C54YM3472010.jpg,excel_map+downloaded,1.0
C64YM3571439,남성 아보카 트레일 경량 다운 자켓,M's Avoca Trail Down Jacket,,3,3,4.833333333333334,14,2901840,assets/product_images/C64YM3571439.jpg,excel_map+downloaded,1.0
C75YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,5,5,4.0,53,2889160,assets/product_images/C75YU0369010.jpg,excel_map+downloaded,1.0
C54YM3473010,남성 클라이브 레이크 Ⅱ 다운 자켓,Ms Clive Lake™ Ⅱ Down Jacket,,9,9,2.0,9,2781025,assets/product_images/C54YM3473010.jpg,excel_map+downloaded,1.0
C64YL3571160,여성 아보카 트레일 경량 다운 자켓,W's Avoca Trail Down Jacket,,1,1,6.0,13,2776410,assets/product_images/C64YL3571160.jpg,excel_map+downloaded,1.0
C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,6,6,2.666666666666667,6,2596000,assets/product_images/C64YM3572010.jpg,excel_map+downloaded,1.0
C64YL3571010,여성 아보카 트레일 경량 다운 자켓,W's Avoca Trail Down Jacket,,4,4,4.5,11,2401910,assets/product_images/C64YL3571010.jpg,excel_map+downloaded,1.0
C54YM3472443,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,,6,6,3.0,6,2361850,assets/product_images/C54YM3472443.jpg,excel_map+downloaded,1.0
C66PU8700010,공용 스트림 사코슈 백,Price Stream Sacoche,,1,1,0.0,75,2340000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C66PU8700010.jpg,styleship_cdn_pattern,1.0
C54YM3476319,남성 샷오버 힐™ 경량 패딩 자켓,Ms Shotover Hill™ Insulation Jacket,,10,7,2.153846153846154,15,2218470,assets/product_images/C54YM3476319.jpg,excel_map+downloaded,0.7
C54WE4714010,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,,13,13,2.714285714285715,14,2155980,assets/product_images/C54WE4714010.jpg,styleship_cdn_pattern+downloaded,1.0
C44AE8545012,남성 헬베시아™ 플리스 베스트,Helvetia™ Vest,,7,1,2.0999999999999996,40,2120000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C44AE8545012.jpg,styleship_cdn_pattern,0.14285714285714285
C66YU4749010,공용 헨리포크 부츠 OT OHI,HENRYFORK BOOT OT OHI,,13,8,2.142857142857143,19,2010720,assets/product_images/C66YU4749010.jpg,excel_map+downloaded,0.6153846153846154
C65PU8664010,공용 케슬락 15L 백팩,Castle Rock 15L Backpack,,4,4,2.0,30,1880320,assets/product_images/C65PU8664010.jpg,excel_map+downloaded,1.0
C56YU2743010,공용 옐로우테일 쇼티 WP OH,YELLOWTAIL™ SHORTY WP OH,,16,7,2.5555555555555554,18,1844720,assets/product_images/C56YU2743010.jpg,excel_map+downloaded,0.4375
C53YM3453381,남성 로스트 마운틴™ 방수 자켓,Ms Lost Mountain™ Jacket,,1,1,5.0,12,1794000,assets/product_images/C53YM3453381.jpg,excel_map+downloaded,1.0
C54XM8691010,[STAR WARS] 공용 베이더 3L 인터체인지 자켓,VADER™ 3L Interchange Jacket,,3,3,0.33333333333333337,3,1690000,assets/product_images/C54XM8691010.jpg,excel_map+downloaded,1.0
C63YM3593010,공용 365 트랙 2L 방수자켓,365 TREK 2L Rain Jacket,,8,3,1.125,8,1676520,assets/product_images/C63YM3593010.jpg,excel_map+downloaded,0.375
