order_date,category,orders,buyers,products,quantity,revenue
2024-04-16,남성,39,37,40,48,3000870
2024-04-16,자켓/ 베스트,4,4,5,5,613030
2024-04-16,셋업,6,6,6,6,584840
2024-04-16,라운드티,11,11,10,11,559640
2024-04-16,바람막이,4,4,3,4,538490
2024-04-16,긴바지,5,5,4,5,445280
2024-04-16,하이킹,4,4,4,4,400080
2024-04-16,여성,4,4,4,4,342200
2024-04-16,UNKNOWN,2,2,2,2,220020
2024-04-16,가방,3,3,2,3,199200
2024-04-16,등산화,1,1,1,1,163600
2024-04-16,상의,2,2,2,2,107580
2024-04-16,반바지,2,2,2,2,94940
2024-04-16,스니커즈,1,1,1,1,87570
2024-04-16,햇,2,2,1,2,56330
2024-04-16,맨투맨/후드티,1,1,1,1,44500
2024-04-16,장갑,1,1,1,1,33980
2024-04-17,남성,33,32,35,41,2456490
2024-04-17,라운드티,12,12,12,14,704210
2024-04-17,긴바지,8,8,6,8,618890
2024-04-17,자켓/ 베스트,3,3,3,3,440030
2024-04-17,하이킹,3,3,2,3,289170
2024-04-17,등산화,2,2,2,2,253400
2024-04-17,바람막이,2,2,2,2,237170
2024-04-17,UNKNOWN,1,1,1,1,154960
2024-04-17,셋업,1,1,1,1,109600
2024-04-17,반바지,2,2,2,2,107470
2024-04-17,스니커즈,1,1,1,1,79070
2024-04-17,상의,1,1,1,1,66670
2024-04-18,남성,28,28,28,46,2575050
2024-04-18,자켓/ 베스트,7,7,8,8,1197670
2024-04-18,라운드티,8,8,11,12,716560
2024-04-18,긴바지,5,5,4,5,458550
2024-04-18,하이킹,3,3,4,4,403200
2024-04-18,셋업,4,4,4,4,266060
2024-04-18,바람막이,2,2,2,2,172340
2024-04-18,등산화,1,1,1,1,111600
2024-04-18,스니커즈,1,1,1,1,89390
2024-04-18,상의,1,1,1,1,67170
2024-04-18,가방,1,1,1,1,64080
2024-04-18,반바지,1,1,1,1,22500
2024-04-19,남성,27,26,32,45,4954540
2024-04-19,바람막이,4,4,4,17,2709100
2024-04-19,라운드티,9,9,13,14,620750
2024-04-19,자켓/ 베스트,3,3,2,3,382610
2024-04-19,셋업,3,3,3,3,287160
2024-04-19,반바지,4,4,4,5,172220
2024-04-19,여성,2,2,2,2,148180
2024-04-19,긴바지,2,2,2,2,135220
2024-04-19,상의,2,2,2,2,131370
2024-04-19,스니커즈,1,1,1,1,95300
2024-04-19,하이킹,1,1,1,1,94300
2024-04-19,가방,1,1,1,1,69200
2024-04-19,햇,1,1,1,1,33550
2024-04-20,남성,36,36,38,48,3590960
2024-04-20,긴바지,4,4,4,5,562310
2024-04-20,라운드티,8,8,6,8,351900
2024-04-20,셋업,4,4,4,5,344470
2024-04-20,자켓/ 베스트,3,3,3,3,321380
2024-04-20,가방,3,3,2,3,267650
2024-04-20,트레일러닝,2,2,2,2,205100
2024-04-20,반바지,3,3,3,3,168000
2024-04-20,UNKNOWN,1,1,2,2,157410
2024-04-20,하이킹,1,1,1,1,78570
2024-04-20,여성,1,1,1,1,69100
2024-04-20,상의,1,1,1,1,68670
2024-04-20,햇,1,1,1,1,37680
2024-04-21,남성,32,32,34,45,1891460
2024-04-21,셋업,3,3,3,4,341960
2024-04-21,긴바지,5,5,3,5,333110
2024-04-21,하이킹,2,2,2,3,316300
2024-04-21,등산화,1,1,1,1,219000
2024-04-21,UNKNOWN,2,2,3,3,163350
2024-04-21,반바지,2,2,2,2,145980
2024-04-21,상의,2,2,2,2,136710
2024-04-21,자켓/ 베스트,1,1,1,1,114500
2024-04-21,라운드티,2,2,2,2,109880
2024-04-21,트레일러닝,1,1,1,1,91600
2024-04-21,가방,1,1,1,1,46080
2024-04-21,햇,1,1,1,1,40950
2024-04-21,장갑,1,1,1,1,27980
2024-04-22,남성,40,40,42,50,3541110
2024-04-22,자켓/ 베스트,6,5,6,7,1065820
2024-04-22,바람막이,6,6,4,6,661590
2024-04-22,긴바지,6,6,6,6,602200
2024-04-22,라운드티,7,6,8,9,543200
2024-04-22,가방,5,5,3,5,485380
2024-04-22,등산화,4,4,3,4,480150
2024-04-22,하이킹,3,3,3,3,307480
2024-04-22,여성,2,2,2,2,247700
2024-04-22,UNKNOWN,3,3,3,3,217700
2024-04-22,반바지,2,2,2,2,132250
2024-04-22,트레일러닝,1,1,1,1,109000
2024-04-22,카고/조거,1,1,1,1,97350
2024-04-22,셋업,2,2,2,2,91160
2024-04-22,상의,1,1,1,1,49500
2024-04-23,남성,22,21,24,32,1614760
2024-04-23,라운드티,6,6,9,9,500580
2024-04-23,긴바지,4,4,2,4,414880
2024-04-23,등산화,3,3,3,3,376640
2024-04-23,자켓/ 베스트,2,2,2,2,360280
2024-04-23,바람막이,3,3,3,3,324290
2024-04-23,하이킹,3,3,3,3,299330
2024-04-23,셋업,3,3,2,3,283140
2024-04-23,가방,3,3,2,3,201850
2024-04-23,반바지,3,3,3,3,158460
2024-04-23,상의,2,2,2,2,127120
2024-04-23,트레일러닝,1,1,1,1,89600
2024-04-23,스니커즈,1,1,1,1,87570
2024-04-23,UNKNOWN,1,1,1,1,55900
2024-04-23,여성,1,1,1,1,54500
2024-04-23,햇,1,1,1,1,33950
2024-04-24,남성,27,26,28,30,2284390
2024-04-24,긴바지,11,11,7,12,977070
2024-04-24,바람막이,4,4,4,6,550540
2024-04-24,라운드티,8,8,10,11,546180
2024-04-24,트레일러닝,4,3,4,4,402880
2024-04-24,상의,3,3,3,3,223320
2024-04-24,스니커즈,2,2,1,2,166140
2024-04-24,자켓/ 베스트,1,1,1,1,157680
2024-04-24,UNKNOWN,2,2,2,2,120520
2024-04-24,반바지,2,2,2,2,106270
2024-04-24,셋업,1,1,1,1,97060
2024-04-24,하이킹,1,1,1,1,89370
2024-04-24,등산화,1,1,1,1,79500
2024-04-25,남성,25,25,23,28,1929590
2024-04-25,자켓/ 베스트,4,4,3,5,610770
2024-04-25,라운드티,9,9,6,9,528160
2024-04-25,긴바지,4,4,4,4,401970
2024-04-25,트레일러닝,2,2,2,2,200600
2024-04-25,스니커즈,2,2,1,2,178870
2024-04-25,가방,2,2,1,2,166900
2024-04-25,셋업,1,1,1,1,150380
2024-04-25,여성,1,1,1,1,139000
2024-04-25,반바지,2,2,2,2,133200
2024-04-25,하이킹,1,1,1,1,112570
2024-04-25,등산화,1,1,1,1,79500
2024-04-25,상의,1,1,1,1,77980
2024-04-25,UNKNOWN,1,1,1,1,67940
2024-04-25,햇,1,1,1,1,39000
2024-04-26,남성,38,38,42,48,3524620
2024-04-26,긴바지,7,7,7,8,703340
2024-04-26,등산화,6,6,6,6,681720
2024-04-26,하이킹,7,7,3,8,629770
2024-04-26,셋업,7,7,7,7,609360
2024-04-26,라운드티,9,9,12,12,583890
2024-04-26,바람막이,5,5,3,5,536890
2024-04-26,여성,4,4,4,4,421460
2024-04-26,자켓/ 베스트,3,3,2,3,394360
2024-04-26,UNKNOWN,3,3,3,3,281770
2024-04-26,트레일러닝,2,2,1,2,182900
2024-04-26,반바지,4,4,3,4,164210
2024-04-26,스니커즈,1,1,1,1,82480
2024-04-26,상의,1,1,1,1,79200
2024-04-27,남성,35,34,40,46,3668090
2024-04-27,긴바지,6,6,5,6,621000
2024-04-27,라운드티,10,10,9,10,524850
2024-04-27,하이킹,5,5,4,5,402340
2024-04-27,자켓/ 베스트,2,2,2,2,400730
2024-04-27,가방,3,3,2,3,269290
2024-04-27,등산화,2,2,2,2,193180
2024-04-27,상의,3,3,3,3,172220
2024-04-27,바람막이,1,1,1,1,135200
2024-04-27,여성,1,1,1,1,111420
2024-04-27,UNKNOWN,1,1,1,1,99500
2024-04-27,셋업,1,1,1,1,71200
2024-04-27,햇,2,2,2,2,68020
2024-04-27,반바지,1,1,1,1,29630
2024-04-28,남성,43,43,42,47,3167340
2024-04-28,자켓/ 베스트,7,7,6,7,1153010
2024-04-28,라운드티,12,12,14,16,999010
2024-04-28,셋업,6,6,5,6,570050
2024-04-28,하이킹,5,5,5,5,552820
2024-04-28,UNKNOWN,6,6,4,6,482610
2024-04-28,긴바지,6,6,5,6,427690
2024-04-28,상의,5,5,4,6,420120
2024-04-28,가방,3,3,3,3,261390
2024-04-28,바람막이,1,1,1,1,163290
2024-04-28,여성,1,1,1,1,113180
2024-04-28,반바지,2,2,2,2,95160
2024-04-28,트레일러닝,1,1,1,1,87050
2024-04-28,셔츠,1,1,1,1,79040
2024-04-28,햇,1,1,1,1,34740
2024-04-29,남성,30,30,37,42,2374490
2024-04-29,긴바지,6,6,7,8,722130
2024-04-29,셋업,4,4,6,6,322010
2024-04-29,라운드티,7,7,8,8,320320
2024-04-29,바람막이,2,2,2,2,253420
2024-04-29,등산화,3,3,3,3,251840
2024-04-29,UNKNOWN,4,4,2,4,202260
2024-04-29,하이킹,2,2,2,2,158870
2024-04-29,가방,2,2,2,2,150130
2024-04-29,자켓/ 베스트,1,1,1,1,136300
2024-04-29,반바지,2,2,2,2,99980
2024-04-29,스니커즈,1,1,1,1,87570
2024-04-29,카고/조거,1,1,1,1,85020
2024-04-30,남성,43,42,37,48,3557340
2024-04-30,자켓/ 베스트,4,4,3,4,587840
2024-04-30,바람막이,6,5,3,6,521790
2024-04-30,긴바지,7,7,5,7,492880
2024-04-30,라운드티,8,8,10,10,439000
2024-04-30,등산화,3,3,3,3,384900
2024-04-30,하이킹,4,4,3,4,340410
2024-04-30,반바지,5,4,5,6,331500
2024-04-30,여성,5,3,4,5,320230
2024-04-30,UNKNOWN,3,3,3,3,201940
2024-04-30,가방,2,2,2,2,159610
2024-04-30,햇,3,3,1,3,104950
2024-04-30,트레일러닝,1,1,1,1,93600
2024-04-30,카고/조거,1,1,1,1,92320
2024-04-30,상의,1,1,1,1,70340
2024-04-30,셋업,1,1,1,1,67790
2024-05-01,남성,44,44,40,51,3052500
2024-05-01,긴바지,8,8,8,10,948560
2024-05-01,라운드티,10,10,9,12,697020
2024-05-01,여성,6,6,6,6,644830
2024-05-01,등산화,4,4,3,4,370680
2024-05-01,UNKNOWN,4,4,3,4,346260
2024-05-01,하이킹,4,4,3,4,295620
2024-05-01,바람막이,3,3,3,3,258100
2024-05-01,셋업,3,3,2,3,224580
2024-05-01,가방,2,2,2,2,177270
2024-05-01,반바지,1,1,2,2,102600
2024-05-01,맨투맨/후드티,1,1,1,1,85440
2024-05-01,햇,2,2,2,2,67050
2024-05-01,자켓/ 베스트,1,1,1,1,56400
2024-05-02,남성,51,50,55,69,4808320
2024-05-02,라운드티,18,18,17,23,1285100
2024-05-02,긴바지,10,10,10,11,915330
2024-05-02,여성,5,5,4,5,587930
2024-05-02,셋업,3,3,4,4,426800
2024-05-02,하이킹,4,4,3,5,371970
2024-05-02,자켓/ 베스트,2,2,2,2,352290
2024-05-02,UNKNOWN,2,2,3,3,228100
2024-05-02,반바지,3,3,3,3,167740
2024-05-02,상의,2,2,2,2,123520
2024-05-02,가방,1,1,1,1,60080
2024-05-02,셔츠,1,1,1,1,44500
2024-05-02,햇,1,1,1,1,34000
2024-05-03,남성,40,40,37,49,3099110
2024-05-03,라운드티,10,10,12,15,762480
2024-05-03,긴바지,3,3,5,5,497900
2024-05-03,가방,5,5,3,5,400360
2024-05-03,트레일러닝,4,4,3,4,390700
2024-05-03,하이킹,4,4,3,4,318370
2024-05-03,여성,2,2,2,2,280100
2024-05-03,바람막이,2,2,2,2,253780
2024-05-03,자켓/ 베스트,2,2,2,2,252950
2024-05-03,반바지,5,5,4,6,246330
2024-05-03,상의,2,2,2,2,158400
2024-05-03,UNKNOWN,2,2,2,2,145100
2024-05-03,등산화,1,1,1,1,94130
2024-05-03,카고/조거,1,1,1,1,82280
2024-05-03,햇,2,2,2,2,76350
2024-05-04,남성,35,35,30,40,2587260
2024-05-04,긴바지,5,5,4,5,444660
2024-05-04,라운드티,8,8,8,8,390630
2024-05-04,자켓/ 베스트,1,1,1,1,210780
2024-05-04,트레일러닝,2,2,1,2,200600
2024-05-04,여성,2,2,2,2,194880
2024-05-04,등산화,2,2,2,2,194520
2024-05-04,셋업,2,2,3,3,190350
2024-05-04,하이킹,2,2,2,2,150070
2024-05-04,바람막이,1,1,1,1,113180
2024-05-04,가방,1,1,1,1,112200
2024-05-04,반바지,2,2,2,2,104400
2024-05-04,UNKNOWN,1,1,1,1,88670
2024-05-04,폴로티/집업,1,1,1,1,62100
2024-05-05,남성,40,40,33,44,3299710
2024-05-05,바람막이,7,7,7,8,909110
2024-05-05,자켓/ 베스트,5,5,4,5,819250
2024-05-05,라운드티,9,9,11,11,641070
2024-05-05,긴바지,6,6,5,6,457300
2024-05-05,UNKNOWN,2,2,2,4,363850
2024-05-05,하이킹,3,3,3,3,287720
2024-05-05,반바지,4,4,5,5,245330
2024-05-05,방수자켓,2,2,2,2,220070
2024-05-05,셋업,2,2,2,2,187740
2024-05-05,등산화,1,1,1,1,161600
2024-05-05,가방,2,2,2,2,158770
2024-05-05,트레일러닝,1,1,1,1,109000
2024-05-05,맨투맨/후드티,1,1,1,1,80100
2024-05-05,햇,1,1,1,1,45500
2024-05-06,남성,40,39,44,50,4038480
2024-05-06,가방,4,4,3,4,416970
2024-05-06,여성,3,3,2,3,374090
2024-05-06,긴바지,3,3,3,3,280140
2024-05-06,UNKNOWN,3,3,2,3,278800
2024-05-06,스니커즈,2,2,2,2,241700
2024-05-06,라운드티,4,4,4,4,216760
2024-05-06,등산화,2,2,2,2,201270
2024-05-06,상의,3,3,2,3,199100
2024-05-06,자켓/ 베스트,1,1,1,1,164160
2024-05-06,하이킹,1,1,1,1,97300
2024-05-06,바람막이,1,1,1,1,79500
2024-05-06,반바지,2,2,2,2,59000
2024-05-06,셋업,1,1,1,1,53200
2024-05-06,햇,1,1,1,1,35950
2024-05-07,남성,44,44,49,54,2923400
2024-05-07,자켓/ 베스트,6,6,5,6,824550
2024-05-07,라운드티,9,9,10,11,639450
2024-05-07,바람막이,4,4,3,4,470210
2024-05-07,긴바지,6,6,6,6,468420
2024-05-07,등산화,4,4,4,4,450830
2024-05-07,하이킹,4,4,4,4,382100
2024-05-07,여성,2,2,2,2,229070
2024-05-07,UNKNOWN,3,3,3,3,208770
2024-05-07,가방,2,2,2,2,151070
2024-05-07,상의,2,2,2,2,145300
2024-05-07,반바지,4,4,4,4,120420
2024-05-07,스니커즈,1,1,1,1,116600
2024-05-07,햇,2,2,1,2,78630
2024-05-07,폴로티/집업,1,1,1,1,71100
2024-05-07,셋업,1,1,1,1,57900
2024-05-08,남성,40,39,41,46,3435800
2024-05-08,자켓/ 베스트,4,4,4,5,795330
2024-05-08,셋업,7,7,8,8,714350
2024-05-08,바람막이,4,4,4,6,639620
2024-05-08,라운드티,8,8,12,12,552470
2024-05-08,여성,5,5,5,5,521900
2024-05-08,긴바지,6,6,5,6,375090
2024-05-08,등산화,3,3,2,3,345760
2024-05-08,하이킹,4,4,4,4,320370
2024-05-08,UNKNOWN,2,2,2,2,239100
2024-05-08,셔츠,2,2,1,2,122600
2024-05-08,트레일러닝,1,1,1,1,109000
2024-05-08,반바지,2,2,2,2,102270
2024-05-08,맨투맨/후드티,1,1,1,1,87870
2024-05-08,상의,1,1,1,1,73160
2024-05-08,폴로티/집업,1,1,1,1,71100
2024-05-08,가방,1,1,1,1,60850
2024-05-08,햇,1,1,1,1,45500
2024-05-09,남성,29,29,34,34,2161610
2024-05-09,여성,5,5,4,5,610040
2024-05-09,긴바지,6,6,6,6,512250
2024-05-09,자켓/ 베스트,3,3,3,3,466020
2024-05-09,바람막이,3,3,2,3,365240
2024-05-09,UNKNOWN,4,4,4,5,305620
2024-05-09,셋업,3,3,4,4,287570
2024-05-09,상의,2,2,3,3,211090
2024-05-09,트레일러닝,2,2,1,2,188040
2024-05-09,라운드티,3,3,3,3,150990
2024-05-09,하이킹,2,2,2,2,122640
2024-05-09,반바지,2,2,2,2,113820
2024-05-09,스니커즈,1,1,1,1,111600
2024-05-09,카고/조거,1,1,1,1,101430
2024-05-09,등산화,1,1,1,1,91170
2024-05-09,햇,1,1,2,2,79900
2024-05-09,폴로티/집업,1,1,1,1,71100
2024-05-09,가방,1,1,1,1,65120
2024-05-10,남성,46,45,41,65,3641000
2024-05-10,라운드티,6,6,7,20,766410
2024-05-10,긴바지,7,7,7,7,550590
2024-05-10,하이킹,4,4,4,4,370000
2024-05-10,바람막이,2,2,2,2,245230
2024-05-10,반바지,4,4,3,4,197400
2024-05-10,가방,2,2,1,2,159810
2024-05-10,셔츠,1,1,2,2,153770
2024-05-10,등산화,1,1,1,1,147600
2024-05-10,상의,2,2,2,2,124020
2024-05-10,맨투맨/후드티,1,1,1,1,89000
