order_date,member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue,transition_rate
2024-04-16,FAMILY,라운드티,긴바지,1,1,1,119000,0
2024-04-18,FAMILY,라운드티,라운드티,1,1,1,60000,0
2024-04-19,FAMILY,바람막이,라운드티,1,1,2,49000,0
2024-04-20,FAMILY,셋업,셋업,1,1,1,99000,0
2024-04-21,FAMILY,라운드티,반바지,1,1,1,79000,0
2024-04-22,FAMILY,라운드티,바람막이,1,1,1,84500,0
2024-04-22,FAMILY,라운드티,라운드티,1,1,1,59000,0
2024-04-22,FAMILY,반바지,바람막이,1,1,1,92000,0
2024-04-22,FAMILY,자켓/ 베스트,라운드티,1,1,1,59000,0
2024-04-22,FAMILY,하이킹,UNKNOWN,1,1,1,34500,0
2024-04-23,FAMILY,긴바지,긴바지,1,1,1,119000,0
2024-04-24,FAMILY,긴바지,라운드티,1,1,1,61200,0
2024-04-24,FAMILY,바람막이,라운드티,1,1,1,48400,0
2024-04-24,FAMILY,자켓/ 베스트,라운드티,1,1,1,61200,0
2024-04-24,SILVER,긴바지,긴바지,1,1,1,57270,0
2024-04-24,SILVER,바람막이,트레일러닝,1,1,1,107030,0
2024-04-25,SILVER,긴바지,긴바지,1,1,1,119000,0
2024-04-26,FAMILY,등산화,셋업,1,1,1,69500,0
2024-04-26,SILVER,하이킹,등산화,1,1,1,171510,0
2024-04-27,FAMILY,UNKNOWN,긴바지,1,1,1,136440,0
2024-04-27,FAMILY,카고/조거,라운드티,1,1,1,55200,0
2024-04-28,FAMILY,가방,UNKNOWN,1,1,1,89000,0
2024-04-28,FAMILY,가방,라운드티,1,1,1,69000,0
2024-04-28,FAMILY,긴바지,UNKNOWN,1,1,1,89000,0
2024-04-28,FAMILY,긴바지,라운드티,1,1,1,69000,0
2024-04-28,SILVER,자켓/ 베스트,라운드티,1,1,1,86610,0
2024-04-29,FAMILY,라운드티,등산화,1,1,1,64500,0
2024-04-29,GOLD,라운드티,카고/조거,1,1,1,85020,0
2024-04-30,FAMILY,바람막이,자켓/ 베스트,1,1,1,109500,0
2024-04-30,SILVER,긴바지,긴바지,1,1,1,103200,0
2024-04-30,SILVER,자켓/ 베스트,긴바지,1,1,1,103200,0
2024-05-01,FAMILY,UNKNOWN,UNKNOWN,1,1,1,49890,0
2024-05-01,FAMILY,라운드티,라운드티,1,1,1,53400,0
2024-05-02,FAMILY,긴바지,긴바지,1,1,1,79200,0
2024-05-02,FAMILY,라운드티,라운드티,2,2,3,105140,0
2024-05-02,FAMILY,반바지,라운드티,1,1,1,36140,0
2024-05-02,FAMILY,하이킹,라운드티,1,1,1,44440,0
2024-05-03,FAMILY,셋업,라운드티,1,1,2,59000,0
2024-05-03,FAMILY,하이킹,자켓/ 베스트,1,1,1,144680,0
2024-05-04,FAMILY,긴바지,긴바지,1,1,1,109460,0
2024-05-05,FAMILY,바람막이,긴바지,1,1,1,76170,0
2024-05-05,FAMILY,바람막이,라운드티,1,1,1,47130,0
2024-05-05,FAMILY,셋업,트레일러닝,1,1,1,109000,0
2024-05-05,FAMILY,하이킹,트레일러닝,1,1,1,109000,0
2024-05-06,FAMILY,긴바지,상의,1,1,1,65250,0
2024-05-07,FAMILY,가방,긴바지,1,1,1,103200,0
2024-05-07,FAMILY,긴바지,라운드티,1,1,1,44590,0
2024-05-07,FAMILY,라운드티,라운드티,1,1,1,69000,0
2024-05-07,FAMILY,자켓/ 베스트,긴바지,1,1,1,84500,0
2024-05-08,FAMILY,긴바지,반바지,1,1,1,24500,0
2024-05-08,FAMILY,라운드티,반바지,1,1,1,24500,0
2024-05-08,FAMILY,하이킹,라운드티,1,1,2,64000,0
2024-05-08,FAMILY,하이킹,셋업,1,1,1,44500,0
2024-05-09,FAMILY,UNKNOWN,UNKNOWN,1,1,1,62990,0
2024-05-09,FAMILY,하이킹,가방,1,1,1,65120,0
2024-05-10,FAMILY,긴바지,긴바지,1,1,1,75740,0
2024-05-10,FAMILY,자켓/ 베스트,햇,1,1,1,25920,0
2024-05-11,FAMILY,라운드티,자켓/ 베스트,1,1,1,89500,0
2024-05-11,FAMILY,바람막이,자켓/ 베스트,1,1,1,89500,0
2024-05-12,FAMILY,긴바지,자켓/ 베스트,1,1,1,155240,0
2024-05-12,FAMILY,라운드티,등산화,1,1,1,84500,0
2024-05-12,FAMILY,라운드티,셋업,1,1,1,84500,0
2024-05-12,FAMILY,라운드티,긴바지,1,1,1,59500,0
2024-05-12,FAMILY,맨투맨/후드티,셋업,1,1,1,84500,0
2024-05-12,FAMILY,맨투맨/후드티,긴바지,1,1,1,59500,0
2024-05-12,FAMILY,자켓/ 베스트,자켓/ 베스트,1,1,1,175200,0
2024-05-12,FAMILY,햇,햇,1,1,1,42110,0
2024-05-14,FAMILY,긴바지,긴바지,1,1,1,71200,0
2024-05-14,FAMILY,상의,셋업,1,1,1,71200,0
2024-05-15,FAMILY,반바지,라운드티,1,1,1,69000,0
2024-05-16,FAMILY,라운드티,긴바지,1,1,1,59500,0
2024-05-17,FAMILY,UNKNOWN,라운드티,1,1,1,87540,0
2024-05-17,FAMILY,UNKNOWN,UNKNOWN,1,1,1,69000,0
2024-05-18,FAMILY,방수자켓,긴바지,1,1,1,60860,0
2024-05-19,FAMILY,UNKNOWN,긴바지,1,1,1,139000,0
2024-05-19,FAMILY,UNKNOWN,라운드티,1,1,1,30380,0
2024-05-19,FAMILY,가방,햇,1,1,1,40570,0
2024-05-19,FAMILY,라운드티,긴바지,2,2,3,253000,0
2024-05-19,FAMILY,라운드티,UNKNOWN,1,1,1,175590,0
2024-05-19,FAMILY,라운드티,반바지,2,2,2,88500,0
2024-05-19,FAMILY,라운드티,라운드티,1,1,1,87310,0
2024-05-19,FAMILY,라운드티,셔츠,1,1,1,44500,0
2024-05-19,FAMILY,반바지,라운드티,1,1,1,30380,0
2024-05-21,FAMILY,라운드티,라운드티,2,2,2,98500,0
2024-05-21,FAMILY,셋업,트레일러닝,1,1,1,104100,0
2024-05-22,FAMILY,라운드티,긴바지,1,1,1,99360,0
2024-05-22,FAMILY,바람막이,UNKNOWN,1,1,1,54080,0
2024-05-22,FAMILY,반바지,UNKNOWN,1,1,1,54080,0
2024-05-23,FAMILY,긴바지,장갑,1,1,1,24450,0
2024-05-23,FAMILY,라운드티,라운드티,1,1,1,39500,0
2024-05-23,FAMILY,하이킹,장갑,1,1,1,24450,0
2024-05-24,FAMILY,라운드티,라운드티,1,1,3,149840,0
2024-05-24,FAMILY,자켓/ 베스트,긴바지,1,1,1,66340,0
2024-05-24,FAMILY,트레일러닝,하이킹,1,1,1,130300,0
2024-05-24,FAMILY,하이킹,상의,1,1,1,90860,0
2024-05-26,FAMILY,라운드티,라운드티,1,1,1,63550,0
2024-05-27,GOLD,긴바지,셋업,1,1,1,137820,0
2024-05-27,GOLD,상의,셋업,1,1,1,137820,0
2024-05-28,FAMILY,가방,자켓/ 베스트,1,1,1,144640,0
2024-05-28,FAMILY,긴바지,자켓/ 베스트,1,1,1,169340,0
2024-05-28,FAMILY,라운드티,라운드티,1,1,2,118000,0
2024-05-28,FAMILY,캡,라운드티,1,1,1,59000,0
2024-05-28,SILVER,UNKNOWN,긴바지,1,1,3,466770,0
2024-05-28,SILVER,가방,긴바지,1,1,3,466770,0
2024-05-28,SILVER,긴바지,긴바지,1,1,3,466770,0
2024-05-28,SILVER,햇,자켓/ 베스트,1,1,1,123380,0
2024-05-28,SILVER,햇,셋업,1,1,1,70190,0
2024-05-29,FAMILY,긴바지,바람막이,1,1,1,110270,0
2024-05-29,SILVER,셋업,반바지,1,1,1,17500,0
2024-05-30,FAMILY,긴바지,긴바지,1,1,1,67660,0
2024-05-30,FAMILY,라운드티,바람막이,1,1,1,150650,0
2024-05-30,FAMILY,트레일러닝,등산화,1,1,1,103200,0
2024-05-30,SILVER,셋업,라운드티,1,1,1,74830,0
2024-05-30,SILVER,셋업,긴바지,1,1,1,59870,0
2024-05-30,SILVER,셋업,액세서리,1,1,2,12620,0
2024-05-30,SILVER,자켓/ 베스트,라운드티,1,1,1,74830,0
2024-05-30,SILVER,자켓/ 베스트,긴바지,1,1,1,59870,0
2024-05-30,SILVER,자켓/ 베스트,액세서리,1,1,2,12620,0
2024-05-31,FAMILY,긴바지,라운드티,1,1,2,51460,0
2024-05-31,FAMILY,라운드티,라운드티,1,1,2,51460,0
2024-06-01,FAMILY,긴바지,긴바지,1,1,2,128160,0
2024-06-01,FAMILY,반바지,햇,1,1,1,36650,0
2024-06-01,FAMILY,햇,햇,1,1,1,36650,0
2024-06-02,FAMILY,라운드티,라운드티,2,2,2,96150,0
2024-06-02,FAMILY,하이킹,UNKNOWN,1,1,1,83720,0
2024-06-04,SILVER,UNKNOWN,UNKNOWN,1,1,1,72700,0
2024-06-05,FAMILY,긴바지,긴바지,2,2,2,190670,0
2024-06-05,FAMILY,긴바지,맨투맨/후드티,1,1,1,89000,0
2024-06-05,FAMILY,긴바지,반바지,1,1,1,49000,0
2024-06-05,FAMILY,라운드티,긴바지,1,1,1,71470,0
2024-06-05,FAMILY,라운드티,라운드티,1,1,1,53380,0
2024-06-05,FAMILY,반바지,긴바지,1,1,1,71470,0
2024-06-06,FAMILY,라운드티,라운드티,1,1,1,56670,0
2024-06-06,FAMILY,자켓/ 베스트,햇,1,1,1,19500,0
2024-06-07,FAMILY,긴바지,라운드티,2,2,3,114500,0
2024-06-07,FAMILY,긴바지,카고/조거,1,1,1,99240,0
2024-06-07,FAMILY,라운드티,긴바지,1,1,1,79200,0
2024-06-07,FAMILY,반바지,라운드티,1,1,2,85000,0
2024-06-07,FAMILY,셋업,라운드티,1,1,1,29500,0
2024-06-07,FAMILY,자켓/ 베스트,라운드티,1,1,1,24500,0
2024-06-07,FAMILY,하이킹,라운드티,1,1,1,17150,0
2024-06-07,SILVER,셋업,라운드티,1,1,1,38300,0
2024-06-07,SILVER,자켓/ 베스트,폴로티/집업,1,1,1,65810,0
2024-06-08,FAMILY,긴바지,긴바지,1,1,1,88070,0
2024-06-08,FAMILY,라운드티,방수자켓,1,1,1,129000,0
2024-06-08,FAMILY,라운드티,긴바지,1,1,1,119000,0
2024-06-08,FAMILY,셋업,방수자켓,1,1,1,129000,0
2024-06-08,FAMILY,셋업,긴바지,1,1,1,119000,0
2024-06-08,FAMILY,자켓/ 베스트,라운드티,1,1,1,36320,0
2024-06-08,SILVER,긴바지,등산화,1,1,1,107970,0
2024-06-08,SILVER,라운드티,등산화,1,1,1,107970,0
2024-06-08,SILVER,라운드티,긴바지,1,1,1,87200,0
2024-06-09,FAMILY,긴바지,긴바지,2,2,2,132750,0
2024-06-09,FAMILY,라운드티,반바지,1,1,2,49000,0
2024-06-10,FAMILY,긴바지,긴바지,1,1,1,67850,0
2024-06-10,FAMILY,라운드티,긴바지,1,1,1,169000,0
