order_date,member_grade_label,orders,buyers,quantity,revenue,aov
2024-04-16,FAMILY,75,71,100,7324700,97662.66666666667
2024-04-16,SILVER,2,2,2,167450,83725.0
2024-04-17,FAMILY,58,57,75,5047860,87032.06896551725
2024-04-17,SILVER,1,1,3,396270,396270.0
2024-04-17,GOLD,1,1,1,73000,73000.0
2024-04-18,FAMILY,50,50,85,6034250,120685.0
2024-04-18,SILVER,1,1,1,109920,109920.0
2024-04-19,FAMILY,51,47,94,9466850,185624.50980392157
2024-04-19,SILVER,3,3,3,366650,122216.66666666667
2024-04-20,FAMILY,60,60,82,6172530,102875.5
2024-04-20,SILVER,1,1,1,50670,50670.0
2024-04-21,FAMILY,49,49,71,3926820,80139.1836734694
2024-04-21,SILVER,1,1,1,52040,52040.0
2024-04-22,FAMILY,75,71,98,8173360,108978.13333333333
2024-04-22,SILVER,2,2,4,458230,229115.0
2024-04-23,FAMILY,51,49,66,4397210,86219.80392156863
2024-04-23,SILVER,4,4,5,446640,111660.0
2024-04-23,GOLD,1,1,1,139000,139000.0
2024-04-24,FAMILY,55,52,73,5527620,100502.18181818182
2024-04-24,SILVER,3,2,3,273300,91100.0
2024-04-25,FAMILY,50,50,57,4571780,91435.6
2024-04-25,SILVER,3,3,4,244650,81550.0
2024-04-26,FAMILY,78,77,101,7966440,102133.84615384616
2024-04-26,SILVER,4,4,10,861330,215332.5
2024-04-26,GOLD,1,1,1,48200,48200.0
2024-04-27,FAMILY,63,61,84,6766670,107407.46031746031
2024-04-28,FAMILY,81,81,107,8466790,104528.27160493827
2024-04-28,SILVER,2,2,2,139710,69855.0
2024-04-29,FAMILY,51,51,79,4914660,96365.88235294117
2024-04-29,GOLD,2,2,2,159060,79530.0
2024-04-29,SILVER,1,1,1,90620,90620.0
2024-04-30,FAMILY,72,68,102,7465420,103686.38888888889
2024-04-30,SILVER,2,2,3,301020,150510.0
2024-05-01,FAMILY,72,72,98,6892800,95733.33333333333
2024-05-01,SILVER,3,3,7,434110,144703.33333333334
2024-05-02,FAMILY,83,83,122,8782760,105816.38554216867
2024-05-02,GOLD,4,2,6,506100,126525.0
2024-05-02,SILVER,2,2,2,116820,58410.0
2024-05-03,FAMILY,68,68,102,7058340,103799.11764705883
2024-05-04,FAMILY,58,58,70,4935300,85091.37931034483
2024-05-04,SILVER,1,1,1,109000,109000.0
2024-05-05,FAMILY,69,68,90,7602220,110177.10144927536
2024-05-05,SILVER,1,1,6,383900,383900.0
2024-05-06,FAMILY,62,61,77,6417220,103503.54838709677
2024-05-06,SILVER,2,2,4,319200,159600.0
2024-05-07,FAMILY,70,69,102,6846890,97812.71428571429
2024-05-07,SILVER,4,4,5,490930,122732.5
2024-05-08,FAMILY,68,67,97,7607980,111882.05882352941
2024-05-08,SILVER,4,4,7,644160,161040.0
2024-05-08,TITANIUM,1,1,3,360000,360000.0
2024-05-09,FAMILY,54,54,78,5973220,110615.18518518518
2024-05-09,SILVER,1,1,1,42030,42030.0
2024-05-10,FAMILY,66,65,109,6470050,98031.06060606061
2024-05-10,SILVER,3,3,7,306700,102233.33333333333
2024-05-11,FAMILY,58,54,81,5951730,102616.03448275862
2024-05-11,SILVER,3,3,3,279300,93100.0
2024-05-11,GOLD,2,2,2,203950,101975.0
2024-05-12,FAMILY,68,67,96,6962570,102390.73529411765
2024-05-12,SILVER,2,2,2,78000,39000.0
2024-05-13,FAMILY,61,61,82,6226100,102067.2131147541
2024-05-13,SILVER,2,2,4,89360,44680.0
2024-05-14,FAMILY,53,53,63,4831730,91164.71698113208
2024-05-14,SILVER,2,2,6,336500,168250.0
2024-05-15,FAMILY,83,82,120,9610870,115793.61445783133
2024-05-15,SILVER,4,4,8,647550,161887.5
2024-05-15,TITANIUM,1,1,1,27200,27200.0
2024-05-16,FAMILY,60,59,79,5642250,94037.5
2024-05-16,SILVER,1,1,5,371270,371270.0
2024-05-17,FAMILY,38,38,55,3662730,96387.63157894737
2024-05-17,GOLD,1,1,1,87000,87000.0
2024-05-17,SILVER,1,1,1,39000,39000.0
2024-05-18,FAMILY,50,50,63,4470500,89410.0
2024-05-18,SILVER,3,3,5,398740,132913.33333333334
2024-05-19,FAMILY,64,63,86,6296140,98377.1875
2024-05-19,SILVER,2,2,2,305020,152510.0
2024-05-20,FAMILY,62,62,107,7382510,119072.74193548386
2024-05-20,SILVER,2,2,3,178590,89295.0
2024-05-21,FAMILY,56,56,81,5748980,102660.35714285714
2024-05-21,SILVER,3,2,3,307870,102623.33333333333
2024-05-22,FAMILY,53,53,69,4903160,92512.45283018867
2024-05-22,SILVER,2,2,6,281220,140610.0
2024-05-23,FAMILY,53,53,73,5152800,97222.64150943396
2024-05-23,SILVER,1,1,1,46320,46320.0
2024-05-24,FAMILY,53,49,81,4854670,91597.54716981133
2024-05-25,FAMILY,35,34,46,3400330,97152.28571428571
2024-05-25,SILVER,3,3,3,271880,90626.66666666667
2024-05-26,FAMILY,66,64,91,6522140,98820.30303030302
2024-05-26,SILVER,1,1,4,236000,236000.0
2024-05-26,GOLD,1,1,1,62950,62950.0
2024-05-27,FAMILY,70,68,114,7579370,108276.71428571429
2024-05-27,SILVER,3,3,10,834050,278016.6666666667
2024-05-27,TITANIUM,1,1,7,467200,467200.0
2024-05-27,GOLD,2,2,3,336760,168380.0
2024-05-28,FAMILY,51,48,110,7070400,138635.29411764705
2024-05-28,SILVER,3,3,7,737480,245826.66666666666
2024-05-29,FAMILY,51,51,84,5674670,111268.03921568628
2024-05-29,SILVER,3,3,7,464910,154970.0
2024-05-30,FAMILY,54,50,87,6271010,116129.81481481482
2024-05-30,SILVER,1,1,5,222160,222160.0
2024-05-31,FAMILY,32,31,67,4356260,136133.125
2024-06-01,FAMILY,39,39,64,4592640,117760.0
2024-06-02,FAMILY,48,47,60,3580770,74599.375
2024-06-02,SILVER,2,2,5,330340,165170.0
2024-06-03,FAMILY,53,53,73,5605640,105766.7924528302
2024-06-03,SILVER,1,1,2,211280,211280.0
2024-06-03,GOLD,1,1,1,130240,130240.0
2024-06-04,FAMILY,60,60,89,5605120,93418.66666666667
2024-06-04,SILVER,2,2,3,420700,210350.0
2024-06-05,FAMILY,34,33,41,2848650,83783.82352941176
2024-06-05,SILVER,1,1,1,77230,77230.0
2024-06-06,FAMILY,52,52,65,4572120,87925.38461538461
2024-06-06,SILVER,2,2,3,147060,73530.0
2024-06-06,GOLD,1,1,1,53000,53000.0
2024-06-07,FAMILY,53,52,66,4911960,92678.49056603774
2024-06-07,SILVER,4,4,4,388710,97177.5
2024-06-07,GOLD,1,1,1,35000,35000.0
2024-06-08,FAMILY,42,41,60,4780420,113819.52380952382
2024-06-08,SILVER,5,5,7,817990,163598.0
2024-06-09,FAMILY,54,54,74,5628150,104225.0
2024-06-09,SILVER,3,2,4,239190,79730.0
2024-06-09,GOLD,1,1,2,54000,54000.0
2024-06-10,FAMILY,62,61,85,5629190,90793.3870967742
2024-06-10,SILVER,5,5,8,437450,87490.0
