order_date,member_grade_label,coupon_flag,coupon_name,coupon_name_source,orders,buyers,quantity,revenue,coupon_amount,aov
2024-04-16,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,59,57,80,5746160,1554360,97392.54237288136
2024-04-16,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,16,15,20,1578540,0,98658.75
2024-04-16,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,1,1,1,87570,9730,87570.0
2024-04-16,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,1,1,1,79880,0,79880.0
2024-04-17,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,43,42,58,4064640,835960,94526.51162790698
2024-04-17,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,15,15,17,983220,0,65548.0
2024-04-17,GOLD,쿠폰 미사용,쿠폰 미사용,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,1,1,1,73000,0,73000.0
2024-04-17,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,1,1,3,396270,45030,396270.0
2024-04-18,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,36,36,67,4495120,883430,124864.44444444444
2024-04-18,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,15,15,18,1539130,0,102608.66666666667
2024-04-18,SILVER,쿠폰 사용,쿠폰명 미확인,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,1,1,1,109920,12530,109920.0
2024-04-19,FAMILY,쿠폰 미사용,쿠폰 미사용,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,20,18,50,6245340,0,312267.0
2024-04-19,FAMILY,쿠폰 사용,쿠폰명 미확인,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,32,31,44,3221510,578090,100672.1875
2024-04-19,SILVER,쿠폰 미사용,쿠폰 미사용,coupon_name+order_coupon_name+coupon_code+order_coupon_no+order_product_coupon_name+order_product_coupon_no+product_coupon_type_no,3,3,3,366650,0,122216.66666666667
