dow_num,weekday,order_hour,orders,buyers,quantity,revenue,aov
1,일,0,233,229,300,25095681,107706.78540772533
1,일,1,159,159,230,18296169,115070.24528301887
1,일,2,81,79,114,7832190,96693.70370370371
1,일,3,55,55,70,5782040,105128.0
1,일,4,31,30,38,3648680,117699.35483870968
1,일,5,54,53,66,4797655,88845.46296296296
1,일,6,66,66,87,6373262,96564.57575757576
1,일,7,147,144,204,15898233,108151.24489795919
1,일,8,226,224,310,22292864,98640.99115044248
1,일,9,1030,981,1358,63949406,62086.80194174757
1,일,10,878,844,1169,66726622,75998.430523918
1,일,11,720,700,957,57923685,80449.5625
1,일,12,562,553,720,48695026,86645.9537366548
1,일,13,557,547,766,51231130,91976.89407540395
1,일,14,591,581,781,61165537,103494.98646362098
1,일,15,763,744,1073,73470891,96292.124508519
1,일,16,832,820,1095,70074333,84223.95793269231
1,일,17,786,773,1024,75510056,96068.77353689568
1,일,18,770,764,1008,77429764,100558.13506493506
1,일,19,797,776,1044,79298410,99496.12296110413
1,일,20,866,841,1190,90918886,104987.1662817552
1,일,21,956,918,1264,91862165,96090.13075313807
1,일,22,914,884,1248,92458028,101157.57986870897
1,일,23,858,818,1209,86035298,100274.24009324009
2,월,0,282,280,385,29407273,104281.10992907801
2,월,1,140,139,180,13340147,95286.7642857143
2,월,2,89,88,118,9128900,102571.91011235955
2,월,3,47,46,66,4436680,94397.44680851063
2,월,4,43,43,52,4234186,98469.44186046511
2,월,5,56,56,67,5986622,106903.96428571429
2,월,6,90,90,138,11330035,125889.27777777778
2,월,7,177,174,239,18777322,106086.56497175142
2,월,8,307,297,415,30585032,99625.51140065146
2,월,9,436,421,655,46545659,106756.0986238532
2,월,10,550,525,780,62843198,114260.36
2,월,11,663,637,983,74609407,112533.04223227753
2,월,12,572,557,812,61431392,107397.53846153847
2,월,13,614,596,864,69913721,113865.99511400651
2,월,14,526,511,770,62038581,117944.07034220532
2,월,15,536,526,727,53316603,99471.27425373135
2,월,16,529,520,792,56754715,107286.79584120982
2,월,17,477,459,756,56153073,117721.32704402515
2,월,18,421,411,560,45178856,107313.1971496437
2,월,19,421,414,583,48391092,114943.21140142517
2,월,20,508,500,665,58171047,114509.93503937007
2,월,21,565,546,757,58331152,103240.97699115044
2,월,22,517,505,704,59960218,115977.21083172147
2,월,23,483,473,632,53810876,111409.68115942029
3,화,0,260,260,351,27015780,103906.84615384616
3,화,1,124,118,163,12235130,98670.40322580645
3,화,2,67,66,92,7157360,106826.26865671642
3,화,3,29,29,43,3755563,129502.1724137931
3,화,4,36,36,46,2943570,81765.83333333333
3,화,5,62,62,94,7863570,126831.7741935484
3,화,6,96,95,138,10019140,104366.04166666667
3,화,7,190,187,270,24193940,127336.52631578948
3,화,8,310,306,419,34324660,110724.70967741935
3,화,9,522,504,745,54526669,104457.22030651341
3,화,10,561,532,769,59527914,106110.36363636363
3,화,11,480,467,690,58888625,122684.63541666667
3,화,12,443,426,643,52946300,119517.6072234763
3,화,13,487,468,928,69297801,142295.27926078028
3,화,14,458,433,739,53154549,116057.9672489083
3,화,15,643,619,995,72855762,113306.00622083982
3,화,16,618,591,909,60877580,98507.41100323625
3,화,17,525,514,871,58205705,110868.00952380952
3,화,18,470,454,610,46718606,99401.28936170213
3,화,19,488,481,621,50939934,104385.1106557377
3,화,20,495,475,670,51301442,103639.27676767677
3,화,21,523,516,700,54854580,104884.4741873805
3,화,22,577,564,771,59524450,103161.95840554593
