코드,상품명(영문),상품명(한글),공식몰가,네이버최저가,가격차이,최저가몰,링크,이미지URL,공식이미지URL,네이버이미지URL,naver_title,confidence,top3,prev_naver,delta_naver
C71YLT371297,COLUMBIA QUILT JACKET,,149000,28860,120140,G마켓,https://link.gmarket.co.kr/gate/pcs?item-no=4645798195&sub-id=1003&service-code=10000003&lcd=100000037,https://shopping-phinf.pstatic.net/main_5851257/58512579482.jpg,,https://shopping-phinf.pstatic.net/main_5851257/58512579482.jpg,YLT05-요가배색롱탑 보라-소라 W33C71B,0,"[{""lprice"": 28860, ""mallName"": ""G마켓"", ""link"": ""https://link.gmarket.co.kr/gate/pcs?item-no=4645798195&sub-id=1003&service-code=10000003&lcd=100000037""}, {""lprice"": 28860, ""mallName"": ""옥션"", ""link"": ""https://link.auction.co.kr/gate/pcs?item-no=F453079419&sub-id=1&service-code=10000003""}, {""lprice"": 28860, ""mallName"": ""G마켓"", ""link"": ""https://link.gmarket.co.kr/gate/pcs?item-no=4645515075&sub-id=1003&service-code=10000003&lcd=100000037""}]",28860,0
C71YLT371193,COLUMBIA QUILT JACKET,,149000,28860,120140,G마켓,https://link.gmarket.co.kr/gate/pcs?item-no=4645798195&sub-id=1003&service-code=10000003&lcd=100000037,https://shopping-phinf.pstatic.net/main_5851257/58512579482.jpg,,https://shopping-phinf.pstatic.net/main_5851257/58512579482.jpg,YLT05-요가배색롱탑 보라-소라 W33C71B,0,"[{""lprice"": 28860, ""mallName"": ""G마켓"", ""link"": ""https://link.gmarket.co.kr/gate/pcs?item-no=4645798195&sub-id=1003&service-code=10000003&lcd=100000037""}, {""lprice"": 28860, ""mallName"": ""옥션"", ""link"": ""https://link.auction.co.kr/gate/pcs?item-no=F453079419&sub-id=1&service-code=10000003""}, {""lprice"": 28860, ""mallName"": ""G마켓"", ""link"": ""https://link.gmarket.co.kr/gate/pcs?item-no=4645515075&sub-id=1003&service-code=10000003&lcd=100000037""}]",28860,0
C66YMC701425,Mens Drawers,,1806,60720,-58914,네이버,https://search.shopping.naver.com/catalog/53739721942,https://shopping-phinf.pstatic.net/main_5373972/53739721942.20250405101133.jpg,,https://shopping-phinf.pstatic.net/main_5373972/53739721942.20250405101133.jpg,YMC 뮬 SYMU231KR03,1,"[{""lprice"": 60720, ""mallName"": ""네이버"", ""link"": ""https://search.shopping.naver.com/catalog/53739721942""}, {""lprice"": 69000, ""mallName"": ""네이버"", ""link"": ""https://search.shopping.naver.com/catalog/57717941432""}, {""lprice"": 70830, ""mallName"": ""베케트상점"", ""link"": ""https://smartstore.naver.com/main/products/11067970230""}]",60720,0
C66YMC701060,Mens Drawers,,1806,70830,-69024,베케트상점,https://smartstore.naver.com/main/products/11067970230,https://shopping-phinf.pstatic.net/main_8861247/88612476441.jpg,,https://shopping-phinf.pstatic.net/main_8861247/88612476441.jpg,YMC 스니커즈 로우 - 옐로우 PFUZB-YLW,0,"[{""lprice"": 70830, ""mallName"": ""베케트상점"", ""link"": ""https://smartstore.naver.com/main/products/11067970230""}, {""lprice"": 79200, ""mallName"": ""네이버"", ""link"": ""https://search.shopping.naver.com/catalog/47068471621""}, {""lprice"": 79200, ""mallName"": ""플랫폼"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/11171250351""}]",70830,0
C66YMC701047,Mens Drawers,,1782,70830,-69048,베케트상점,https://smartstore.naver.com/main/products/11067970230,https://shopping-phinf.pstatic.net/main_8861247/88612476441.jpg,,https://shopping-phinf.pstatic.net/main_8861247/88612476441.jpg,YMC 스니커즈 로우 - 옐로우 PFUZB-YLW,0,"[{""lprice"": 70830, ""mallName"": ""베케트상점"", ""link"": ""https://smartstore.naver.com/main/products/11067970230""}, {""lprice"": 79200, ""mallName"": ""네이버"", ""link"": ""https://search.shopping.naver.com/catalog/47068471621""}, {""lprice"": 79200, ""mallName"": ""플랫폼"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/11171250351""}]",70830,0
C75YU0374010,RED AVENUE 20 BACKPACK,레드 에비뉴 20L 백팩,129000,121800,7200,G마켓,https://link.gmarket.co.kr/gate/pcs?item-no=4658974870&sub-id=1003&service-code=10000003&lcd=100000043,https://assetscdn49.styleship.com/assets/columbia/data/productimages/a/1/C75YU0374010.jpg,https://assetscdn49.styleship.com/assets/columbia/data/productimages/a/1/C75YU0374010.jpg,https://shopping-phinf.pstatic.net/main_5868178/58681784955.jpg,(국내매장정품) 컬럼비아 COLUMBIA 레드 에비뉴 20L 백팩 C75YU0374010 185869,3,"[{""lprice"": 121800, ""mallName"": ""G마켓"", ""link"": ""https://link.gmarket.co.kr/gate/pcs?item-no=4658974870&sub-id=1003&service-code=10000003&lcd=100000043""}, {""lprice"": 128990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5908514?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 129000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/12990066886""}]",121800,0
C75YU0372060,Bonre Forest Packable Draw Backpack,공용 본레 포레스트 패커블 드로우 경량 백팩,89000,88990,10,무신사,https://link.musinsa.com/app/goods/5890682?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/b/1/C75YU0372060.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/b/1/C75YU0372060.jpg,https://shopping-phinf.pstatic.net/main_5860282/58602822822.jpg,[컬럼비아] 공용 본레 포레스트 패커블 드로우 경량 백팩 C75YU0372060,3,"[{""lprice"": 88990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5890682?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 89000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://smartstore.naver.com/main/products/12963745420""}, {""lprice"": 89000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/12963964320""}]",88990,0
C75YU0372010,Bonre Forest Packable Draw Backpack,공용 본레 포레스트 패커블 드로우 경량 백팩,89000,77820,11180,G마켓,https://link.gmarket.co.kr/gate/pcs?item-no=4658980345&sub-id=1003&service-code=10000003&lcd=100000064,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/d/1/C75YU0372010.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/d/1/C75YU0372010.jpg,https://shopping-phinf.pstatic.net/main_5868175/58681751668.jpg,(국내매장정품) 컬럼비아 COLUMBIA 공용 본레 포레스트 패커블 드로우 경량 백팩 C75YU0372010 185872,3,"[{""lprice"": 77820, ""mallName"": ""G마켓"", ""link"": ""https://link.gmarket.co.kr/gate/pcs?item-no=4658980345&sub-id=1003&service-code=10000003&lcd=100000064""}, {""lprice"": 88310, ""mallName"": ""11번가"", ""link"": ""https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9065196374&tid=1000000061""}, {""lprice"": 89000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/12963962115""}]",77820,0
C75YU0369655,Bonre Forest 20L Packable Backpack,본레 포레스트 20L 패커블 경량 백팩,69000,50500,18500,네이버,https://search.shopping.naver.com/catalog/58688392347,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/b/4/C75YU0369655.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/b/4/C75YU0369655.jpg,https://shopping-phinf.pstatic.net/main_5868839/58688392347.20260127214633.jpg,컬럼비아 본레 포레스트 20L 패커블 경량 백팩 C75YU0369655,4,"[{""lprice"": 50500, ""mallName"": ""네이버"", ""link"": ""https://search.shopping.naver.com/catalog/58688392347""}, {""lprice"": 68990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5890688?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 69000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""http://www.columbiakorea.co.kr/product/view.asp?pno=21376""}]",50500,0
C75YU0369484,Bonre Forest 20L Packable Backpack,본레 포레스트 20L 패커블 경량 백팩,69000,68990,10,무신사,https://link.musinsa.com/app/goods/5890678?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/f/1/C75YU0369484.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/f/1/C75YU0369484.jpg,https://shopping-phinf.pstatic.net/main_5858938/58589388491.jpg,[컬럼비아] 본레 포레스트 20L 패커블 경량 백팩 C75YU0369484,3,"[{""lprice"": 68990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5890678?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 69000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""http://www.columbiakorea.co.kr/product/view.asp?pno=21375""}, {""lprice"": 69000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/12963952562""}]",68990,0
