sku_bucket,qty_bucket,orders,buyers,quantity,revenue,aov
1 SKU,1개,51437,33955,51437,4558490910,88622.79895794856
2 SKU,2개,9079,7132,18158,1163143260,128113.58739949334
4 SKU 이상,4개 이상,1496,1129,8313,496526021,331902.42045454547
3 SKU,3개,2444,2073,7332,442109059,180895.68698854337
1 SKU,4개 이상,186,155,1553,115722876,622166.0
2 SKU,4개 이상,203,182,2190,114309340,563100.197044335
1 SKU,2개,870,805,1740,100604264,115637.08505747127
3 SKU,4개 이상,206,199,1400,68250130,331311.31067961163
2 SKU,3개,337,315,1011,45288303,134386.65578635014
1 SKU,3개,148,138,444,16697965,112824.08783783784
