coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,coupon_amount,mileage_amount,promotion_amount,aov
쿠폰 사용,쿠폰명 미확인,포인트 사용,일반 상품,19933,17190,25036,2071342743,309921439,131630140,0,103915.25324838208
쿠폰 사용,쿠폰명 미확인,포인트 미사용,일반 상품,10111,7459,16692,1384589242,416932535,0,0,136938.90238354268
쿠폰 미사용,쿠폰 미사용,포인트 사용,일반 상품,19278,12085,25586,1382751947,0,219291230,0,71726.93987965556
쿠폰 미사용,쿠폰 미사용,포인트 미사용,일반 상품,7566,5800,10316,824003964,0,0,0,108908.79777954005
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 12월 신규회원 5000원 할인,포인트 사용,일반 상품,464,464,563,86969940,12086820,1637240,0,187435.2155172414
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,373,373,468,63069250,8963990,1572060,0,169086.46112600536
쿠폰 사용,2025년 12월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,358,358,432,59954730,8520120,1215350,0,167471.312849162
쿠폰 사용,첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,579,579,888,57272036,6722124,3226880,0,98915.43350604491
쿠폰 사용,2026년 1월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,296,296,354,43966100,6477750,1244650,0,148534.12162162163
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 12월 신규회원 5000원 할인,포인트 미사용,일반 상품,215,215,247,41762190,5674910,0,0,194242.7441860465
쿠폰 사용,2025년 12월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,151,151,216,35247300,4633700,0,0,233425.82781456952
쿠폰 사용,첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,326,326,431,33944708,3771642,0,0,104124.87116564417
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 미사용,일반 상품,171,171,201,31275450,4320050,0,0,182897.36842105264
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 사용,일반 상품,228,228,285,27147480,5534260,2418260,0,119067.8947368421
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 2월 신규회원 5000원 할인,포인트 사용,일반 상품,160,160,197,23843705,3586525,1234850,0,149023.15625
쿠폰 사용,등급할인10%,포인트 사용,일반 상품,405,405,405,23414560,3118200,4649240,0,57813.72839506173
쿠폰 사용,26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,109,103,184,22862870,2138380,1730500,0,209751.1009174312
쿠폰 사용,2026년 2월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,169,169,206,21503280,3341550,965430,0,127238.34319526626
쿠폰 사용,등급할인10% / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,173,173,209,21410510,4304480,1632610,0,123760.17341040462
쿠폰 사용,★ 단체 구매 20% 할인,포인트 미사용,일반 상품,3,2,364,21372800,5343200,0,0,7124266.666666667
쿠폰 사용,★ 단체 구매 10% 할인,포인트 미사용,일반 상품,3,2,100,21013650,2334850,0,0,7004550.0
쿠폰 사용,2026년 1월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,107,107,131,19076310,2654590,0,0,178283.2710280374
쿠폰 사용,26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,157,145,266,18495800,1561550,2251950,0,117807.6433121019
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 5월 신규회원 5000원 할인,포인트 사용,일반 상품,135,135,197,17404890,2643760,449950,0,128925.11111111111
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 3월 신규회원 5000원 할인,포인트 사용,일반 상품,139,139,171,16811818,2621522,526830,0,120948.3309352518
쿠폰 사용,"첫 구매 장바구니 10% 할인 / 신규회원 스페셜 5,000",포인트 사용,일반 상품,100,100,128,16541934,2356546,514960,0,165419.34
쿠폰 사용,"신규회원 스페셜 5,000 / 첫 구매 장바구니 10% 할인",포인트 사용,일반 상품,87,87,120,15064775,2127775,365200,0,173158.33333333334
쿠폰 사용,2026년 3월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,111,111,128,14557269,2215301,385250,0,131146.56756756757
쿠폰 사용,2026년 4월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,101,101,128,12646900,1940950,336650,0,125216.83168316832
