member_grade_label,first_category,first_buyers,second_buyers,not_yet_second_buyers,second_purchase_rate,second_purchase_gap_rate,edm_opportunity_score,avg_days_to_second,median_days_to_second,transition_buyers,second_orders,quantity,revenue,transition_rate
FAMILY,라운드티,1822,808,1014,0.4434687156970362,0.5565312843029637,1013.9999999999999,153.44554455445547,101,0,0,0,0,0
FAMILY,등산화,977,193,784,0.19754350051177072,0.8024564994882293,784.0,130.5544041450777,65,0,0,0,0,0
FAMILY,하이킹,852,215,637,0.25234741784037557,0.7476525821596245,637.0000000000001,136.54883720930235,70,0,0,0,0,0
FAMILY,긴바지,1133,527,606,0.4651368049426302,0.5348631950573698,606.0,147.39848197343457,81,0,0,0,0,0
FAMILY,셋업,944,385,559,0.4078389830508475,0.5921610169491525,558.9999999999999,135.25714285714284,72,0,0,0,0,0
FAMILY,UNKNOWN,670,205,465,0.30597014925373134,0.6940298507462687,465.0,143.53658536585365,78,0,0,0,0,0
FAMILY,자켓/ 베스트,599,205,394,0.34223706176961605,0.657762938230384,394.0,125.06829268292682,63,0,0,0,0,0
FAMILY,가방,502,142,360,0.28286852589641437,0.7171314741035857,360.0,178.2112676056338,128,0,0,0,0,0
FAMILY,미드/롱다운,379,82,297,0.21635883905013192,0.7836411609498681,297.0,146.84146341463415,65,0,0,0,0,0
FAMILY,반바지,471,201,270,0.4267515923566879,0.5732484076433121,270.0,143.84079601990047,96,0,0,0,0,0
FAMILY,바람막이,404,145,259,0.3589108910891089,0.6410891089108911,259.0,129.79310344827584,92,0,0,0,0,0
FAMILY,볼캡,256,61,195,0.23828125,0.76171875,195.0,120.70491803278689,59,0,0,0,0,0
FAMILY,상의,296,112,184,0.3783783783783784,0.6216216216216216,184.0,134.84821428571428,67,0,0,0,0,0
FAMILY,액세서리,246,88,158,0.35772357723577236,0.6422764227642277,158.0,131.87500000000003,73,0,0,0,0,0
FAMILY,부츠,184,34,150,0.18478260869565216,0.8152173913043479,150.0,133.7941176470588,52,0,0,0,0,0
FAMILY,맨투맨/후드티,203,69,134,0.3399014778325123,0.6600985221674878,134.00000000000003,105.8695652173913,67,0,0,0,0,0
FAMILY,자켓/베스트,169,60,109,0.35502958579881655,0.6449704142011834,109.0,120.71666666666667,50,0,0,0,0,0
FAMILY,폴로티/집업,128,39,89,0.3046875,0.6953125,89.0,164.69230769230768,67,0,0,0,0,0
FAMILY,패딩/슬림다운,109,30,79,0.27522935779816515,0.7247706422018348,79.0,103.13333333333333,50,0,0,0,0,0
FAMILY,스니커즈,117,39,78,0.3333333333333333,0.6666666666666667,78.00000000000001,131.10256410256412,103,0,0,0,0,0
FAMILY,장갑,82,24,58,0.2926829268292683,0.7073170731707317,58.0,88.66666666666664,26,0,0,0,0,0
FAMILY,햇,72,26,46,0.3611111111111111,0.6388888888888888,46.0,130.23076923076925,47,0,0,0,0,0
FAMILY,트레일러닝,71,33,38,0.4647887323943662,0.5352112676056338,38.0,158.84848484848487,107,0,0,0,0,0
FAMILY,다운/ 패딩,47,9,38,0.19148936170212766,0.8085106382978724,38.0,18.88888888888889,6,0,0,0,0,0
FAMILY,인터체인지 (3 in 1),39,13,26,0.3333333333333333,0.6666666666666667,26.000000000000004,115.6153846153846,33,0,0,0,0,0
FAMILY,셔츠,47,22,25,0.46808510638297873,0.5319148936170213,25.0,159.18181818181816,85,0,0,0,0,0
FAMILY,방수자켓,55,31,24,0.5636363636363636,0.4363636363636364,24.000000000000004,126.58064516129032,81,0,0,0,0,0
FAMILY,크로스/토트백,24,4,20,0.16666666666666666,0.8333333333333334,20.0,153.75,102,0,0,0,0,0
FAMILY,캡,28,15,13,0.5357142857142857,0.4642857142857143,13.0,102.4,46,0,0,0,0,0
FAMILY,카고/조거,20,11,9,0.55,0.44999999999999996,9.0,131.54545454545456,49,0,0,0,0,0
FAMILY,버킷/부니,8,2,6,0.25,0.75,6.0,50.5,49,0,0,0,0,0
FAMILY,캐주얼,7,2,5,0.2857142857142857,0.7142857142857143,5.0,54.0,32,0,0,0,0,0
SILVER,자켓/ 베스트,21,17,4,0.8095238095238095,0.19047619047619047,4.0,64.05882352941177,29,0,0,0,0,0
