product_code,product_name_kor,product_name,source_image_url,first_orders,first_buyers,quantity,revenue,first_order_rate,image_url,image_source
C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,147,147,157,74346745,1.0,assets/product_images/C64YM3572010.jpg,excel_map+downloaded
C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,190,190,193,62923763,1.0,assets/product_images/C54YM3479010.jpg,excel_map+downloaded
C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,432,432,448,60458575,1.0,assets/product_images/C56YU8517010.jpg,excel_map+downloaded
C54YM3472010,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,,139,139,140,48242250,1.0,assets/product_images/C54YM3472010.jpg,excel_map+downloaded
C64YM3583010,공용 롤링 콘 롱 다운 자켓,M's Rolling Cone Long Down Jacket,,99,99,100,38184930,1.0,assets/product_images/C64YM3583010.jpg,excel_map+downloaded
C54YM3473010,남성 클라이브 레이크 Ⅱ 다운 자켓,Ms Clive Lake™ Ⅱ Down Jacket,,78,78,82,29931500,1.0,assets/product_images/C54YM3473010.jpg,excel_map+downloaded
C66YU9626010,공용 샙랜드4 워터프루프 옴니히트,SAPLAND IV WP OMNI-HEAT INFINITY,,177,177,185,29446450,1.0,assets/product_images/C66YU9626010.jpg,styleship_cdn_pattern+downloaded
C54WE4714010,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,,182,182,206,29302778,1.0,assets/product_images/C54WE4714010.jpg,styleship_cdn_pattern+downloaded
C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,224,224,236,28922790,1.0,assets/product_images/C56YU8549010.jpg,excel_map+downloaded
C46YU0204010,[공식몰 단독] 공용 코브 투 뷰트™ 30L 백팩 + 파우치,Cove to Butte ™ 30 BACKPACK,,378,378,389,28869420,1.0,assets/product_images/C46YU0204010.jpg,styleship_cdn_pattern+downloaded
C64YM3572287,[추영우 착용] 남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,56,56,57,27059155,1.0,assets/product_images/C64YM3572287.jpg,excel_map+downloaded
C64YL3583010,여성 패스 대쉬 포레스트Ⅲ 다운 자켓,W's Path Dash ForestⅢ Down Jacket,,60,60,60,25188850,1.0,assets/product_images/C64YL3583010.jpg,excel_map+downloaded
C64YM3572027,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,47,47,50,23984310,1.0,assets/product_images/C64YM3572027.jpg,excel_map+downloaded
C66YU9682010,공용 샙랜드4 처카 워터프루프 옴니히트,SAPLAND IV CHUKKA WP OH INFINITY,,156,156,162,23438530,1.0,assets/product_images/C66YU9682010.jpg,styleship_cdn_pattern+downloaded
C54YM3474010,남성 마운틴 후드™ 다운 파카,Ms MT.Hood™ Down Parka,,43,43,44,17628300,1.0,assets/product_images/C54YM3474010.jpg,excel_map+downloaded
C64YM3579010,공용 컬럼비아 락 롱 다운 자켓,M's Columbia Rock Long Down Jacket,,29,29,29,17587130,1.0,assets/product_images/C64YM3579010.jpg,excel_map+downloaded
C64YM3584010,남성 블루 에비뉴 다운 자켓,M's Blue Avenue Down Jacket,,57,57,62,17538820,1.0,assets/product_images/C64YM3584010.jpg,excel_map+downloaded
C54YM3472211,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,,48,48,48,16365530,1.0,assets/product_images/C54YM3472211.jpg,excel_map+downloaded
