member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue,transition_rate,rank_in_first_category
FAMILY,UNKNOWN,남성,143,143,176,11013830,0.6271929824561403,1
FAMILY,UNKNOWN,여성,20,20,30,2542010,0.08771929824561403,2
FAMILY,UNKNOWN,라운드티,10,10,10,409360,0.043859649122807015,3
FAMILY,UNKNOWN,셋업,9,9,10,467570,0.039473684210526314,4
FAMILY,UNKNOWN,긴바지,8,8,8,555350,0.03508771929824561,5
FAMILY,UNKNOWN,자켓/ 베스트,8,8,8,460947,0.03508771929824561,6
FAMILY,UNKNOWN,UNKNOWN,7,7,8,608710,0.03070175438596491,7
FAMILY,UNKNOWN,등산화,5,5,5,584340,0.021929824561403508,8
FAMILY,가방,남성,94,94,264,15036313,0.6351351351351351,1
FAMILY,가방,가방,9,9,14,1063840,0.060810810810810814,2
FAMILY,가방,라운드티,9,9,9,306490,0.060810810810810814,3
FAMILY,가방,여성,7,7,7,943800,0.0472972972972973,4
FAMILY,가방,긴바지,7,7,7,401030,0.0472972972972973,5
FAMILY,가방,자켓/ 베스트,6,6,6,352709,0.04054054054054054,6
FAMILY,가방,셋업,3,3,3,193820,0.02027027027027027,7
FAMILY,가방,바람막이,2,2,2,194650,0.013513513513513514,8
FAMILY,긴바지,남성,307,307,398,26317306,0.5159663865546219,1
FAMILY,긴바지,긴바지,82,82,89,6280250,0.13781512605042018,2
FAMILY,긴바지,라운드티,48,48,58,2283490,0.08067226890756303,3
FAMILY,긴바지,여성,37,37,43,4279890,0.06218487394957983,4
FAMILY,긴바지,셋업,25,25,27,1963290,0.04201680672268908,5
FAMILY,긴바지,자켓/ 베스트,16,16,16,1288167,0.02689075630252101,6
FAMILY,긴바지,UNKNOWN,13,13,14,1059070,0.021848739495798318,7
FAMILY,긴바지,반바지,13,13,15,530440,0.021848739495798318,8
FAMILY,남성,남성,5328,5328,7064,405421308,0.707100199071002,1
FAMILY,남성,여성,557,557,632,52640360,0.07392169873921699,2
FAMILY,남성,라운드티,257,257,309,10799530,0.03410749834107498,3
FAMILY,남성,긴바지,198,198,205,12718130,0.026277372262773723,4
FAMILY,남성,셋업,156,156,186,12351660,0.020703384207033843,5
FAMILY,남성,자켓/ 베스트,124,124,128,7802918,0.016456536164565362,6
FAMILY,남성,바람막이,84,84,85,6827136,0.011147976111479762,7
FAMILY,남성,UNKNOWN,83,83,88,6173025,0.011015262110152621,8
FAMILY,다운/ 패딩,남성,10,10,12,829003,0.8333333333333334,1
FAMILY,다운/ 패딩,자켓/베스트,1,1,1,59000,0.08333333333333333,2
FAMILY,다운/ 패딩,맨투맨/후드티,1,1,1,49000,0.08333333333333333,3
FAMILY,등산화,남성,125,125,163,8455180,0.5952380952380952,1
FAMILY,등산화,여성,35,35,38,3449170,0.16666666666666666,2
FAMILY,등산화,등산화,22,22,22,2620590,0.10476190476190476,3
FAMILY,등산화,라운드티,8,8,9,329640,0.0380952380952381,4
FAMILY,등산화,긴바지,4,4,5,278950,0.01904761904761905,5
FAMILY,등산화,셋업,4,4,4,255560,0.01904761904761905,6
FAMILY,등산화,자켓/ 베스트,2,2,2,193850,0.009523809523809525,7
FAMILY,등산화,바람막이,2,2,2,178250,0.009523809523809525,8
FAMILY,라운드티,남성,454,454,584,31879158,0.47639034627492133,1
FAMILY,라운드티,라운드티,171,171,204,8076730,0.1794333683105981,2
FAMILY,라운드티,여성,87,87,100,8241869,0.0912906610703043,3
FAMILY,라운드티,긴바지,55,55,56,4023840,0.05771248688352571,4
FAMILY,라운드티,셋업,34,34,35,2225380,0.035676810073452254,5
FAMILY,라운드티,반바지,29,29,34,1402500,0.030430220356768102,6
FAMILY,라운드티,자켓/ 베스트,20,20,20,1775330,0.02098635886673662,7
FAMILY,라운드티,UNKNOWN,14,14,15,987660,0.014690451206715634,8
FAMILY,맨투맨/후드티,남성,44,44,54,3236840,0.5569620253164557,1
FAMILY,맨투맨/후드티,셋업,5,5,5,378530,0.06329113924050633,2
FAMILY,맨투맨/후드티,맨투맨/후드티,5,5,5,295090,0.06329113924050633,3
FAMILY,맨투맨/후드티,라운드티,5,5,6,270210,0.06329113924050633,4
FAMILY,맨투맨/후드티,긴바지,5,5,5,222120,0.06329113924050633,5
FAMILY,맨투맨/후드티,볼캡,2,2,3,111240,0.02531645569620253,6
FAMILY,맨투맨/후드티,자켓/ 베스트,2,2,2,105830,0.02531645569620253,7
FAMILY,맨투맨/후드티,상의,2,2,2,85830,0.02531645569620253,8
FAMILY,미드/롱다운,남성,52,52,65,4427580,0.5842696629213483,1
FAMILY,미드/롱다운,여성,10,10,12,1700700,0.11235955056179775,2
FAMILY,미드/롱다운,미드/롱다운,4,4,5,1475175,0.0449438202247191,3
FAMILY,미드/롱다운,자켓/베스트,3,3,3,169710,0.033707865168539325,4
FAMILY,미드/롱다운,볼캡,3,3,3,98620,0.033707865168539325,5
FAMILY,미드/롱다운,UNKNOWN,2,2,2,174400,0.02247191011235955,6
FAMILY,미드/롱다운,바람막이,2,2,2,172210,0.02247191011235955,7
FAMILY,미드/롱다운,가방,2,2,2,125110,0.02247191011235955,8
FAMILY,바람막이,남성,93,93,129,7170365,0.5602409638554217,1
FAMILY,바람막이,라운드티,15,15,19,748540,0.09036144578313253,2
FAMILY,바람막이,긴바지,14,14,14,809660,0.08433734939759036,3
FAMILY,바람막이,여성,12,12,14,1756820,0.07228915662650602,4
FAMILY,바람막이,바람막이,5,5,8,563490,0.030120481927710843,5
FAMILY,바람막이,셋업,3,3,3,329250,0.018072289156626505,6
FAMILY,바람막이,반바지,3,3,4,123860,0.018072289156626505,7
FAMILY,바람막이,맨투맨/후드티,3,3,3,118290,0.018072289156626505,8
FAMILY,반바지,남성,117,117,141,7609109,0.5109170305676856,1
FAMILY,반바지,라운드티,26,26,35,1420840,0.11353711790393013,2
FAMILY,반바지,여성,18,18,22,1554170,0.07860262008733625,3
FAMILY,반바지,반바지,14,14,16,534430,0.0611353711790393,4
FAMILY,반바지,긴바지,12,12,13,818050,0.05240174672489083,5
FAMILY,반바지,셋업,7,7,7,390410,0.03056768558951965,6
FAMILY,반바지,자켓/ 베스트,6,6,6,487049,0.026200873362445413,7
FAMILY,반바지,UNKNOWN,5,5,5,296990,0.021834061135371178,8
FAMILY,방수자켓,남성,21,21,26,1728450,0.6,1
FAMILY,방수자켓,긴바지,4,4,4,249950,0.11428571428571428,2
FAMILY,방수자켓,여성,3,3,3,267520,0.08571428571428572,3
FAMILY,방수자켓,하이킹,1,1,1,109710,0.02857142857142857,4
FAMILY,방수자켓,패딩/슬림다운,1,1,1,85130,0.02857142857142857,5
FAMILY,방수자켓,셋업,1,1,1,57780,0.02857142857142857,6
FAMILY,방수자켓,방수자켓,1,1,1,57000,0.02857142857142857,7
FAMILY,방수자켓,UNKNOWN,1,1,1,36980,0.02857142857142857,8
FAMILY,버킷/부니,남성,2,2,3,151040,0.6666666666666666,1
FAMILY,버킷/부니,여성,1,1,1,50230,0.3333333333333333,2
FAMILY,볼캡,남성,42,42,58,3455833,0.6086956521739131,1
FAMILY,볼캡,여성,5,5,5,356930,0.07246376811594203,2
FAMILY,볼캡,가방,3,3,3,158830,0.043478260869565216,3
FAMILY,볼캡,볼캡,3,3,3,120080,0.043478260869565216,4
FAMILY,볼캡,셋업,2,2,2,211190,0.028985507246376812,5
FAMILY,볼캡,UNKNOWN,2,2,2,196310,0.028985507246376812,6
FAMILY,볼캡,긴바지,2,2,2,153100,0.028985507246376812,7
FAMILY,볼캡,장갑,2,2,2,60120,0.028985507246376812,8
FAMILY,부츠,남성,27,27,32,1781820,0.6428571428571429,1
FAMILY,부츠,여성,7,7,8,306710,0.16666666666666666,2
FAMILY,부츠,라운드티,2,2,2,85430,0.047619047619047616,3
FAMILY,부츠,긴바지,1,1,1,147500,0.023809523809523808,4
FAMILY,부츠,부츠,1,1,1,111300,0.023809523809523808,5
FAMILY,부츠,패딩/슬림다운,1,1,1,86090,0.023809523809523808,6
FAMILY,부츠,스니커즈,1,1,1,46950,0.023809523809523808,7
FAMILY,부츠,액세서리,1,1,2,11000,0.023809523809523808,8
FAMILY,상의,남성,58,58,71,3730390,0.4793388429752066,1
FAMILY,상의,여성,11,11,12,862060,0.09090909090909091,2
FAMILY,상의,라운드티,10,10,15,629340,0.08264462809917356,3
FAMILY,상의,상의,9,9,10,496370,0.0743801652892562,4
FAMILY,상의,셋업,8,8,11,751550,0.06611570247933884,5
FAMILY,상의,긴바지,5,5,5,308410,0.04132231404958678,6
FAMILY,상의,자켓/ 베스트,5,5,5,154698,0.04132231404958678,7
FAMILY,상의,등산화,3,3,3,343740,0.024793388429752067,8
FAMILY,셋업,남성,231,231,298,18473291,0.5121951219512195,1
FAMILY,셋업,셋업,53,53,64,4392430,0.11751662971175167,2
FAMILY,셋업,여성,49,49,60,4797160,0.10864745011086474,3
FAMILY,셋업,긴바지,22,22,22,1416270,0.04878048780487805,4
FAMILY,셋업,라운드티,22,22,28,1088770,0.04878048780487805,5
FAMILY,셋업,자켓/ 베스트,9,9,9,856040,0.019955654101995565,6
FAMILY,셋업,반바지,8,8,9,326000,0.017738359201773836,7
FAMILY,셋업,자켓/베스트,6,6,8,449930,0.013303769401330377,8
FAMILY,셔츠,남성,15,15,18,956690,0.625,1
FAMILY,셔츠,라운드티,5,5,5,152250,0.20833333333333334,2
FAMILY,셔츠,반바지,2,2,2,98800,0.08333333333333333,3
FAMILY,셔츠,여성,1,1,1,149000,0.041666666666666664,4
FAMILY,셔츠,자켓/ 베스트,1,1,1,125770,0.041666666666666664,5
FAMILY,스니커즈,남성,21,21,30,1613540,0.5121951219512195,1
FAMILY,스니커즈,스니커즈,9,9,10,469800,0.21951219512195122,2
FAMILY,스니커즈,여성,3,3,4,112440,0.07317073170731707,3
FAMILY,스니커즈,UNKNOWN,2,2,2,481450,0.04878048780487805,4
FAMILY,스니커즈,상의,2,2,2,84460,0.04878048780487805,5
FAMILY,스니커즈,셋업,2,2,2,67300,0.04878048780487805,6
FAMILY,스니커즈,라운드티,1,1,1,86520,0.024390243902439025,7
FAMILY,스니커즈,긴바지,1,1,1,57640,0.024390243902439025,8
FAMILY,액세서리,남성,65,65,89,3506283,0.5963302752293578,1
FAMILY,액세서리,여성,11,11,12,647700,0.10091743119266056,2
FAMILY,액세서리,액세서리,6,6,9,69830,0.05504587155963303,3
FAMILY,액세서리,라운드티,4,4,4,107730,0.03669724770642202,4
FAMILY,액세서리,바람막이,3,3,3,208640,0.027522935779816515,5
FAMILY,액세서리,하이킹,2,2,2,270740,0.01834862385321101,6
FAMILY,액세서리,셋업,2,2,2,213860,0.01834862385321101,7
FAMILY,액세서리,등산화,2,2,2,144470,0.01834862385321101,8
FAMILY,여성,남성,586,586,780,39539753,0.4928511354079058,1
FAMILY,여성,여성,326,326,378,33158528,0.27417998317914216,2
FAMILY,여성,라운드티,52,52,61,1847440,0.04373423044575273,3
FAMILY,여성,셋업,35,35,48,3535320,0.02943650126156434,4
FAMILY,여성,등산화,34,34,35,4016660,0.028595458368376788,5
FAMILY,여성,긴바지,22,22,22,1390800,0.018502943650126155,6
FAMILY,여성,장갑,18,18,20,673170,0.015138772077375946,7
FAMILY,여성,하이킹,13,13,19,1180850,0.010933557611438183,8
FAMILY,인터체인지 (3 in 1),남성,7,7,11,883360,0.4666666666666667,1
FAMILY,인터체인지 (3 in 1),하이킹,1,1,1,137000,0.06666666666666667,2
FAMILY,인터체인지 (3 in 1),등산화,1,1,1,100170,0.06666666666666667,3
FAMILY,인터체인지 (3 in 1),패딩/슬림다운,1,1,1,73200,0.06666666666666667,4
FAMILY,인터체인지 (3 in 1),장갑,1,1,1,68380,0.06666666666666667,5
FAMILY,인터체인지 (3 in 1),폴로티/집업,1,1,1,62660,0.06666666666666667,6
FAMILY,인터체인지 (3 in 1),긴바지,1,1,1,47000,0.06666666666666667,7
FAMILY,인터체인지 (3 in 1),여성,1,1,1,42000,0.06666666666666667,8
FAMILY,자켓/ 베스트,남성,128,128,163,9259415,0.5541125541125541,1
FAMILY,자켓/ 베스트,여성,18,18,20,1687980,0.07792207792207792,2
FAMILY,자켓/ 베스트,라운드티,16,16,22,867520,0.06926406926406926,3
FAMILY,자켓/ 베스트,자켓/ 베스트,13,13,19,1511860,0.05627705627705628,4
FAMILY,자켓/ 베스트,긴바지,11,11,11,714240,0.047619047619047616,5
FAMILY,자켓/ 베스트,셋업,9,9,10,555680,0.03896103896103896,6
FAMILY,자켓/ 베스트,바람막이,4,4,4,296050,0.017316017316017316,7
FAMILY,자켓/ 베스트,맨투맨/후드티,4,4,4,194120,0.017316017316017316,8
FAMILY,자켓/베스트,남성,30,30,37,1871100,0.46153846153846156,1
FAMILY,자켓/베스트,여성,18,18,21,1647030,0.27692307692307694,2
FAMILY,자켓/베스트,라운드티,6,6,6,135980,0.09230769230769231,3
FAMILY,자켓/베스트,자켓/베스트,3,3,3,343600,0.046153846153846156,4
FAMILY,자켓/베스트,하이킹,2,2,2,166040,0.03076923076923077,5
FAMILY,자켓/베스트,패딩/슬림다운,1,1,1,137200,0.015384615384615385,6
FAMILY,자켓/베스트,등산화,1,1,1,93740,0.015384615384615385,7
FAMILY,자켓/베스트,셋업,1,1,1,89000,0.015384615384615385,8
FAMILY,장갑,남성,15,15,21,707720,0.5172413793103449,1
FAMILY,장갑,여성,9,9,10,802700,0.3103448275862069,2
FAMILY,장갑,자켓/ 베스트,1,1,1,121610,0.034482758620689655,3
FAMILY,장갑,셋업,1,1,1,94440,0.034482758620689655,4
FAMILY,장갑,UNKNOWN,1,1,1,86970,0.034482758620689655,5
FAMILY,장갑,가방,1,1,1,61970,0.034482758620689655,6
FAMILY,장갑,액세서리,1,1,1,4500,0.034482758620689655,7
FAMILY,카고/조거,남성,5,5,6,339020,0.4166666666666667,1
FAMILY,카고/조거,여성,3,3,3,239400,0.25,2
FAMILY,카고/조거,라운드티,2,2,2,102200,0.16666666666666666,3
FAMILY,카고/조거,UNKNOWN,1,1,1,121200,0.08333333333333333,4
FAMILY,카고/조거,카고/조거,1,1,1,63000,0.08333333333333333,5
FAMILY,캐주얼,여성,1,1,1,46300,0.3333333333333333,1
FAMILY,캐주얼,액세서리,1,1,2,22000,0.3333333333333333,2
FAMILY,캐주얼,남성,1,1,1,11000,0.3333333333333333,3
FAMILY,캡,남성,11,11,12,535360,0.5789473684210527,1
FAMILY,캡,라운드티,2,2,2,98500,0.10526315789473684,2
FAMILY,캡,크로스/토트백,2,2,2,48550,0.10526315789473684,3
FAMILY,캡,여성,1,1,1,93900,0.05263157894736842,4
FAMILY,캡,가방,1,1,1,60300,0.05263157894736842,5
FAMILY,캡,셋업,1,1,1,50020,0.05263157894736842,6
FAMILY,캡,반바지,1,1,1,39200,0.05263157894736842,7
FAMILY,크로스/토트백,남성,2,2,2,105640,0.6666666666666666,1
FAMILY,크로스/토트백,여성,1,1,1,187730,0.3333333333333333,2
FAMILY,트레일러닝,남성,20,20,23,1390060,0.5263157894736842,1
FAMILY,트레일러닝,라운드티,7,7,7,237050,0.18421052631578946,2
FAMILY,트레일러닝,트레일러닝,2,2,2,184650,0.05263157894736842,3
FAMILY,트레일러닝,긴바지,2,2,2,153600,0.05263157894736842,4
FAMILY,트레일러닝,여성,1,1,1,178400,0.02631578947368421,5
FAMILY,트레일러닝,하이킹,1,1,1,130300,0.02631578947368421,6
