member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,쿠폰명 미확인,포인트 사용,일반 상품,18826,16719,23065,1873586040,99521.19621799639
FAMILY,쿠폰 사용,쿠폰명 미확인,포인트 미사용,일반 상품,9593,7143,15235,1244827623,129764.1637652455
FAMILY,쿠폰 미사용,쿠폰 미사용,포인트 사용,일반 상품,17150,11536,22257,1121360092,65385.42810495627
FAMILY,쿠폰 미사용,쿠폰 미사용,포인트 미사용,일반 상품,6631,5432,8751,681739215,102810.92067561454
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 12월 신규회원 5000원 할인,포인트 사용,일반 상품,441,441,534,77768910,176346.73469387754
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,375,375,478,61779630,164745.68
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,583,583,814,53672546,92062.68610634649
FAMILY,쿠폰 사용,2025년 12월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,354,354,417,52164780,147358.13559322033
FAMILY,쿠폰 사용,2026년 1월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,294,294,344,45255720,153931.02040816325
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 12월 신규회원 5000원 할인,포인트 미사용,일반 상품,202,202,232,38809880,192128.1188118812
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,331,331,445,32360168,97764.8580060423
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인,포인트 미사용,일반 상품,168,168,199,29804400,177407.14285714287
FAMILY,쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 사용,일반 상품,226,226,284,27414190,121301.72566371682
FAMILY,쿠폰 사용,등급할인10%,포인트 사용,일반 상품,419,419,419,24346990,58107.37470167065
FAMILY,쿠폰 사용,2026년 2월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,171,171,214,24049518,140640.45614035087
FAMILY,쿠폰 사용,2025년 12월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,144,144,176,23465010,162951.45833333334
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,193,193,236,23309700,120775.64766839378
FAMILY,쿠폰 사용,26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,103,97,180,21489900,208639.8058252427
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 2월 신규회원 5000원 할인,포인트 사용,일반 상품,158,158,189,21297467,134794.09493670886
FAMILY,쿠폰 사용,★ 단체 구매 10% 할인,포인트 미사용,일반 상품,3,2,100,21013650,7004550.0
FAMILY,쿠폰 사용,2026년 1월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,110,110,133,20547360,186794.18181818182
FAMILY,쿠폰 사용,★ 단체 구매 20% 할인,포인트 미사용,일반 상품,2,1,344,18988800,9494400.0
