member_grade_label,product_code,product_name_kor,product_name,source_image_url,repeat_orders,repeat_buyers,quantity,revenue,rank_in_grade,image_url,image_source,repeat_rate
FAMILY,C75YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,52,50,297,15787820,1,assets/product_images/C75YU0369010.jpg,excel_map+downloaded,0.9615384615384616
FAMILY,C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,70,58,153,15399925,2,assets/product_images/C56YU8549010.jpg,excel_map+downloaded,0.8285714285714286
FAMILY,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,94,76,124,14197680,3,assets/product_images/C56YU8517010.jpg,excel_map+downloaded,0.8085106382978723
FAMILY,C64YM3583010,공용 롤링 콘 롱 다운 자켓,M's Rolling Cone Long Down Jacket,,14,14,37,13653610,4,assets/product_images/C64YM3583010.jpg,excel_map+downloaded,1.0
FAMILY,C54WE4714010,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,,66,65,82,11136426,5,assets/product_images/C54WE4714010.jpg,styleship_cdn_pattern+downloaded,0.9848484848484849
FAMILY,C65YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,,37,36,247,10847330,6,assets/product_images/C65YU0369010.jpg,excel_map+downloaded,0.972972972972973
FAMILY,C64YM3571439,남성 아보카 트레일 경량 다운 자켓,M's Avoca Trail Down Jacket,,6,5,46,9827340,7,assets/product_images/C64YM3571439.jpg,excel_map+downloaded,0.8333333333333334
FAMILY,C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,31,25,31,9034285,8,assets/product_images/C54YM3479010.jpg,excel_map+downloaded,0.8064516129032258
GOLD,C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,3,3,3,1565010,1,assets/product_images/C64YM3572010.jpg,excel_map+downloaded,1.0
GOLD,C66YU4749010,공용 헨리포크 부츠 OT OHI,HENRYFORK BOOT OT OHI,,5,1,13,1394800,2,assets/product_images/C66YU4749010.jpg,excel_map+downloaded,0.2
GOLD,C54YM3496010,남성 하이크 보울 코브™ 플리스 자켓,Ms Hike Bowl Cove™ Fleece Jacket,,3,2,11,1239610,3,assets/product_images/C54YM3496010.jpg,excel_map+downloaded,0.6666666666666666
