member_grade_label,product_code,product_name_kor,product_name,source_image_url,orders,buyers,quantity,revenue,rank_in_grade,image_url,image_source
1,C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,,530,502,577,75325780,1,assets/product_images/C56YU8517010.jpg,excel_map+downloaded
1,C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,212,205,213,68466155,2,assets/product_images/C54YM3479010.jpg,excel_map+downloaded
1,C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,124,123,124,56745055,3,assets/product_images/C64YM3572010.jpg,excel_map+downloaded
1,C54YM3472010,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,,156,155,157,53346970,4,assets/product_images/C54YM3472010.jpg,excel_map+downloaded
1,C64YM3583010,공용 롤링 콘 롱 다운 자켓,M's Rolling Cone Long Down Jacket,,108,108,132,49309920,5,assets/product_images/C64YM3583010.jpg,excel_map+downloaded
1,C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,299,280,390,44400675,6,assets/product_images/C56YU8549010.jpg,excel_map+downloaded
1,C54WE4714010,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,,247,245,287,40280694,7,,not_found
1,C46YU0204010,[공식몰 단독] 공용 코브 투 뷰트™ 30L 백팩 + 파우치,Cove to Butte ™ 30 BACKPACK,,473,464,496,36215615,8,,not_found
1,C66YU9626010,공용 샙랜드4 워터프루프 옴니히트,SAPLAND IV WP OMNI-HEAT INFINITY,,209,206,219,34812820,9,,not_found
1,C54YM3473010,남성 클라이브 레이크 Ⅱ 다운 자켓,Ms Clive Lake™ Ⅱ Down Jacket,,86,85,90,32374640,10,assets/product_images/C54YM3473010.jpg,excel_map+downloaded
2,C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,39,37,41,21288500,1,assets/product_images/C64YM3572010.jpg,excel_map+downloaded
2,C64YM3579010,공용 컬럼비아 락 롱 다운 자켓,M's Columbia Rock Long Down Jacket,,30,30,30,18497460,2,assets/product_images/C64YM3579010.jpg,excel_map+downloaded
2,C64YM3572027,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,13,13,13,6710880,3,assets/product_images/C64YM3572027.jpg,excel_map+downloaded
2,C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,,19,19,21,6683008,4,assets/product_images/C54YM3479010.jpg,excel_map+downloaded
2,C64YM3572287,[추영우 착용] 남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,12,12,12,5976415,5,assets/product_images/C64YM3572287.jpg,excel_map+downloaded
2,C64YM3574027,[추영우 착용] 남성 마운틴 후드 다운 자켓,M's MT.Hood Down Jacket,,10,10,10,5609000,6,assets/product_images/C64YM3574027.jpg,excel_map+downloaded
2,C54YM3474425,남성 마운틴 후드™ 다운 파카,Ms MT.Hood™ Down Parka,,14,14,14,5512060,7,assets/product_images/C54YM3474425.jpg,excel_map+downloaded
