frequency_segment,recency_segment,buyers,orders,revenue,revenue_per_buyer,orders_per_buyer
구매 1회,180일 초과,24133,24133,2704176784,112053.0718932582,1.0
반복 2~3회,180일 초과,5596,12500,1254167432,224118.55468191564,2.2337383845604
VIP 7회 이상,최근 90일,364,5062,532837830,1463840.1923076923,13.906593406593407
로열 4~6회,180일 초과,922,4224,435446881,472285.12039045553,4.5813449023861175
VIP 7회 이상,최근 180일,234,2592,386705431,1652587.311965812,11.076923076923077
반복 2~3회,최근 180일,1576,3662,339787010,215600.89467005077,2.3236040609137056
구매 1회,최근 180일,3067,3067,336299791,109651.05673296381,1.0
반복 2~3회,최근 90일,1086,2575,249857457,230071.3232044199,2.371086556169429
VIP 7회 이상,180일 초과,213,2174,247149777,1160327.5915492957,10.206572769953052
로열 4~6회,최근 90일,541,2556,233705829,431988.5933456562,4.724584103512015
로열 4~6회,최근 180일,513,2388,212839674,414892.15204678365,4.654970760233918
구매 1회,최근 90일,1331,1331,141477940,106294.47032306537,1.0
