category,repeat_orders,repeat_buyers,quantity,revenue
남성,19392,9099,28225,1736992014
여성,3100,1887,3722,328683780
셋업,883,731,1051,74183200
긴바지,932,782,996,61505820
라운드티,1333,1035,1593,55910180
등산화,434,352,455,48669990
미드/롱다운,135,114,139,38456158
바람막이,362,330,400,34045817
자켓/ 베스트,444,403,500,30567632
UNKNOWN,304,277,354,21520075
하이킹,223,199,240,20380470
맨투맨/후드티,319,290,331,15276410
패딩/슬림다운,134,123,140,13415775
반바지,342,304,382,13289710
상의,253,237,264,13016680
자켓/베스트,169,153,184,12930650
가방,132,127,144,9890925
부츠,80,72,84,8610205
다운/ 패딩,63,63,63,8007970
폴로티/집업,117,111,126,7396160
볼캡,191,179,202,6426410
스니커즈,119,104,125,6324290
인터체인지 (3 in 1),18,18,18,5907490
셔츠,77,71,82,5457670
장갑,105,104,108,3249410
액세서리,285,258,461,3115250
트레일러닝,31,26,31,3044490
방수자켓,22,21,23,1735220
카고/조거,23,22,26,1663450
크로스/토트백,37,37,37,1171510
폴로/집업티,18,18,18,836030
햇,16,15,16,500500
캐주얼,10,10,10,497900
버킷/부니,19,19,20,494850
캡,3,3,4,79710
