category,orders,buyers,products,quantity,revenue,aov
남성,46680,29981,1907,62995,4622161998,99018.03766066839
여성,7890,6190,514,9025,942859415,119500.55956907477
미드/롱다운,531,501,8,545,170743469,321550.7890772128
셋업,1893,1650,85,2209,167248996,88351.29212889593
등산화,1414,1299,67,1465,162045440,114600.73550212164
긴바지,2126,1840,61,2279,156070590,73410.43744120414
라운드티,3261,2707,91,3961,152603410,46796.50720637841
하이킹,1090,1041,18,1135,103647920,95089.83486238532
자켓/ 베스트,1073,1009,51,1171,96980360,90382.44175209693
UNKNOWN,996,961,35,1094,87681055,88033.18775100402
바람막이,787,738,28,927,84545833,107427.99618805591
가방,646,632,6,899,61967635,95925.13157894737
반바지,838,778,28,918,34924090,41675.52505966587
상의,570,539,19,602,32234330,56551.45614035088
부츠,268,258,12,277,28950410,108023.91791044777
패딩/슬림다운,243,228,10,257,27128797,111641.13991769547
맨투맨/후드티,536,495,6,557,26748600,49904.10447761194
자켓/베스트,346,326,14,365,25959740,75028.15028901734
인터체인지 (3 in 1),58,58,5,58,22340800,385186.2068965517
볼캡,456,441,9,490,17527320,38437.10526315789
폴로티/집업,251,244,7,266,16192510,64511.99203187251
다운/ 패딩,113,113,2,113,14038370,124233.36283185841
스니커즈,235,210,7,245,13729460,58423.234042553195
트레일러닝,103,95,5,104,10076470,97829.80582524271
셔츠,132,123,5,140,9205270,69736.89393939394
장갑,198,197,6,208,7067630,35695.10101010101
액세서리,553,515,10,867,6471800,11703.074141048824
방수자켓,77,75,2,81,6436020,83584.67532467532
햇,91,87,4,101,3690750,40557.692307692305
카고/조거,45,43,4,49,3437050,76378.88888888889
크로스/토트백,63,63,2,64,2009380,31894.920634920636
폴로/집업티,26,25,1,26,1223420,47054.61538461538
캐주얼,19,19,1,20,1158270,60961.57894736842
버킷/부니,28,28,2,30,956800,34171.42857142857
캡,31,31,3,34,861490,27790.0
헤비다운/롱다운,1,1,1,1,217230,217230.0
