product_code,product_name_kor,product_name,product_style,sex_label,product_year,product_season,source_image_url,orders,buyers,quantity,revenue,unit_revenue,revenue_per_order,image_url,image_source
C64YM3572010,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,C64YM3572,MALE,,,,168,164,178,84186495,472957.8370786517,501110.08928571426,assets/product_images/C64YM3572010.jpg,excel_map+downloaded
C56YU8517010,공용 샙랜드3 WP OHI,SAPLAND III WP OMNI-HEAT INFINITY,C56YU8517,UNISEX,,,,568,524,636,82377165,129523.84433962264,145030.22007042254,assets/product_images/C56YU8517010.jpg,excel_map+downloaded
C54YM3479010,공용 마운틴 후드 롱 다운 자켓,MT.Hood™ Long Down Jacket,C54YM3479,UNISEX,,,,231,224,234,75149163,321150.26923076925,325321.05194805196,assets/product_images/C54YM3479010.jpg,excel_map+downloaded
C54YM3472010,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,C54YM3472,MALE,,,,170,169,171,58514090,342187.6608187134,344200.5294117647,assets/product_images/C54YM3472010.jpg,excel_map+downloaded
C64YM3583010,공용 롤링 콘 롱 다운 자켓,M's Rolling Cone Long Down Jacket,C64YM3583,UNISEX,,,,117,117,141,53369490,378507.02127659577,456149.4871794872,assets/product_images/C64YM3583010.jpg,excel_map+downloaded
C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,C56YU8549,UNISEX,,,,326,298,424,48265620,113834.00943396226,148054.0490797546,assets/product_images/C56YU8549010.jpg,excel_map+downloaded
C54WE4714010,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,C54WE4714,UNISEX,,,,264,262,304,42819934,140855.04605263157,162196.7196969697,assets/product_images/C54WE4714010.jpg,styleship_cdn_pattern+downloaded
C66YU9626010,공용 샙랜드4 워터프루프 옴니히트,SAPLAND IV WP OMNI-HEAT INFINITY,C66YU9626,UNISEX,,,,225,222,235,37724580,160530.12765957447,167664.8,assets/product_images/C66YU9626010.jpg,styleship_cdn_pattern+downloaded
C46YU0204010,[공식몰 단독] 공용 코브 투 뷰트™ 30L 백팩 + 파우치,Cove to Butte ™ 30 BACKPACK,C46YU0204,UNISEX,,,,490,480,513,37452435,73006.69590643275,76433.54081632652,assets/product_images/C46YU0204010.jpg,styleship_cdn_pattern+downloaded
C54YM3473010,남성 클라이브 레이크 Ⅱ 다운 자켓,Ms Clive Lake™ Ⅱ Down Jacket,C54YM3473,MALE,,,,97,96,101,35813950,354593.5643564357,369215.9793814433,assets/product_images/C54YM3473010.jpg,excel_map+downloaded
C64YM3572287,[추영우 착용] 남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,C64YM3572,MALE,,,,65,64,66,31330260,474700.9090909091,482004.0,assets/product_images/C64YM3572287.jpg,excel_map+downloaded
C66YU9682010,공용 샙랜드4 처카 워터프루프 옴니히트,SAPLAND IV CHUKKA WP OH INFINITY,C66YU9682,UNISEX,,,,205,202,211,30936270,146617.3933649289,150908.63414634147,assets/product_images/C66YU9682010.jpg,styleship_cdn_pattern+downloaded
C64YL3583010,여성 패스 대쉬 포레스트Ⅲ 다운 자켓,W's Path Dash ForestⅢ Down Jacket,C64YL3583,FEMALE,,,,71,71,71,29745680,418953.23943661974,418953.23943661974,assets/product_images/C64YL3583010.jpg,excel_map+downloaded
C64YM3572027,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,C64YM3572,MALE,,,,55,55,58,27791525,479164.224137931,505300.45454545453,assets/product_images/C64YM3572027.jpg,excel_map+downloaded
C54YL3483010,여성 패스 대쉬 포레스트 다운 자켓,Ws Path Dash Forest™Ⅲ Down Jacket,C54YL3483,FEMALE,,,,68,63,68,22694186,333738.0294117647,333738.0294117647,assets/product_images/C54YL3483010.jpg,excel_map+downloaded
C64YM3579010,공용 컬럼비아 락 롱 다운 자켓,M's Columbia Rock Long Down Jacket,C64YM3579,UNISEX,,,,36,36,36,21743070,603974.1666666666,603974.1666666666,assets/product_images/C64YM3579010.jpg,excel_map+downloaded
C54YM3474425,남성 마운틴 후드™ 다운 파카,Ms MT.Hood™ Down Parka,C54YM3474,MALE,,,,54,54,54,21529560,398695.55555555556,398695.55555555556,assets/product_images/C54YM3474425.jpg,excel_map+downloaded
C64YM3584010,남성 블루 에비뉴 다운 자켓,M's Blue Avenue Down Jacket,C64YM3584,MALE,,,,72,72,77,21384740,277723.8961038961,297010.27777777775,assets/product_images/C64YM3584010.jpg,excel_map+downloaded
C75YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,C75YU0369,UNISEX,,,,157,154,402,21345570,53098.432835820895,135959.04458598726,assets/product_images/C75YU0369010.jpg,excel_map+downloaded
C54YM3472211,남성 마운틴 후드™ 다운 자켓,Ms MT.Hood™ Down Jacket,C54YM3472,MALE,,,,63,63,63,21325050,338492.85714285716,338492.85714285716,assets/product_images/C54YM3472211.jpg,excel_map+downloaded
C54WE4714257,공용 하이크바운드 인터체인지 자켓,Hikebound™ II Interchange Jacket,C54WE4714,UNISEX,,,,145,145,149,20553555,137943.322147651,141748.6551724138,assets/product_images/C54WE4714257.jpg,styleship_cdn_pattern+downloaded
C66YU9626286,공용 샙랜드4 워터프루프 옴니히트,SAPLAND IV WP OMNI-HEAT INFINITY,C66YU9626,UNISEX,,,,123,121,125,20245390,161963.12,164596.66666666666,assets/product_images/C66YU9626286.jpg,styleship_cdn_pattern+downloaded
C66YU0369010,공용 본레 포레스트 20L 패커블 경량 백팩,Bonre Forest 20L Packable Backpack,C66YU0369,UNISEX,,,,372,370,372,19622970,52749.91935483871,52749.91935483871,assets/product_images/C66YU0369010.jpg,styleship_cdn_pattern+downloaded
C52WE9484010,[공식몰 단독]남성 루프 트레일 바람막이 방풍 자켓,Loop Trail™ II Windbreaker,C52WE9484,MALE,,,,160,154,183,19487146,106487.13661202186,121794.6625,assets/product_images/C52WE9484010.jpg,styleship_cdn_pattern+downloaded
C54YM3474010,남성 마운틴 후드™ 다운 파카,Ms MT.Hood™ Down Parka,C54YM3474,MALE,,,,49,48,50,19463210,389264.2,397208.36734693876,assets/product_images/C54YM3474010.jpg,excel_map+downloaded
C54YL3487010,여성 파운 피크 다운 자켓,Ws Fawn Peak™ Down Jacket,C54YL3487,FEMALE,,,,100,99,100,19451650,194516.5,194516.5,assets/product_images/C54YL3487010.jpg,excel_map+downloaded
C64YM3574010,공용 마운틴 후드 다운 자켓,MT.Hood Down Jacket,C64YM3574,MALE,,,,39,39,40,18978620,474465.5,486631.28205128206,assets/product_images/C64YM3574010.jpg,excel_map+downloaded
C64YL3574010,여성 마운틴 후드 다운 자켓,W's MT.Hood Down Jacket,C64YL3574,FEMALE,,,,39,39,39,18792840,481867.6923076923,481867.6923076923,assets/product_images/C64YL3574010.jpg,excel_map+downloaded
C54YM3471010,남성 스노우 타워 레이크™ 다운 자켓,Ms Snow Tower Lake™ Down Jacket,C54YM3471,MALE,,,,97,96,101,18569938,183860.77227722772,191442.65979381444,assets/product_images/C54YM3471010.jpg,excel_map+downloaded
