order_date,sku_bucket,orders,buyers,quantity,revenue,aov
2024-04-16,1 SKU,61,59,62,4837100,79296.72131147541
2024-04-16,2 SKU,10,10,20,1625910,162591.0
2024-04-16,3 SKU,4,3,12,514300,128575.0
2024-04-16,4 SKU 이상,2,2,8,514840,257420.0
2024-04-17,1 SKU,50,50,50,3717800,74356.0
2024-04-17,2 SKU,4,4,8,575260,143815.0
2024-04-17,3 SKU,4,4,12,696070,174017.5
2024-04-17,4 SKU 이상,2,2,9,528000,264000.0
2024-04-18,1 SKU,32,32,32,2566200,80193.75
2024-04-18,2 SKU,17,17,47,3084290,181428.82352941178
2024-04-18,3 SKU,1,1,3,213280,213280.0
2024-04-18,4 SKU 이상,1,1,4,280400,280400.0
2024-04-19,1 SKU,40,39,40,3492770,87319.25
2024-04-19,2 SKU,10,9,20,1045340,104534.0
2024-04-19,3 SKU,3,3,9,593390,197796.66666666666
2024-04-19,4 SKU 이상,1,1,28,4702000,4702000.0
2024-04-20,1 SKU,53,53,53,3792670,71559.81132075471
2024-04-20,2 SKU,4,4,14,1290860,322715.0
2024-04-20,3 SKU,2,2,6,227160,113580.0
2024-04-20,4 SKU 이상,2,2,10,912510,456255.0
2024-04-21,1 SKU,36,36,36,2524590,70127.5
2024-04-21,2 SKU,10,10,23,977080,97708.0
2024-04-21,3 SKU,3,3,9,243190,81063.33333333333
2024-04-21,4 SKU 이상,1,1,4,234000,234000.0
2024-04-22,1 SKU,60,58,60,5163750,86062.5
2024-04-22,2 SKU,12,12,25,1796100,149675.0
2024-04-22,3 SKU,4,4,12,1128590,282147.5
2024-04-22,4 SKU 이상,1,1,5,543150,543150.0
2024-04-23,1 SKU,47,46,47,3985520,84798.29787234042
2024-04-23,2 SKU,7,7,18,648600,92657.14285714286
2024-04-23,3 SKU,1,1,3,160730,160730.0
2024-04-23,4 SKU 이상,1,1,4,188000,188000.0
2024-04-24,1 SKU,47,44,47,4019040,85511.48936170213
2024-04-24,2 SKU,7,7,15,967040,138148.57142857142
2024-04-24,3 SKU,3,3,9,627340,209113.33333333334
2024-04-24,4 SKU 이상,1,1,5,187500,187500.0
2024-04-25,1 SKU,47,47,48,4119370,87646.17021276595
2024-04-25,2 SKU,5,5,10,473360,94672.0
2024-04-25,3 SKU,1,1,3,223700,223700.0
2024-04-26,1 SKU,66,65,66,6058350,91793.18181818182
2024-04-26,2 SKU,11,11,23,1554110,141282.72727272726
2024-04-26,3 SKU,4,4,12,559350,139837.5
2024-04-26,4 SKU 이상,2,2,11,704160,352080.0
2024-04-27,1 SKU,53,51,54,4430420,83592.83018867925
2024-04-27,2 SKU,6,6,12,769830,128305.0
2024-04-27,3 SKU,2,2,6,517060,258530.0
2024-04-27,4 SKU 이상,2,2,12,1049360,524680.0
2024-04-28,1 SKU,62,62,63,5238950,84499.19354838709
2024-04-28,2 SKU,17,17,34,2353400,138435.29411764705
2024-04-28,3 SKU,4,4,12,1014150,253537.5
2024-04-29,1 SKU,38,38,39,2842270,74796.57894736843
2024-04-29,2 SKU,9,9,18,1340570,148952.22222222222
2024-04-29,3 SKU,3,3,9,364500,121500.0
2024-04-29,4 SKU 이상,4,4,16,617000,154250.0
2024-04-30,1 SKU,57,56,57,4565630,80098.77192982456
2024-04-30,2 SKU,10,10,20,1478470,147847.0
2024-04-30,3 SKU,3,3,9,599720,199906.66666666666
2024-04-30,4 SKU 이상,4,3,19,1122620,280655.0
2024-05-01,1 SKU,60,60,62,4121760,68696.0
2024-05-01,2 SKU,9,9,18,1448600,160955.55555555556
2024-05-01,3 SKU,2,2,6,425300,212650.0
2024-05-01,4 SKU 이상,4,4,19,1331250,332812.5
2024-05-02,1 SKU,67,65,67,4859420,72528.65671641791
2024-05-02,2 SKU,12,12,24,1738120,144843.33333333334
2024-05-02,3 SKU,7,7,22,1851960,264565.71428571426
2024-05-02,4 SKU 이상,3,3,17,956180,318726.6666666667
2024-05-03,1 SKU,53,53,56,4368040,82415.84905660378
2024-05-03,2 SKU,11,11,22,1181950,107450.0
2024-05-03,4 SKU 이상,4,4,24,1508350,377087.5
2024-05-04,1 SKU,52,52,52,4033770,77572.5
2024-05-04,2 SKU,3,3,6,361300,120433.33333333333
2024-05-04,3 SKU,3,3,9,520660,173553.33333333334
2024-05-04,4 SKU 이상,1,1,4,128570,128570.0
2024-05-05,1 SKU,54,53,55,5022310,93005.74074074074
2024-05-05,2 SKU,12,12,24,1757060,146421.66666666666
2024-05-05,3 SKU,1,1,3,273870,273870.0
2024-05-05,4 SKU 이상,3,3,14,932880,310960.0
2024-05-06,1 SKU,51,50,51,4747380,93085.88235294117
2024-05-06,2 SKU,9,9,18,1550860,172317.77777777778
2024-05-06,3 SKU,4,4,12,438180,109545.0
2024-05-07,1 SKU,53,53,53,4247720,80145.6603773585
2024-05-07,2 SKU,14,14,30,1800530,128609.28571428571
2024-05-07,3 SKU,5,5,15,880070,176014.0
2024-05-07,4 SKU 이상,2,2,9,409500,204750.0
2024-05-08,1 SKU,52,52,52,4759150,91522.11538461539
2024-05-08,2 SKU,15,15,30,2282690,152179.33333333334
2024-05-08,3 SKU,3,3,10,961800,320600.0
2024-05-08,4 SKU 이상,3,3,15,608500,202833.33333333334
2024-05-09,1 SKU,36,36,36,2906730,80742.5
2024-05-09,2 SKU,15,15,30,2152750,143516.66666666666
2024-05-09,3 SKU,3,3,9,559570,186523.33333333334
2024-05-09,4 SKU 이상,1,1,4,396200,396200.0
2024-05-10,1 SKU,55,54,58,3838170,69784.90909090909
2024-05-10,2 SKU,7,7,15,1142420,163202.85714285713
2024-05-10,3 SKU,3,3,9,642660,214220.0
2024-05-10,4 SKU 이상,4,4,34,1153500,288375.0
2024-05-11,1 SKU,50,48,51,4256290,85125.8
2024-05-11,2 SKU,8,8,16,931370,116421.25
2024-05-11,3 SKU,3,3,9,749060,249686.66666666666
2024-05-11,4 SKU 이상,2,2,10,498260,249130.0
2024-05-12,1 SKU,49,49,49,3558210,72616.5306122449
2024-05-12,2 SKU,16,16,32,2113330,132083.125
2024-05-12,3 SKU,3,3,9,683070,227690.0
2024-05-12,4 SKU 이상,2,2,8,685960,342980.0
2024-05-13,1 SKU,48,48,48,4157440,86613.33333333333
2024-05-13,2 SKU,11,11,24,1443240,131203.63636363635
2024-05-13,3 SKU,2,2,6,282380,141190.0
2024-05-13,4 SKU 이상,2,2,8,432400,216200.0
2024-05-14,1 SKU,45,45,45,3521820,78262.66666666667
2024-05-14,2 SKU,8,8,16,1239040,154880.0
2024-05-14,3 SKU,1,1,3,219870,219870.0
2024-05-14,4 SKU 이상,1,1,5,187500,187500.0
2024-05-15,1 SKU,65,64,66,5991640,92179.07692307692
2024-05-15,2 SKU,15,15,32,2682040,178802.66666666666
2024-05-15,3 SKU,6,6,21,1171540,195256.66666666666
2024-05-15,4 SKU 이상,2,2,10,440400,220200.0
2024-05-16,1 SKU,51,50,53,4090900,80213.72549019608
2024-05-16,2 SKU,6,6,12,731500,121916.66666666667
2024-05-16,3 SKU,3,3,11,755120,251706.66666666666
