order_date,member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue
2024-04-16,FAMILY,남성,바람막이,1,1,1,84500
2024-04-16,FAMILY,남성,남성,1,1,2,14500
2024-04-16,FAMILY,라운드티,긴바지,1,1,1,119000
2024-04-17,FAMILY,긴바지,남성,1,1,1,46000
2024-04-17,FAMILY,남성,남성,1,1,3,58500
2024-04-18,FAMILY,라운드티,라운드티,1,1,1,60000
2024-04-19,FAMILY,남성,남성,2,2,2,205000
2024-04-19,FAMILY,남성,라운드티,1,1,2,49000
2024-04-19,FAMILY,바람막이,라운드티,1,1,2,49000
2024-04-19,FAMILY,여성,반바지,1,1,1,62060
2024-04-19,FAMILY,여성,라운드티,1,1,1,58140
2024-04-20,FAMILY,남성,남성,2,2,3,87680
2024-04-20,FAMILY,남성,햇,1,1,1,37680
2024-04-20,FAMILY,바람막이,남성,1,1,1,64500
2024-04-20,FAMILY,셋업,셋업,1,1,1,99000
2024-04-21,FAMILY,남성,등산화,1,1,1,219000
2024-04-21,FAMILY,남성,자켓/ 베스트,1,1,1,114500
2024-04-21,FAMILY,라운드티,반바지,1,1,1,79000
2024-04-21,FAMILY,셋업,남성,1,1,2,163000
2024-04-22,FAMILY,남성,남성,2,2,3,312500
2024-04-22,FAMILY,남성,UNKNOWN,1,1,1,34500
2024-04-22,FAMILY,라운드티,바람막이,1,1,1,84500
2024-04-22,FAMILY,라운드티,라운드티,1,1,1,59000
2024-04-22,FAMILY,라운드티,남성,1,1,1,19500
2024-04-22,FAMILY,바람막이,남성,2,2,2,78500
2024-04-22,FAMILY,반바지,바람막이,1,1,1,92000
2024-04-22,FAMILY,반바지,남성,1,1,1,19500
2024-04-22,FAMILY,셋업,남성,1,1,1,59000
2024-04-22,FAMILY,자켓/ 베스트,라운드티,1,1,1,59000
2024-04-22,FAMILY,하이킹,UNKNOWN,1,1,1,34500
2024-04-22,FAMILY,하이킹,남성,1,1,1,34500
2024-04-23,FAMILY,긴바지,긴바지,1,1,1,119000
2024-04-23,FAMILY,남성,남성,2,2,7,116500
2024-04-23,FAMILY,남성,여성,1,1,1,54500
2024-04-23,FAMILY,라운드티,여성,1,1,1,54500
2024-04-23,FAMILY,라운드티,남성,1,1,1,39000
2024-04-23,FAMILY,여성,여성,1,1,1,54500
2024-04-24,FAMILY,긴바지,라운드티,1,1,1,61200
2024-04-24,FAMILY,남성,남성,3,3,3,298740
2024-04-24,FAMILY,남성,등산화,1,1,1,79500
2024-04-24,FAMILY,남성,라운드티,1,1,1,61200
2024-04-24,FAMILY,바람막이,라운드티,1,1,1,48400
2024-04-24,FAMILY,자켓/ 베스트,라운드티,1,1,1,61200
2024-04-24,SILVER,긴바지,긴바지,1,1,1,57270
2024-04-24,SILVER,바람막이,트레일러닝,1,1,1,107030
2024-04-25,FAMILY,남성,스니커즈,1,1,1,95300
2024-04-25,FAMILY,남성,남성,1,1,1,59500
2024-04-25,SILVER,긴바지,긴바지,1,1,1,119000
2024-04-26,FAMILY,남성,바람막이,1,1,1,122380
2024-04-26,FAMILY,남성,남성,1,1,1,35380
2024-04-26,FAMILY,등산화,셋업,1,1,1,69500
2024-04-26,FAMILY,스니커즈,남성,1,1,1,129000
2024-04-26,FAMILY,자켓/ 베스트,남성,1,1,1,49000
2024-04-26,SILVER,남성,등산화,1,1,1,171510
2024-04-26,SILVER,하이킹,등산화,1,1,1,171510
2024-04-27,FAMILY,UNKNOWN,남성,1,1,5,368280
2024-04-27,FAMILY,UNKNOWN,긴바지,1,1,1,136440
2024-04-27,FAMILY,남성,남성,3,3,7,504480
2024-04-27,FAMILY,남성,긴바지,1,1,1,136440
2024-04-27,FAMILY,남성,셋업,1,1,1,71200
2024-04-27,FAMILY,카고/조거,라운드티,1,1,1,55200
2024-04-28,FAMILY,가방,UNKNOWN,1,1,1,89000
2024-04-28,FAMILY,가방,라운드티,1,1,1,69000
2024-04-28,FAMILY,긴바지,UNKNOWN,1,1,1,89000
2024-04-28,FAMILY,긴바지,라운드티,1,1,1,69000
2024-04-28,FAMILY,남성,UNKNOWN,2,2,2,149550
2024-04-28,FAMILY,남성,남성,1,1,1,77000
2024-04-28,FAMILY,남성,라운드티,1,1,1,69000
2024-04-28,FAMILY,셋업,남성,1,1,2,24000
2024-04-28,FAMILY,자켓/ 베스트,남성,1,1,1,37000
2024-04-28,SILVER,자켓/ 베스트,라운드티,1,1,1,86610
2024-04-29,FAMILY,남성,남성,1,1,1,140620
2024-04-29,FAMILY,남성,라운드티,1,1,2,59000
2024-04-29,FAMILY,남성,셋업,1,1,1,44500
2024-04-29,FAMILY,라운드티,등산화,1,1,1,64500
2024-04-29,GOLD,라운드티,카고/조거,1,1,1,85020
2024-04-30,FAMILY,가방,남성,1,1,1,111300
2024-04-30,FAMILY,남성,남성,2,2,2,150300
2024-04-30,FAMILY,등산화,남성,1,1,1,111300
2024-04-30,FAMILY,바람막이,자켓/ 베스트,1,1,1,109500
2024-04-30,SILVER,긴바지,긴바지,1,1,1,103200
2024-04-30,SILVER,자켓/ 베스트,긴바지,1,1,1,103200
2024-05-01,FAMILY,UNKNOWN,UNKNOWN,1,1,1,49890
2024-05-01,FAMILY,남성,여성,1,1,1,79000
2024-05-01,FAMILY,남성,UNKNOWN,1,1,1,49890
2024-05-01,FAMILY,라운드티,라운드티,1,1,1,53400
2024-05-01,FAMILY,자켓/ 베스트,남성,1,1,1,49500
2024-05-02,FAMILY,긴바지,긴바지,1,1,1,79200
2024-05-02,FAMILY,남성,남성,1,1,5,182500
2024-05-02,FAMILY,남성,라운드티,1,1,2,69000
2024-05-02,FAMILY,라운드티,남성,1,1,5,182500
2024-05-02,FAMILY,라운드티,라운드티,2,2,3,105140
2024-05-02,FAMILY,반바지,라운드티,1,1,1,36140
2024-05-02,FAMILY,하이킹,라운드티,1,1,1,44440
2024-05-02,GOLD,긴바지,남성,1,1,1,89000
2024-05-03,FAMILY,남성,남성,3,3,3,154380
2024-05-03,FAMILY,남성,UNKNOWN,1,1,1,69000
2024-05-03,FAMILY,셋업,라운드티,1,1,2,59000
2024-05-03,FAMILY,하이킹,자켓/ 베스트,1,1,1,144680
2024-05-04,FAMILY,긴바지,긴바지,1,1,1,109460
2024-05-04,FAMILY,남성,남성,2,2,3,189820
2024-05-04,FAMILY,라운드티,남성,3,3,3,131250
2024-05-04,FAMILY,반바지,남성,1,1,1,64500
2024-05-04,FAMILY,셋업,남성,1,1,1,34500
2024-05-04,FAMILY,자켓/ 베스트,남성,1,1,1,28220
2024-05-04,FAMILY,햇,남성,1,1,1,4310
2024-05-05,FAMILY,남성,남성,1,1,1,147000
2024-05-05,FAMILY,남성,트레일러닝,1,1,1,109000
2024-05-05,FAMILY,바람막이,긴바지,1,1,1,76170
2024-05-05,FAMILY,바람막이,라운드티,1,1,1,47130
2024-05-05,FAMILY,셋업,트레일러닝,1,1,1,109000
2024-05-05,FAMILY,하이킹,트레일러닝,1,1,1,109000
2024-05-06,FAMILY,가방,남성,1,1,1,88080
2024-05-06,FAMILY,긴바지,상의,1,1,1,65250
2024-05-06,FAMILY,남성,남성,3,3,3,295780
2024-05-06,FAMILY,남성,UNKNOWN,1,1,1,62100
2024-05-07,FAMILY,가방,긴바지,1,1,1,103200
2024-05-07,FAMILY,긴바지,라운드티,1,1,1,44590
2024-05-07,FAMILY,긴바지,남성,1,1,2,12000
2024-05-07,FAMILY,남성,남성,4,4,6,190380
2024-05-07,FAMILY,남성,등산화,1,1,1,172320
2024-05-07,FAMILY,남성,상의,1,1,1,76630
2024-05-07,FAMILY,남성,자켓/ 베스트,1,1,1,69090
2024-05-07,FAMILY,라운드티,남성,2,2,2,116500
2024-05-07,FAMILY,라운드티,라운드티,1,1,1,69000
2024-05-07,FAMILY,자켓/ 베스트,긴바지,1,1,1,84500
2024-05-07,FAMILY,자켓/ 베스트,남성,2,2,6,83000
2024-05-07,FAMILY,햇,남성,1,1,1,49000
2024-05-07,SILVER,긴바지,남성,1,1,1,112210
2024-05-07,SILVER,남성,자켓/ 베스트,1,1,1,167900
2024-05-07,SILVER,남성,남성,2,2,2,149580
2024-05-08,FAMILY,긴바지,남성,1,1,1,24500
2024-05-08,FAMILY,긴바지,반바지,1,1,1,24500
2024-05-08,FAMILY,남성,여성,1,1,1,159200
2024-05-08,FAMILY,남성,남성,2,2,2,133120
2024-05-08,FAMILY,남성,트레일러닝,1,1,1,109000
2024-05-08,FAMILY,남성,반바지,1,1,1,24500
2024-05-08,FAMILY,라운드티,남성,1,1,1,24500
2024-05-08,FAMILY,라운드티,반바지,1,1,1,24500
2024-05-08,FAMILY,자켓/ 베스트,남성,1,1,1,109000
2024-05-08,FAMILY,하이킹,라운드티,1,1,2,64000
2024-05-08,FAMILY,하이킹,셋업,1,1,1,44500
2024-05-08,FAMILY,하이킹,남성,1,1,1,27500
2024-05-09,FAMILY,UNKNOWN,UNKNOWN,1,1,1,62990
2024-05-09,FAMILY,가방,남성,1,1,2,157450
2024-05-09,FAMILY,남성,UNKNOWN,2,2,3,200600
2024-05-09,FAMILY,남성,셋업,1,1,2,110400
2024-05-09,FAMILY,남성,가방,1,1,1,65120
2024-05-09,FAMILY,남성,남성,1,1,1,49000
2024-05-09,FAMILY,하이킹,가방,1,1,1,65120
2024-05-10,FAMILY,긴바지,긴바지,1,1,1,75740
2024-05-10,FAMILY,남성,긴바지,2,2,2,183930
2024-05-10,FAMILY,남성,라운드티,1,1,1,55620
2024-05-10,FAMILY,남성,햇,1,1,1,25920
2024-05-10,FAMILY,여성,남성,1,1,1,19150
2024-05-10,FAMILY,자켓/ 베스트,햇,1,1,1,25920
2024-05-11,FAMILY,긴바지,남성,2,2,2,223500
2024-05-11,FAMILY,남성,여성,1,1,1,149000
2024-05-11,FAMILY,남성,트레일러닝,1,1,1,109000
2024-05-11,FAMILY,남성,반바지,1,1,1,21070
2024-05-11,FAMILY,라운드티,자켓/ 베스트,1,1,1,89500
2024-05-11,FAMILY,맨투맨/후드티,남성,1,1,1,99500
2024-05-11,FAMILY,바람막이,자켓/ 베스트,1,1,1,89500
2024-05-11,GOLD,남성,셋업,1,1,1,85350
2024-05-11,SILVER,남성,남성,1,1,1,39500
2024-05-11,SILVER,바람막이,남성,1,1,1,39500
2024-05-12,FAMILY,긴바지,자켓/ 베스트,1,1,1,155240
2024-05-12,FAMILY,남성,등산화,1,1,1,84500
2024-05-12,FAMILY,남성,남성,2,2,2,78020
2024-05-12,FAMILY,라운드티,남성,2,2,2,157760
2024-05-12,FAMILY,라운드티,등산화,1,1,1,84500
2024-05-12,FAMILY,라운드티,셋업,1,1,1,84500
2024-05-12,FAMILY,라운드티,긴바지,1,1,1,59500
2024-05-12,FAMILY,맨투맨/후드티,셋업,1,1,1,84500
2024-05-12,FAMILY,맨투맨/후드티,긴바지,1,1,1,59500
2024-05-12,FAMILY,바람막이,남성,2,2,2,134480
2024-05-12,FAMILY,상의,남성,1,1,1,109500
2024-05-12,FAMILY,자켓/ 베스트,자켓/ 베스트,1,1,1,175200
2024-05-12,FAMILY,햇,햇,1,1,1,42110
2024-05-13,FAMILY,남성,상의,1,1,1,61440
2024-05-13,FAMILY,남성,남성,1,1,1,55200
2024-05-14,FAMILY,긴바지,긴바지,1,1,1,71200
2024-05-14,FAMILY,남성,남성,2,2,2,155500
2024-05-14,FAMILY,남성,스니커즈,1,1,1,68710
2024-05-14,FAMILY,남성,긴바지,1,1,1,59500
2024-05-14,FAMILY,상의,셋업,1,1,1,71200
2024-05-14,FAMILY,하이킹,남성,1,1,1,132970
2024-05-14,SILVER,남성,남성,1,1,2,64000
2024-05-14,SILVER,남성,바람막이,1,1,1,49500
