order_date,member_grade_label,orders,buyers,quantity,revenue,aov
2024-04-16,FAMILY,75,71,100,7317770,97570.26666666666
2024-04-16,GOLD,1,1,1,94500,94500.0
2024-04-16,SILVER,1,1,1,79880,79880.0
2024-04-17,FAMILY,57,56,76,5304600,93063.15789473684
2024-04-17,SILVER,3,3,3,212530,70843.33333333333
2024-04-18,FAMILY,50,50,85,6034250,120685.0
2024-04-18,SILVER,1,1,1,109920,109920.0
2024-04-19,FAMILY,50,46,92,9391010,187820.2
2024-04-19,SILVER,3,3,3,387500,129166.66666666667
2024-04-19,GOLD,1,1,2,54990,54990.0
2024-04-20,FAMILY,60,60,82,6104200,101736.66666666667
2024-04-20,SILVER,1,1,1,119000,119000.0
2024-04-21,FAMILY,50,50,72,3978860,79577.2
2024-04-22,FAMILY,74,70,98,8387320,113342.16216216216
2024-04-22,SILVER,2,2,3,204770,102385.0
2024-04-22,TITANIUM,1,1,1,39500,39500.0
2024-04-23,FAMILY,51,49,65,4350280,85299.60784313726
2024-04-23,SILVER,5,5,7,632570,126514.0
2024-04-24,FAMILY,55,52,72,5438890,98888.90909090909
2024-04-24,SILVER,3,2,4,362030,120676.66666666667
2024-04-25,FAMILY,50,50,57,4571780,91435.6
2024-04-25,SILVER,3,3,4,244650,81550.0
2024-04-26,FAMILY,80,79,104,8312550,103906.875
2024-04-26,SILVER,2,2,7,515220,257610.0
2024-04-26,TITANIUM,1,1,1,48200,48200.0
2024-04-27,FAMILY,59,58,80,6536390,110786.27118644067
2024-04-27,SILVER,4,3,4,230280,57570.0
2024-04-28,FAMILY,81,81,107,8466790,104528.27160493827
2024-04-28,SILVER,1,1,1,86610,86610.0
2024-04-28,GOLD,1,1,1,53100,53100.0
2024-04-29,FAMILY,50,50,78,4870160,97403.2
2024-04-29,SILVER,2,2,2,164660,82330.0
2024-04-29,TITANIUM,1,1,1,85020,85020.0
2024-04-29,GOLD,1,1,1,44500,44500.0
2024-04-30,FAMILY,71,67,99,7290620,102684.78873239437
2024-04-30,SILVER,2,2,3,307320,153660.0
2024-04-30,GOLD,1,1,3,168500,168500.0
2024-05-01,FAMILY,74,74,104,7187360,97126.48648648648
2024-05-01,SILVER,1,1,1,139550,139550.0
2024-05-02,FAMILY,84,84,117,8648080,102953.33333333333
2024-05-02,TITANIUM,1,1,3,259100,259100.0
2024-05-02,GOLD,1,1,7,251500,251500.0
2024-05-02,SILVER,3,1,3,247000,82333.33333333333
2024-05-03,FAMILY,67,67,100,6999340,104467.76119402985
2024-05-03,TITANIUM,1,1,2,59000,59000.0
2024-05-04,FAMILY,58,58,68,4925180,84916.89655172414
2024-05-04,SILVER,1,1,3,119120,119120.0
2024-05-05,FAMILY,67,66,87,7318790,109235.67164179105
2024-05-05,SILVER,3,3,9,667330,222443.33333333334
2024-05-06,FAMILY,62,61,78,6481720,104543.87096774194
2024-05-06,SILVER,1,1,2,160200,160200.0
2024-05-06,GOLD,1,1,1,94500,94500.0
2024-05-07,FAMILY,71,70,104,6945370,97822.11267605633
2024-05-07,SILVER,3,3,3,392450,130816.66666666667
2024-05-08,FAMILY,68,67,98,7698680,113215.88235294117
2024-05-08,SILVER,3,3,5,513960,171320.0
2024-05-08,GOLD,2,2,4,399500,199750.0
2024-05-09,FAMILY,53,53,76,5849020,110358.8679245283
2024-05-09,GOLD,1,1,2,124200,124200.0
2024-05-09,SILVER,1,1,1,42030,42030.0
2024-05-10,FAMILY,67,66,112,6497900,96983.58208955223
2024-05-10,SILVER,2,2,4,278850,139425.0
2024-05-11,FAMILY,60,56,83,6110430,101840.5
2024-05-11,SILVER,2,2,2,205950,102975.0
2024-05-11,GOLD,1,1,1,118600,118600.0
2024-05-12,FAMILY,69,68,97,7001570,101472.02898550725
2024-05-12,SILVER,1,1,1,39000,39000.0
2024-05-13,FAMILY,62,62,83,6259860,100965.48387096774
2024-05-13,SILVER,1,1,3,55600,55600.0
2024-05-14,FAMILY,52,52,62,4772230,91773.65384615384
2024-05-14,SILVER,2,2,6,336500,168250.0
