order_date,member_grade_label,category,repeat_orders,repeat_buyers,quantity,revenue
2024-04-16,FAMILY,셋업,1,1,1,169000
2024-04-16,FAMILY,긴바지,1,1,1,119000
2024-04-16,FAMILY,여성,1,1,1,104500
2024-04-16,FAMILY,바람막이,1,1,1,84500
2024-04-16,FAMILY,남성,2,1,3,59000
2024-04-17,FAMILY,남성,2,2,4,104500
2024-04-18,FAMILY,라운드티,1,1,1,60000
2024-04-19,FAMILY,남성,2,2,2,205000
2024-04-19,FAMILY,반바지,2,2,3,119060
2024-04-19,FAMILY,라운드티,2,2,3,107140
2024-04-20,FAMILY,남성,3,3,4,207180
2024-04-20,FAMILY,셋업,1,1,1,99000
2024-04-20,FAMILY,햇,1,1,1,37680
2024-04-21,FAMILY,등산화,1,1,1,219000
2024-04-21,FAMILY,남성,1,1,2,163000
2024-04-21,FAMILY,자켓/ 베스트,1,1,1,114500
2024-04-21,FAMILY,반바지,1,1,1,79000
2024-04-21,FAMILY,상의,1,1,1,78200
2024-04-22,FAMILY,자켓/ 베스트,4,3,5,794780
2024-04-22,FAMILY,남성,6,6,9,577120
2024-04-22,FAMILY,바람막이,2,2,2,176500
2024-04-22,FAMILY,라운드티,2,2,2,118000
2024-04-22,FAMILY,등산화,1,1,1,84500
2024-04-22,FAMILY,UNKNOWN,1,1,1,34500
2024-04-23,FAMILY,남성,4,4,9,250000
2024-04-23,FAMILY,긴바지,1,1,1,119000
2024-04-23,FAMILY,여성,1,1,1,54500
2024-04-24,FAMILY,남성,4,4,4,348240
2024-04-24,FAMILY,라운드티,3,3,5,208100
2024-04-24,FAMILY,등산화,1,1,1,79500
2024-04-24,FAMILY,긴바지,1,1,1,44500
2024-04-24,FAMILY,반바지,1,1,1,39500
2024-04-24,SILVER,트레일러닝,2,1,2,216030
2024-04-24,SILVER,긴바지,1,1,1,57270
2024-04-25,FAMILY,남성,3,3,4,223000
2024-04-25,FAMILY,긴바지,1,1,1,119000
2024-04-25,FAMILY,스니커즈,1,1,1,95300
2024-04-25,FAMILY,등산화,1,1,1,79500
2024-04-25,SILVER,긴바지,1,1,1,119000
2024-04-26,FAMILY,남성,4,4,4,267200
2024-04-26,FAMILY,바람막이,1,1,1,122380
2024-04-26,FAMILY,셋업,1,1,1,69500
